"","1642.MS00622","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00514","1642.MS00620","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00352","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00513","1642.MS00594","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00484","1642.MS00408","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00380","1642.MS00483","1642.MS00424","1642.MS00564","1642.MS00390","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00613","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00348","1642.MS00573","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKB8","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","1642.MS00504","1642.MS00398","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00632","1001.SKB7"
"1642.MS00380",0.9184,0.991,0.8386,0.8978,0.8002,0.9832,0.703,0.9894,0.9866,0.8422,0.9244,0.9878,0.876,0.811,0.985,0.99,0.9838,0,0.8682,0.8338,0.8792,0.7406,0.982,0.9384,0.9918,0.8928,0.6274,0.8556,0.9854,0.9946,0.9872,0.8282,0.9872,0.8492,0.8584,0.7922,0.9906,0.987,0.9064,0.9958
"1642.MS00483",0.5542,0.9572,0.5738,0.5868,0.5374,0.9014,0.7164,0.9504,0.9552,0.5302,0.7112,0.921,0.5778,0.5202,0.9336,0.9238,0.9206,0.8682,0,0.511,0.6052,0.6462,0.909,0.6358,0.964,0.5272,0.6818,0.5544,0.9168,0.9844,0.9242,0.4878,0.9206,0.5546,0.6326,0.6608,0.9364,0.9172,0.5688,0.9874
"1642.MS00424",0.5266,0.9478,0.5066,0.5614,0.4588,0.8648,0.6448,0.9376,0.9464,0.4746,0.7088,0.895,0.616,0.4426,0.9196,0.8988,0.8996,0.8338,0.511,0,0.5906,0.5792,0.8754,0.6524,0.961,0.5066,0.6234,0.4614,0.892,0.9876,0.905,0.462,0.8922,0.488,0.5562,0.6038,0.903,0.89,0.5522,0.992
"1642.MS00564",0.6124,0.9524,0.6028,0.648,0.5858,0.8894,0.7498,0.933,0.9374,0.5716,0.704,0.9156,0.601,0.6082,0.9214,0.9204,0.9086,0.8792,0.6052,0.5906,0,0.6834,0.9072,0.7052,0.956,0.5732,0.6992,0.5788,0.9046,0.9842,0.9198,0.6194,0.9076,0.5842,0.5818,0.7038,0.9264,0.9046,0.5442,0.9892
"1642.MS00390",0.7082,0.9606,0.5906,0.6894,0.54,0.9258,0.554,0.952,0.9532,0.5696,0.7868,0.9356,0.6478,0.5456,0.941,0.9412,0.9318,0.7406,0.6462,0.5792,0.6834,0,0.9256,0.7818,0.9652,0.6714,0.6084,0.6238,0.9314,0.99,0.94,0.5846,0.9342,0.61,0.638,0.5564,0.9472,0.933,0.6938,0.9922
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8622,0.8852,0.9082,0.8808,0.8888,0.6966,0.9438,0.8614,0.883,0.9082,0.9306,0.6258,0.9318,0.8728,0.829,0.48,0.818,0.982,0.909,0.8754,0.9072,0.9256,0,0.8822,0.9004,0.8866,0.911,0.8952,0.596,0.979,0.6556,0.8936,0.5908,0.9018,0.9174,0.9404,0.6932,0.6028,0.881,0.9832
"1642.MS00613",0.5664,0.9568,0.7146,0.631,0.7154,0.8638,0.839,0.9452,0.9634,0.7238,0.7786,0.8954,0.7504,0.6456,0.9338,0.8996,0.9178,0.9384,0.6358,0.6524,0.7052,0.7818,0.8822,0,0.9674,0.6082,0.7824,0.6706,0.9002,0.993,0.8964,0.6062,0.8922,0.6754,0.7902,0.8212,0.9164,0.8872,0.623,0.9958
"2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences",0.9592,0.5068,0.9626,0.9658,0.9558,0.9186,0.978,0.6086,0.5188,0.9696,0.9748,0.9086,0.9702,0.9558,0.6798,0.908,0.6462,0.9918,0.964,0.961,0.956,0.9652,0.9004,0.9674,0,0.965,0.969,0.9658,0.8648,0.9748,0.893,0.9674,0.8904,0.9592,0.9638,0.971,0.8986,0.8678,0.9584,0.9824
"1642.MS00492",0.4794,0.9504,0.5548,0.5224,0.5282,0.871,0.7582,0.9366,0.9486,0.5214,0.677,0.9004,0.5666,0.5096,0.9228,0.9026,0.9046,0.8928,0.5272,0.5066,0.5732,0.6714,0.8866,0.6082,0.965,0,0.6738,0.5056,0.8972,0.9896,0.9054,0.5088,0.898,0.5196,0.6264,0.7086,0.9132,0.8904,0.4986,0.9928
"1642.MS00348",0.6888,0.9604,0.6836,0.701,0.5742,0.9014,0.5814,0.9512,0.9522,0.6668,0.7892,0.9232,0.7292,0.606,0.9362,0.9264,0.9322,0.6274,0.6818,0.6234,0.6992,0.6084,0.911,0.7824,0.969,0.6738,0,0.6642,0.915,0.9918,0.9282,0.6244,0.9212,0.6754,0.713,0.6724,0.9308,0.9176,0.697,0.9946
"1642.MS00573",0.5176,0.9528,0.524,0.5442,0.517,0.875,0.686,0.9438,0.9458,0.4836,0.6716,0.908,0.6196,0.4908,0.9272,0.913,0.9084,0.8556,0.5544,0.4614,0.5788,0.6238,0.8952,0.6706,0.9658,0.5056,0.6642,0,0.9042,0.9914,0.915,0.5348,0.9024,0.4868,0.5686,0.6492,0.9092,0.9026,0.52,0.9946
