"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","1642.MS00457","1642.MS00488","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00357","1642.MS00540","1642.MS00458","1642.MS00531","1001.SKD7","1642.MS00376","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00577","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00363","1642.MS00495","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00496","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00341","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00444","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00446","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00632","1642.MS00344"
"1642.MS00363",0.9026,0.5458,0.5706,0.6262,0.9098,0.9286,0.554,0.6068,0.577,0.6382,0.981,0.7196,0.8956,0.9058,0.9046,0.9016,0.905,0.9036,0.6088,0.5304,0.9294,0,0.596,0.9064,0.5164,0.8934,0.5546,0.9376,0.611,0.9658,0.9314,0.9404,0.9152,0.9432,0.5544,0.9358,0.584,0.9026,0.6248,0.5686
"1642.MS00495",0.9236,0.5734,0.565,0.5526,0.9248,0.9324,0.6284,0.515,0.5854,0.5526,0.9842,0.779,0.9192,0.9204,0.9248,0.9324,0.9234,0.9306,0.5954,0.5028,0.9386,0.596,0,0.9312,0.5678,0.9248,0.5346,0.9484,0.6768,0.9708,0.9342,0.9514,0.9342,0.9492,0.5402,0.9444,0.6026,0.9222,0.5536,0.651
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8168,0.8918,0.8936,0.9252,0.7972,0.8618,0.9208,0.9174,0.8864,0.9198,0.9784,0.9588,0.6416,0.8518,0.6838,0.7328,0.8776,0.6496,0.8848,0.9158,0.8738,0.9064,0.9312,0,0.9272,0.6566,0.8992,0.863,0.9284,0.9324,0.911,0.8474,0.8166,0.8922,0.9352,0.9292,0.898,0.5476,0.898,0.9222
"1642.MS00571",0.934,0.5728,0.576,0.6052,0.9372,0.9458,0.653,0.5628,0.5906,0.6048,0.9862,0.793,0.9154,0.9286,0.929,0.9326,0.9352,0.9306,0.5932,0.4702,0.9504,0.5164,0.5678,0.9272,0,0.9242,0.5544,0.9552,0.6882,0.976,0.953,0.958,0.9398,0.9598,0.568,0.9538,0.61,0.9222,0.5936,0.653
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.785,0.8834,0.883,0.9156,0.7042,0.8194,0.9056,0.9046,0.879,0.9056,0.957,0.952,0.5794,0.8248,0.4664,0.4976,0.8762,0.5298,0.8898,0.9108,0.8388,0.8934,0.9248,0.6566,0.9242,0,0.8888,0.831,0.9166,0.8976,0.8642,0.852,0.7994,0.8528,0.9284,0.9112,0.8856,0.6386,0.8938,0.9144
"1642.MS00496",0.902,0.454,0.4508,0.4768,0.9076,0.9258,0.6024,0.5002,0.4876,0.5152,0.9834,0.761,0.878,0.891,0.8986,0.9004,0.8958,0.8964,0.5342,0.5086,0.9282,0.5546,0.5346,0.8992,0.5544,0.8888,0,0.935,0.639,0.9662,0.9388,0.939,0.9062,0.9364,0.5076,0.9364,0.4928,0.9,0.486,0.6286
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",0.6224,0.9362,0.9338,0.9484,0.6662,0.6164,0.9394,0.9432,0.9334,0.9446,0.9696,0.9598,0.8438,0.602,0.8482,0.8648,0.7736,0.8334,0.9362,0.94,0.5258,0.9376,0.9484,0.863,0.9552,0.831,0.935,0,0.9466,0.5552,0.7588,0.68,0.5216,0.5414,0.9572,0.8596,0.9394,0.8428,0.9376,0.9434
"1642.MS00341",0.9226,0.6004,0.6266,0.6952,0.9264,0.941,0.4578,0.671,0.6528,0.687,0.9832,0.6048,0.9116,0.9232,0.9222,0.9278,0.9216,0.9268,0.6732,0.661,0.9436,0.611,0.6768,0.9284,0.6882,0.9166,0.639,0.9466,0,0.971,0.9404,0.9532,0.9342,0.9474,0.6228,0.9438,0.671,0.9186,0.6816,0.4368
"2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences",0.7038,0.9638,0.9634,0.973,0.7802,0.7766,0.9688,0.97,0.9632,0.9708,0.974,0.9834,0.8996,0.714,0.9012,0.9166,0.821,0.892,0.9642,0.9682,0.6442,0.9658,0.9708,0.9324,0.976,0.8976,0.9662,0.5552,0.971,0,0.8862,0.7194,0.5736,0.5448,0.9786,0.9078,0.9696,0.9198,0.9668,0.9698
"2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences",0.6932,0.9338,0.9392,0.9496,0.6342,0.5594,0.9302,0.9336,0.935,0.922,0.9446,0.9612,0.8806,0.7232,0.8706,0.8684,0.8142,0.8722,0.9436,0.9444,0.7062,0.9314,0.9342,0.911,0.953,0.8642,0.9388,0.7588,0.9404,0.8862,0,0.8236,0.8104,0.7582,0.954,0.7522,0.9446,0.8736,0.9402,0.9368
"2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences",0.6484,0.9422,0.9378,0.952,0.7224,0.7208,0.9446,0.9488,0.9376,0.9524,0.9668,0.9704,0.851,0.6786,0.8684,0.8718,0.7008,0.8576,0.9436,0.9452,0.6952,0.9404,0.9514,0.8474,0.958,0.852,0.939,0.68,0.9532,0.7194,0.8236,0,0.583,0.6302,0.9574,0.8794,0.9448,0.8404,0.9402,0.9488
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",0.5796,0.9034,0.9082,0.9264,0.673,0.6866,0.9204,0.9212,0.9026,0.928,0.9662,0.9632,0.7928,0.5916,0.806,0.8176,0.7076,0.8012,0.9118,0.9262,0.5878,0.9152,0.9342,0.8166,0.9398,0.7994,0.9062,0.5216,0.9342,0.5736,0.8104,0.583,0,0.5532,0.933,0.8712,0.9112,0.8044,0.9166,0.9362
"2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences",0.6322,0.9422,0.9386,0.9486,0.7056,0.616,0.9472,0.9448,0.937,0.9528,0.9622,0.9712,0.8562,0.5028,0.8592,0.8844,0.6652,0.868,0.9466,0.949,0.441,0.9432,0.9492,0.8922,0.9598,0.8528,0.9364,0.5414,0.9474,0.5448,0.7582,0.6302,0.5532,0,0.9546,0.8624,0.9444,0.8654,0.9436,0.9506
"1642.MS00444",0.9302,0.516,0.5164,0.5108,0.9304,0.9424,0.58,0.549,0.584,0.5836,0.9858,0.7158,0.922,0.922,0.9292,0.9348,0.9254,0.937,0.6084,0.5284,0.9424,0.5544,0.5402,0.9352,0.568,0.9284,0.5076,0.9572,0.6228,0.9786,0.954,0.9574,0.933,0.9546,0,0.9606,0.563,0.9338,0.5866,0.5836
"2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences",0.7938,0.9344,0.9354,0.951,0.8138,0.7744,0.938,0.9386,0.934,0.9228,0.972,0.9634,0.9124,0.8124,0.9238,0.9184,0.7712,0.9164,0.9462,0.9408,0.8516,0.9358,0.9444,0.9292,0.9538,0.9112,0.9364,0.8596,0.9438,0.9078,0.7522,0.8794,0.8712,0.8624,0.9606,0,0.9436,0.9136,0.9382,0.937
"1642.MS00446",0.9142,0.4804,0.474,0.529,0.91,0.9294,0.649,0.5558,0.4462,0.5758,0.9802,0.7736,0.876,0.9022,0.8948,0.9022,0.9138,0.8976,0.5036,0.5938,0.9272,0.584,0.6026,0.898,0.61,0.8856,0.4928,0.9394,0.671,0.9696,0.9446,0.9448,0.9112,0.9444,0.563,0.9436,0,0.8916,0.517,0.6696
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7918,0.8894,0.8886,0.9146,0.7762,0.8326,0.916,0.9128,0.8804,0.9142,0.9674,0.9548,0.6274,0.8144,0.6826,0.7374,0.8488,0.6464,0.8704,0.913,0.856,0.9026,0.9222,0.5476,0.9222,0.6386,0.9,0.8428,0.9186,0.9198,0.8736,0.8404,0.8044,0.8654,0.9338,0.9136,0.8916,0,0.8912,0.9142
"1642.MS00632",0.9126,0.5198,0.478,0.5212,0.9118,0.9296,0.6582,0.4934,0.5044,0.5284,0.9828,0.7962,0.8768,0.9006,0.9036,0.9064,0.9044,0.9046,0.5494,0.5238,0.9328,0.6248,0.5536,0.898,0.5936,0.8938,0.486,0.9376,0.6816,0.9668,0.9402,0.9402,0.9166,0.9436,0.5866,0.9382,0.517,0.8912,0,0.6806
"1642.MS00344",0.9178,0.5858,0.6186,0.6922,0.9248,0.9366,0.4342,0.6768,0.6564,0.6734,0.983,0.6154,0.9062,0.92,0.9208,0.9254,0.9194,0.9246,0.667,0.6416,0.9414,0.5686,0.651,0.9222,0.653,0.9144,0.6286,0.9434,0.4368,0.9698,0.9368,0.9488,0.9362,0.9506,0.5836,0.937,0.6696,0.9142,0.6806,0
