"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","1642.MS00457","1642.MS00488","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00357","1642.MS00540","1642.MS00458","1642.MS00531","1001.SKD7","1642.MS00376","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00577","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00363","1642.MS00495","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00496","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00341","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00444","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00446","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00632","1642.MS00344"
"2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences",-0.593,1,1,1,-0.949,-1,1,1,1,1,0.964,1,1,-0.36,1,1,0.639,1,1,1,-0.679,1,1,1,1,1,1,-0.126,1,0.697,0,0.696,0.836,-0.392,1,-0.905,1,1,1,1
"2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences",-0.957,1,1,1,-0.645,-0.666,1,1,1,1,0.998,1,0.992,-0.905,1,1,-0.819,0.996,1,1,-0.831,1,1,0.992,1,0.992,1,-0.888,1,-0.951,0.696,0,-1,-0.986,1,0.498,1,0.979,1,1
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",-1,1,1,1,-0.746,-0.74,1,1,1,1,0.998,1,0.924,-0.994,0.974,0.988,-0.682,0.957,1,1,-0.994,1,1,0.987,1,0.984,1,-1,1,-1,0.836,-1,0,-0.998,1,0.451,1,0.981,1,1
"2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences",-0.992,1,1,1,-0.839,-0.996,1,1,1,1,0.992,1,0.978,-1,0.984,1,-0.95,0.99,1,1,-1,1,1,1,1,0.978,1,-1,1,-1,-0.392,-0.986,-0.998,0,1,0.194,1,0.992,1,1
"1642.MS00444",1,-0.923,-0.932,-0.974,1,1,-0.396,-0.643,0.0109999999999999,-0.142,1,0.842,1,1,1,1,1,1,0.282,-0.915,1,-0.738,-0.816,1,-0.492,1,-0.962,1,0.194,1,1,1,1,1,0,1,-0.448,1,0.0580000000000001,-0.574
"2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences",-0.765,1,1,1,-0.588,-0.828,1,1,1,0.998,0.994,1,0.984,-0.506,0.998,0.991,-0.85,0.99,1,1,0.0609999999999999,1,1,1,1,0.99,1,0.158,1,0.666,-0.905,0.498,0.451,0.194,1,0,1,0.988,1,1
"1642.MS00446",1,-0.99,-0.994,-0.814,1,1,0.87,-0.371,-1,-0.053,1,0.998,1,1,1,1,1,1,-0.942,0.269,1,-0.08,0.43,1,0.497,1,-0.97,1,0.932,1,1,1,1,1,-0.448,1,0,1,-0.811,0.901
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",0.994,1,1,1,0.997,0.998,1,1,1,1,1,1,0.002,0.99,0.962,1,0.998,0.533,1,1,1,1,1,-0.922,1,0.611,1,0.984,1,0.996,1,0.979,0.981,0.992,1,0.988,1,0,1,1
"1642.MS00632",1,-0.781,-0.984,-0.858,1,1,0.946,-0.962,-0.878,-0.768,1,1,1,1,1,1,1,1,-0.478,-0.828,1,0.668,-0.475,1,0.249,1,-0.978,1,0.966,1,1,1,1,1,0.0580000000000001,1,-0.811,1,0,0.954
"1642.MS00344",1,-0.376,0.214,0.984,1,1,-1,0.926,0.854,0.934,1,-0.724,1,1,1,1,1,1,0.864,0.528,1,-0.721,0.702,1,0.678,1,0.374,1,-1,1,1,1,1,1,-0.574,1,0.901,1,0.954,0
