"","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.443.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00546","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00353","1642.MS00624","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00452","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00561","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00597","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00359","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00424","1642.MS00365","1642.MS00434","1642.MS00574","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00558","1642.MS00586","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","1642.MS00468","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00343","1642.MS00630","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7"
"2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences",0.7598,0.5848,0.7838,0.957,0.85,0.97,0.9522,0.6892,0.9518,0.5828,0.956,0.6868,0.957,0.9082,0.9756,0.6716,0.8898,0.957,0.699,0.9556,0.962,0.9564,0.952,0.8736,0,0.8688,0.956,0.966,0.8234,0.9566,0.685,0.9516,0.9636,0.6152,0.9588,0.9456,0.8732,0.8534,0.8838,0.9814
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7952,0.8144,0.5646,0.9026,0.5162,0.9392,0.8988,0.6558,0.8982,0.7432,0.915,0.905,0.8998,0.7426,0.9466,0.808,0.7522,0.9144,0.844,0.8944,0.9274,0.915,0.8988,0.5692,0.8688,0,0.9126,0.9252,0.9176,0.9156,0.8356,0.8996,0.9206,0.9076,0.9212,0.8972,0.6578,0.6014,0.6464,0.979
"1642.MS00558",0.922,0.9412,0.9182,0.5252,0.9046,0.6412,0.5768,0.9276,0.585,0.9306,0.5606,0.9584,0.5568,0.8944,0.659,0.9346,0.8878,0.604,0.9228,0.524,0.657,0.5548,0.5292,0.9186,0.956,0.9126,0,0.6014,0.924,0.5662,0.9274,0.5586,0.5308,0.9522,0.6868,0.5614,0.879,0.8892,0.9072,0.9954
"1642.MS00586",0.9332,0.9454,0.9202,0.635,0.918,0.7324,0.6032,0.9324,0.5992,0.9434,0.5306,0.9652,0.5678,0.9008,0.7508,0.9478,0.8982,0.6174,0.935,0.6164,0.7324,0.5886,0.5318,0.9236,0.966,0.9252,0.6014,0,0.93,0.5814,0.933,0.583,0.587,0.9646,0.7082,0.5686,0.9012,0.9218,0.922,0.9932
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.8668,0.8458,0.8784,0.926,0.8942,0.9408,0.9176,0.848,0.918,0.8576,0.9192,0.8168,0.9196,0.892,0.9498,0.8694,0.8828,0.9234,0.826,0.9226,0.9332,0.9244,0.9138,0.9068,0.8234,0.9176,0.924,0.93,0,0.917,0.7788,0.9176,0.9262,0.8224,0.9258,0.9036,0.8136,0.8858,0.9008,0.9902
"1642.MS00396",0.932,0.9456,0.9102,0.5928,0.9066,0.5848,0.5708,0.924,0.509,0.9398,0.5682,0.9584,0.5454,0.8818,0.628,0.9432,0.8896,0.4964,0.9256,0.519,0.595,0.4968,0.516,0.9136,0.9566,0.9156,0.5662,0.5814,0.917,0,0.926,0.4906,0.5394,0.9568,0.5812,0.5426,0.881,0.9066,0.9102,0.9906
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",0.6866,0.7126,0.7442,0.9284,0.8048,0.9462,0.9216,0.5956,0.9286,0.6486,0.9312,0.551,0.9214,0.8564,0.9506,0.676,0.838,0.932,0.743,0.9254,0.9372,0.9264,0.9238,0.85,0.685,0.8356,0.9274,0.933,0.7788,0.926,0,0.9252,0.9332,0.732,0.932,0.9202,0.7984,0.786,0.8406,0.971
"1642.MS00430",0.9198,0.937,0.899,0.5984,0.8954,0.631,0.577,0.9196,0.5112,0.9314,0.5816,0.9552,0.5226,0.8802,0.6618,0.935,0.8844,0.4808,0.9188,0.509,0.6108,0.4486,0.5346,0.9,0.9516,0.8996,0.5586,0.583,0.9176,0.4906,0.9252,0,0.5592,0.9558,0.5856,0.529,0.8708,0.897,0.8966,0.9938
"1642.MS00468",0.932,0.9492,0.913,0.5016,0.9088,0.632,0.5632,0.9274,0.5512,0.9404,0.5124,0.9658,0.537,0.885,0.6562,0.9472,0.8892,0.5746,0.9316,0.4856,0.6474,0.5656,0.5134,0.9184,0.9636,0.9206,0.5308,0.587,0.9262,0.5394,0.9332,0.5592,0,0.9634,0.6754,0.5394,0.8874,0.9098,0.9132,0.9812
"2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences",0.8442,0.6184,0.8618,0.953,0.8738,0.9694,0.9488,0.7318,0.9548,0.7578,0.9546,0.4974,0.9562,0.9138,0.9738,0.5508,0.893,0.958,0.6998,0.9588,0.9634,0.9574,0.9512,0.9136,0.6152,0.9076,0.9522,0.9646,0.8224,0.9568,0.732,0.9558,0.9634,0,0.9616,0.9466,0.8912,0.8606,0.905,0.9876
"1642.MS00343",0.9304,0.9418,0.9136,0.6934,0.9172,0.5114,0.6622,0.9306,0.6158,0.9364,0.692,0.964,0.64,0.8984,0.5496,0.9462,0.8984,0.5864,0.9322,0.611,0.4986,0.5806,0.6384,0.9222,0.9588,0.9212,0.6868,0.7082,0.9258,0.5812,0.932,0.5856,0.6754,0.9616,0,0.6648,0.892,0.9168,0.9192,0.9914
"1642.MS00630",0.9168,0.933,0.8912,0.5224,0.8798,0.6894,0.4818,0.9166,0.511,0.9274,0.5286,0.9522,0.4718,0.8518,0.7468,0.9322,0.8516,0.5664,0.9138,0.5304,0.691,0.5472,0.4772,0.9036,0.9456,0.8972,0.5614,0.5686,0.9036,0.5426,0.9202,0.529,0.5394,0.9466,0.6648,0,0.8492,0.8824,0.8894,0.9944
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",0.78,0.8438,0.7026,0.863,0.5854,0.9116,0.8484,0.7486,0.861,0.8088,0.885,0.891,0.8602,0.6642,0.9292,0.8246,0.6832,0.884,0.8224,0.8604,0.8978,0.8754,0.861,0.705,0.8732,0.6578,0.879,0.9012,0.8136,0.881,0.7984,0.8708,0.8874,0.8912,0.892,0.8492,0,0.5576,0.6326,0.98
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7658,0.8284,0.6958,0.8774,0.5122,0.9338,0.883,0.7412,0.8944,0.7848,0.9104,0.8874,0.8852,0.702,0.9418,0.8234,0.686,0.9034,0.824,0.89,0.9176,0.9036,0.8886,0.6784,0.8534,0.6014,0.8892,0.9218,0.8858,0.9066,0.786,0.897,0.9098,0.8606,0.9168,0.8824,0.5576,0,0.6294,0.9856
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8016,0.8484,0.7168,0.8802,0.592,0.9292,0.881,0.7568,0.8884,0.8164,0.9062,0.9024,0.89,0.6808,0.9426,0.8174,0.6774,0.9088,0.8448,0.8928,0.9186,0.9076,0.8924,0.7374,0.8838,0.6464,0.9072,0.922,0.9008,0.9102,0.8406,0.8966,0.9132,0.905,0.9192,0.8894,0.6326,0.6294,0,0.9762
"1001.SKB7",0.9666,0.9824,0.9732,0.995,0.982,0.9944,0.9944,0.9708,0.9932,0.9728,0.9942,0.9842,0.994,0.9866,0.9918,0.985,0.9776,0.9938,0.9884,0.992,0.9906,0.993,0.994,0.9718,0.9814,0.979,0.9954,0.9932,0.9902,0.9906,0.971,0.9938,0.9812,0.9876,0.9914,0.9944,0.98,0.9856,0.9762,0
