"","1642.MS00611","1642.MS00553","1642.MS00351","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00565","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00337","1642.MS00479","1642.MS00562","1642.MS00391","1642.MS00584","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB8","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00439","1642.MS00604","1642.MS00615","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00512","1642.MS00374","1642.MS00436","1642.MS00412","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00619","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00640","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00498"
"1642.MS00611",NA,-1.01980749175442,-2.57811769636622,-0.202847188034309,5.48102571058253,-2.58244436219843,-2.56110538719706,4.48555045966164,5.26458615383737,2.90821748616687,-0.320610183399385,-3.25416834642464,-2.32100260472309,-4.23546835216643,-2.06228858186495,4.97141729689295,4.33404295391326,0.837017474865709,0.515218462426206,-2.15787713071633,-2.62574916106844,-4.57616045534869,0.191646402238857,4.70495287387091,-2.48715459770846,4.45136994824941,-2.55476233679495,-4.20001699383634,1.07439767685848,-2.46651020861235,-1.96262457385054,0.475440814443748,0.160622644515015,1.20601082932599,-2.55638528364586,5.64580281276208,-3.86022484175008,1.10335128614923,-4.27724751255851,-3.72766181734102
"1642.MS00553",-1.01980749175442,NA,-0.660257062904209,1.22745289716191,3.16537648733757,-0.372981607394438,-0.764697978816299,3.68019571849528,3.54016261704512,2.37183181978311,-0.382807409821524,-3.0307652918033,-0.436825677259517,-3.38062359697539,-1.03817647916043,4.19977467673409,2.62016638676015,2.07312914625024,1.4699941203692,-1.1333183058832,-0.651752115548367,-0.642363691398833,0.89913813267719,4.51993440426767,-1.51764989911264,2.95999931876403,-0.543621483582176,-4.04732810404417,4.97988083080882,-0.975576354969711,-0.89248552954394,1.69175802050316,1.33614960723862,1.318440466298,-0.453892035366096,3.21315225464881,-1.15686817382164,2.41789679556002,-0.929838318072948,-0.914098419781219
"1642.MS00351",-2.57811769636622,-0.660257062904209,NA,0.310076420424568,0.84153163153057,-2.84981782642897,-3.44581562658407,0.871999828198143,4.80137625207253,2.28230274439751,-4.29701142423386,-3.74112321765156,-2.96174429961753,-3.93037058041629,-1.86702744184923,2.32571615937669,1.77373984076091,0.213216094685565,-0.00137875235265956,-3.15906179995258,-2.65166455078418,-1.33361597471803,-1.07349317509938,0.566829703855362,-3.78885472866997,-1.02079676083339,-3.59561352097237,-4.4297687228334,0.299209279900442,-4.05838196427186,-4.00965884260193,0.603724940376325,0.699356335853684,0.132135711776881,-0.327004422347168,1.02081964850088,-2.3936067624625,-0.651602203721707,-2.46830536907405,-3.4181630265662
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",-0.202847188034309,1.22745289716191,0.310076420424568,NA,-6.11590496504619,0.872259364135016,-0.813038723598787,-6.32216579329267,-6.12793886004314,-6.22843018581561,-0.2627191363071,-0.312112599997397,-0.233598713508615,-0.477292061267042,1.6779346230578,-8.39448863240773,-6.8093497194478,-2.15505439066564,-5.80085139350072,1.33961059066986,0.769036030970558,2.69247021697256,-4.31037416299024,-8.71330657880759,-0.22512703843065,-5.96783137600287,-0.372360089285065,-0.128458773997267,2.41688653465052,0.997830293168941,2.26345342487238,-5.99452284794553,-5.70819092265812,-7.22365765296698,2.61080689717486,-7.52203529589113,1.5185209404167,-4.14322773586178,3.00072144010644,-0.454910472678552
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",5.48102571058253,3.16537648733757,0.84153163153057,-6.11590496504619,NA,5.03091020022752,0.593294580883457,-9.00681402176508,-5.88925122251827,-8.0220236377195,2.59336887765066,1.74449963815758,1.36245404322504,1.35788968244269,8.07294944609715,-8.49036626953405,-7.06420760900791,-0.576696619093327,-4.83730188612582,5.68267802334756,5.41753616775427,8.08937586664249,-5.20314902334928,-9.0998176630738,2.08009146151186,-10.2583383515762,2.94182756093243,1.73433700922176,2.02971778229545,6.27388020668387,6.84202430624838,-5.17430101622273,-3.92009293781974,-7.43617054358708,8.79479955089698,-8.97994554096697,6.7617621878153,-5.95006920172053,8.33559911152539,1.96202136720104
"1642.MS00630",-2.58244436219843,-0.372981607394438,-2.84981782642897,0.872259364135016,5.03091020022752,NA,-6.47544159737489,4.75205475349044,5.9716418948119,2.88909191188334,-2.49827351490577,-5.82142784115225,-4.16364728104404,-5.92826706820279,-2.8902615896441,4.95804237732813,5.46791220256161,0.839196443586942,1.05456683789674,-4.61591092271873,-3.83234753757513,-1.82404949524409,0.46262303549215,4.61051157027093,-4.55820248794866,4.38236201984712,-5.48159988725837,-4.57438521218335,0.41652141453777,-5.01808527189167,-3.16047833661815,0.865121177556937,0.795552430970846,1.10149632381447,-3.16898984783014,6.14049407247018,-4.39795886099255,1.59623179758976,-4.00960400144397,-4.83383119794113
"1642.MS00565",-2.56110538719706,-0.764697978816299,-3.44581562658407,-0.813038723598787,0.593294580883457,-6.47544159737489,NA,1.11828574530437,1.2588127969211,0.399899423364922,-1.87159594605554,-4.32350419806366,-4.3754580303876,-4.56487385851254,-3.40102997418908,0.790312596841639,1.32652891546918,1.30931095517542,-0.829289620319207,-3.86615027456293,-4.40500081976069,-2.40201815075212,-1.06273240416609,1.04392572495542,-4.00670078083202,0.573538276855073,-4.47502391579696,-3.3769967831327,0.225952124230942,-4.96080792862614,-2.81795425057939,-0.730016992884923,-0.702713769030916,-0.461813716435699,-1.45551216042067,1.45144415960716,-4.21644819409811,-0.28373134235441,-4.22630471904901,-3.89620718132524
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",4.48555045966164,3.68019571849528,0.871999828198143,-6.32216579329267,-9.00681402176508,4.75205475349044,1.11828574530437,NA,-5.79315590310539,-5.37771557989983,3.03141539465848,1.49252029661703,1.03152044887662,1.56729128662846,7.58385097399925,-8.20129504760648,-5.92637970848645,-1.29228062735107,-5.63302371851575,5.34432194687423,4.19600512363582,8.17252043934099,-5.42102582445315,-9.93555625502934,2.45726428588052,-6.28320520360728,2.05948280958008,1.81317714211079,2.51815296873839,5.17482935836839,5.47625359221901,-4.87007685216837,-4.78810279793019,-5.89068378041091,7.97360105083826,-7.71707805229148,6.42579869971163,-5.82666002117223,8.47182163362364,1.84203666962494
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",5.26458615383737,3.54016261704512,4.80137625207253,-6.12793886004314,-5.88925122251827,5.9716418948119,1.2588127969211,-5.79315590310539,NA,-6.45032700216709,3.79515553127471,1.84165988597087,1.27650592325199,1.91994655079019,7.54742011145603,-7.2089506035553,-8.20225908932254,-0.968103396992348,-5.19326192944551,7.19731950650922,4.31146426932104,8.85261355300907,-4.54127833705461,-8.36150956729797,2.96216163634416,-5.61081531402471,3.70496179571115,1.900906828846,4.02862531636514,6.02283736657514,8.40026934182305,-4.71430834805719,-4.44574315006299,-3.71315277934725,7.81976420492347,-8.25678308059309,6.83717595583695,-3.55484092551905,8.02510534834446,2.12604569323182
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",2.90821748616687,2.37183181978311,2.28230274439751,-6.22843018581561,-8.0220236377195,2.88909191188334,0.399899423364922,-5.37771557989983,-6.45032700216709,NA,2.56292494668354,1.12001815984454,0.87820152755571,1.33723746423401,6.06055831873646,-8.04931364936635,-6.48017873969841,-0.598200850889549,-6.11328143002171,3.84845193421445,2.93732250398629,6.30059240650038,-5.81455858995304,-7.95658292644409,2.05191067909338,-6.92176742197062,2.47384492054449,1.07047077745667,5.49102290343008,4.53585788706844,4.887438059347,-4.76760956237814,-4.50915905799896,-5.40154501598706,5.24477497855229,-7.95688698823256,4.1662733491445,-5.31943466633509,6.65537329120598,1.22633173519208
"1642.MS00337",-0.320610183399385,-0.382807409821524,-4.29701142423386,-0.2627191363071,2.59336887765066,-2.49827351490577,-1.87159594605554,3.03141539465848,3.79515553127471,2.56292494668354,NA,-1.82682072779455,-0.563972633602058,-2.97613210564605,-0.926397122874064,2.20852327773113,3.72010736508291,0.246334559878894,-0.106606881826551,-3.85404543366091,-0.899833681407673,-0.146367853007413,-0.422144787079276,2.03307711299723,-3.69620337586032,0.284862767509819,-2.41507680012692,-1.95472070788201,2.44568765793644,-4.12034162845075,-2.69377836078897,-0.19071733231435,-0.283916489026662,0.0801998954358694,0.179009898539576,2.90101430814285,-1.28422955157113,0.306704853282809,-2.2820647624331,-2.19560675618302
"1642.MS00479",-3.25416834642464,-3.0307652918033,-3.74112321765156,-0.312112599997397,1.74449963815758,-5.82142784115225,-4.32350419806366,1.49252029661703,1.84165988597087,1.12001815984454,-1.82682072779455,NA,-5.60858021638678,-3.91158209027387,-2.68537803443188,1.48185953470431,1.78907028158197,1.06242115875045,0.00259978532608068,-2.81496294625469,-3.65864764758071,-2.63941941484272,-0.56680506928639,1.61988291289541,-3.68385954663459,0.825468719036199,-4.06446760313742,-6.67647605650864,1.99143906576294,-4.81325396334865,-3.20757116617635,0.301644886340554,0.433656901056031,0.0236178454819043,-1.58857132560126,2.12066362209318,-4.79872329182462,0.214347154174172,-4.25528114963743,-5.35297207481913
"1642.MS00562",-2.32100260472309,-0.436825677259517,-2.96174429961753,-0.233598713508615,1.36245404322504,-4.16364728104404,-4.3754580303876,1.03152044887662,1.27650592325199,0.87820152755571,-0.563972633602058,-5.60858021638678,NA,-3.81299156288536,-3.06708774432618,1.19255169854693,1.52352567059284,1.13147361500736,-0.0953733358432471,-3.53714821720054,-4.29398572640271,-1.53902049558908,-0.462284778506468,1.17175802107431,-2.64982180825987,0.640361199535273,-4.17546329285411,-3.71741212775078,1.2607997086534,-3.96785006134413,-1.3970032699951,-0.0020334104711172,-0.0589349230697949,-0.149401191472582,-1.24751125081652,1.76808499114158,-3.50816674067145,0.251531334541597,-3.01296687576909,-5.23105827189651
"1642.MS00391",-4.23546835216643,-3.38062359697539,-3.93037058041629,-0.477292061267042,1.35788968244269,-5.92826706820279,-4.56487385851254,1.56729128662846,1.91994655079019,1.33723746423401,-2.97613210564605,-3.91158209027387,-3.81299156288536,NA,-4.21218373650141,1.18467688593148,1.66354262323797,1.22281731684922,-0.329628832512478,-4.83145003913277,-3.42383688891789,-2.60930814190584,-0.716268852176279,1.4633134876736,-4.59734281395385,0.496509095491244,-5.8366019778812,-4.82575168366201,3.5957972724168,-5.77767976338605,-3.89361949521817,-0.223290521181874,-0.109517243101055,-0.251761992750643,-1.51863000285672,1.93121452024848,-3.43234165852181,-0.0972972989195497,-4.85373550931858,-5.20089803965314
