"","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00371","1001.SKD8","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00386","1642.MS00567","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00517","1642.MS00621","1642.MS00466","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00361","1642.MS00446","1642.MS00595","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00395","1642.MS00449","1642.MS00421","1642.MS00375","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00491","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00619","1642.MS00432","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00604","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00474"
"2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences",NA,-3.39213137572873,-5.1873552427404,-3.58708391855372,-0.989247264021258,-5.08583039375568,-0.303423674347558,-0.60986742350919,1.74869329936164,-5.237185235448,0.192480450124553,3.22853870547936,1.48568560332636,-5.50766827776089,-5.35364030567808,-0.610969504278157,3.44523589678117,-0.158636843978641,-4.58953753036438,3.82808019690256,-7.67723551330358,-6.64798735271326,-5.10489303587592,0.665719330106462,-0.0509792805936194,2.37636958882663,-0.521125588747849,1.6238299170191,-6.5749205793849,1.83155042594761,-4.3874782623807,3.94333586022508,-6.68854059915546,-4.70944835785247,4.66839266837374,-0.0168555979921173,-6.9879952627385,1.85735265001556,-6.4440878953328,2.01032267323299
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",-3.39213137572873,NA,-4.92245133329134,-4.27820900325375,-1.45612925008769,-5.40038784124807,-0.652208253225293,-1.22363658527095,0.617620213185305,-4.42176995778298,-0.406282656235649,3.49237451361383,0.858607880867619,-4.7882321738632,-3.68623886887152,-1.6729530792173,2.15889501588916,-0.816340144605863,-4.57982980253313,3.48216454143752,-3.96264981648282,-3.2641546471609,-4.79200416395581,-0.358216180236104,-0.816078343535226,2.21336873319308,-1.05592523568515,0.566305057605425,-3.53970471320887,1.34891484569748,-4.19530464889303,2.89436127137876,-3.79428111033932,-3.89430530840768,4.08733169348363,-0.268322113873768,-3.83620232145944,1.58511568784768,-4.77541387657702,1.36463755072375
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",-5.1873552427404,-4.92245133329134,NA,-4.37382763748366,-1.36569571967066,-4.80940054951304,-4.49255858050987,-1.43269843091795,0.116040799025388,-6.37880276720081,-0.879943013440303,1.30411580834139,0.279108387958529,-5.93623386168482,-7.47151655771553,-1.88821822575612,0.589709123484202,-1.15715232472191,-3.32196284263468,1.18051712048735,-5.03712483300281,-7.17036985306522,-5.0762898714828,-1.16764074342942,-1.02245850949655,1.14538877701835,-1.28245542496207,0.172184741377241,-5.34422127044444,0.0779068329381242,-4.10292121651415,1.9792153938422,-4.92252942329868,-5.66347394188351,2.4405247967425,-1.04693213608242,-7.73766538138484,0.530710635940694,-6.61609008875665,0.674438124410149
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",-3.58708391855372,-4.27820900325375,-4.37382763748366,NA,1.23270576226145,-3.30397971346925,-2.99410383604526,-0.0197323792542929,3.81845999511691,-6.4806373910445,0.99483772747759,5.92375733253672,2.51490496882621,-2.96526326875018,-4.32796211828353,1.16753762160206,3.21460998214943,0.366250306375753,-6.2656972299918,5.53262196190929,-1.892968319767,-2.69544706636442,-5.58788825321898,2.00858148599936,0.760831658721423,5.27316785565498,0.771775082003357,2.80814169601443,-3.15186217399379,2.66478662227972,-4.8408780378229,7.10585914991709,-3.60732120222167,-7.61350731798354,7.40859473376075,1.30474893235081,-3.83451368802531,2.60532656498563,-3.18035232395727,4.44257619409484
"1642.MS00371",-0.989247264021258,-1.45612925008769,-1.36569571967066,1.23270576226145,NA,-1.6229102546856,4.14362808890342,-2.21295787808223,-1.92618292962707,2.72644267476897,-2.26371287044241,-1.02337236718002,-2.18325406981815,-0.962044340671089,-0.252432489656853,-4.32579274193773,-1.40975774296193,-2.87308077362884,1.90758181605062,-0.0387207563989516,-0.983811395831812,-0.212580462834029,1.3866381494127,-2.64242396600369,-2.33657723103294,-1.01853912723125,-2.52395048066043,-2.25905672602462,-0.283648114237682,-2.06885128099177,-1.50856071544996,-1.33583685409692,-0.364427740077072,1.11418384269112,-0.62738885228674,-2.17072881936221,-0.20901583020039,-0.709581380420675,-1.36170896256664,-1.96670902895432
"1001.SKD8",-5.08583039375568,-5.40038784124807,-4.80940054951304,-3.30397971346925,-1.6229102546856,NA,-1.49237400610384,-1.25411554870017,0.569569089112429,-0.967334171464035,-0.490091858465203,1.47549243682284,0.905816205853442,-3.77624345244836,-4.40988426785496,-1.35989463094435,1.19293461542306,-0.223542495011958,-2.34454854978334,2.52122827870624,-5.0547543835205,-3.51263692015223,-2.32526804603078,-0.376480838489023,-0.741678140938549,1.14039231860839,-0.451751075669333,-0.312416973609529,-4.01029540615508,1.45802808452761,-5.00346493655406,2.28044173323706,-4.69438410611675,-2.15803100541326,2.62906215208799,0.273192178255354,-4.17128946944591,0.930871029616697,-4.14428856458879,0.811208897319474
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",-0.303423674347558,-0.652208253225293,-4.49255858050987,-2.99410383604526,4.14362808890342,-1.49237400610384,NA,3.52711971939563,7.54918138419923,-5.39254019426443,3.98058881693996,8.53912366320879,5.10245455769629,-3.74667152529818,-5.01215630214191,3.70565520063459,5.68688245290796,3.25374144747413,-3.07682805524159,6.00653439135989,1.00278394007797,-0.265531600299534,-7.64675815800234,2.94707759756557,4.63645772161818,8.84117724118678,3.88803240630769,5.71241940703845,-1.4999042151546,4.83687554267126,-3.4320870695862,9.71084219122872,-3.57509583013322,-7.84064880645065,6.2577285523588,5.24771908915972,-3.02238870904435,3.07416063417035,-3.78108065297589,6.11844926302529
"1642.MS00386",-0.60986742350919,-1.22363658527095,-1.43269843091795,-0.0197323792542929,-2.21295787808223,-1.25411554870017,3.52711971939563,NA,-5.0957021260915,0.0416768373322429,-6.06882522665764,-3.85247925067747,-4.16658933112357,-0.894611471460917,-0.56442472899906,-5.4640621808163,-4.15081858547722,-4.34274294168316,3.80962054474491,-3.03448999264453,-0.979686288735921,-0.574552191214001,-0.340945732359598,-3.73666919074229,-5.7880765199535,-4.94466706996656,-6.08242526397208,-4.16219436062738,-0.851568832979733,-2.62472746150559,-1.35361052720278,-3.37146489652558,-1.22463279218898,0.028940792953295,-1.20170307675797,-5.02551389269501,-1.40561630560093,-2.38793619891199,-1.27162571173273,-4.38788718475367
"1642.MS00567",1.74869329936164,0.617620213185305,0.116040799025388,3.81845999511691,-1.92618292962707,0.569569089112429,7.54918138419923,-5.0957021260915,NA,3.13454107347098,-3.28818894736,-4.81860606225709,-1.68301219419495,0.514242913984821,1.35300762361608,-4.07930982026255,-4.02741210828624,-3.09772276492395,7.80991851063496,-3.90927027711925,-0.0297594793038331,1.23747368142279,3.79444089700242,-2.58452636746429,-5.69117505811767,-4.6946635614797,-4.92240616128949,-3.39736061704097,0.676758449173107,-3.01457253974016,0.229136096769195,-4.25122176836445,0.189964627141544,3.62810299880067,-1.93871006272794,-4.02660701523503,-0.225216307051345,-3.79043977892466,-0.00568116600241455,-4.80822319700805
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.237185235448,-4.42176995778298,-6.37880276720081,-6.4806373910445,2.72644267476897,-0.967334171464035,-5.39254019426443,0.0416768373322429,3.13454107347098,NA,1.14248291049935,6.88389419797329,1.97885596556861,-5.75967141962333,-4.87959573989378,1.51006846771179,4.70209590561921,0.831998133526584,-6.54243350863951,6.40867301676099,-5.48652351325084,-5.48353864356144,-7.13781589720678,2.07302598031441,0.907783336901669,7.26417123125496,1.50054405861296,5.03311925589481,-3.92521601909401,3.03769194245205,-5.40811195320165,7.09359262589817,-5.78118777229052,-7.71922344340184,7.99885244381588,2.16763053110617,-4.84294292100081,3.33092943487806,-6.45745881526086,4.56990187004022
