"","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00351","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00421","1642.MS00518","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00574","2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00524","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00520","1642.MS00508","1001.SKB8","1642.MS00523","1642.MS00570","1642.MS00442","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00443","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1001.SKM9",0.976,0.9924,0.9748,0.9912,0.989,0.9702,0.9922,0.9598,0.994,0.9908,0.9772,0.9872,0.9928,0.9916,0.9946,0.9848,0.9858,0.9704,0.989,0.982,0.983,0,0.9948,0.9794,0.9934,0.9902,0.9842,0.9882,0.995,0.9948,0.6788,0.9922,0.994,0.9948,0.9686,0.995,0.9756,0.9816,0.994,0.9864
"1642.MS00574",0.888,0.6018,0.897,0.4962,0.475,0.9536,0.5286,0.9518,0.5018,0.893,0.9208,0.6766,0.4554,0.8716,0.4842,0.8498,0.932,0.939,0.9052,0.9294,0.8788,0.9948,0,0.8894,0.4994,0.9526,0.95,0.5622,0.6082,0.6136,0.9894,0.5184,0.651,0.5186,0.9374,0.5258,0.912,0.861,0.8658,0.8886
"2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences",0.81,0.906,0.8076,0.896,0.8936,0.6816,0.911,0.6876,0.9216,0.8246,0.6934,0.9086,0.884,0.7892,0.8846,0.7326,0.6794,0.6916,0.812,0.6664,0.8154,0.9794,0.8894,0,0.905,0.6892,0.7576,0.9078,0.9412,0.9372,0.955,0.9132,0.9394,0.9174,0.6844,0.9092,0.7026,0.7432,0.7736,0.7874
"1642.MS00524",0.9012,0.6298,0.9022,0.5508,0.5416,0.9632,0.5878,0.9622,0.5706,0.8916,0.93,0.7074,0.5354,0.8818,0.5168,0.8728,0.9394,0.9494,0.9046,0.9354,0.8784,0.9934,0.4994,0.905,0,0.9606,0.9538,0.5208,0.6634,0.654,0.9906,0.5086,0.7234,0.4902,0.949,0.4934,0.9198,0.8762,0.8816,0.8908
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.8994,0.964,0.8984,0.9538,0.953,0.7412,0.9552,0.6212,0.9608,0.9034,0.663,0.9628,0.9462,0.9228,0.951,0.9,0.4992,0.729,0.876,0.6158,0.9022,0.9902,0.9526,0.6892,0.9606,0,0.577,0.9576,0.9678,0.9734,0.9812,0.9636,0.9762,0.9642,0.5778,0.9612,0.695,0.8952,0.9186,0.8644
"2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences",0.8746,0.9568,0.8696,0.946,0.951,0.6784,0.952,0.596,0.9566,0.8658,0.5618,0.9572,0.9474,0.9332,0.9498,0.9028,0.3694,0.6416,0.8814,0.64,0.8738,0.9842,0.95,0.7576,0.9538,0.577,0,0.9508,0.9692,0.9672,0.9694,0.957,0.9726,0.9572,0.5668,0.9564,0.6464,0.8752,0.9266,0.8692
"1642.MS00419",0.9172,0.5294,0.9172,0.536,0.575,0.959,0.5976,0.9552,0.5906,0.9084,0.9218,0.6506,0.5498,0.888,0.5642,0.8758,0.941,0.9468,0.9166,0.9344,0.8996,0.9882,0.5622,0.9078,0.5208,0.9576,0.9508,0,0.682,0.6586,0.9858,0.5592,0.7382,0.4522,0.9486,0.4488,0.9248,0.8894,0.8898,0.9038
"1642.MS00520",0.9516,0.714,0.9486,0.6226,0.5746,0.9678,0.501,0.9664,0.5034,0.9532,0.9544,0.7258,0.5722,0.9364,0.6642,0.9308,0.9608,0.9632,0.9554,0.9556,0.944,0.995,0.6082,0.9412,0.6634,0.9678,0.9692,0.682,0,0.3758,0.9946,0.6128,0.4666,0.6634,0.9598,0.6586,0.953,0.9326,0.9386,0.947
"1642.MS00508",0.9466,0.6896,0.9478,0.6098,0.5704,0.974,0.5278,0.9704,0.5062,0.9404,0.9536,0.7128,0.5934,0.9286,0.653,0.9228,0.9598,0.9678,0.9494,0.9556,0.9338,0.9948,0.6136,0.9372,0.654,0.9734,0.9672,0.6586,0.3758,0,0.992,0.6186,0.4762,0.6406,0.9626,0.6374,0.9504,0.9258,0.928,0.9418
"1001.SKB8",0.9676,0.9884,0.9648,0.9864,0.9846,0.953,0.9886,0.9572,0.9916,0.9792,0.9626,0.9856,0.99,0.9844,0.9908,0.9724,0.9742,0.9514,0.9818,0.963,0.979,0.6788,0.9894,0.955,0.9906,0.9812,0.9694,0.9858,0.9946,0.992,0,0.9906,0.9928,0.9924,0.9528,0.9928,0.952,0.9712,0.987,0.9776
"1642.MS00523",0.924,0.6488,0.9228,0.5796,0.553,0.961,0.573,0.9574,0.5348,0.9176,0.9408,0.6932,0.5156,0.9028,0.538,0.894,0.9476,0.9536,0.9224,0.9398,0.9062,0.9922,0.5184,0.9132,0.5086,0.9636,0.957,0.5592,0.6128,0.6186,0.9906,0,0.7154,0.517,0.9504,0.5176,0.931,0.8934,0.906,0.9112
"1642.MS00570",0.9372,0.742,0.9406,0.6352,0.6228,0.9732,0.562,0.9762,0.5568,0.947,0.9614,0.7586,0.64,0.9286,0.7028,0.9172,0.9684,0.9686,0.9522,0.9652,0.9394,0.994,0.651,0.9394,0.7234,0.9762,0.9726,0.7382,0.4666,0.4762,0.9928,0.7154,0,0.7136,0.9664,0.7136,0.953,0.919,0.9226,0.9444
"1642.MS00442",0.9166,0.578,0.9174,0.5356,0.5374,0.963,0.5748,0.962,0.5554,0.907,0.9336,0.6804,0.5288,0.8928,0.5518,0.8848,0.9478,0.9516,0.9174,0.9442,0.8982,0.9948,0.5186,0.9174,0.4902,0.9642,0.9572,0.4522,0.6634,0.6406,0.9924,0.517,0.7136,0,0.9548,0.429,0.9302,0.889,0.8958,0.9038
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.851,0.9464,0.8456,0.9422,0.9414,0.6074,0.943,0.51,0.951,0.878,0.6058,0.9466,0.933,0.91,0.9342,0.8758,0.5596,0.5392,0.8762,0.4966,0.8698,0.9686,0.9374,0.6844,0.949,0.5778,0.5668,0.9486,0.9598,0.9626,0.9528,0.9504,0.9664,0.9548,0,0.9528,0.581,0.8538,0.8994,0.8544
"1642.MS00443",0.9212,0.5972,0.9172,0.5456,0.5312,0.9634,0.588,0.9602,0.5492,0.912,0.933,0.6926,0.5176,0.8834,0.538,0.8828,0.9436,0.9482,0.9232,0.9408,0.9024,0.995,0.5258,0.9092,0.4934,0.9612,0.9564,0.4488,0.6586,0.6374,0.9928,0.5176,0.7136,0.429,0.9528,0,0.9278,0.888,0.889,0.91
"2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences",0.6688,0.9276,0.6434,0.917,0.9168,0.6068,0.9222,0.5716,0.9314,0.7676,0.619,0.934,0.9136,0.8692,0.9156,0.7986,0.6686,0.5182,0.8034,0.5952,0.7558,0.9756,0.912,0.7026,0.9198,0.695,0.6464,0.9248,0.953,0.9504,0.952,0.931,0.953,0.9302,0.581,0.9278,0,0.7392,0.8592,0.719
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",0.602,0.8848,0.6198,0.8612,0.875,0.8862,0.8872,0.8772,0.9008,0.6762,0.8076,0.9062,0.8724,0.6238,0.8642,0.5784,0.8458,0.8446,0.6554,0.8104,0.631,0.9816,0.861,0.7432,0.8762,0.8952,0.8752,0.8894,0.9326,0.9258,0.9712,0.8934,0.919,0.889,0.8538,0.888,0.7392,0,0.5498,0.5576
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7946,0.886,0.8178,0.8612,0.8794,0.9448,0.8976,0.9342,0.9032,0.8054,0.8962,0.9062,0.8754,0.509,0.869,0.595,0.8964,0.9152,0.7764,0.8836,0.7728,0.994,0.8658,0.7736,0.8816,0.9186,0.9266,0.8898,0.9386,0.928,0.987,0.906,0.9226,0.8958,0.8994,0.889,0.8592,0.5498,0,0.7466
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",0.5788,0.914,0.5818,0.894,0.9036,0.8792,0.9106,0.866,0.9192,0.6138,0.788,0.9244,0.8974,0.787,0.892,0.6896,0.8202,0.8288,0.5752,0.771,0.6028,0.9864,0.8886,0.7874,0.8908,0.8644,0.8692,0.9038,0.947,0.9418,0.9776,0.9112,0.9444,0.9038,0.8544,0.91,0.719,0.5576,0.7466,0
