"","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00351","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00421","1642.MS00518","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00574","2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00524","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00520","1642.MS00508","1001.SKB8","1642.MS00523","1642.MS00570","1642.MS00442","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00443","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",1,1,0.998,1,1,-0.791,1,-0.987,1,1,-0.964,1,1,1,1,0.998,-1,-0.772,0.95,-0.992,1,1,1,-0.91,1,0,-0.996,1,1,1,0.998,1,1,1,-1,1,-0.918,0.998,1,0.934
"2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences",0.992,1,0.982,1,1,-0.932,1,-0.998,1,0.966,-1,1,1,1,1,0.998,-1,-0.987,0.98,-0.98,0.988,0.995,1,-0.512,1,-0.996,0,1,1,1,0.949,1,1,1,-0.998,1,-0.99,0.99,1,0.984
"1642.MS00419",1,-0.804,1,-0.626,-0.105,1,0.242,1,0.161,1,1,0.655,-0.484,1,-0.145,1,1,1,1,1,1,1,-0.177,1,-0.724,1,1,0,0.893,0.523,1,-0.252,1,-0.998,1,-0.996,1,1,1,1
"1642.MS00520",1,0.988,1,0.133,-0.636,1,-0.976,1,-0.98,1,1,0.986,-0.63,1,0.743,1,1,1,1,1,1,1,-0.0600000000000001,1,0.733,1,1,0.893,0,-1,1,-0.071,-1,0.75,1,0.673,1,1,1,1
"1642.MS00508",1,0.818,1,-0.236,-0.715,1,-0.944,1,-0.986,1,1,0.897,-0.449,1,0.453,1,1,1,1,1,1,1,-0.168,1,0.523,1,1,0.523,-1,0,1,-0.08,-0.998,0.334,1,0.193,1,1,1,1
"1001.SKB8",1,1,0.994,1,1,0.744,1,0.844,1,1,0.956,1,1,1,1,0.998,0.98,0.825,1,0.955,1,-0.964,1,0.908,1,0.998,0.949,1,1,1,0,1,1,1,0.763,1,0.912,1,1,1
"1642.MS00523",1,0.865,1,0.19,-0.37,1,-0.053,1,-0.643,1,1,0.964,-0.774,1,-0.485,1,1,1,1,1,1,1,-0.718,1,-0.791,1,1,-0.252,-0.071,-0.08,1,0,0.988,-0.764,1,-0.801,1,1,1,1
"1642.MS00570",1,0.998,1,0.417,0.176,1,-0.652,1,-0.719,1,1,0.998,0.503,1,0.985,1,1,1,1,1,1,1,0.664,1,0.998,1,1,1,-1,-0.998,1,0.988,0,0.983,1,0.996,1,1,1,1
"1642.MS00442",1,-0.177,1,-0.568,-0.619,1,-0.0659999999999999,1,-0.375,1,1,0.941,-0.679,1,-0.352,1,1,1,1,1,1,1,-0.721,1,-0.935,1,1,-0.998,0.75,0.334,1,-0.764,0.983,0,1,-1,1,1,1,1
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.954,1,0.912,1,1,-0.99,1,-1,1,1,-0.984,1,1,1,1,0.996,-0.998,-1,0.996,-1,0.994,0.921,1,-0.866,1,-1,-0.998,1,1,1,0.763,1,1,1,0,1,-0.998,0.965,0.998,0.952
"1642.MS00443",1,0.116,1,-0.446,-0.713,1,0.12,1,-0.571,1,1,0.962,-0.826,1,-0.596,1,1,1,1,1,1,1,-0.719,1,-0.944,1,1,-0.996,0.673,0.193,1,-0.801,0.996,-1,1,0,1,1,1,1
"2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences",0.046,1,-0.37,1,1,-1,1,-1,1,0.982,-0.885,1,1,1,1,1,-0.94,-1,0.998,-0.98,0.954,0.998,1,-0.086,1,-0.918,-0.99,1,1,1,0.912,1,1,1,-0.998,1,0,0.882,1,0.721
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",-0.017,1,0.2,1,1,0.988,1,0.988,1,0.769,0.994,1,1,-0.248,1,-0.594,0.901,0.998,-0.117,0.958,0.196,1,1,0.673,1,0.998,0.99,1,1,1,1,1,1,1,0.965,1,0.882,0,-0.886,-0.78
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,1,1,1,1,1,-0.994,1,-0.601,1,1,0.986,1,0.998,1,1,0.896,1,1,1,1,1,1,1,1,1,1,0.998,1,1,-0.886,0,0.99
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",-0.541,1,-0.576,1,1,0.96,1,0.938,1,-0.255,0.953,1,1,0.999,1,0.803,0.638,0.998,-0.906,0.607,-0.375,1,1,0.968,1,0.934,0.984,1,1,1,1,1,1,1,0.952,1,0.721,-0.78,0.99,0
