"","1642.MS00377","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00351","1642.MS00570","1642.MS00523","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00471","1001.SKB8","1642.MS00508","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00574","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00518","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00548","1642.MS00421","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00443","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","1642.MS00524"
"1642.MS00536",0.0328008256405,0.020320894996,0.0843344030272,0.0988990510623,0.0989636691263,0.0850875232681,0.0883836128014,0.0826060566764,0.0828068258765,0.02930979869,0.0276427577743,0.0227602040666,0.0910538838922,0.1014264420736,0.0931358346606,0.087518328088,0,0.0803133047613,0.0217197662261,0.1652540558551,0.0211802646186,0.0878165696209,0.1055223534467,0.0837378025584,0.0778232787361,0.0237436754449,0.0192449909168,0.1045400788127,0.0807473350149,0.1879848023254,0.021170791378,0.0864104652128,0.0229760108881,0.0205196110683,0.0218185091488,0.0813406277526,0.0220018180531,0.1032978251702,0.0224327298217,0.02244087782
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0861238288382,0.0883607201341,0.0385321878146,0.0435322457927,0.0466504480793,0.0250780091415,0.0330303371698,0.0238039469954,0.0226379946637,0.0808738788931,0.0881637897943,0.1009571557904,0.0329353459303,0.0499383036558,0.0381861996488,0.0373604142837,0.0803133047613,0,0.0830887717631,0.1234654989039,0.0809253026328,0.031453315103,0.0499160386333,0.0341031429786,0.0278379811259,0.0848272565717,0.0830218110374,0.0453877877407,0.0253316432136,0.1417745886619,0.0841074896891,0.0224109004823,0.0878290987476,0.0875869456358,0.0760745586618,0.02601219148,0.0873611349106,0.0443543884174,0.0883776399534,0.0876192549603
"1642.MS00471",0.0314268075916,0.019850369492,0.0859733103127,0.0951918112498,0.0985000584493,0.0837312635688,0.0858727496955,0.0839770225855,0.0831677993006,0.0270636933723,0.0249041897601,0.0252585783181,0.0875040560412,0.0984483969925,0.0896171020254,0.0875253551699,0.0217197662261,0.0830887717631,0,0.1786799554885,0.0197987694713,0.0857336586504,0.1025814114757,0.0835195444458,0.0764381891949,0.023865477173,0.0224236161323,0.1018348480315,0.081425123918,0.1959025333234,0.0202683082108,0.0887002299258,0.0182283465819,0.0205896294419,0.0212994573388,0.0830056076164,0.023538406731,0.1009711797159,0.0241881652181,0.0258168532515
"1001.SKB8",0.1537603199889,0.1650765698345,0.1273477017218,0.0918629187233,0.0700621598,0.1049336757301,0.0988577039339,0.117341951886,0.1021810200508,0.1560868313193,0.2058246102791,0.1741193080006,0.0714760762867,0.1382609031224,0.0867043284115,0.1445663273764,0.1652540558551,0.1234654989039,0.1786799554885,0,0.2081813977094,0.0850978314377,0.0994611386601,0.0929805604237,0.1129593767938,0.1603949196768,0.1635953176403,0.0667005448934,0.129613349357,0.0173871386205,0.165322714881,0.1354540855558,0.2061681677166,0.1789537356916,0.1517628217146,0.1212359974593,0.163744918422,0.0938163400465,0.1648640045804,0.1709122740209
"1642.MS00508",0.0296412960335,0.0188480797863,0.080622590661,0.0901295034349,0.0907721290593,0.0852794529116,0.0829850989792,0.0840384683733,0.0831202827349,0.0290621993785,0.0216914841749,0.0227390675397,0.0837141883738,0.0886505668303,0.0860669561603,0.0844138513121,0.0211802646186,0.0809253026328,0.0197987694713,0.2081813977094,0,0.0831452345526,0.0964440167766,0.0796307610016,0.0758753796339,0.0224457667478,0.0211609659188,0.0941069009256,0.0814943428443,0.2310031494439,0.0204170290036,0.0875842512886,0.0163337111607,0.0188269554992,0.0232200037814,0.0831211034149,0.0224046353447,0.0950050004799,0.0227180391125,0.0241508379378
"2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences",0.0898934143165,0.0907346304593,0.0565728249646,0.025640416917,0.0287839059715,0.0234333647399,0.0252769917961,0.035360325316,0.0230490799923,0.0836698855173,0.0924774258129,0.1116705855453,0.0208862118566,0.0242535844769,0.0270125584348,0.0531995711798,0.0878165696209,0.031453315103,0.0857336586504,0.0850978314377,0.0831452345526,0,0.0372755994757,0.0263953462032,0.0346740018736,0.0916585913983,0.0930837928425,0.0234041320655,0.039327550178,0.1051861217668,0.0881546239996,0.0406747468708,0.0893031604087,0.0923776560635,0.0789511382612,0.0371086480848,0.0974076665731,0.0333967774552,0.0972365983128,0.099567857686
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.1069379960731,0.1120509087528,0.0697328633441,0.027276345073,0.0187664622791,0.0553719652521,0.0251078354858,0.0599061769599,0.0540410239653,0.1065170953194,0.1068103136379,0.1287039799635,0.0242348021327,0.0254136559195,0.0179948374689,0.0749499846454,0.1055223534467,0.0499160386333,0.1025814114757,0.0994611386601,0.0964440167766,0.0372755994757,0,0.0290648320544,0.0539390424418,0.1147200892815,0.1120143049067,0.0190465580574,0.0603025501253,0.1156460269558,0.1092991265717,0.0541768329683,0.1036129105989,0.1124786959122,0.0979903091885,0.0534806595254,0.117909044781,0.0202748667552,0.1167899194685,0.1173901021373
"2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences",0.0821359730613,0.0894215085911,0.0345618820998,0.0308091954585,0.0267754182792,0.0365731918714,0.0288226870305,0.0330240008816,0.0366822302104,0.0792797774418,0.0888263929532,0.1068669712513,0.0254172082359,0.0280131335506,0.0285191211464,0.0368272485219,0.0837378025584,0.0341031429786,0.0835195444458,0.0929805604237,0.0796307610016,0.0263953462032,0.0290648320544,0,0.0261247816176,0.087312106666,0.0919835790682,0.0241123563584,0.0452771772498,0.110080265317,0.0871320295447,0.038281953689,0.0861510151023,0.0927798553047,0.0763216258199,0.0441059844075,0.093293302785,0.0336226738166,0.0941409005607,0.0971690984493
"2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0803121115074,0.0843241705606,0.0244745376539,0.047719756139,0.0493332294446,0.0290970657196,0.0398957601752,0.026828015301,0.0306657661598,0.0726558733527,0.08200041815,0.1020825009178,0.039811654358,0.050381952736,0.0435552586733,0.026757701153,0.0778232787361,0.0278379811259,0.0764381891949,0.1129593767938,0.0758753796339,0.0346740018736,0.0539390424418,0.0261247816176,0,0.0820641922633,0.080921439349,0.0447217343566,0.0329691452387,0.121303120922,0.0818649764209,0.0345250056537,0.0841856775023,0.0861096664694,0.070304923673,0.0368119020415,0.0858028680816,0.0493730413701,0.0869326897473,0.0869997648372
"1642.MS00419",0.0281483544962,0.0236641763702,0.0879583525227,0.1045863790733,0.1044856267134,0.0884165040966,0.0899924725869,0.0889466557127,0.0857252718629,0.0237741544744,0.0310631070955,0.0255561959333,0.0969435065781,0.1028743382461,0.0988400349409,0.0951960440925,0.0237436754449,0.0848272565717,0.023865477173,0.1603949196768,0.0224457667478,0.0916585913983,0.1147200892815,0.087312106666,0.0820641922633,0,0.0262008754325,0.1105176185099,0.0857289350591,0.1752930423094,0.0251128078233,0.0927452353176,0.0245585196876,0.0242178568771,0.0223035589197,0.0848155973359,0.0191423425732,0.1125336216479,0.0199305492185,0.0246380770036
