"","1642.MS00457","1642.MS00517","1642.MS00402","1642.MS00353","1642.MS00450","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00384","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00423","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00628","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","1642.MS00526","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00466","1642.MS00434","1642.MS00639","1642.MS00331","1642.MS00362","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","1001.SKB9","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00502","1642.MS00339","1642.MS00579","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences"
"2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences",0.925,0.9306,0.9172,0.9472,0.9244,0.8728,0.8104,0.7984,0.7768,0.9252,0.8966,0.9186,0.9256,0.5474,0.9274,0.718,0.8538,0.9158,0.7114,0.757,0.9208,0.7922,0.7398,0.9446,0.9228,0,0.9282,0.9228,0.9266,0.9184,0.9216,0.8066,0.9546,0.949,0.7854,0.9444,0.9382,0.929,0.6598,0.6582
"1642.MS00466",0.5362,0.4688,0.5478,0.6354,0.5584,0.8954,0.954,0.95,0.9222,0.5518,0.9424,0.5496,0.5172,0.955,0.4564,0.9518,0.8918,0.552,0.9406,0.9012,0.5808,0.941,0.9298,0.598,0.5342,0.9282,0,0.5802,0.6044,0.5504,0.6224,0.9166,0.5462,0.9834,0.9318,0.4838,0.5774,0.5122,0.93,0.8492
"1642.MS00434",0.4846,0.5684,0.5028,0.629,0.475,0.8782,0.9518,0.9462,0.9184,0.556,0.938,0.5864,0.553,0.9534,0.5732,0.9484,0.8868,0.4876,0.9376,0.8976,0.5584,0.9404,0.9278,0.5736,0.525,0.9228,0.5802,0,0.5692,0.5848,0.5672,0.9042,0.6534,0.9874,0.927,0.5924,0.609,0.5894,0.9264,0.929
"1642.MS00639",0.5034,0.5044,0.5258,0.692,0.5446,0.8692,0.9476,0.948,0.9,0.5754,0.9352,0.59,0.6054,0.9574,0.5854,0.9522,0.8612,0.5428,0.936,0.8774,0.5054,0.9358,0.9302,0.7188,0.5088,0.9266,0.6044,0.5692,0,0.6804,0.585,0.8948,0.6818,0.9892,0.9256,0.6322,0.7214,0.587,0.9282,0.9286
"1642.MS00331",0.6048,0.5396,0.5842,0.5616,0.6124,0.8914,0.9494,0.9426,0.9236,0.629,0.9254,0.6142,0.4486,0.9442,0.51,0.9432,0.9036,0.5598,0.9334,0.9008,0.6536,0.9348,0.9154,0.5104,0.62,0.9184,0.5504,0.5848,0.6804,0,0.5744,0.913,0.5864,0.984,0.9214,0.5236,0.4654,0.6086,0.9092,0.8384
"1642.MS00362",0.5304,0.57,0.5268,0.5116,0.5772,0.8616,0.9414,0.944,0.9058,0.5968,0.9292,0.6114,0.5398,0.9484,0.588,0.9494,0.8576,0.5152,0.9308,0.876,0.5954,0.9328,0.926,0.6316,0.5874,0.9216,0.6224,0.5672,0.585,0.5744,0,0.8954,0.7016,0.9874,0.9178,0.645,0.625,0.6266,0.9152,0.8968
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8888,0.908,0.8862,0.9392,0.9,0.7246,0.8676,0.8416,0.719,0.9104,0.8928,0.903,0.9072,0.907,0.9104,0.8836,0.7126,0.8812,0.848,0.6842,0.8906,0.8442,0.879,0.9352,0.9052,0.8066,0.9166,0.9042,0.8948,0.913,0.8954,0,0.952,0.9664,0.8346,0.9304,0.9298,0.9118,0.8034,0.8442
"1642.MS00520",0.6446,0.5518,0.6612,0.6974,0.6476,0.9378,0.9702,0.9656,0.9528,0.6182,0.9602,0.6372,0.5526,0.9678,0.501,0.9664,0.9466,0.6524,0.9634,0.9466,0.6826,0.9608,0.9532,0.6184,0.6086,0.9546,0.5462,0.6534,0.6818,0.5864,0.7016,0.952,0,0.9916,0.9554,0.425,0.5364,0.5614,0.9524,0.8688
"1001.SKB9",0.987,0.9858,0.9866,0.9894,0.9876,0.9768,0.9636,0.9586,0.9734,0.9846,0.9774,0.9822,0.9844,0.93,0.9864,0.9362,0.976,0.9858,0.9688,0.9708,0.9852,0.9652,0.959,0.9878,0.9882,0.949,0.9834,0.9874,0.9892,0.984,0.9874,0.9664,0.9916,0,0.96,0.9912,0.9822,0.9876,0.933,0.967
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",0.9166,0.931,0.912,0.9448,0.9214,0.855,0.5288,0.6386,0.8348,0.9188,0.7808,0.9254,0.9242,0.721,0.9292,0.6428,0.869,0.91,0.596,0.8168,0.9232,0.483,0.6192,0.9456,0.9238,0.7854,0.9318,0.927,0.9256,0.9214,0.9178,0.8346,0.9554,0.96,0,0.9424,0.9362,0.929,0.7468,0.62
"1642.MS00502",0.5702,0.5026,0.5952,0.6542,0.582,0.912,0.963,0.9566,0.9366,0.5466,0.9518,0.5712,0.4966,0.9654,0.446,0.9646,0.9166,0.578,0.9552,0.9218,0.6132,0.9544,0.9454,0.5868,0.547,0.9444,0.4838,0.5924,0.6322,0.5236,0.645,0.9304,0.425,0.9912,0.9424,0,0.503,0.505,0.9398,0.86
"1642.MS00339",0.6426,0.5818,0.641,0.572,0.6388,0.9146,0.9502,0.9528,0.9384,0.6652,0.9458,0.6484,0.4672,0.9514,0.5366,0.9526,0.9176,0.6124,0.9434,0.9252,0.7092,0.9416,0.931,0.4956,0.6622,0.9382,0.5774,0.609,0.7214,0.4654,0.625,0.9298,0.5364,0.9822,0.9362,0.503,0,0.6414,0.9248,0.8524
"1642.MS00579",0.543,0.5372,0.5644,0.6678,0.5478,0.8918,0.9498,0.9474,0.9166,0.536,0.9394,0.555,0.5804,0.959,0.5384,0.9538,0.8918,0.5642,0.937,0.8978,0.5312,0.9388,0.934,0.6272,0.5158,0.929,0.5122,0.5894,0.587,0.6086,0.6266,0.9118,0.5614,0.9876,0.929,0.505,0.6414,0,0.9264,0.8774
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",0.9226,0.9316,0.9138,0.9436,0.9234,0.8716,0.742,0.7172,0.8114,0.923,0.8644,0.918,0.9182,0.6596,0.925,0.6588,0.8562,0.9146,0.7274,0.7748,0.9224,0.7184,0.6966,0.9398,0.9256,0.6598,0.93,0.9264,0.9282,0.9092,0.9152,0.8034,0.9524,0.933,0.7468,0.9398,0.9248,0.9264,0,0.686
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",0.9204,0.8416,0.9164,0.8746,0.9314,0.877,0.6438,0.7108,0.7884,0.9164,0.8176,0.9118,0.8428,0.6168,0.8466,0.609,0.8778,0.8974,0.5334,0.8026,0.9234,0.6192,0.6106,0.8702,0.9244,0.6582,0.8492,0.929,0.9286,0.8384,0.8968,0.8442,0.8688,0.967,0.62,0.86,0.8524,0.8774,0.686,0
