"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00621","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00627","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00370","1642.MS00484","1642.MS00596","1642.MS00530","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00628","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00612","1642.MS00435","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00527","1642.MS00611","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00502","1642.MS00338","1642.MS00440","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8948,0.8768,0.8836,0.8742,0.6856,0.54,0.698,0.8652,0.905,0.872,0.98,0.9342,0.8726,0.89,0.814,0.898,0.8706,0.8772,0.8652,0.8978,0.8826,0.8118,0.9174,0.8878,0.894,0,0.8642,0.8788,0.8824,0.9466,0.6754,0.916,0.8584,0.8956,0.813,0.9226,0.9414,0.8916,0.896,0.7024
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",0.6156,0.4034,0.5966,0.9268,0.845,0.8748,0.8264,0.9276,0.9386,0.3704,0.9866,0.9516,0.93,0.9312,0.8928,0.9358,0.9292,0.6148,0.927,0.938,0.9308,0.705,0.9484,0.933,0.4048,0.8642,0,0.595,0.7848,0.9576,0.8308,0.942,0.7664,0.9464,0.638,0.9478,0.953,0.9282,0.7274,0.8064
"2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences",0.7306,0.6072,0.5528,0.941,0.865,0.8594,0.8696,0.9454,0.9552,0.5902,0.9872,0.9672,0.9444,0.9502,0.9332,0.9508,0.9458,0.6416,0.942,0.9564,0.949,0.82,0.9604,0.9514,0.5854,0.8788,0.595,0,0.8534,0.9692,0.8918,0.96,0.832,0.9584,0.5674,0.9588,0.9646,0.9472,0.7822,0.9054
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.7476,0.7436,0.801,0.9148,0.8944,0.8952,0.8968,0.92,0.9246,0.783,0.9734,0.9444,0.9256,0.9198,0.7326,0.9234,0.9182,0.8602,0.924,0.9362,0.9216,0.9118,0.9454,0.9276,0.7956,0.8824,0.7848,0.8534,0,0.9514,0.8292,0.9302,0.4098,0.938,0.7848,0.9366,0.947,0.9148,0.8788,0.8992
"1642.MS00520",0.9612,0.9572,0.962,0.6702,0.9498,0.9472,0.9486,0.6798,0.6096,0.96,0.7156,0.6148,0.644,0.6114,0.9364,0.6396,0.6826,0.9632,0.7266,0.6422,0.6822,0.9546,0.5488,0.6716,0.9668,0.9466,0.9576,0.9692,0.9514,0,0.9382,0.538,0.9466,0.6454,0.9554,0.425,0.581,0.5826,0.9696,0.9586
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8758,0.8336,0.8628,0.8528,0.6728,0.6848,0.6344,0.8562,0.8888,0.8402,0.9734,0.9254,0.8746,0.876,0.7094,0.8804,0.8646,0.8638,0.86,0.8858,0.854,0.7972,0.9114,0.8698,0.8694,0.6754,0.8308,0.8918,0.8292,0.9382,0,0.8956,0.8142,0.8992,0.8306,0.914,0.9274,0.8684,0.8792,0.639
"1642.MS00522",0.9434,0.9366,0.9446,0.5594,0.9142,0.9176,0.9162,0.5764,0.5132,0.9428,0.8378,0.509,0.5766,0.5094,0.903,0.5696,0.6012,0.9476,0.6532,0.5696,0.5578,0.937,0.52,0.5966,0.9536,0.916,0.942,0.96,0.9302,0.538,0.8956,0,0.923,0.5978,0.9334,0.5096,0.637,0.4902,0.9532,0.929
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",0.7348,0.7076,0.7438,0.9042,0.8814,0.8808,0.8916,0.9064,0.9136,0.75,0.9732,0.9378,0.9148,0.9088,0.7336,0.9134,0.9094,0.848,0.9078,0.9312,0.9112,0.867,0.9398,0.9152,0.7756,0.8584,0.7664,0.832,0.4098,0.9466,0.8142,0.923,0,0.9308,0.748,0.9324,0.9434,0.9028,0.8364,0.8788
"1642.MS00551",0.9426,0.949,0.9494,0.5654,0.9124,0.9084,0.9196,0.5538,0.5794,0.9492,0.8774,0.6668,0.5296,0.5578,0.9014,0.6256,0.5398,0.9542,0.5468,0.553,0.6214,0.933,0.5806,0.558,0.964,0.8956,0.9464,0.9584,0.938,0.6454,0.8992,0.5978,0.9308,0,0.9402,0.596,0.7126,0.5736,0.9624,0.926
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",0.707,0.5924,0.5666,0.9142,0.841,0.826,0.8464,0.919,0.9292,0.6078,0.981,0.9486,0.9186,0.9248,0.8852,0.9274,0.9232,0.6782,0.9182,0.9356,0.9216,0.7854,0.944,0.921,0.6408,0.813,0.638,0.5674,0.7848,0.9554,0.8306,0.9334,0.748,0.9402,0,0.9424,0.951,0.9212,0.734,0.8584
"1642.MS00502",0.9482,0.9454,0.955,0.5852,0.9302,0.9272,0.9314,0.5988,0.5622,0.9516,0.7434,0.581,0.5942,0.563,0.9148,0.5966,0.6132,0.9584,0.6586,0.595,0.6202,0.9444,0.5136,0.618,0.9612,0.9226,0.9478,0.9588,0.9366,0.425,0.914,0.5096,0.9324,0.596,0.9424,0,0.5562,0.5304,0.9616,0.9412
"1642.MS00338",0.9538,0.9536,0.957,0.7384,0.9448,0.9424,0.9432,0.7446,0.6954,0.9538,0.7186,0.7222,0.7486,0.7078,0.9288,0.6444,0.7454,0.9544,0.764,0.7442,0.6788,0.9496,0.6396,0.747,0.9624,0.9414,0.953,0.9646,0.947,0.581,0.9274,0.637,0.9434,0.7126,0.951,0.5562,0,0.6218,0.9584,0.9544
"1642.MS00440",0.9212,0.9276,0.9336,0.516,0.8924,0.8962,0.8962,0.54,0.5156,0.9372,0.8656,0.5364,0.5548,0.497,0.8762,0.4972,0.5524,0.9334,0.5944,0.5556,0.496,0.9198,0.5608,0.5632,0.9426,0.8916,0.9282,0.9472,0.9148,0.5826,0.8684,0.4902,0.9028,0.5736,0.9212,0.5304,0.6218,0,0.9414,0.9126
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",0.6612,0.7368,0.7412,0.945,0.8142,0.8764,0.8086,0.9526,0.9606,0.7274,0.9782,0.9664,0.9544,0.9502,0.9158,0.951,0.951,0.559,0.9502,0.9628,0.9494,0.6154,0.9678,0.9576,0.7568,0.896,0.7274,0.7822,0.8788,0.9696,0.8792,0.9532,0.8364,0.9624,0.734,0.9616,0.9584,0.9414,0,0.9174
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9062,0.8174,0.874,0.898,0.6962,0.742,0.664,0.9002,0.9302,0.8266,0.9824,0.948,0.9116,0.9188,0.8138,0.9206,0.9044,0.888,0.8946,0.9222,0.9052,0.819,0.942,0.9138,0.867,0.7024,0.8064,0.9054,0.8992,0.9586,0.639,0.929,0.8788,0.926,0.8584,0.9412,0.9544,0.9126,0.9174,0
