"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00621","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00627","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00370","1642.MS00484","1642.MS00596","1642.MS00530","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00628","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00612","1642.MS00435","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00527","1642.MS00611","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00502","1642.MS00338","1642.MS00440","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",0.976,0.937,0.962,1,0.777,0.762,0.28,1,1,0.958,1,1,1,1,0.846,1,1,1,1,1,1,1,1,1,0.91,0.666,0.97,1,0.965,1,0,1,0.889,1,0.994,1,1,1,1,-0.236
"1642.MS00522",1,1,1,-0.273,1,1,1,0.02,-0.922,1,-0.766,-0.942,0.0169999999999999,-0.926,1,-0.327,0.469,1,0.986,-0.118,-0.343,1,-0.852,0.369,1,1,1,1,1,-0.872,1,0,1,0.188,1,-0.946,0.129,-0.981,1,1
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",-0.76,-0.724,-0.678,1,1,1,1,1,1,-0.433,1,1,1,1,-0.316,1,1,0.954,1,1,1,0.998,1,1,-0.509,0.998,-0.193,0.497,-1,1,0.889,1,0,1,-0.358,1,1,1,0.636,1
"1642.MS00551",1,1,1,-0.26,1,1,1,-0.416,-0.245,1,-0.222,0.938,-0.726,-0.503,1,0.497,-0.627,1,-0.548,-0.495,0.657,1,-0.185,-0.398,1,1,1,1,1,0.438,1,0.188,1,0,1,-0.094,0.972,-0.161,1,1
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",-0.826,-0.986,-1,1,0.994,0.984,1,1,1,-0.99,1,1,1,1,1,1,1,-0.734,1,1,1,0.673,1,1,-0.982,0.95,-0.956,-1,0.17,1,0.994,1,-0.358,1,0,1,1,1,-0.604,1
"1642.MS00502",1,1,1,-0.089,1,1,1,0.129,-0.577,1,-1,-0.362,0.0609999999999999,-0.561,1,-0.112,0.422,1,0.932,0.016,0.534,1,-0.952,0.432,1,1,1,1,1,-1,1,-0.946,1,-0.094,1,0,-0.888,-0.846,1,1
"1642.MS00338",1,1,1,1,1,1,1,1,0.862,1,-0.998,0.972,1,0.952,1,0.253,0.998,1,1,1,0.818,1,0.146,1,1,1,1,1,1,-0.738,1,0.129,1,0.972,1,-0.888,0,-0.096,1,1
"1642.MS00440",1,1,1,-0.761,1,1,1,-0.47,-0.889,1,-0.503,-0.745,-0.231,-0.943,1,-0.962,-0.219,1,0.5,-0.205,-0.898,1,-0.409,-0.096,1,1,1,1,1,-0.482,1,-0.981,1,-0.161,1,-0.846,-0.096,0,1,1
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",-0.956,-0.652,-0.67,1,0.59,0.998,0.471,1,1,-0.693,1,1,1,1,1,1,1,-0.998,1,1,1,-0.995,1,1,-0.662,1,-0.673,-0.354,0.956,1,1,1,0.636,1,-0.604,1,1,1,0,1
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",0.998,0.815,0.976,1,0.723,0.953,0.165,1,1,0.894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.886,0.683,0.765,1,1,1,-0.236,1,1,1,1,1,1,1,1,0
