"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00379","1642.MS00452","1642.MS00541","1642.MS00478","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00482","1642.MS00638","1642.MS00581","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00577","1642.MS00582","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00558","1642.MS00433","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00503","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00555","1642.MS00345","1642.MS00447","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00581",0.9364,0.9138,0.6716,0.921,0.8966,0.9346,0.6324,0.5714,0.5246,0.5214,0.915,0.9572,0.7886,0.9422,0.948,0.9226,0.931,0.5174,0.541,0.5518,0,0.9244,0.787,0.5056,0.4768,0.9348,0.9556,0.5772,0.597,0.9726,0.923,0.534,0.897,0.568,0.9222,0.5382,0.6058,0.7918,0.5774,0.9068
"2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences",0.6298,0.8646,0.9522,0.8638,0.75,0.3996,0.9184,0.9032,0.8978,0.9204,0.8786,0.7384,0.9534,0.7336,0.8116,0.814,0.7566,0.9166,0.9352,0.914,0.9244,0,0.957,0.9152,0.9272,0.7394,0.881,0.9164,0.9042,0.7742,0.7256,0.9292,0.7512,0.9264,0.8208,0.8946,0.9114,0.9414,0.9364,0.842
"1642.MS00366",0.9644,0.9548,0.8476,0.9602,0.949,0.9628,0.6566,0.7696,0.7648,0.7378,0.9566,0.9772,0.6892,0.9678,0.9704,0.9602,0.9636,0.762,0.7614,0.7536,0.787,0.957,0,0.6704,0.7894,0.9694,0.9688,0.7264,0.7812,0.9836,0.96,0.6092,0.9484,0.6078,0.9604,0.7956,0.7932,0.57,0.731,0.955
"1642.MS00577",0.9334,0.9116,0.7066,0.9212,0.8894,0.9218,0.6396,0.5522,0.5262,0.5256,0.9188,0.9586,0.7802,0.9424,0.955,0.9226,0.934,0.5246,0.5846,0.5162,0.5056,0.9152,0.6704,0,0.5352,0.9332,0.9618,0.5084,0.6096,0.97,0.919,0.4564,0.8912,0.489,0.9262,0.54,0.6028,0.684,0.597,0.9102
"1642.MS00582",0.9408,0.9114,0.6754,0.9126,0.8976,0.9366,0.602,0.5494,0.5434,0.5454,0.904,0.9644,0.7896,0.9482,0.9578,0.919,0.936,0.52,0.5568,0.5524,0.4768,0.9272,0.7894,0.5352,0,0.9378,0.9546,0.5384,0.5446,0.974,0.9172,0.5642,0.8914,0.5452,0.9214,0.532,0.574,0.804,0.5474,0.9002
"2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences",0.6688,0.8278,0.9576,0.8166,0.8752,0.7306,0.933,0.9268,0.9278,0.9366,0.8182,0.5968,0.9644,0.5464,0.6792,0.8068,0.6424,0.9338,0.9426,0.9292,0.9348,0.7394,0.9694,0.9332,0.9378,0,0.6912,0.9282,0.9248,0.7016,0.5522,0.9442,0.87,0.939,0.6318,0.9204,0.9294,0.9572,0.9486,0.8034
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",0.7738,0.8914,0.9698,0.8634,0.9384,0.8822,0.9528,0.9568,0.9536,0.952,0.8056,0.7362,0.9758,0.6464,0.702,0.8874,0.7528,0.9516,0.9608,0.9596,0.9556,0.881,0.9688,0.9618,0.9546,0.6912,0,0.9562,0.9566,0.8382,0.7354,0.9578,0.939,0.959,0.5324,0.9588,0.9602,0.9684,0.964,0.8468
"1642.MS00558",0.9384,0.9042,0.7044,0.907,0.8824,0.9264,0.6124,0.585,0.5656,0.5526,0.9048,0.9524,0.7828,0.9422,0.9528,0.907,0.928,0.5556,0.6022,0.5336,0.5772,0.9164,0.7264,0.5084,0.5384,0.9282,0.9562,0,0.577,0.9688,0.8992,0.549,0.8802,0.4932,0.9198,0.5614,0.6162,0.727,0.583,0.8982
"1642.MS00433",0.9298,0.8802,0.6958,0.8802,0.8624,0.9208,0.5378,0.5374,0.6168,0.6182,0.8828,0.951,0.7562,0.938,0.9446,0.89,0.9206,0.6314,0.5974,0.5696,0.597,0.9042,0.7812,0.6096,0.5446,0.9248,0.9566,0.577,0,0.9718,0.8982,0.6086,0.8494,0.5474,0.9168,0.5116,0.5976,0.7834,0.5636,0.8736
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",0.636,0.9502,0.9826,0.9442,0.9482,0.6986,0.9756,0.9696,0.9678,0.9708,0.9338,0.5992,0.9864,0.7294,0.7308,0.8906,0.7498,0.9706,0.9792,0.968,0.9726,0.7742,0.9836,0.97,0.974,0.7016,0.8382,0.9688,0.9718,0,0.7108,0.9736,0.9452,0.9742,0.8306,0.9638,0.9752,0.9766,0.977,0.9392
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",0.7004,0.7714,0.9448,0.7252,0.831,0.7066,0.9066,0.9094,0.914,0.9196,0.7756,0.628,0.9516,0.658,0.715,0.7778,0.548,0.9196,0.9268,0.9084,0.923,0.7256,0.96,0.919,0.9172,0.5522,0.7354,0.8992,0.8982,0.7108,0,0.9238,0.847,0.914,0.664,0.9038,0.916,0.9486,0.9298,0.734
"1642.MS00503",0.9428,0.9148,0.7212,0.9162,0.8966,0.9346,0.6388,0.5784,0.5536,0.5436,0.9166,0.96,0.7904,0.9472,0.9548,0.9224,0.939,0.553,0.5464,0.5632,0.534,0.9292,0.6092,0.4564,0.5642,0.9442,0.9578,0.549,0.6086,0.9736,0.9238,0,0.8972,0.4574,0.931,0.5694,0.6244,0.69,0.604,0.907
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8918,0.7602,0.9254,0.7702,0.5494,0.8096,0.8816,0.8588,0.88,0.903,0.7732,0.9178,0.9418,0.8862,0.9262,0.6984,0.8762,0.8988,0.9178,0.87,0.897,0.7512,0.9484,0.8912,0.8914,0.87,0.939,0.8802,0.8494,0.9452,0.847,0.8972,0,0.8938,0.8586,0.8522,0.874,0.9248,0.9084,0.7384
"1642.MS00438",0.9424,0.9124,0.711,0.9238,0.9028,0.9372,0.538,0.5668,0.5866,0.555,0.9176,0.9618,0.7498,0.9482,0.9546,0.9188,0.9354,0.5862,0.559,0.5584,0.568,0.9264,0.6078,0.489,0.5452,0.939,0.959,0.4932,0.5474,0.9742,0.914,0.4574,0.8938,0,0.931,0.5874,0.625,0.6628,0.5286,0.9074
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",0.7738,0.8196,0.9458,0.8002,0.862,0.8266,0.9198,0.9164,0.9196,0.9256,0.738,0.7144,0.9534,0.5634,0.724,0.78,0.6862,0.922,0.9344,0.9196,0.9222,0.8208,0.9604,0.9262,0.9214,0.6318,0.5324,0.9198,0.9168,0.8306,0.664,0.931,0.8586,0.931,0,0.917,0.9254,0.9464,0.9384,0.766
"1642.MS00630",0.9194,0.889,0.681,0.894,0.8542,0.9102,0.6168,0.511,0.5336,0.5678,0.8958,0.9494,0.7886,0.93,0.9442,0.9002,0.9202,0.5348,0.6022,0.4994,0.5382,0.8946,0.7956,0.54,0.532,0.9204,0.9588,0.5614,0.5116,0.9638,0.9038,0.5694,0.8522,0.5874,0.917,0,0.5496,0.7784,0.6006,0.8782
"1642.MS00555",0.9344,0.9066,0.728,0.9094,0.8792,0.9262,0.6806,0.579,0.612,0.6218,0.9218,0.9608,0.8184,0.9374,0.9584,0.9134,0.9316,0.6232,0.625,0.5588,0.6058,0.9114,0.7932,0.6028,0.574,0.9294,0.9602,0.6162,0.5976,0.9752,0.916,0.6244,0.874,0.625,0.9254,0.5496,0,0.7936,0.6372,0.8944
"1642.MS00345",0.9538,0.9334,0.8248,0.9438,0.9272,0.9498,0.6846,0.7412,0.7616,0.7514,0.9426,0.973,0.678,0.956,0.9622,0.9474,0.9416,0.7676,0.7996,0.7312,0.7918,0.9414,0.57,0.684,0.804,0.9572,0.9684,0.727,0.7834,0.9766,0.9486,0.69,0.9248,0.6628,0.9464,0.7784,0.7936,0,0.7606,0.9348
"1642.MS00447",0.9528,0.933,0.7092,0.9382,0.915,0.9454,0.5318,0.5634,0.605,0.5656,0.9318,0.9648,0.7324,0.9588,0.959,0.9296,0.9492,0.5888,0.5358,0.5958,0.5774,0.9364,0.731,0.597,0.5474,0.9486,0.964,0.583,0.5636,0.977,0.9298,0.604,0.9084,0.5286,0.9384,0.6006,0.6372,0.7606,0,0.9302
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8708,0.632,0.9348,0.5376,0.7412,0.8682,0.8982,0.8824,0.9038,0.9168,0.5706,0.8826,0.9518,0.8464,0.883,0.6448,0.7614,0.906,0.9248,0.8932,0.9068,0.842,0.955,0.9102,0.9002,0.8034,0.8468,0.8982,0.8736,0.9392,0.734,0.907,0.7384,0.9074,0.766,0.8782,0.8944,0.9348,0.9302,0
