"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00489","1642.MS00622","1642.MS00389","1642.MS00569","1642.MS00403","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00594","1642.MS00459","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00566","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00526","1642.MS00467","1642.MS00527","1642.MS00465","1642.MS00611","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00558","1642.MS00614","1642.MS00332","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00448","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00636","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00500","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00347","1642.MS00398","1642.MS00447","1642.MS00507","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00614",1,0.157,-0.973,0.924,-0.803,0.13,1,0.592,-0.611,1,1,1,1,1,1,0.897,-0.523,0.865,0.271,0.996,-0.998,1,1,0.996,-0.229,0,1,1,0.63,1,-0.834,1,0.402,0.116,1,1,1,0.473,0.985,1
"1642.MS00332",1,1,1,-0.984,1,0.966,1,1,1,1,1,1,1,0.799,1,1,1,0.93,0.602,0.994,1,1,1,0.996,0.858,1,0,1,0.785,1,1,1,-0.84,-0.158,1,-0.714,-1,0.729,-0.223,1
"2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences",0.758,1,1,1,1,1,0.945,1,1,-1,0.971,-0.928,-0.734,1,-0.325,1,1,1,1,1,1,0.998,0.988,1,1,1,1,0,1,-0.888,1,-0.916,1,1,0.996,1,1,1,1,-0.972
"1642.MS00448",1,-0.65,0.437,0.285,0.0649999999999999,-0.266,1,0.998,-0.636,1,1,1,1,0.835,1,-0.394,-0.295,0.182,0.204,0.74,0.666,1,1,0.571,-0.152,0.63,0.785,1,0,1,-0.125,1,-0.692,-0.093,1,0.998,0.926,-0.96,0.532,1
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",-0.677,1,1,1,1,1,1,1,1,-0.953,-0.33,-0.83,-0.293,1,0.03,1,1,1,1,1,1,1,1,1,1,1,1,-0.888,1,0,1,-0.879,1,1,1,1,1,1,1,-0.308
"1642.MS00636",1,-0.404,-0.952,0.823,-0.939,-0.471,1,0.117,-0.994,1,1,1,1,0.49,1,-0.551,-0.753,-0.144,0.235,0.432,-0.956,1,1,0.362,-0.238,-0.834,1,1,-0.125,1,0,1,0.17,-0.462,1,1,1,0.322,0.718,1
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",-0.082,1,1,1,1,1,1,1,1,-1,0.922,-1,-0.984,1,-0.98,1,1,1,1,1,1,1,0.988,1,1,1,1,-0.916,1,-0.879,1,0,1,1,0.998,1,1,1,1,-0.936
"1642.MS00438",1,-0.388,0.401,-1,-0.413,-0.272,1,0.998,-0.03,1,1,1,1,-0.475,1,0.263,-0.4,-0.566,-0.972,0.048,0.436,1,1,0.134,-0.948,0.402,-0.84,1,-0.692,1,0.17,1,0,-1,1,0.794,-0.751,-0.666,-0.98,1
"1642.MS00500",1,-0.633,-0.443,-0.99,-0.785,-0.283,1,0.936,-0.601,1,1,1,1,-0.856,1,-0.493,-0.636,-0.963,-0.971,-0.653,-0.183,1,1,-0.553,-0.986,0.116,-0.158,1,-0.093,1,-0.462,1,-1,0,1,0.978,-0.262,0.0860000000000001,-0.988,1
"2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-0.566,1,1,1,1,1,0.994,1,0.996,1,1,1,1,1,1,-0.866,-1,1,1,1,1,0.996,1,1,1,0.998,1,1,0,1,1,1,1,0.986
"1642.MS00347",1,1,1,0.442,1,0.747,1,1,0.996,1,1,1,1,0.998,1,1,1,0.976,0.988,0.994,1,1,1,1,0.998,1,-0.714,1,0.998,1,1,1,0.794,0.978,1,0,0.355,0.988,0.996,1
"1642.MS00398",1,0.95,1,-0.944,1,0.99,1,1,1,1,1,1,1,0.085,1,0.996,1,0.682,-0.207,0.786,1,1,1,0.861,0.853,1,-1,1,0.926,1,1,1,-0.751,-0.262,1,0.355,0,0.565,-0.555,1
"1642.MS00447",1,-0.426,0.616,0.0740000000000001,-0.021,0.1,1,0.996,-0.034,1,1,1,1,0.646,1,0.442,-0.537,0.368,-0.227,0.936,0.626,1,1,0.648,0.37,0.473,0.729,1,-0.96,1,0.322,1,-0.666,0.0860000000000001,1,0.988,0.565,0,0.497,1
"1642.MS00507",1,-0.153,0.924,-0.966,0.225,0.948,1,0.994,0.855,1,1,1,1,-1,1,-0.34,0.138,-0.841,-0.627,-0.332,0.918,1,1,-0.316,-0.611,0.985,-0.223,1,0.532,1,0.718,1,-0.98,-0.988,1,0.996,-0.555,0.497,0,1
"2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences",0.79,1,1,1,1,1,0.581,1,1,-0.916,0.984,-1,-0.833,1,-0.996,1,1,1,1,1,1,0.989,0.98,1,1,1,1,-0.972,1,-0.308,1,-0.936,1,1,0.986,1,1,1,1,0
