"","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00453","1642.MS00385","1642.MS00548","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00409","1642.MS00530","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00527","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00611","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00508","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00589","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00504","1642.MS00417","1642.MS00555","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00508",0.9724,0.9398,0.9604,0.9452,0.6562,0.6518,0.5062,0.9292,0.9686,0.6474,0.4472,0.609,0.9586,0.9536,0.7128,0.9406,0.949,0.9536,0.9756,0.563,0.9498,0.6744,0.9722,0.631,0.956,0.9672,0.9296,0.9724,0,0.9544,0.9416,0.9808,0.9634,0.6418,0.9726,0.4254,0.6292,0.6862,0.928,0.9306
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",0.6622,0.8368,0.6426,0.8294,0.929,0.9238,0.937,0.8564,0.7172,0.9248,0.9312,0.9248,0.676,0.6792,0.9322,0.8344,0.6434,0.6728,0.7168,0.9472,0.85,0.9254,0.685,0.9244,0.4036,0.7234,0.8368,0.804,0.9544,0,0.6138,0.7566,0.568,0.9372,0.7106,0.9376,0.92,0.924,0.8794,0.8596
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",0.5762,0.7748,0.5502,0.7338,0.9012,0.8948,0.9242,0.8432,0.6592,0.8994,0.9154,0.9062,0.567,0.548,0.9274,0.766,0.7176,0.702,0.6816,0.9286,0.7954,0.9098,0.6846,0.9072,0.6016,0.6354,0.7284,0.8856,0.9416,0.6138,0,0.7086,0.6336,0.9314,0.7316,0.9274,0.904,0.916,0.868,0.8642
"2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences",0.4986,0.9248,0.5978,0.9164,0.9656,0.964,0.9696,0.9402,0.4378,0.9636,0.9734,0.9674,0.5476,0.624,0.9736,0.9132,0.7978,0.8472,0.4524,0.9766,0.9166,0.9696,0.5438,0.9674,0.6442,0.4582,0.9196,0.8968,0.9808,0.7566,0.7086,0,0.5448,0.976,0.7966,0.9684,0.9694,0.971,0.9494,0.9398
"2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences",0.5242,0.866,0.563,0.871,0.9486,0.9424,0.9552,0.8982,0.511,0.9432,0.9508,0.9412,0.5532,0.6248,0.9536,0.8648,0.6758,0.7744,0.5102,0.962,0.8844,0.9456,0.5888,0.9458,0.441,0.559,0.8612,0.8766,0.9634,0.568,0.6336,0.5448,0,0.9516,0.736,0.9508,0.9434,0.9486,0.9072,0.905
"1642.MS00589",0.965,0.9328,0.9476,0.9364,0.6142,0.678,0.5548,0.9274,0.958,0.5968,0.6426,0.5818,0.9528,0.9438,0.7314,0.9328,0.9394,0.9392,0.968,0.6242,0.941,0.6048,0.962,0.6526,0.9426,0.9618,0.9282,0.966,0.6418,0.9372,0.9314,0.976,0.9516,0,0.9576,0.6578,0.6248,0.6408,0.9274,0.93
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",0.7772,0.8908,0.6624,0.8908,0.9528,0.9436,0.9606,0.9158,0.806,0.9544,0.9566,0.9502,0.7484,0.6986,0.951,0.8714,0.826,0.6154,0.8224,0.9678,0.831,0.9576,0.7092,0.9486,0.7274,0.7822,0.8792,0.6932,0.9726,0.7106,0.7316,0.7966,0.736,0.9576,0,0.9544,0.952,0.9542,0.9274,0.919
"1642.MS00504",0.9568,0.9222,0.9492,0.93,0.66,0.6156,0.5278,0.9058,0.9554,0.6452,0.4744,0.6346,0.9494,0.935,0.7168,0.9192,0.9314,0.9404,0.9638,0.5688,0.9238,0.6818,0.957,0.6054,0.9452,0.9532,0.9092,0.9472,0.4254,0.9376,0.9274,0.9684,0.9508,0.6578,0.9544,0,0.6098,0.6984,0.9112,0.9092
"1642.MS00417",0.9544,0.8864,0.9376,0.8948,0.4982,0.4712,0.5346,0.8554,0.951,0.5066,0.5086,0.502,0.9346,0.9186,0.6108,0.8886,0.9136,0.9194,0.9586,0.5364,0.9022,0.5278,0.9566,0.5308,0.9298,0.9466,0.8754,0.9502,0.6292,0.92,0.904,0.9694,0.9434,0.6248,0.952,0.6098,0,0.5632,0.8692,0.8604
"1642.MS00555",0.9664,0.8978,0.9418,0.9086,0.5704,0.651,0.6,0.8672,0.9584,0.5364,0.6414,0.5768,0.937,0.9316,0.7276,0.8994,0.9204,0.9306,0.9676,0.6196,0.9352,0.5602,0.9606,0.6014,0.9412,0.9574,0.8914,0.9514,0.6862,0.924,0.916,0.971,0.9486,0.6408,0.9542,0.6984,0.5632,0,0.8802,0.8682
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9338,0.7714,0.903,0.8196,0.8736,0.8636,0.9032,0.7326,0.9186,0.8766,0.891,0.8784,0.9044,0.8962,0.9062,0.7912,0.8194,0.886,0.9346,0.9158,0.8546,0.8776,0.9246,0.8696,0.8836,0.9266,0.7682,0.9214,0.928,0.8794,0.868,0.9494,0.9072,0.9274,0.9274,0.9112,0.8692,0.8802,0,0.7516
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",0.929,0.7284,0.8994,0.7588,0.873,0.8638,0.9024,0.3612,0.9202,0.8682,0.8966,0.8832,0.893,0.8752,0.9168,0.7308,0.8756,0.8724,0.9376,0.9196,0.8226,0.8712,0.9214,0.8646,0.8798,0.9238,0.724,0.9232,0.9306,0.8596,0.8642,0.9398,0.905,0.93,0.919,0.9092,0.8604,0.8682,0.7516,0
