"","1642.MS00545","1642.MS00405","1642.MS00609","1642.MS00599","1642.MS00568","1642.MS00538","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00473","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","1642.MS00380","1642.MS00364","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00490","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00586","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00522","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00463","1642.MS00468","1642.MS00338","1642.MS00550","1642.MS00503","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00500","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00504","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00506"
"1642.MS00463",-0.603,-0.317,-0.075,0.978,-0.677,-0.911,1,-0.374,1,1,1,1,0.994,1,-0.297,1,1,1,-0.618,1,0.737,-0.15,1,1,-0.371,1,0,-0.715,0.92,-0.624,-0.73,1,-0.617,1,1,-0.149,1,-0.665,1,-0.271
"1642.MS00468",-0.958,-0.518,-0.263,0.711,-0.925,-0.568,1,-0.576,1,1,1,0.998,0.996,1,-0.632,1,1,1,-1,1,0.237,0.19,1,1,-0.692,1,-0.715,0,0.544,-0.571,-0.785,1,-0.978,1,1,-0.524,1,-0.41,1,-0.787
"1642.MS00338",0.428,0.753,1,1,0.464,0.98,1,0.979,1,1,0.756,-0.093,0.42,1,0.993,1,1,1,0.598,1,-0.98,1,1,1,0.306,1,0.92,0.544,0,0.992,-0.635,1,-0.239,1,1,-0.981,1,-0.454,1,-0.333
"1642.MS00550",-0.641,-0.216,-0.246,0.899,-0.871,-0.719,1,-0.327,1,1,1,1,1,1,-0.837,1,1,1,-0.687,1,0.952,-0.869,1,1,-0.402,1,-0.624,-0.571,0.992,0,-0.509,1,-0.739,1,1,0.0649999999999999,1,-0.146,1,0.002
"1642.MS00503",-0.97,-0.188,-0.183,0.944,-0.974,-0.755,1,-0.23,1,1,1,0.994,1,1,-0.631,1,1,1,-0.918,1,-0.844,-0.355,1,1,-0.803,1,-0.73,-0.785,-0.635,-0.509,0,1,-0.986,1,1,-0.994,1,-0.998,1,-0.99
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,-0.874,1,-1,-1,1,1,1,-1,1,1,0.994,0.996,1,-0.914,1,1,-1,-0.948,1,-1,1,1,1,1,1,0,1,1,-0.774,1,0.996,1,-0.998,1
"1642.MS00500",-1,-0.716,-0.271,0.813,-0.958,-0.806,1,-0.729,1,1,1,0.996,1,1,-0.776,1,1,1,-0.952,1,-0.518,0.184,1,1,-0.861,1,-0.617,-0.978,-0.239,-0.739,-0.986,1,0,1,1,-0.966,1,-0.806,1,-1
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,1,0.996,1,1,1,0.996,1,-0.046,-0.764,0.174,1,1,1,1,0.918,1,1,0.994,1,1,1,1,1,1,1,0,1,1,-0.378,1,0.994,1
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-0.957,1,-0.918,-0.792,1,1,1,-0.81,1,0.98,0.976,0.787,1,-0.95,1,1,-0.916,-0.966,1,-0.18,1,1,1,1,1,-0.774,1,1,0,1,0.998,1,-0.709,1
"1642.MS00399",-0.668,-0.19,0.762,0.986,-0.541,0.079,1,0.629,1,1,0.984,0.628,0.955,1,0.095,1,1,1,-0.723,1,-0.835,0.469,1,1,-0.812,1,-0.149,-0.524,-0.981,0.0649999999999999,-0.994,1,-0.966,1,1,0,1,-0.929,1,-0.708
"2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0.989,0.931,1,1,1,0.951,1,-0.924,-0.626,0.345,1,1,1,1,0.507,1,1,0.813,1,1,1,1,1,0.996,1,-0.378,0.998,1,0,1,0.998,1
"1642.MS00504",-0.722,0.367,0.601,0.998,-0.817,-0.315,1,0.268,1,1,1,1,1,1,0.0760000000000001,1,1,1,-0.416,1,-0.839,0.167,1,1,-0.348,1,-0.665,-0.41,-0.454,-0.146,-0.998,1,-0.806,1,1,-0.929,1,0,1,-0.842
"2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,-0.828,1,-0.998,-0.998,1,1,1,-1,1,1,0.984,0.966,1,-0.97,1,1,-0.946,-0.97,1,-0.954,1,1,1,1,1,-0.998,1,0.994,-0.709,1,0.998,1,0,1
"1642.MS00506",-0.964,-0.365,-0.3,0.922,-0.856,-0.756,1,-0.895,1,1,1,1,0.998,1,-0.605,1,1,1,-0.637,1,-0.53,0.474,1,1,-0.585,1,-0.271,-0.787,-0.333,0.002,-0.99,1,-1,1,1,-0.708,1,-0.842,1,0
