"","1642.MS00545","1642.MS00405","1642.MS00609","1642.MS00599","1642.MS00568","1642.MS00538","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00473","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","1642.MS00380","1642.MS00364","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00490","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00586","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00522","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00463","1642.MS00468","1642.MS00338","1642.MS00550","1642.MS00503","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00500","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00504","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00506"
"1642.MS00574",0.486,0.466,0.4466,0.6596,0.4852,0.469,0.953,0.4414,0.9518,0.942,0.773,0.8824,0.8042,0.935,0,0.8914,0.9058,0.8988,0.547,0.9554,0.658,0.5318,0.9162,0.9414,0.5278,0.95,0.5272,0.5134,0.7096,0.4886,0.5216,0.9554,0.5012,0.8902,0.923,0.5764,0.9066,0.6088,0.9228,0.5154
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9014,0.8906,0.8802,0.9398,0.9052,0.8976,0.9046,0.8854,0.8734,0.856,0.9546,0.9864,0.948,0.824,0.8914,0,0.583,0.6244,0.9188,0.9046,0.9198,0.9188,0.7186,0.8644,0.9186,0.865,0.9098,0.9124,0.9462,0.91,0.9102,0.888,0.894,0.6196,0.7826,0.9274,0.5414,0.9226,0.8194,0.8954
"2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9144,0.9004,0.8932,0.9422,0.9204,0.9092,0.8992,0.8982,0.8594,0.8468,0.9544,0.9862,0.9556,0.8048,0.9058,0.583,0,0.5372,0.9298,0.9002,0.929,0.928,0.6834,0.8536,0.9248,0.85,0.9182,0.924,0.9492,0.9188,0.9222,0.8816,0.9126,0.5612,0.783,0.932,0.5982,0.9306,0.7942,0.9072
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9206,0.8966,0.8878,0.9488,0.915,0.9052,0.8904,0.9004,0.849,0.869,0.9588,0.987,0.9486,0.814,0.8988,0.6244,0.5372,0,0.9312,0.8846,0.9256,0.9252,0.6854,0.8314,0.9224,0.875,0.9132,0.9206,0.9494,0.9148,0.9206,0.881,0.9102,0.6404,0.7408,0.9306,0.677,0.9206,0.7802,0.9026
"1642.MS00490",0.4846,0.5658,0.5874,0.732,0.5106,0.5402,0.9632,0.5678,0.964,0.9536,0.7862,0.8504,0.8156,0.95,0.547,0.9188,0.9298,0.9312,0,0.9624,0.6302,0.5746,0.9376,0.954,0.5114,0.962,0.5252,0.4336,0.6614,0.5232,0.5016,0.965,0.4834,0.9246,0.939,0.523,0.9318,0.5768,0.942,0.5322
"2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences",0.9554,0.9476,0.9518,0.9792,0.9446,0.9556,0.6012,0.9546,0.5504,0.6242,0.9708,0.9908,0.9616,0.5964,0.9554,0.9046,0.9002,0.8846,0.9624,0,0.9508,0.9554,0.6334,0.5948,0.9574,0.7436,0.9488,0.9574,0.9576,0.9476,0.961,0.6522,0.9576,0.9286,0.6478,0.9552,0.9062,0.958,0.6288,0.9564
"1642.MS00367",0.588,0.6166,0.6848,0.7754,0.6274,0.65,0.953,0.6414,0.958,0.954,0.6772,0.7306,0.6566,0.9508,0.658,0.9198,0.929,0.9256,0.6302,0.9508,0,0.7254,0.936,0.951,0.64,0.9634,0.6488,0.6232,0.503,0.6788,0.5248,0.964,0.5578,0.9216,0.9308,0.5248,0.933,0.5364,0.9336,0.5562
"1642.MS00586",0.5628,0.5916,0.5502,0.721,0.5244,0.5374,0.958,0.584,0.9586,0.952,0.8014,0.894,0.8486,0.9528,0.5318,0.9188,0.928,0.9252,0.5746,0.9554,0.7254,0,0.9308,0.9538,0.56,0.9594,0.5478,0.587,0.7434,0.4944,0.5466,0.9634,0.5828,0.9224,0.9324,0.6078,0.9322,0.6162,0.9396,0.602
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",0.9228,0.9112,0.9056,0.9516,0.9158,0.9164,0.644,0.9148,0.5604,0.5362,0.96,0.9862,0.9582,0.4862,0.9162,0.7186,0.6834,0.6854,0.9376,0.6334,0.936,0.9308,0,0.5778,0.9296,0.6484,0.9224,0.9342,0.9462,0.9182,0.931,0.5536,0.9194,0.7426,0.5754,0.9328,0.7144,0.9314,0.5692,0.9216
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.9488,0.937,0.9396,0.9692,0.9408,0.945,0.577,0.9448,0.5582,0.5936,0.969,0.9884,0.9618,0.5926,0.9414,0.8644,0.8536,0.8314,0.954,0.5948,0.951,0.9538,0.5778,0,0.954,0.7648,0.9438,0.9514,0.958,0.935,0.9532,0.6224,0.9486,0.8988,0.6016,0.9472,0.8786,0.953,0.6016,0.9516
"1642.MS00522",0.5186,0.5256,0.569,0.6982,0.4918,0.5258,0.9606,0.5572,0.9554,0.9482,0.7594,0.8186,0.8026,0.9442,0.5278,0.9186,0.9248,0.9224,0.5114,0.9574,0.64,0.56,0.9296,0.954,0,0.9574,0.529,0.5172,0.637,0.5318,0.506,0.962,0.4934,0.9202,0.9336,0.5054,0.9276,0.5782,0.9356,0.5206
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",0.9554,0.9456,0.9464,0.9742,0.9488,0.951,0.8182,0.9496,0.631,0.5068,0.977,0.9906,0.9768,0.5256,0.95,0.865,0.85,0.875,0.962,0.7436,0.9634,0.9594,0.6484,0.7648,0.9574,0,0.9496,0.9598,0.9698,0.951,0.9576,0.459,0.9486,0.8824,0.7836,0.9582,0.8476,0.9566,0.6276,0.9546
"1642.MS00463",0.514,0.5254,0.5486,0.722,0.5084,0.479,0.9532,0.5202,0.9502,0.9428,0.7634,0.865,0.8044,0.9426,0.5272,0.9098,0.9182,0.9132,0.5252,0.9488,0.6488,0.5478,0.9224,0.9438,0.529,0.9496,0,0.5072,0.6878,0.5064,0.5146,0.9574,0.5142,0.9118,0.9214,0.5582,0.9206,0.5524,0.9238,0.5388
"1642.MS00468",0.4742,0.5236,0.5464,0.688,0.4886,0.5206,0.9596,0.5202,0.9612,0.954,0.7796,0.8376,0.8058,0.948,0.5134,0.9124,0.924,0.9206,0.4336,0.9574,0.6232,0.587,0.9342,0.9514,0.5172,0.9598,0.5072,0,0.6514,0.5248,0.5156,0.9636,0.468,0.9108,0.9302,0.5358,0.924,0.5748,0.9376,0.506
"1642.MS00338",0.6428,0.6634,0.7466,0.8086,0.6472,0.6984,0.9592,0.707,0.9626,0.962,0.7134,0.749,0.7258,0.959,0.7096,0.9462,0.9492,0.9494,0.6614,0.9576,0.503,0.7434,0.9462,0.958,0.637,0.9698,0.6878,0.6514,0,0.7164,0.5622,0.97,0.599,0.9488,0.9404,0.5016,0.9508,0.5936,0.9518,0.5854
"1642.MS00550",0.5132,0.5344,0.5362,0.7068,0.493,0.5,0.9462,0.5276,0.947,0.94,0.7896,0.8918,0.8098,0.9352,0.4886,0.91,0.9188,0.9148,0.5232,0.9476,0.6788,0.4944,0.9182,0.935,0.5318,0.951,0.5064,0.5248,0.7164,0,0.5336,0.9534,0.5044,0.9122,0.9198,0.577,0.9218,0.5952,0.9234,0.566
"1642.MS00503",0.4706,0.557,0.556,0.7212,0.473,0.5104,0.9606,0.5532,0.9584,0.951,0.7904,0.8458,0.8148,0.9504,0.5216,0.9102,0.9222,0.9206,0.5016,0.961,0.5248,0.5466,0.931,0.9532,0.506,0.9576,0.5146,0.5156,0.5622,0.5336,0,0.964,0.4582,0.91,0.9298,0.4634,0.9228,0.4288,0.9358,0.456
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",0.9594,0.9548,0.9532,0.9756,0.9516,0.9564,0.6844,0.9594,0.523,0.448,0.9776,0.992,0.9766,0.4456,0.9554,0.888,0.8816,0.881,0.965,0.6522,0.964,0.9634,0.5536,0.6224,0.962,0.459,0.9574,0.9636,0.97,0.9534,0.964,0,0.9564,0.9084,0.7142,0.9608,0.888,0.9596,0.5616,0.9618
"1642.MS00500",0.4492,0.5028,0.5416,0.698,0.4788,0.4988,0.9592,0.5034,0.9544,0.943,0.7812,0.8422,0.8082,0.9404,0.5012,0.894,0.9126,0.9102,0.4834,0.9576,0.5578,0.5828,0.9194,0.9486,0.4934,0.9486,0.5142,0.468,0.599,0.5044,0.4582,0.9564,0,0.9022,0.9308,0.4816,0.9108,0.5352,0.9286,0.437
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9036,0.8864,0.8786,0.9412,0.9068,0.8956,0.9196,0.8846,0.898,0.8808,0.9582,0.9888,0.95,0.8498,0.8902,0.6196,0.5612,0.6404,0.9246,0.9286,0.9216,0.9224,0.7426,0.8988,0.9202,0.8824,0.9118,0.9108,0.9488,0.9122,0.91,0.9084,0.9022,0,0.8268,0.9304,0.6264,0.9254,0.8164,0.9
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",0.9292,0.9186,0.9158,0.9546,0.9212,0.9218,0.6666,0.9226,0.6588,0.6934,0.9582,0.986,0.9546,0.6516,0.923,0.7826,0.783,0.7408,0.939,0.6478,0.9308,0.9324,0.5754,0.6016,0.9336,0.7836,0.9214,0.9302,0.9404,0.9198,0.9298,0.7142,0.9308,0.8268,0,0.9328,0.8132,0.935,0.6408,0.9246
"1642.MS00399",0.5168,0.5528,0.6254,0.7378,0.5302,0.5776,0.9536,0.6146,0.9532,0.949,0.749,0.7888,0.771,0.9484,0.5764,0.9274,0.932,0.9306,0.523,0.9552,0.5248,0.6078,0.9328,0.9472,0.5054,0.9582,0.5582,0.5358,0.5016,0.577,0.4634,0.9608,0.4816,0.9304,0.9328,0,0.935,0.512,0.9366,0.5184
"2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9142,0.9042,0.8948,0.9488,0.9216,0.9094,0.906,0.9046,0.879,0.8536,0.9612,0.9896,0.9602,0.8354,0.9066,0.5414,0.5982,0.677,0.9318,0.9062,0.933,0.9322,0.7144,0.8786,0.9276,0.8476,0.9206,0.924,0.9508,0.9218,0.9228,0.888,0.9108,0.6264,0.8132,0.935,0,0.9366,0.8202,0.9038
"1642.MS00504",0.545,0.6296,0.6458,0.78,0.5374,0.5762,0.9572,0.6246,0.9572,0.9522,0.8072,0.8584,0.8328,0.947,0.6088,0.9226,0.9306,0.9206,0.5768,0.958,0.5364,0.6162,0.9314,0.953,0.5782,0.9566,0.5524,0.5748,0.5936,0.5952,0.4288,0.9596,0.5352,0.9254,0.935,0.512,0.9366,0,0.9354,0.5252
"2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences",0.929,0.9164,0.9132,0.9554,0.9262,0.9212,0.714,0.9224,0.5484,0.5554,0.9608,0.9902,0.9586,0.519,0.9228,0.8194,0.7942,0.7802,0.942,0.6288,0.9336,0.9396,0.5692,0.6016,0.9356,0.6276,0.9238,0.9376,0.9518,0.9234,0.9358,0.5616,0.9286,0.8164,0.6408,0.9366,0.8202,0.9354,0,0.9264
"1642.MS00506",0.4714,0.5328,0.5388,0.7116,0.494,0.4988,0.9586,0.486,0.956,0.9468,0.787,0.8526,0.8056,0.9424,0.5154,0.8954,0.9072,0.9026,0.5322,0.9564,0.5562,0.602,0.9216,0.9516,0.5206,0.9546,0.5388,0.506,0.5854,0.566,0.456,0.9618,0.437,0.9,0.9246,0.5184,0.9038,0.5252,0.9264,0
