"","1642.MS00516","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00355","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00546","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00568","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00478","1642.MS00513","1642.MS00472","1642.MS00421","1642.MS00561","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00595","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00376","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00425","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00333","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00633"
"2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences",0.9152,0.6752,0.9166,0.8466,0.7436,0.9118,0.6574,0.8652,0.9006,0.7172,0.9128,0.9138,0.8962,0.8996,0.906,0.721,0.8324,0.8844,0.7016,0.9456,0.616,0.7328,0.908,0.8442,0.8948,0.7752,0.9064,0,0.7314,0.91,0.908,0.6998,0.8978,0.6106,0.7168,0.935,0.6862,0.84,0.6988,0.904
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",0.9328,0.6678,0.9282,0.6626,0.6056,0.9114,0.774,0.7292,0.9158,0.514,0.9302,0.9334,0.9206,0.9214,0.925,0.4922,0.7122,0.9016,0.6058,0.96,0.6056,0.4768,0.9256,0.736,0.9104,0.5878,0.9304,0.7314,0,0.9262,0.941,0.7638,0.9198,0.5628,0.5796,0.9516,0.4998,0.7256,0.6066,0.9274
"1642.MS00419",0.5638,0.9238,0.6516,0.9172,0.952,0.598,0.9662,0.9158,0.599,0.927,0.6058,0.604,0.6084,0.536,0.6424,0.9244,0.9088,0.6106,0.9406,0.7006,0.918,0.9428,0.6114,0.9082,0.5806,0.941,0.6192,0.91,0.9262,0,0.6452,0.96,0.4956,0.944,0.909,0.699,0.9318,0.9116,0.9214,0.6316
"1642.MS00333",0.6574,0.9288,0.6006,0.9378,0.9588,0.6836,0.9592,0.9408,0.6256,0.9364,0.6552,0.5812,0.688,0.5968,0.6576,0.932,0.9364,0.7316,0.9488,0.7328,0.9274,0.942,0.6886,0.9278,0.5336,0.9486,0.5994,0.908,0.941,0.6452,0,0.952,0.5776,0.9382,0.9316,0.5358,0.9402,0.941,0.9372,0.7242
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",0.9604,0.8264,0.9462,0.9074,0.7646,0.954,0.5352,0.9254,0.9446,0.787,0.9552,0.9492,0.9358,0.9434,0.9462,0.7404,0.883,0.9444,0.7802,0.9742,0.7856,0.7564,0.9478,0.9092,0.9388,0.8168,0.9508,0.6998,0.7638,0.96,0.952,0,0.9426,0.6596,0.8028,0.9578,0.7524,0.9194,0.7968,0.9362
"1642.MS00411",0.4782,0.9194,0.589,0.899,0.9444,0.5162,0.9568,0.9054,0.4812,0.9162,0.5378,0.48,0.5248,0.4482,0.5002,0.9204,0.9048,0.5892,0.9336,0.7202,0.9014,0.9368,0.5592,0.8918,0.4526,0.933,0.5046,0.8978,0.9198,0.4956,0.5776,0.9426,0,0.9366,0.9082,0.6502,0.92,0.8958,0.9138,0.589
"2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences",0.9448,0.652,0.9408,0.8328,0.5952,0.9412,0.6496,0.8616,0.9344,0.6136,0.9374,0.9482,0.9318,0.94,0.9392,0.4764,0.814,0.9062,0.6234,0.9668,0.652,0.5068,0.9372,0.8522,0.9324,0.708,0.9372,0.6106,0.5628,0.944,0.9382,0.6596,0.9366,0,0.5844,0.9606,0.5118,0.8566,0.6096,0.9368
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",0.9246,0.6662,0.9252,0.796,0.587,0.9052,0.7486,0.7252,0.9072,0.5854,0.9196,0.9254,0.911,0.9098,0.9188,0.6128,0.7218,0.8776,0.603,0.9516,0.605,0.5994,0.9196,0.766,0.9016,0.5598,0.916,0.7168,0.5796,0.909,0.9316,0.8028,0.9082,0.5844,0,0.9486,0.5944,0.778,0.6366,0.9242
"1642.MS00368",0.7204,0.9496,0.5328,0.9378,0.971,0.7142,0.9728,0.9458,0.7014,0.9492,0.7332,0.6642,0.7552,0.6468,0.7254,0.9538,0.9442,0.7728,0.9652,0.6508,0.9466,0.9578,0.765,0.9308,0.6028,0.9628,0.6818,0.935,0.9516,0.699,0.5358,0.9578,0.6502,0.9606,0.9486,0,0.9498,0.938,0.951,0.7908
"2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences",0.9368,0.6068,0.9332,0.725,0.6572,0.9282,0.6932,0.7874,0.925,0.4884,0.9352,0.94,0.9202,0.9256,0.9314,0.5604,0.7666,0.8984,0.6472,0.9604,0.6792,0.4698,0.9278,0.7794,0.9184,0.6956,0.9364,0.6862,0.4998,0.9318,0.9402,0.7524,0.92,0.5118,0.5944,0.9498,0,0.8,0.5232,0.9284
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9084,0.7838,0.9192,0.5906,0.8716,0.8796,0.936,0.6284,0.9064,0.756,0.923,0.9136,0.901,0.893,0.9088,0.8078,0.6446,0.9058,0.848,0.9564,0.7992,0.8194,0.9132,0.5964,0.893,0.843,0.9174,0.84,0.7256,0.9116,0.941,0.9194,0.8958,0.8566,0.778,0.938,0.8,0,0.7068,0.906
"2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences",0.93,0.6492,0.933,0.7128,0.7104,0.9104,0.6082,0.7676,0.9196,0.5576,0.9292,0.9282,0.9132,0.9162,0.9242,0.6434,0.75,0.8886,0.6758,0.9546,0.6726,0.5828,0.922,0.7394,0.9114,0.7406,0.9298,0.6988,0.6066,0.9214,0.9372,0.7968,0.9138,0.6096,0.6366,0.951,0.5232,0.7068,0,0.9216
"1642.MS00633",0.5448,0.9266,0.7478,0.9118,0.9562,0.603,0.945,0.9228,0.541,0.9242,0.5274,0.5764,0.57,0.5966,0.5428,0.934,0.9172,0.5944,0.9466,0.8168,0.9196,0.9422,0.532,0.9052,0.594,0.9462,0.5448,0.904,0.9274,0.6316,0.7242,0.9362,0.589,0.9368,0.9242,0.7908,0.9284,0.906,0.9216,0
