"","1642.MS00516","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00355","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00546","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00568","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00478","1642.MS00513","1642.MS00472","1642.MS00421","1642.MS00561","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00595","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00376","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00425","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00333","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00633"
"2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences",1,-0.139,1,0.992,-1,1,-0.72,0.998,1,-0.801,1,1,1,1,1,-0.447,0.934,1,-1,1,0,-0.409,1,0.991,1,-0.992,1,-0.866,-0.912,1,1,-0.488,1,-0.777,-0.904,1,-0.466,0.962,-0.452,1
"2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences",1,-0.515,1,0.934,-0.952,1,-0.947,0.976,1,-0.994,1,1,1,1,1,-0.998,0.967,1,-0.871,1,-0.409,0,1,1,1,-0.772,1,0.168,-1,1,1,-0.697,1,-0.998,-0.882,1,-1,1,-0.942,1
"1642.MS00600",-0.555,1,0.984,1,1,0.683,1,1,-0.546,1,-0.894,-0.413,-0.029,0.211,-0.77,1,1,0.727,1,1,1,1,0,1,0.159,1,-0.435,1,1,0.716,0.936,1,-0.02,1,1,1,1,1,1,-0.472
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.963,1,0.476,0.966,1,0.996,0.27,1,0.986,1,1,1,1,1,0.984,-0.224,1,0.992,1,0.991,1,1,0,1,0.893,1,1,0.916,1,1,1,1,1,0.99,1,0.994,-0.217,0.914,1
"1642.MS00425",-0.632,1,0.0129999999999999,1,1,-0.675,1,1,-0.833,1,-0.168,-0.974,-0.448,-0.974,-0.832,1,1,0.522,1,0.996,1,1,0.159,1,0,1,-0.96,1,1,0.163,-0.842,1,-0.994,1,1,-0.501,1,1,1,0.353
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",1,-0.362,1,0.969,-1,1,-0.611,0.913,1,-0.874,1,1,1,1,1,-0.862,0.306,1,-0.99,1,-0.992,-0.772,1,0.893,1,0,1,-0.097,-0.994,1,1,-0.136,1,-0.663,-0.996,1,-0.74,0.918,-0.403,1
"1642.MS00477",-0.784,1,0.746,1,1,-0.347,1,1,-0.99,1,-0.748,-0.998,-0.692,-0.572,-0.848,1,1,0.638,1,1,1,1,-0.435,1,-0.96,1,0,1,1,0.725,-0.095,1,-0.825,1,1,0.667,1,1,1,-0.356
"2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences",1,-0.561,1,1,-0.531,1,-0.994,1,1,0.146,1,1,1,1,1,-0.119,1,1,-0.649,1,-0.866,0.168,1,1,1,-0.097,1,0,0.293,1,1,-0.894,1,-0.93,0.12,1,-0.346,1,-0.131,1
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",1,-0.503,1,0.189,-0.996,1,-0.812,0.793,1,-0.994,1,1,1,1,1,-1,0.706,1,-0.985,1,-0.912,-1,1,0.916,1,-0.994,1,0.293,0,1,1,-0.712,1,-0.99,-0.887,1,-0.996,0.837,-0.77,1
"1642.MS00419",0.0920000000000001,1,0.661,1,1,0.504,1,1,0.507,1,0.611,0.452,0.715,-0.313,0.88,1,1,0.702,1,0.762,1,1,0.716,1,0.163,1,0.725,1,1,0,0.583,1,-0.86,1,1,0.83,1,1,1,0.881
"1642.MS00333",0.747,1,-0.356,1,1,0.938,1,1,0.351,1,0.691,-0.359,0.948,-0.027,0.707,1,1,1,1,0.9,1,1,0.936,1,-0.842,1,-0.095,1,1,0.583,0,1,-0.413,1,1,-0.942,1,1,1,0.996
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",1,0.05,1,0.994,-0.633,1,-0.996,1,1,-0.493,1,1,1,1,1,-0.771,0.862,1,-0.499,1,-0.488,-0.697,1,1,1,-0.136,1,-0.894,-0.712,1,1,0,1,-0.962,-0.307,1,-0.755,1,-0.344,1
"1642.MS00411",-0.888,1,-0.255,1,1,-0.671,1,1,-0.914,1,-0.35,-0.935,-0.464,-0.992,-0.823,1,1,0.527,1,0.9,1,1,-0.02,1,-0.994,1,-0.825,1,1,-0.86,-0.413,1,0,1,1,0.274,1,1,1,0.517
"2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences",1,-0.805,1,0.997,-0.996,1,-0.996,0.998,1,-0.93,1,1,1,1,1,-1,0.968,1,-0.938,1,-0.777,-0.998,1,1,1,-0.663,1,-0.93,-0.99,1,1,-0.962,1,0,-0.978,1,-1,0.998,-0.902,1
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",1,-0.503,1,1,-1,1,-0.902,0.824,1,-0.832,1,1,1,1,1,-0.866,0.772,1,-0.986,1,-0.904,-0.882,1,0.99,1,-0.996,1,0.12,-0.887,1,1,-0.307,1,-0.978,0,1,-0.838,1,-0.481,1
"1642.MS00368",0.97,1,-0.946,1,1,0.913,1,1,0.826,1,0.974,0.401,1,0.201,0.95,1,1,1,1,-0.173,1,1,1,1,-0.501,1,0.667,1,1,0.83,-0.942,1,0.274,1,1,0,1,1,1,1
"2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences",1,-0.866,1,0.829,-0.96,1,-0.986,0.994,1,-1,1,1,1,1,1,-0.982,0.986,1,-0.908,1,-0.466,-1,1,0.994,1,-0.74,1,-0.346,-0.996,1,1,-0.755,1,-1,-0.838,1,0,1,-0.992,1
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.939,1,-0.26,0.964,1,0.996,0.05,1,0.986,1,1,1,1,1,0.99,0.381,1,0.965,1,0.962,1,1,-0.217,1,0.918,1,1,0.837,1,1,1,1,0.998,1,1,1,0,0.611,1
"2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences",1,-0.633,1,0.743,-0.748,1,-1,0.984,1,-0.944,1,1,1,1,1,-0.73,0.938,1,-0.82,1,-0.452,-0.942,1,0.914,1,-0.403,1,-0.131,-0.77,1,1,-0.344,1,-0.902,-0.481,1,-0.992,0.611,0,1
"1642.MS00633",-0.15,1,1,1,1,0.615,1,1,-0.403,1,-0.514,0.0980000000000001,0.25,0.625,-0.397,1,1,0.563,1,1,1,1,-0.472,1,0.353,1,-0.356,1,1,0.881,0.996,1,0.517,1,1,1,1,1,1,0
