"","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00389","1642.MS00515","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00539","1642.MS00350","1642.MS00421","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00596","1642.MS00601","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00602","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","1642.MS00390","1642.MS00612","1642.MS00525","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00497","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00617","1642.MS00502","1001.SKM7","1642.MS00410","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00368","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.996,1,1,1,1,0.967,0.938,1,1,1,-0.593,1,1,1,0.27,1,1,0,1,1,1,1,1,-0.623,1,0.958,1,1,1,1,1,-0.175,1,1,0.0900000000000001,1,0.264,-0.978,1,-0.219
"1642.MS00477",1,-0.904,-0.998,1,-0.932,1,1,-0.865,0.525,-0.863,1,-0.87,-0.383,-0.195,1,-0.944,-0.503,1,0,-0.4,-0.314,-1,1,1,-1,1,-0.805,-0.102,-1,1,-0.121,1,-0.998,0.466,1,0.018,1,1,-0.252,1
"1642.MS00390",1,-1,0.633,1,0.739,1,1,0.577,-0.7,-0.61,1,0.965,0.998,0.992,1,0.281,0.986,1,-0.4,0,0.982,-0.0620000000000001,1,1,-0.384,1,0.832,0.996,-0.551,1,0.542,1,-0.944,-0.672,1,-0.362,1,1,-0.488,1
"1642.MS00612",1,0.365,-0.947,1,-0.255,1,1,-0.978,1,0.091,1,-0.208,-0.998,-0.813,1,0.732,-1,1,-0.314,0.982,0,-0.98,1,1,-0.322,1,-0.982,-1,-0.103,1,-0.994,1,-0.491,1,1,0.028,1,1,-0.69,1
"1642.MS00525",1,-0.81,-1,1,-0.907,1,1,-0.994,0.616,-0.994,1,-0.843,-0.911,-1,1,-0.88,-0.976,1,-1,-0.0620000000000001,-0.98,0,1,1,-0.998,1,-0.854,-0.847,-0.982,1,-0.946,1,-0.985,0.867,1,-0.42,1,1,-0.899,1
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",-0.689,1,1,-0.816,1,-0.994,-1,1,1,1,0.988,1,1,1,1,1,1,1,1,1,1,1,0,0.998,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,0.998,1,1,1,-0.481,1,1,1,0.527,1,1,-0.623,1,1,1,1,0.998,0,1,1,1,1,1,1,1,0.479,1,1,0.95,1,0.552,-0.597,1,0.932
"1642.MS00497",1,-0.721,-0.998,1,-0.877,1,1,-0.922,0.399,-0.961,1,-0.645,-0.365,-0.399,1,-0.806,-0.617,1,-1,-0.384,-0.322,-0.998,1,1,0,1,-0.593,-0.018,-1,1,-0.155,1,-0.978,0.811,1,-0.377,1,1,-0.232,1
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",-0.704,1,1,-0.483,1,-0.97,-1,1,1,1,0.954,1,1,1,0.994,1,1,0.958,1,1,1,1,-1,1,1,0,1,1,1,1,1,0.98,1,1,0.988,1,0.996,0.955,1,0.988
"1642.MS00523",1,0.483,-0.902,1,-0.685,1,1,-0.976,1,0.026,1,-0.603,-0.426,-0.125,1,0.964,-0.874,1,-0.805,0.832,-0.982,-0.854,1,1,-0.593,1,0,-0.435,-0.532,1,-0.57,1,-0.775,1,1,-0.28,1,1,-0.752,1
