"","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00389","1642.MS00515","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00539","1642.MS00350","1642.MS00421","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00596","1642.MS00601","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00602","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","1642.MS00390","1642.MS00612","1642.MS00525","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00497","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00617","1642.MS00502","1001.SKM7","1642.MS00410","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00368","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00534",0.9182,0.5268,0.57,0.9546,0.5984,0.9328,0.965,0.5634,0.6892,0.517,0.9058,0.6096,0.5696,0.5754,0.8908,0,0.577,0.898,0.5264,0.6384,0.634,0.531,0.9516,0.9056,0.5444,0.9538,0.6564,0.619,0.5096,0.9914,0.5898,0.9042,0.5296,0.639,0.8884,0.617,0.9094,0.9032,0.6318,0.9012
"1642.MS00602",0.9156,0.6186,0.4732,0.9632,0.5184,0.9394,0.9672,0.4688,0.728,0.5266,0.892,0.5202,0.4608,0.4938,0.8874,0.577,0,0.8816,0.5588,0.6906,0.4732,0.498,0.9574,0.8892,0.5472,0.9544,0.5164,0.4568,0.5836,0.9922,0.4778,0.8928,0.5692,0.7556,0.888,0.5644,0.898,0.8882,0.551,0.8948
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.7712,0.9156,0.9028,0.9302,0.902,0.8532,0.9096,0.8968,0.9256,0.8882,0.5914,0.9058,0.8842,0.9004,0.6568,0.898,0.8816,0,0.9162,0.9316,0.9072,0.9008,0.8876,0.6028,0.9096,0.8634,0.922,0.892,0.9268,0.9658,0.8914,0.6222,0.9108,0.9308,0.6206,0.9046,0.639,0.519,0.9128,0.6118
"1642.MS00477",0.923,0.5466,0.4912,0.9568,0.5296,0.937,0.969,0.5286,0.6752,0.527,0.921,0.5354,0.5652,0.5808,0.9106,0.5264,0.5588,0.9162,0,0.5948,0.5752,0.4798,0.9556,0.9186,0.4726,0.9558,0.5388,0.588,0.4608,0.9902,0.583,0.9214,0.4884,0.6818,0.913,0.5882,0.9188,0.9174,0.5784,0.9164
"1642.MS00390",0.9364,0.5016,0.6518,0.9684,0.6608,0.9522,0.9704,0.645,0.6,0.573,0.9326,0.685,0.7026,0.696,0.9302,0.6384,0.6906,0.9316,0.5948,0,0.6954,0.6132,0.9632,0.9328,0.5956,0.9646,0.6602,0.7028,0.5868,0.991,0.6418,0.9354,0.5386,0.614,0.9274,0.5906,0.9334,0.9318,0.5822,0.9332
"1642.MS00612",0.923,0.6232,0.5136,0.9674,0.5772,0.9482,0.9714,0.4996,0.7478,0.5794,0.9086,0.5708,0.4754,0.528,0.9026,0.634,0.4732,0.9072,0.5752,0.6954,0,0.5022,0.967,0.904,0.5686,0.9618,0.4988,0.4506,0.595,0.9918,0.4956,0.9084,0.557,0.789,0.9088,0.5736,0.9064,0.9066,0.539,0.9106
"1642.MS00525",0.9254,0.5488,0.4626,0.9666,0.5228,0.9458,0.9738,0.4836,0.6764,0.4844,0.909,0.528,0.5066,0.4866,0.9018,0.531,0.498,0.9008,0.4798,0.6132,0.5022,0,0.9632,0.907,0.4938,0.96,0.521,0.5214,0.5112,0.9914,0.5064,0.907,0.5018,0.7054,0.899,0.5488,0.9072,0.9034,0.5198,0.9054
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.7518,0.9608,0.9604,0.7934,0.953,0.609,0.5544,0.9502,0.9684,0.9538,0.8794,0.9612,0.955,0.9662,0.9006,0.9516,0.9574,0.8876,0.9556,0.9632,0.967,0.9632,0,0.9108,0.957,0.4362,0.9636,0.9602,0.9656,0.9796,0.9512,0.8972,0.9616,0.9726,0.9032,0.9596,0.9032,0.8916,0.9584,0.8974
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8244,0.9174,0.9042,0.94,0.905,0.8856,0.939,0.9052,0.9266,0.8944,0.618,0.9104,0.8938,0.9058,0.6874,0.9056,0.8892,0.6028,0.9186,0.9328,0.904,0.907,0.9108,0,0.9162,0.8972,0.9216,0.8966,0.929,0.9886,0.89,0.678,0.9114,0.9328,0.7118,0.9098,0.6764,0.6,0.914,0.7148
"1642.MS00497",0.918,0.5606,0.4914,0.962,0.5318,0.9434,0.9684,0.5176,0.6654,0.5104,0.9184,0.5494,0.5606,0.563,0.9098,0.5444,0.5472,0.9096,0.4726,0.5956,0.5686,0.4938,0.957,0.9162,0,0.9556,0.5444,0.584,0.4998,0.9816,0.5768,0.9172,0.5122,0.7028,0.91,0.559,0.916,0.9148,0.575,0.9172
