"","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00350","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00412","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00602","1642.MS00368","1642.MS00415","1642.MS00523","1642.MS00617","1642.MS00502","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00596","1001.SKM7","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00390","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00539","1642.MS00497","1642.MS00612","1642.MS00601","1642.MS00421","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00515","1642.MS00525","1642.MS00438","1642.MS00477"
"1642.MS00541",0.1006784290317,0.0397527863682,0.0951791707097,0.0996671737339,0.0205164952806,0.0295007798317,0.0258193951966,0.0939907440261,0.0927001839173,0.0951203009789,0.0237699687363,0.0372804748616,0.0278503027012,0.025737768329,0.0265293799696,0.0194132768069,0.0915209240937,0,0.0958033795059,0.0252073791995,0.1601269084958,0.0935501840425,0.0933263035684,0.0295312425727,0.0978741954692,0.1088935269598,0.0268527939807,0.0233833963903,0.0209991470726,0.0283959733062,0.0245045782208,0.0225953233854,0.095634576003,0.1216666378464,0.1102759514491,0.0233552422706,0.0192956816632,0.0226604257365,0.0253032979223,0.0210659927726
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0313131815433,0.0850168382523,0.0324593260226,0.0538270655378,0.098197623542,0.089525254413,0.0800489992208,0.031384523765,0.0273723786418,0.0214915093922,0.0924437658248,0.0829675872516,0.0863783909218,0.1049291769322,0.0908293254341,0.087590202503,0.029975459095,0.0958033795059,0,0.0857232707354,0.1182390101793,0.0204770820712,0.0233242626433,0.0915892521359,0.0259890735289,0.0452624958793,0.076476945897,0.090724822365,0.0908909340512,0.0946070978207,0.0924099693635,0.077273368518,0.0393158796334,0.0626403561904,0.0529909857398,0.0741011498,0.0922142104492,0.0837570368751,0.0860273464814,0.0881558255227
"1642.MS00596",0.0915271935272,0.039315407991,0.0935819385049,0.1050232808736,0.0268280870323,0.0268563053555,0.0230566832664,0.0854035348978,0.0868391860504,0.0853809405421,0.0215327014346,0.0387724125393,0.0250020062802,0.0244627319097,0.0216628494561,0.0234620702443,0.0863535545411,0.0252073791995,0.0857232707354,0,0.1626819573836,0.0838153052471,0.0868257768271,0.0326897651346,0.085705186155,0.1064303715365,0.0257763719652,0.0221811543559,0.0233226820015,0.0223181891084,0.0210281880388,0.0240390609972,0.0953298812705,0.1230385343124,0.1089502087137,0.0239871312796,0.0216428909264,0.0206065031097,0.0236595540692,0.0221735520802
"1001.SKM7",0.1190466564006,0.1385750106647,0.0860141819278,0.1024815883302,0.1670100698178,0.160829938475,0.1570073195509,0.1149777058723,0.0980800260972,0.123498385633,0.164356981683,0.1573485702687,0.1587531459636,0.1759108138863,0.1730223678071,0.1825393193564,0.1036000093877,0.1601269084958,0.1182390101793,0.1626819573836,0,0.1120434814741,0.1123856295536,0.1550971738523,0.1313363816572,0.0897424001215,0.1692255574852,0.1646173772594,0.1672193391345,0.1706090192485,0.1656042392717,0.1519632151988,0.0854788111967,0.0780762433718,0.0904400404798,0.1595489617822,0.165848152483,0.1678782087974,0.1767383101056,0.1707059390375
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0343704388918,0.0806062707861,0.0360720084064,0.0588083866434,0.095896356133,0.0843254212474,0.0765682336513,0.0269404567389,0.0259799632797,0.0244093764963,0.0899278795793,0.0804435819262,0.0811582333942,0.0990563940056,0.0888733306238,0.085451008236,0.027025994839,0.0935501840425,0.0204770820712,0.0838153052471,0.1120434814741,0,0.0258136270488,0.0864129006866,0.0251646838296,0.0458477160712,0.0735191077374,0.0852972550019,0.08823399148,0.0915795124895,0.0885235383064,0.0746156403586,0.0440896437409,0.0639570603585,0.0531696364405,0.0733121129441,0.0899302087237,0.0824152767849,0.0794545827597,0.0869914653864
"2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0295180311141,0.08380407865,0.0294610078043,0.0529509043921,0.0987401105995,0.0877922004458,0.0795136578502,0.0233974603145,0.0240078358999,0.021241571173,0.0912535747375,0.0832615287903,0.0839092744676,0.1010893669832,0.0913756250379,0.0856348869906,0.0223424653834,0.0933263035684,0.0233242626433,0.0868257768271,0.1123856295536,0.0258136270488,0,0.0900310406425,0.0298242299382,0.0484649570926,0.0748091845708,0.0894843634016,0.0890622994923,0.0929402917461,0.0921972906224,0.0773430777387,0.0453476875873,0.0627040008115,0.0553776442024,0.0743550295221,0.0898390172497,0.0844697866291,0.0840497538843,0.0884701129429
"1642.MS00390",0.0930602156713,0.0253863891034,0.0844642046447,0.0856842197881,0.0296122151335,0.0275813678312,0.0259777411986,0.0857593218267,0.0843800911442,0.0918045264706,0.0319043112393,0.0236540173953,0.0219356085656,0.0316455180179,0.0364911333716,0.0244601168876,0.083359323153,0.0295312425727,0.0915892521359,0.0326897651346,0.1550971738523,0.0864129006866,0.0900310406425,0,0.0948359487953,0.1011816658529,0.0192645028631,0.0283515014906,0.0268241186175,0.0339059878442,0.0330239596567,0.022771963426,0.0849235149799,0.1056560210205,0.1003374355251,0.0300377336692,0.0268472660677,0.0287920778878,0.0222719342803,0.0245943439659
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0325294440135,0.0838478001392,0.046539054341,0.0724902297232,0.1025130783296,0.0893827188039,0.081224717842,0.0336656155354,0.0319884056382,0.0260821440469,0.0930077991405,0.0847134796419,0.0863662910013,0.1061323142651,0.0944280267002,0.0907338762517,0.032932215768,0.0978741954692,0.0259890735289,0.085705186155,0.1313363816572,0.0251646838296,0.0298242299382,0.0948359487953,0,0.0550479924415,0.0787755652275,0.0913270019602,0.092141345836,0.0975122444965,0.0954142391417,0.0794156637967,0.0569450413615,0.076481693648,0.0634740445761,0.0769819349022,0.0945168637092,0.0857103644662,0.0867410397045,0.092494012051
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",0.067333020517,0.0894408613209,0.0301395097356,0.0268150528116,0.1166859267735,0.1075010021287,0.1028880900636,0.0535131033873,0.0520138638984,0.0487736525686,0.1126777345898,0.0897286990228,0.1084430967845,0.1216471372354,0.1153376542186,0.0977591940028,0.052312857558,0.1088935269598,0.0452624958793,0.1064303715365,0.0897424001215,0.0458477160712,0.0484649570926,0.1011816658529,0.0550479924415,0,0.0908736731359,0.1073388533913,0.1083004721476,0.1165128876584,0.1095507278033,0.0956388442032,0.0154808730763,0.0218406137218,0.0144458860593,0.0862481923907,0.1114253188898,0.1046018594494,0.1040625748359,0.1051255939452
"1642.MS00389",0.0789725657544,0.0258517945613,0.074553118473,0.0834215532558,0.0264666092964,0.0224031230512,0.0196540260222,0.0707240918508,0.0722150252246,0.0769404495812,0.0262702895968,0.0235312315539,0.0190912081264,0.0284623565605,0.027064033888,0.0213231291432,0.0719942412196,0.0268527939807,0.076476945897,0.0257763719652,0.1692255574852,0.0735191077374,0.0748091845708,0.0192645028631,0.0787755652275,0.0908736731359,0,0.0242722936319,0.0232008339952,0.0268816205486,0.0257520126639,0.019943653956,0.077787681654,0.0997787225482,0.0930062057181,0.0231873193308,0.022664117953,0.023417056892,0.0200989959427,0.0217158428519
