"","1642.MS00622","1642.MS00402","1642.MS00510","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00533","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00562","1642.MS00408","1642.MS00548","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00409","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00474","1642.MS00391","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00572","1642.MS00397","1642.MS00418","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00584","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00552","1642.MS00441","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","1642.MS00498","1642.MS00414"
"2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.986,-1,1,1,-1,1,1,1,1,-0.964,1,1,-0.938,1,1,0,1,1,1,-0.567,-0.306,1,0.175,1,0.779,0.974,1,-0.994,-0.99,1,1,-1,-0.692,0.998,1,1,1
"1642.MS00572",-0.857,-0.742,-0.992,1,1,1,-0.867,1,-0.641,-1,-0.984,-0.998,1,-0.872,-0.826,1,-1,-0.663,1,0,-0.934,-0.49,1,1,-0.722,1,-0.969,1,1,0.631,1,1,-0.874,-0.939,1,1,1,0.299,-0.984,-0.358
"1642.MS00397",-0.203,-0.742,-0.998,1,1,1,-0.201,1,-0.935,-0.994,-1,-0.992,1,-0.932,-1,1,-0.87,-1,1,-0.934,0,-0.869,1,1,-0.938,1,0.119,1,1,-0.661,1,1,-0.117,-1,1,1,1,-0.236,-0.958,-0.935
"1642.MS00418",-0.317,-0.91,-0.696,1,1,1,-0.42,1,-0.916,-0.463,-0.962,-0.323,1,-0.895,-0.73,1,-0.833,-0.785,1,-0.49,-0.869,0,1,1,-0.905,1,-0.194,1,1,0.102,1,1,-0.173,-0.926,1,1,1,-0.925,-0.696,-0.998
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,0.798,-0.622,1,1,-0.214,1,1,1,1,-0.93,1,1,-0.335,1,1,-0.567,1,1,1,0,1,1,-0.197,1,0.945,0.84,1,-0.402,-0.902,1,1,-0.407,-0.99,1,1,1,1
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,-0.313,1,1,0.281,1,1,1,1,0.846,1,1,0.95,1,1,-0.306,1,1,1,1,0,1,-0.086,1,1,1,1,0.539,0.785,1,1,0.655,0.98,1,1,1,1
"1642.MS00396",0.0409999999999999,-0.782,-0.603,1,1,1,-0.55,1,-0.888,-0.463,-0.872,-0.478,1,-0.908,-0.474,1,-0.766,-0.783,1,-0.722,-0.938,-0.905,1,1,0,1,0.236,1,1,-0.099,1,1,-0.025,-0.605,1,1,1,-0.251,-0.57,-0.888
"2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences",1,1,1,0.952,0.142,1,1,0.68,1,1,1,1,-0.927,1,1,0.804,1,1,0.175,1,1,1,-0.197,-0.086,1,0,1,0.994,0.996,1,0.913,-0.83,1,1,0.735,-0.952,1,1,1,1
"1642.MS00584",0.575,0.508,-0.938,1,1,1,-0.729,1,0.705,-0.588,0.173,-0.926,1,0.25,0.01,1,-0.946,-0.0649999999999999,1,-0.969,0.119,-0.194,1,1,0.236,1,0,1,1,0.982,1,1,-0.994,-0.206,1,1,1,-0.069,-0.875,0.0940000000000001
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.829,0.619,0.054,1,0.696,1,1,1,1,0.928,1,1,0.937,1,1,0.779,1,1,1,0.945,1,1,0.994,1,0,-0.765,1,0.684,0.988,1,1,0.801,0.873,0.167,1,1,1
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.497,0.947,0.914,1,0.998,1,1,1,1,0.942,1,1,0.98,1,1,0.974,1,1,1,0.84,1,1,0.996,1,-0.765,0,1,0.945,0.994,1,1,0.982,0.736,0.72,1,1,1
"1642.MS00360",1,0.764,0.312,1,1,1,1,1,0.294,0.428,-0.359,0.389,1,0.628,-0.183,1,0.921,-0.646,1,0.631,-0.661,0.102,1,1,-0.099,1,0.982,1,1,0,1,1,0.96,-0.111,1,1,1,0.698,0.249,-0.454
"2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,0.945,-1,1,1,-0.994,1,1,1,1,-1,1,1,-1,1,1,-0.994,1,1,1,-0.402,0.539,1,0.913,1,0.684,0.945,1,0,-0.998,1,1,-1,-0.61,0.99,1,1,1
"2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,0.992,-0.985,1,1,-0.788,1,1,1,1,-1,1,1,-0.602,1,1,-0.99,1,1,1,-0.902,0.785,1,-0.83,1,0.988,0.994,1,-0.998,0,1,1,-0.962,-0.982,1,1,1,1
"1642.MS00552",0.832,0.49,-0.952,1,1,1,-0.86,1,0.725,-0.438,0.245,-0.945,1,0.309,0.182,1,-0.896,-0.477,1,-0.874,-0.117,-0.173,1,1,-0.025,1,-0.994,1,1,0.96,1,1,0,-0.181,1,1,1,0.00099999999999989,-0.916,0.131
"1642.MS00441",-0.401,-0.839,-0.991,1,1,1,-0.618,1,-0.802,-0.99,-1,-0.984,1,-0.978,-0.996,1,-0.945,-0.992,1,-0.939,-1,-0.926,1,1,-0.605,1,-0.206,1,1,-0.111,1,1,-0.181,0,1,1,1,-0.392,-0.988,-0.969
"2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences",1,1,1,0.992,-1,1,1,-1,1,1,1,1,-0.996,1,1,-0.992,1,1,-1,1,1,1,-0.407,0.655,1,0.735,1,0.801,0.982,1,-1,-0.962,1,1,0,-0.607,1,1,1,1
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,0.812,-0.832,1,1,-0.309,1,1,1,1,-1,1,1,-0.845,1,1,-0.692,1,1,1,-0.99,0.98,1,-0.952,1,0.873,0.736,1,-0.61,-0.982,1,1,-0.607,0,0.996,1,1,1
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.953,0.996,0.85,1,1,1,1,1,1,1,1,1,0.976,1,1,0.998,1,1,1,1,1,1,1,1,0.167,0.72,1,0.99,1,1,1,1,0.996,0,1,1,1
"1642.MS00447",0.524,-0.153,-0.387,1,1,1,0.0660000000000001,1,0.0900000000000001,0.474,-0.36,-0.145,1,-0.165,-0.383,1,-0.284,-0.38,1,0.299,-0.236,-0.925,1,1,-0.251,1,-0.069,1,1,0.698,1,1,0.00099999999999989,-0.392,1,1,1,0,-0.272,-0.763
"1642.MS00498",-0.004,-0.556,-0.994,1,1,1,-0.83,1,-0.37,-0.942,-0.976,-1,1,-0.677,-0.781,1,-0.998,-0.881,1,-0.984,-0.958,-0.696,1,1,-0.57,1,-0.875,1,1,0.249,1,1,-0.916,-0.988,1,1,1,-0.272,0,-0.587
"1642.MS00414",0.042,-0.726,-0.406,1,1,1,-0.098,1,-0.917,-0.366,-0.974,-0.42,1,-0.932,-0.869,1,-0.768,-0.769,1,-0.358,-0.935,-0.998,1,1,-0.888,1,0.0940000000000001,1,1,-0.454,1,1,0.131,-0.969,1,1,1,-0.763,-0.587,0
