"","1642.MS00354","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00620","1642.MS00388","1642.MS00625","1642.MS00569","1642.MS00429","1642.MS00541","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00370","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00376","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00390","1642.MS00493","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00611","1642.MS00491","1642.MS00437","1642.MS00418","1642.MS00614","1642.MS00363","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00338","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00552","1642.MS00412","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00347","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00498"
"1642.MS00338",-0.992,1,0.998,-0.929,1,0.988,0.203,0.984,1,-0.996,1,1,0.617,1,-1,0.95,1,1,1,1,0.656,0.332,1,-0.996,1,1,-0.425,1,0,1,0.901,0.0840000000000001,1,1,-0.987,1,1,-0.518,1,0.0129999999999999
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.99,1,1,1,1,1,1,0.879,1,0.998,1,1,0.756,1,1,1,0.994,1,1,1,1,1,1,0.998,-0.871,1,0.998,1,0,1,1,0.968,-0.466,1,0.955,0.018,1,0.982,1
"1642.MS00552",0.97,1,0.823,0.814,0.742,-0.106,0.274,-0.754,1,0.0209999999999999,1,1,1,1,0.521,-0.264,1,1,0.46,0.808,0.315,-0.318,0.944,0.434,1,1,-0.264,1,0.901,1,0,0.432,1,1,-0.267,1,1,0.998,1,-0.916
"1642.MS00412",-0.456,1,0.461,-0.211,0.382,-0.447,-0.454,0.048,1,-0.658,1,1,0.178,1,-0.237,-0.277,1,1,0.474,0.311,-0.874,-0.96,0.603,-0.303,1,1,-0.976,1,0.0840000000000001,1,0.432,0,1,1,-0.417,1,1,-0.23,1,-0.232
"2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences",1,0.974,1,1,1,1,1,1,-1,1,-0.998,0.528,1,1,1,1,-0.858,-0.948,1,1,1,1,1,1,-0.701,0.988,1,-1,1,0.968,1,1,0,1,1,-0.654,0.98,1,-0.998,1
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.777,1,1,1,1,1,1,0.978,1,0.998,1,1,-0.173,1,1,1,1,1,1,1,1,1,1,1,-0.271,1,1,1,-0.466,1,1,1,0,1,0.998,-0.518,1,0.993,1
"1642.MS00399",-0.914,1,0.604,-0.221,0.873,0.284,-0.088,-0.279,1,-0.992,1,1,0.976,1,-0.964,-0.164,1,1,0.84,0.887,-0.101,-0.835,0.966,-0.965,1,1,-0.986,1,-0.987,1,-0.267,-0.417,1,1,0,1,1,0.333,1,-0.862
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",1,0.906,1,1,1,1,1,1,-0.791,1,-0.8,0.964,1,1,1,1,0.95,-0.754,1,1,1,1,1,1,-0.998,0.99,1,-0.746,1,0.955,1,1,-0.654,0.998,1,0,0.998,1,-0.535,1
"2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.571,1,1,1,1,1,1,0.826,1,0.976,1,1,-0.697,1,1,1,0.988,1,1,1,1,1,1,1,-0.826,1,0.906,1,0.018,1,1,0.98,-0.518,1,0.998,0,1,0.827,1
"1642.MS00347",-0.974,1,1,-0.143,1,0.998,0.79,0.966,1,-0.826,1,1,-0.679,1,-0.562,0.936,1,1,1,0.997,0.836,0.714,1,0.323,1,1,0.0169999999999999,1,-0.518,1,0.998,-0.23,1,1,0.333,1,1,0,1,0.859
"2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences",1,0.974,1,1,1,1,1,1,-0.984,1,-1,-0.414,1,1,1,1,-0.943,-0.848,1,1,1,1,1,1,-0.576,0.984,1,-1,1,0.982,1,1,-0.998,0.993,1,-0.535,0.827,1,0,1
"1642.MS00498",0.295,1,0.21,0.319,-0.02,-0.702,-0.266,-0.805,1,-0.712,1,1,1,1,-0.332,-0.85,1,1,0.215,0.034,-0.488,-0.776,0.499,-0.756,1,1,-0.996,1,0.0129999999999999,1,-0.916,-0.232,1,1,-0.862,1,1,0.859,1,0
