"","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00404","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00539","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00350","1642.MS00532","1642.MS00384","1642.MS00487","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00420","1642.MS00387","1642.MS00471","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00380","1642.MS00602","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00581","1642.MS00583","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00615","1642.MS00616","1642.MS00448","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00438","1642.MS00579","1642.MS00440","1642.MS00634","1642.MS00413","1642.MS00557","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00420",0.8982,0.92,0.535,0.9182,0.9132,0.9158,0.9912,0.9408,0.54,0.9326,0.688,0.5408,0.5622,0.5412,0.9162,0,0.5174,0.5744,0.8938,0.9178,0.849,0.5566,0.9496,0.9292,0.589,0.5454,0.9462,0.5964,0.545,0.482,0.9412,0.911,0.4766,0.5042,0.6068,0.503,0.7154,0.5192,0.5944,0.9592
"1642.MS00387",0.851,0.8832,0.4726,0.8826,0.875,0.8798,0.9844,0.922,0.5086,0.915,0.6676,0.4816,0.501,0.546,0.8774,0.5174,0,0.5562,0.85,0.8906,0.851,0.4968,0.9302,0.906,0.5718,0.566,0.928,0.5844,0.5048,0.5712,0.9212,0.8736,0.4544,0.5412,0.5758,0.4808,0.6422,0.4884,0.5398,0.947
"1642.MS00471",0.905,0.9184,0.5628,0.9174,0.9082,0.9146,0.9888,0.9394,0.5384,0.9366,0.6626,0.5074,0.4568,0.543,0.913,0.5744,0.5562,0,0.9024,0.9206,0.8482,0.567,0.9528,0.9274,0.559,0.5672,0.9472,0.5988,0.599,0.6026,0.943,0.9076,0.5762,0.4716,0.5384,0.5028,0.734,0.5368,0.5494,0.9618
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8308,0.888,0.8574,0.7606,0.854,0.8416,0.9848,0.9174,0.882,0.913,0.916,0.8752,0.8812,0.9072,0.8162,0.8938,0.85,0.9024,0,0.835,0.9762,0.8708,0.914,0.8976,0.8978,0.9038,0.9284,0.8942,0.8578,0.8948,0.9216,0.8428,0.861,0.897,0.8924,0.8762,0.8944,0.8782,0.8826,0.937
"2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences",0.6472,0.8168,0.8828,0.881,0.7732,0.742,0.9882,0.8588,0.9146,0.8598,0.936,0.9034,0.9108,0.925,0.5994,0.9178,0.8906,0.9206,0.835,0,0.9872,0.9,0.895,0.8276,0.9216,0.919,0.8786,0.9118,0.8858,0.935,0.8666,0.666,0.9036,0.9196,0.9184,0.908,0.8892,0.91,0.8992,0.9206
"1642.MS00380",0.9808,0.978,0.8832,0.9806,0.9866,0.9876,0.9954,0.9894,0.8818,0.9862,0.6224,0.8744,0.7952,0.8774,0.9868,0.849,0.851,0.8482,0.9762,0.9872,0,0.9062,0.9902,0.987,0.889,0.8942,0.9908,0.9088,0.919,0.8508,0.987,0.9854,0.8796,0.8048,0.8466,0.8256,0.9364,0.8282,0.8476,0.9908
"1642.MS00602",0.8792,0.9194,0.4862,0.9076,0.8982,0.9054,0.9908,0.9396,0.4688,0.9342,0.728,0.474,0.5772,0.5334,0.892,0.5566,0.4968,0.567,0.8708,0.9,0.9062,0,0.9526,0.9276,0.5204,0.4976,0.9452,0.5078,0.4406,0.5576,0.9392,0.8934,0.4778,0.5692,0.5236,0.5254,0.6096,0.534,0.5242,0.9626
"2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences",0.858,0.6376,0.9372,0.656,0.7782,0.8702,0.9658,0.6082,0.9442,0.6916,0.9648,0.9428,0.9446,0.9608,0.8548,0.9496,0.9302,0.9528,0.914,0.895,0.9902,0.9526,0,0.7524,0.9508,0.959,0.5514,0.953,0.9432,0.9616,0.5916,0.8624,0.9458,0.954,0.9498,0.9424,0.9632,0.9548,0.9516,0.5248
"2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences",0.7552,0.6826,0.9126,0.8644,0.6664,0.7132,0.9596,0.7116,0.9276,0.5788,0.9468,0.915,0.9256,0.939,0.7462,0.9292,0.906,0.9274,0.8976,0.8276,0.987,0.9276,0.7524,0,0.9264,0.9368,0.8032,0.9254,0.9176,0.945,0.6308,0.7136,0.921,0.9354,0.929,0.9198,0.9376,0.9286,0.9288,0.8454
"1642.MS00581",0.9074,0.919,0.586,0.92,0.9128,0.9224,0.9844,0.943,0.5052,0.9376,0.7556,0.507,0.6104,0.5252,0.9168,0.589,0.5718,0.559,0.8978,0.9216,0.889,0.5204,0.9508,0.9264,0,0.4592,0.9476,0.5132,0.5436,0.591,0.9456,0.91,0.5714,0.568,0.4958,0.5328,0.6798,0.5768,0.5666,0.9624
