"","1642.MS00405","1642.MS00488","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00406","1642.MS00388","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00543","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.373.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00371","1642.MS00532","1642.MS00384","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00607","1642.MS00358","1642.MS00548","1642.MS00549","1642.MS00383","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00476","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00365","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00467","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00496","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00503","1642.MS00438","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00445","1642.MS00633","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8848,0.9214,0.5074,0.9066,0.9418,0.755,0.6544,0.9176,0.864,0.859,0.932,0.8916,0.9064,0.8672,0.8902,0.9512,0.9208,0.8848,0.894,0.892,0.9044,0.8634,0.9222,0,0.927,0.8992,0.902,0.6852,0.772,0.8888,0.8688,0.509,0.7556,0.9112,0.9192,0.7984,0.9084,0.9112,0.9114,0.537
"1642.MS00467",0.553,0.491,0.9274,0.5004,0.6428,0.9364,0.9192,0.5344,0.9474,0.9356,0.7124,0.517,0.5654,0.9426,0.6106,0.8048,0.4716,0.508,0.597,0.9612,0.5302,0.8972,0.6658,0.927,0,0.9576,0.9588,0.9234,0.8912,0.5,0.9514,0.9256,0.9228,0.5018,0.5444,0.9246,0.5536,0.5564,0.546,0.9256
"2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences",0.9476,0.9572,0.8644,0.946,0.9362,0.6764,0.9186,0.9522,0.58,0.6826,0.9562,0.9466,0.9442,0.7036,0.9584,0.9696,0.957,0.9454,0.9468,0.632,0.9572,0.7128,0.9464,0.8992,0.9576,0,0.6882,0.8986,0.9086,0.9486,0.6528,0.8906,0.69,0.961,0.9578,0.6646,0.9652,0.96,0.951,0.8872
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.9448,0.9536,0.8886,0.947,0.965,0.831,0.8918,0.9548,0.5286,0.5496,0.971,0.9486,0.955,0.5738,0.9598,0.9776,0.9608,0.9514,0.9488,0.8314,0.9592,0.7868,0.9662,0.902,0.9588,0.6882,0,0.8846,0.9012,0.9434,0.589,0.8982,0.6484,0.9626,0.9616,0.511,0.9614,0.961,0.9598,0.8914
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8942,0.9164,0.6676,0.9074,0.9364,0.8444,0.6734,0.9252,0.8554,0.8118,0.9354,0.896,0.9072,0.8022,0.8982,0.9684,0.9236,0.8918,0.8974,0.913,0.912,0.8124,0.9238,0.6852,0.9234,0.8986,0.8846,0,0.7248,0.8916,0.8756,0.6416,0.8072,0.916,0.9154,0.8044,0.904,0.9128,0.918,0.6486
"2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences",0.845,0.8838,0.7872,0.871,0.9214,0.8866,0.753,0.8982,0.895,0.8692,0.9144,0.8594,0.8722,0.8788,0.8678,0.9482,0.8938,0.8552,0.8688,0.9328,0.8808,0.7608,0.8954,0.772,0.8912,0.9086,0.9012,0.7248,0,0.8478,0.9078,0.7642,0.8346,0.896,0.8824,0.8468,0.8654,0.872,0.8918,0.7618
"1642.MS00496",0.454,0.4768,0.8972,0.5134,0.6344,0.9258,0.8922,0.548,0.937,0.9278,0.7008,0.4602,0.5394,0.933,0.5194,0.8152,0.4868,0.4346,0.5544,0.9546,0.4746,0.8898,0.641,0.8888,0.5,0.9486,0.9434,0.8916,0.8478,0,0.9402,0.891,0.8982,0.5264,0.5206,0.9062,0.509,0.5006,0.5414,0.8924
"2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences",0.94,0.9476,0.86,0.9474,0.9466,0.7632,0.8838,0.953,0.5122,0.5876,0.9632,0.9406,0.9496,0.601,0.9516,0.9778,0.9504,0.9388,0.9456,0.8098,0.9524,0.789,0.9538,0.8688,0.9514,0.6528,0.589,0.8756,0.9078,0.9402,0,0.8634,0.635,0.955,0.9542,0.5368,0.9538,0.9522,0.9538,0.869
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8852,0.919,0.4862,0.904,0.9342,0.7216,0.6248,0.9138,0.856,0.8404,0.9252,0.892,0.8976,0.8446,0.8914,0.9458,0.9196,0.888,0.8948,0.8794,0.9044,0.8416,0.9196,0.509,0.9256,0.8906,0.8982,0.6416,0.7642,0.891,0.8634,0,0.7662,0.911,0.918,0.8038,0.9082,0.9102,0.9126,0.477
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",0.8952,0.914,0.753,0.9086,0.9128,0.7074,0.7748,0.9282,0.6008,0.5914,0.941,0.9,0.9138,0.5964,0.9106,0.9574,0.9242,0.8974,0.903,0.8074,0.913,0.7168,0.92,0.7556,0.9228,0.69,0.6484,0.8072,0.8346,0.8982,0.635,0.7662,0,0.9238,0.914,0.513,0.9144,0.9174,0.9242,0.7702
"1642.MS00503",0.557,0.5836,0.919,0.5032,0.638,0.9354,0.9112,0.5262,0.9536,0.9398,0.7052,0.528,0.4684,0.9464,0.5856,0.804,0.4472,0.5286,0.579,0.9652,0.5516,0.917,0.6574,0.9112,0.5018,0.961,0.9626,0.916,0.896,0.5264,0.955,0.911,0.9238,0,0.4574,0.9302,0.5464,0.5812,0.5734,0.911
"1642.MS00438",0.5054,0.5442,0.9228,0.5072,0.5932,0.9386,0.9142,0.6196,0.9528,0.9376,0.6636,0.536,0.448,0.9442,0.5924,0.786,0.481,0.5218,0.5622,0.9664,0.5196,0.9086,0.622,0.9192,0.5444,0.9578,0.9616,0.9154,0.8824,0.5206,0.9542,0.918,0.914,0.4574,0,0.9278,0.4892,0.5334,0.6128,0.9186
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",0.9034,0.9264,0.7682,0.9118,0.9266,0.762,0.7982,0.9306,0.5182,0.5922,0.9482,0.9056,0.9182,0.5826,0.9168,0.9614,0.9294,0.903,0.9094,0.7956,0.926,0.7594,0.9326,0.7984,0.9246,0.6646,0.511,0.8044,0.8468,0.9062,0.5368,0.8038,0.513,0.9302,0.9278,0,0.925,0.922,0.9262,0.7982
"1642.MS00413",0.4966,0.5508,0.915,0.545,0.5626,0.9326,0.9006,0.64,0.9504,0.94,0.6618,0.52,0.51,0.9436,0.5732,0.7912,0.5302,0.4968,0.5258,0.9664,0.4892,0.91,0.588,0.9084,0.5536,0.9652,0.9614,0.904,0.8654,0.509,0.9538,0.9082,0.9144,0.5464,0.4892,0.925,0,0.5244,0.621,0.9058
"1642.MS00445",0.4986,0.4976,0.9162,0.5626,0.5874,0.9374,0.907,0.6238,0.9488,0.9386,0.7022,0.524,0.5534,0.9444,0.5616,0.8232,0.5406,0.5076,0.5352,0.964,0.5304,0.9092,0.6246,0.9112,0.5564,0.96,0.961,0.9128,0.872,0.5006,0.9522,0.9102,0.9174,0.5812,0.5334,0.922,0.5244,0,0.5762,0.91
"1642.MS00633",0.5772,0.5562,0.9188,0.5732,0.7132,0.9228,0.9044,0.5832,0.9464,0.9348,0.773,0.5368,0.6336,0.9436,0.524,0.8576,0.5532,0.5412,0.6298,0.955,0.593,0.904,0.7264,0.9114,0.546,0.951,0.9598,0.918,0.8918,0.5414,0.9538,0.9126,0.9242,0.5734,0.6128,0.9262,0.621,0.5762,0,0.9108
"2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8884,0.9182,0.5352,0.9028,0.935,0.735,0.616,0.9126,0.8658,0.8402,0.9294,0.8876,0.8984,0.8486,0.89,0.9538,0.9202,0.883,0.8952,0.8898,0.9074,0.8368,0.9186,0.537,0.9256,0.8872,0.8914,0.6486,0.7618,0.8924,0.869,0.477,0.7702,0.911,0.9186,0.7982,0.9058,0.91,0.9108,0
