"","1642.MS00549","1642.MS00607","1642.MS00371","1642.MS00365","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00406","1642.MS00476","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00384","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00383","1642.MS00503","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.373.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00438","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00388","1642.MS00445","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00496","1642.MS00488","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00405","1642.MS00532","1642.MS00543","1642.MS00467","1642.MS00633","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00548"
"1642.MS00413",0.0216386560898,0.0301062182033,0.0332676889678,0.0264326552052,0.0791779998854,0.0216006271502,0.0221854673038,0.0813867758826,0.0197445596682,0.0809396998115,0.0220001780034,0.0224485841033,0.0965591296716,0.0784955802415,0.0896516579696,0.0193202655672,0.0818513567343,0.0269183251228,0.0236176612102,0.1016436724236,0.0991466314969,0.0815409162566,0,0.0894621471679,0.0214972924555,0.0231826918702,0.0791492260398,0.0845981196455,0.0669172407628,0.020598917371,0.0216908176766,0.0277343897197,0.0221444276365,0.0301421643195,0.0858053814636,0.1079411715775,0.102747481636,0.0948654049118,0.0851888098458,0.02285084426
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.0941738337639,0.1002534165489,0.0832724183173,0.0817277889487,0.0316913715968,0.0832777578921,0.0930320095792,0.0340285408287,0.0811051779749,0.0325588839842,0.0851748804215,0.0870022053539,0.0211286553239,0.0491372399789,0.0266116222693,0.0875299282334,0.033191941727,0.0940737450335,0.1016388953732,0.0303661215042,0.0265526209912,0.0385839780553,0.0894621471679,0,0.090788470311,0.1106512642473,0.0333720371913,0.0291049782726,0.1055650448643,0.085958884659,0.0925860500054,0.0942590928925,0.0990258746501,0.1103518898818,0.0304281451479,0.0278537935715,0.0368399922387,0.0283012008216,0.0440343558267,0.0972878072122
"1642.MS00496",0.0174982758822,0.0243833347807,0.0399048432928,0.0329540132242,0.0780258978114,0.0194156096814,0.0199539620266,0.0796231297551,0.0212607984181,0.0804220155179,0.0226847387894,0.0182907132388,0.0951644910077,0.0784746821202,0.0912177987991,0.020423134326,0.0806504447618,0.0347747114084,0.020768439153,0.0973555828281,0.0961353501527,0.0818765350342,0.0214972924555,0.090788470311,0,0.0191573414829,0.0776526315469,0.0838429180828,0.0771755620378,0.0190814421097,0.0188840194414,0.0207790531374,0.0189424153695,0.0244682567514,0.0852138292317,0.1062064592913,0.0992634798333,0.0892241202888,0.085452839414,0.0180106782113
"1642.MS00488",0.0204305561538,0.0292242352262,0.044003781807,0.0381748543421,0.0956328014484,0.0233864957574,0.0215887044794,0.0962365526394,0.0253656906919,0.0978713802548,0.025826658112,0.0210412123277,0.117768985742,0.099120818819,0.1096085420238,0.0212232538333,0.1033363303761,0.033690641066,0.0223274325489,0.1202047574088,0.1136430195175,0.103411045125,0.0231826918702,0.1106512642473,0.0191573414829,0,0.0970699702473,0.10627150944,0.0994322718989,0.0249145438759,0.0224064352857,0.023456547053,0.0193879404587,0.0248681900299,0.1102912123834,0.1289651213602,0.1210204754462,0.1129943402625,0.1081425584821,0.0202349394806
"2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences",0.0803896003392,0.0862959003765,0.0954975038334,0.0883139979815,0.0330332083257,0.0757024506915,0.0840181867463,0.0329362471424,0.0760970781116,0.0319375713822,0.0769899949096,0.075956386604,0.026972158711,0.040513863297,0.0264060886086,0.0776489685779,0.0347210807894,0.0886188460793,0.0892067485534,0.0307327799513,0.0245341816847,0.0361720351578,0.0791492260398,0.0333720371913,0.0776526315469,0.0970699702473,0,0.0374481509043,0.1316087000588,0.0759722375283,0.0809744399243,0.0849211910007,0.0920955529871,0.098569054615,0.0180338983464,0.0392451917584,0.0275275190485,0.0271865359133,0.0422484480642,0.0848803070428
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0847284967598,0.0884939365726,0.0819327064727,0.0767942638527,0.0422667390307,0.0784057728321,0.0840772292774,0.0222479874196,0.0726306949232,0.0200582056375,0.0784964355647,0.0822881944858,0.0423167318329,0.0380167307988,0.0438576493632,0.0854923521743,0.0173692820543,0.0868825573946,0.0935973547734,0.0504816025527,0.0471972839604,0.0265171949687,0.0845981196455,0.0291049782726,0.0838429180828,0.10627150944,0.0374481509043,0,0.1040616112974,0.0780789362164,0.0839288045226,0.0909674826874,0.0960107377369,0.1026026965336,0.039682869862,0.0500309957143,0.0562436337461,0.0421342593091,0.0302919170372,0.0901963580884
"1642.MS00358",0.0779650048836,0.078124618217,0.0555502200753,0.0532982657877,0.1150900602372,0.0799672159833,0.0806652722408,0.1319243192792,0.0580474277439,0.1254041487005,0.0624117868367,0.0699499307026,0.1255961323622,0.1046764147679,0.0943269917919,0.0906460140177,0.1080485878755,0.0660859858609,0.0810321311908,0.1333873035704,0.1125450072019,0.1088314505826,0.0669172407628,0.1055650448643,0.0771755620378,0.0994322718989,0.1316087000588,0.1040616112974,0,0.065477328166,0.0764475589491,0.0870160180039,0.0715276217089,0.0777788389364,0.1271022614269,0.1326807361425,0.1346659061231,0.1336620120226,0.1101459997281,0.074413961467
"1642.MS00405",0.0202905046387,0.0249412964803,0.0313599454432,0.0268202221866,0.0750307507029,0.0195181171264,0.0197119722001,0.0757785099205,0.0191715011224,0.0767162950843,0.0202493891407,0.020597622262,0.0921065155726,0.0751286131074,0.0900518367712,0.0207376335271,0.0770804162335,0.027122299441,0.0218903368674,0.0954808625423,0.0944385923037,0.0781408901723,0.020598917371,0.085958884659,0.0190814421097,0.0249145438759,0.0759722375283,0.0780789362164,0.065477328166,0,0.0210725524464,0.0249936137253,0.0208787552392,0.0278415428252,0.0839884119312,0.1013153849741,0.0988432078497,0.0913739630589,0.0812011614801,0.0209974165944
"1642.MS00532",0.0181604411918,0.0227397314553,0.039458770321,0.0338537899273,0.0823475466387,0.0206311420726,0.0195992459663,0.0816561697206,0.0214328680431,0.0807666396331,0.0235558168597,0.0199583084032,0.099009120388,0.0818742503904,0.0952364944717,0.0215157474698,0.0804477583739,0.028546295023,0.0224773638167,0.1005908624312,0.0998456510162,0.0833157526598,0.0216908176766,0.0925860500054,0.0188840194414,0.0224064352857,0.0809744399243,0.0839288045226,0.0764475589491,0.0210725524464,0,0.0226771695523,0.0197746156603,0.024393352455,0.0870337928653,0.1084417061852,0.1021292552778,0.0973817135604,0.0866505436917,0.020304554639
"1642.MS00543",0.0206782848846,0.0305205773028,0.0428512281079,0.0391619850305,0.0848149785153,0.0199940752128,0.0229114184733,0.0900171781343,0.0235882864649,0.0866866848517,0.0249768942178,0.0174309250612,0.0985964927383,0.0899121486845,0.0959919977233,0.0251114034269,0.090140337844,0.0352729267782,0.0247253967527,0.0979229983452,0.1016226922009,0.0926464533266,0.0277343897197,0.0942590928925,0.0207790531374,0.023456547053,0.0849211910007,0.0909674826874,0.0870160180039,0.0249936137253,0.0226771695523,0,0.0199598536138,0.0272476678142,0.0897890779849,0.1055267177777,0.1044690826336,0.102761289241,0.099955668259,0.0199055480465
"1642.MS00467",0.0199794436593,0.0285598721407,0.0365957584037,0.033548138889,0.0873918589295,0.0184721037442,0.0203250299737,0.0868473204499,0.020975996826,0.0877147191918,0.0222558611651,0.0185549656714,0.1047764282357,0.0910302690164,0.1009630453838,0.0230675861588,0.0947813646373,0.0283805437612,0.021601489442,0.1077997744249,0.1055914633625,0.094894752352,0.0221444276365,0.0990258746501,0.0189424153695,0.0193879404587,0.0920955529871,0.0960107377369,0.0715276217089,0.0208787552392,0.0197746156603,0.0199598536138,0,0.0246623968082,0.0976862103432,0.1135382892087,0.1115315172183,0.1045316955159,0.0985228763489,0.0185823852726
"1642.MS00633",0.0230170779358,0.0235044364336,0.0451838246995,0.0400925646257,0.0958988444222,0.0240793591148,0.0260750489242,0.0997746671346,0.0290205786488,0.0985037808763,0.0299747971283,0.0236209066548,0.1214407443375,0.0987122832217,0.1185726478586,0.0258153648954,0.0980020294434,0.0351841550015,0.0253062108463,0.1205906193791,0.1246792072054,0.1006558481145,0.0301421643195,0.1103518898818,0.0244682567514,0.0248681900299,0.098569054615,0.1026026965336,0.0777788389364,0.0278415428252,0.024393352455,0.0272476678142,0.0246623968082,0,0.1104404155408,0.1288636655831,0.1251641023645,0.1195961405808,0.1044078721549,0.0243466039937
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",0.0894548095905,0.0960569401188,0.084361823418,0.0773011087597,0.0314682877209,0.0785872932044,0.0896324281767,0.0356578079419,0.0779690961835,0.0315157372953,0.080561537743,0.0819279057442,0.0217873237827,0.0461364879776,0.0231200871208,0.0850065745424,0.0363301461376,0.0902098446962,0.0957062665856,0.022496238504,0.0204046414876,0.0390098301569,0.0858053814636,0.0304281451479,0.0852138292317,0.1102912123834,0.0180338983464,0.039682869862,0.1271022614269,0.0839884119312,0.0870337928653,0.0897890779849,0.0976862103432,0.1104404155408,0,0.0309875734007,0.0222769678941,0.0224561028766,0.0450110710842,0.0916985105718
"2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences",0.1066020615081,0.1173760890485,0.0991349129415,0.0927986337645,0.0340029785023,0.0979468653657,0.1089603082334,0.0497849014841,0.0953295849923,0.0459938944181,0.0990032964144,0.1029692878292,0.0190806498132,0.0686876570968,0.0273476275199,0.1056357449046,0.0530702941086,0.1114868795181,0.1175673291133,0.0161297941817,0.0264291709206,0.0588501363142,0.1079411715775,0.0278537935715,0.1062064592913,0.1289651213602,0.0392451917584,0.0500309957143,0.1326807361425,0.1013153849741,0.1084417061852,0.1055267177777,0.1135382892087,0.1288636655831,0.0309875734007,0,0.0368521072741,0.0255632933698,0.0685691427531,0.1134636822551
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.101516821383,0.1076515917694,0.1039041394482,0.0949747939172,0.0353648276216,0.0917643781446,0.1053572118768,0.0498472057472,0.0948169708148,0.0490978581347,0.0980405246101,0.0951219681841,0.0179878134974,0.0535337255533,0.0242758774412,0.1024635311599,0.0541337063404,0.1100367253824,0.1147114510877,0.0451225066471,0.0174722158881,0.05343162067,0.102747481636,0.0368399922387,0.0992634798333,0.1210204754462,0.0275275190485,0.0562436337461,0.1346659061231,0.0988432078497,0.1021292552778,0.1044690826336,0.1115315172183,0.1251641023645,0.0222769678941,0.0368521072741,0,0.0251585934469,0.0587432331002,0.1041512966029
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.0943941902151,0.10359458529,0.1013297604588,0.0895300780463,0.0279416869574,0.0857252321199,0.0991232319613,0.0448766228264,0.0899647872437,0.039013301177,0.0959222328764,0.0902889677176,0.0163907027683,0.0478644321815,0.0133714423819,0.0958386759292,0.0421410370002,0.1090933802991,0.1046545608314,0.0232381852512,0.0203603294902,0.0355654439626,0.0948654049118,0.0283012008216,0.0892241202888,0.1129943402625,0.0271865359133,0.0421342593091,0.1336620120226,0.0913739630589,0.0973817135604,0.102761289241,0.1045316955159,0.1195961405808,0.0224561028766,0.0255632933698,0.0251585934469,0,0.0531841951993,0.0982842353362
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",0.087983165538,0.0912688622508,0.0893626537846,0.0841705467957,0.0508848464664,0.0881111716422,0.0891463397027,0.034776547738,0.0785689818755,0.0339288843572,0.0877659438051,0.0876381583686,0.0568271087948,0.0427406626862,0.049285680526,0.0898498868149,0.0283582982755,0.0982207141144,0.0984857300533,0.0654315113787,0.0543828184422,0.0357824822164,0.0851888098458,0.0440343558267,0.085452839414,0.1081425584821,0.0422484480642,0.0302919170372,0.1101459997281,0.0812011614801,0.0866505436917,0.099955668259,0.0985228763489,0.1044078721549,0.0450110710842,0.0685691427531,0.0587432331002,0.0531841951993,0,0.0927822954104
"1642.MS00548",0.0179963855156,0.025623453289,0.0390289336238,0.0332940602025,0.0860888310986,0.0202049232089,0.0200017499103,0.0847546654497,0.0216768735628,0.0864551143253,0.0231555857219,0.0171488245951,0.0998324093211,0.088219882086,0.0972791504782,0.0221775784386,0.0887057975175,0.0310159088417,0.0220473224056,0.1056201088407,0.1000159644701,0.0908792366957,0.02285084426,0.0972878072122,0.0180106782113,0.0202349394806,0.0848803070428,0.0901963580884,0.074413961467,0.0209974165944,0.020304554639,0.0199055480465,0.0185823852726,0.0243466039937,0.0916985105718,0.1134636822551,0.1041512966029,0.0982842353362,0.0927822954104,0
