"","1642.MS00489","1642.MS00404","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00421","1642.MS00487","1642.MS00458","1642.MS00533","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00595","1642.MS00531","1642.MS00604","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00480","1642.MS00592","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00425","1642.MS00390","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00465","1642.MS00335","1642.MS00490","1642.MS00331","1642.MS00363","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00550","1642.MS00443","1642.MS00578","1642.MS00556","1642.MS00505","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00465",-0.629,0.521,1,1,1,1,1,1,-0.378,-0.496,0.691,-0.829,1,0.755,0.898,-0.652,0.89,1,-0.743,0.3,1,-0.483,-0.733,0.889,1,0,0.625,-0.952,0.189,0.144,1,1,0.944,-0.865,0.912,-0.973,0.376,-0.467,1,1
"1642.MS00335",0.906,0.807,1,1,1,1,1,1,-0.48,0.948,0.97,0.996,1,0.983,0.998,0.998,1,1,-0.632,0.988,1,0.999,-0.947,-1,1,0.625,0,0.184,-1,-1,1,1,0.998,0.946,0.711,0.331,0.972,-0.468,1,1
"1642.MS00490",-1,0.644,1,0.996,1,1,1,1,-0.345,-1,0.265,-0.756,1,0.0940000000000001,0.982,-0.499,0.646,1,-0.807,-0.123,1,-0.342,-0.843,0.291,1,-0.952,0.184,0,-0.291,-0.239,1,1,0.518,-0.808,0.221,-0.858,0.002,-0.978,1,1
"1642.MS00331",0.892,0.636,1,1,1,1,1,1,-0.424,0.885,0.928,0.934,1,0.89,0.996,0.94,0.998,1,-0.701,0.927,1,0.978,-0.994,-0.966,1,0.189,-1,-0.291,0,-1,1,1,1,0.734,0.819,-0.152,0.942,-0.922,1,1
"1642.MS00363",0.733,0.004,1,1,1,1,1,1,-0.942,0.7,0.193,0.783,1,0.609,0.935,0.945,0.952,1,-0.962,0.663,1,0.964,-1,-0.528,1,0.144,-1,-0.239,-1,0,1,1,0.972,0.698,0.251,-0.116,0.404,-0.998,1,1
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.869,1,0.849,0.998,0.776,0.873,1,1,1,1,-0.711,1,1,1,1,-0.675,1,1,-0.039,1,1,1,0.974,1,1,1,1,1,0,-0.669,1,1,1,1,1,1,0.967,0.889
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.992,1,1,1,0.976,0.817,1,1,1,1,0.0229999999999999,1,1,1,1,-0.99,1,1,0.996,1,1,1,1,1,1,1,1,1,-0.669,0,1,1,1,1,1,1,0.942,0.998
"1642.MS00617",-0.00800000000000001,-0.184,1,0.496,1,1,1,1,0.388,-0.0600000000000001,-0.918,-0.19,1,-0.912,0.871,0.299,-0.848,1,0.861,-0.971,1,0.259,0.307,1,1,0.944,0.998,0.518,1,0.972,1,1,0,-0.183,-0.75,0.996,-0.665,0.002,1,1
"1642.MS00550",-0.867,0.348,1,0.99,1,1,1,1,0.0489999999999999,-0.611,-0.016,-1,1,-0.447,0.617,-0.935,-0.103,1,-0.225,-0.836,1,-0.962,-0.113,0.992,1,-0.865,0.946,-0.808,0.734,0.698,1,1,-0.183,0,0.004,-0.704,-0.672,-0.521,1,1
"1642.MS00443",-0.791,-0.106,1,0.899,1,1,1,1,-0.13,-0.882,-0.399,-0.101,1,-0.865,0.904,0.199,-0.0580000000000001,1,0.747,-0.818,1,0.268,0.163,0.724,1,0.912,0.711,0.221,0.819,0.251,1,1,-0.75,0.004,0,1,-0.625,-0.269,1,1
"1642.MS00578",-0.046,1,1,1,1,1,1,1,0.771,0.196,1,-0.368,1,0.996,0.994,0.15,0.988,1,-1,0.769,1,-0.607,-0.82,0.649,1,-0.973,0.331,-0.858,-0.152,-0.116,1,1,0.996,-0.704,1,0,0.988,-0.917,1,1
"1642.MS00556",-0.346,-0.322,1,0.842,1,1,1,1,-0.246,-0.462,-0.986,-0.643,1,-0.886,0.447,-0.261,-0.86,1,0.288,-0.983,1,-0.041,-0.343,0.996,1,0.376,0.972,0.002,0.942,0.404,1,1,-0.665,-0.672,-0.625,0.988,0,-0.56,1,1
"1642.MS00505",-0.418,-0.036,1,0.97,1,1,1,1,-0.833,-0.489,-0.33,-0.522,1,-0.568,0.771,-0.245,-0.04,1,-1,-0.77,1,-0.172,-1,0.157,1,-0.467,-0.468,-0.978,-0.922,-0.998,1,1,0.002,-0.521,-0.269,-0.917,-0.56,0,1,1
"2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences",1,1,-0.998,1,1,-0.986,-0.996,-1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,-0.629,1,1,1,1,1,0.967,0.942,1,1,1,1,1,1,0,-0.848
"2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences",1,1,-0.974,1,1,-0.638,-1,-0.832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.885,1,1,1,1,1,0.889,0.998,1,1,1,1,1,1,-0.848,0
