"","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00470","1642.MS00447","1642.MS00525","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00429","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00349","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00532","1642.MS00489","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00379","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00442","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00553"
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",0.0254153180853,0.0200471661457,0.0234995259752,0.0201578714464,0.0881753454422,0.1016533119498,0.0891961761111,0.0479678340344,0.0890206839087,0.0457365442113,0,0.0854206285843,0.0186646759132,0.0850692574629,0.083225254398,0.0595979262422,0.0223543316926,0.0302685839796,0.0210516267179,0.0871018179159,0.0882349239542,0.1074151372724,0.0242311368874,0.0851573812063,0.0414349787016,0.1037343741828,0.0928686813542,0.0320108995313,0.0316896888198,0.0872680925522,0.0227865825396,0.084659141961,0.0409518828777,0.03079070452,0.0226267178639,0.0251075270694,0.0361407354325,0.024645641182,0.0170046878554,0.0987228003443
"1642.MS00429",0.0926021266225,0.0851387779505,0.0948124782226,0.0907827440926,0.02791496856,0.026569133367,0.0251564470308,0.0802167016407,0.0263415647873,0.0890818871425,0.0854206285843,0,0.0891605361001,0.0228367801888,0.0299485906405,0.084582679944,0.0963093725239,0.0803014173619,0.0841224334523,0.0284771714978,0.0242164535297,0.0259136647039,0.0960454193363,0.0221502289297,0.098155738948,0.0287047674865,0.0274682956936,0.0768384705539,0.0947216537017,0.0251492669713,0.0865249183626,0.0239111157204,0.0875976346083,0.0919677444913,0.0855488773621,0.1029341067982,0.084444045167,0.0996277514005,0.0910695569825,0.0343137515498
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.0204728762585,0.0221881953157,0.0185669416282,0.0156846443584,0.0893079572879,0.1045888578799,0.0944070458778,0.0439308168332,0.0871477415455,0.0567184124308,0.0186646759132,0.0891605361001,0,0.0829848010275,0.0855675577512,0.0523476857189,0.0169776338531,0.0357635342781,0.0171611627053,0.088304507654,0.0900274725937,0.1088407339897,0.0171589542205,0.0870257544308,0.0307380189575,0.1038802467023,0.0942698963644,0.0353881743783,0.0251697481666,0.0857319653371,0.0233083920401,0.0852964172345,0.0449041329929,0.0259549605636,0.0225295110354,0.0181512692777,0.0437198429858,0.0167072504292,0.0164728463491,0.1016366280203
"1642.MS00398",0.0887667718069,0.0832653904912,0.0902005943876,0.0801671153392,0.0293750527125,0.0251758423782,0.0298711395945,0.0824192953168,0.0271755832967,0.1048303812973,0.0850692574629,0.0228367801888,0.0829848010275,0,0.0292825343653,0.0867032177741,0.0903191567531,0.0846167794801,0.0768426562875,0.0336860764022,0.0313234356822,0.026344711507,0.0855285370535,0.0222794725089,0.0859621690261,0.0280702686791,0.0294375511332,0.0802876760804,0.086375060525,0.0242911632516,0.0845834194444,0.0261132026753,0.0928032543033,0.0793037782419,0.0826009337624,0.0967827907149,0.1035158821605,0.0940297852244,0.0884491822185,0.0410936276844
"1642.MS00349",0.0938729282011,0.0823126117858,0.0960530107381,0.0833200794482,0.0414251783819,0.0372705149946,0.0425747661313,0.0842608553748,0.0379666054735,0.099270369394,0.083225254398,0.0299485906405,0.0855675577512,0.0292825343653,0,0.0846302784734,0.0941671593251,0.0840567120743,0.0797988324223,0.0399261607309,0.0385507513439,0.0392996943758,0.0947945023465,0.0250553826989,0.0894535579355,0.0425994735947,0.038609050916,0.0845692744164,0.0893984694966,0.0410256309886,0.0805510564136,0.029680221558,0.0891984052686,0.0832472386026,0.0831881782306,0.098455806683,0.0986988896057,0.1008937654519,0.0926270651648,0.0524818492316
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0583378967811,0.0538297442505,0.060473386699,0.0480105458507,0.0866702870964,0.1102286255774,0.0883615073093,0.023753854127,0.0867937962071,0.0500321561499,0.0595979262422,0.084582679944,0.0523476857189,0.0867032177741,0.0846302784734,0,0.0630961541255,0.0427574122361,0.0519534297589,0.0862815370899,0.0875079047304,0.1123466320945,0.0560679402657,0.087294191402,0.0455996248691,0.1058706117077,0.0945318797586,0.0496820108812,0.0406281266602,0.0889039799304,0.0464443018371,0.0840623497177,0.0420023632119,0.0697431423807,0.0532004486605,0.0766405551193,0.0469621709011,0.0657871738427,0.0614957156009,0.1012219962388
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.0125041301037,0.0216755110296,0.0143111689749,0.0201954835212,0.1019011097558,0.1185798784633,0.1045643954252,0.0537590215266,0.0987823906253,0.0680177353579,0.0223543316926,0.0963093725239,0.0169776338531,0.0903191567531,0.0941671593251,0.0630961541255,0,0.0409272920967,0.0205352631659,0.1015573830695,0.1017603435931,0.120003193279,0.0141709712239,0.0968952188538,0.0284063137152,0.117350066576,0.1087519434087,0.0332190583748,0.0204148965504,0.0956466484154,0.0218299417559,0.0975978802752,0.0574253252432,0.0195359217719,0.0191964987135,0.0151712515256,0.0474647600557,0.0169702932466,0.0154694321963,0.117618129464
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0431678068387,0.0355536839475,0.039814386428,0.0315730136995,0.0821908117079,0.0981542066357,0.083786885943,0.0336789000848,0.0839860104801,0.0289901321926,0.0302685839796,0.0803014173619,0.0357635342781,0.0846167794801,0.0840567120743,0.0427574122361,0.0409272920967,0,0.0313483954661,0.0811573286418,0.0825270041837,0.1053241544816,0.0378428487405,0.0811466550359,0.0560884430564,0.1018875793374,0.0868129304243,0.0244016742795,0.0443001539734,0.0881441646623,0.0224407423572,0.0790131107801,0.0290095558191,0.0656833568326,0.0222266148247,0.0437416173256,0.0220714272351,0.0462947622577,0.0354855937531,0.0928512223936
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.0237809530916,0.0258162882583,0.0229885853359,0.0163056676569,0.0857626292295,0.0997549231618,0.0890145491356,0.0449879410954,0.0834387392576,0.0478534478891,0.0210516267179,0.0841224334523,0.0171611627053,0.0768426562875,0.0797988324223,0.0519534297589,0.0205352631659,0.0313483954661,0,0.0842737943666,0.0850941192595,0.100535019298,0.0201000517377,0.0806264224391,0.0351533173436,0.0984331968877,0.0901437516189,0.0301424933874,0.0288565501637,0.0794240156805,0.022602768829,0.0814572118868,0.0399754344798,0.0273069069195,0.0220151490453,0.023069795318,0.0359239009067,0.0253241233465,0.0224023830671,0.0975495323001
"1642.MS00493",0.0983363512274,0.0865843366121,0.0966268625849,0.0818922392981,0.0208213768879,0.0271981064537,0.0215450520797,0.0790285233039,0.0218747095763,0.0884778520091,0.0871018179159,0.0284771714978,0.088304507654,0.0336860764022,0.0399261607309,0.0862815370899,0.1015573830695,0.0811573286418,0.0842737943666,0,0.0187467287605,0.0225207415884,0.0943750836774,0.02615040923,0.0934399667141,0.0222579657945,0.0221107652666,0.0812255039547,0.0901115697257,0.0239148668977,0.083595825638,0.021588866557,0.0848898160854,0.1096489237483,0.0885203212581,0.1071398184314,0.0850325923576,0.0998663258592,0.0956979723379,0.0286801379318
