"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00489","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","1642.MS00379","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00532","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00470","1642.MS00485","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00493","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00525","1642.MS00577","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00349","1642.MS00520","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00553","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00398","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00447"
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",0.7806,0.95,0.6174,0.8416,0.6762,0.9452,0.9412,0.5006,0.8768,0.9302,0.6474,0.936,0.946,0.4964,0,0.9356,0.531,0.5844,0.8286,0.9474,0.9428,0.4992,0.5432,0.5878,0.9628,0.9608,0.867,0.8174,0.8168,0.9478,0.8812,0.635,0.9446,0.9532,0.5582,0.959,0.4826,0.5432,0.8964,0.9562
"1642.MS00493",0.9296,0.5176,0.9018,0.882,0.9152,0.5802,0.5772,0.941,0.92,0.4598,0.9118,0.4726,0.517,0.9304,0.9356,0,0.9554,0.9188,0.8938,0.4784,0.5142,0.9536,0.937,0.9102,0.7206,0.6326,0.8914,0.8814,0.9434,0.5038,0.8592,0.9024,0.4912,0.5742,0.9258,0.6922,0.9546,0.9284,0.8688,0.5518
"2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences",0.8196,0.9674,0.6672,0.8946,0.7302,0.9618,0.9614,0.5188,0.8972,0.952,0.6798,0.9594,0.965,0.574,0.531,0.9554,0,0.692,0.8776,0.969,0.9636,0.5762,0.5812,0.6108,0.9752,0.974,0.9202,0.8648,0.8122,0.9654,0.9178,0.6704,0.9674,0.9748,0.6646,0.971,0.549,0.5576,0.9346,0.9698
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",0.7818,0.9388,0.6964,0.828,0.7038,0.9364,0.9282,0.6562,0.869,0.9188,0.71,0.9248,0.9338,0.6344,0.5844,0.9188,0.692,0,0.8128,0.9388,0.9338,0.6688,0.6628,0.6412,0.9574,0.958,0.858,0.7976,0.8574,0.9324,0.8578,0.65,0.9324,0.9406,0.6798,0.9562,0.6582,0.6676,0.8746,0.949
"2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9072,0.9258,0.7936,0.6206,0.8752,0.919,0.911,0.8584,0.7698,0.9014,0.8172,0.9092,0.9256,0.8008,0.8286,0.8938,0.8776,0.8128,0,0.91,0.9238,0.8784,0.8406,0.6834,0.9448,0.9522,0.6246,0.5466,0.9274,0.9184,0.7374,0.7192,0.9132,0.9138,0.8174,0.948,0.867,0.8506,0.8128,0.9342
"1642.MS00525",0.9476,0.515,0.9184,0.9018,0.9372,0.55,0.5774,0.9538,0.9366,0.4588,0.9288,0.4822,0.4996,0.9434,0.9474,0.4784,0.969,0.9388,0.91,0,0.497,0.9632,0.9482,0.9282,0.7036,0.5732,0.9106,0.9038,0.955,0.5114,0.885,0.9202,0.4902,0.6028,0.9436,0.636,0.9642,0.9512,0.8962,0.5396
"1642.MS00577",0.9328,0.569,0.9204,0.9084,0.9218,0.6202,0.6396,0.9484,0.9382,0.5032,0.9284,0.5426,0.5332,0.9434,0.9428,0.5142,0.9636,0.9338,0.9238,0.497,0,0.958,0.9442,0.928,0.6892,0.4904,0.9158,0.9116,0.9506,0.5936,0.8912,0.9248,0.5456,0.6418,0.933,0.5906,0.9578,0.9448,0.8884,0.597
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.7594,0.966,0.6078,0.8918,0.6268,0.9578,0.959,0.5286,0.9162,0.9486,0.6298,0.9536,0.963,0.6708,0.4992,0.9536,0.5762,0.6688,0.8784,0.9632,0.958,0,0.5204,0.6378,0.9728,0.9678,0.9082,0.861,0.7774,0.9642,0.9066,0.6788,0.9614,0.9694,0.5606,0.9682,0.4898,0.541,0.9186,0.9674
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",0.782,0.9516,0.5796,0.8658,0.6914,0.9444,0.948,0.3848,0.8522,0.9294,0.6436,0.9422,0.9488,0.6212,0.5432,0.937,0.5812,0.6628,0.8406,0.9482,0.9442,0.5204,0,0.5496,0.9624,0.9638,0.8864,0.8216,0.6894,0.9508,0.884,0.5912,0.9492,0.9582,0.5962,0.9572,0.5914,0.5028,0.9054,0.956
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",0.8106,0.9358,0.531,0.755,0.7276,0.9292,0.9234,0.5036,0.7718,0.9062,0.585,0.9194,0.9332,0.6182,0.5878,0.9102,0.6108,0.6412,0.6834,0.9282,0.928,0.6378,0.5496,0,0.9496,0.9522,0.7622,0.6452,0.7638,0.932,0.8102,0.502,0.9256,0.9342,0.6166,0.9512,0.6552,0.5246,0.8422,0.945
"1642.MS00349",0.9592,0.7556,0.9432,0.941,0.949,0.6962,0.6186,0.9624,0.9506,0.7262,0.952,0.7358,0.7488,0.962,0.9628,0.7206,0.9752,0.9574,0.9448,0.7036,0.6892,0.9728,0.9624,0.9496,0,0.7336,0.9468,0.9404,0.9692,0.7324,0.9306,0.9484,0.6778,0.8068,0.957,0.6478,0.9708,0.962,0.9284,0.7166
"1642.MS00520",0.9568,0.6068,0.943,0.9506,0.9506,0.6646,0.7072,0.9646,0.9574,0.605,0.9506,0.6364,0.5744,0.9634,0.9608,0.6326,0.974,0.958,0.9522,0.5732,0.4904,0.9678,0.9638,0.9522,0.7336,0,0.9524,0.9482,0.9676,0.6634,0.9364,0.9494,0.624,0.7018,0.9568,0.572,0.9718,0.958,0.9386,0.6268
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9162,0.927,0.8168,0.562,0.9066,0.9248,0.9136,0.9016,0.8144,0.9012,0.8244,0.9076,0.9222,0.8334,0.867,0.8914,0.9202,0.858,0.6246,0.9106,0.9158,0.9082,0.8864,0.7622,0.9468,0.9524,0,0.6234,0.9356,0.9184,0.7734,0.7736,0.9124,0.9158,0.8498,0.9492,0.904,0.8926,0.817,0.9386
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8816,0.9188,0.7672,0.5908,0.8424,0.911,0.9006,0.8312,0.7414,0.8874,0.798,0.897,0.9148,0.7914,0.8174,0.8814,0.8648,0.7976,0.5466,0.9038,0.9116,0.861,0.8216,0.6452,0.9404,0.9482,0.6234,0,0.9038,0.9106,0.7058,0.6606,0.9032,0.9104,0.807,0.9422,0.852,0.8258,0.7702,0.928
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",0.7826,0.9576,0.6916,0.9142,0.7542,0.9538,0.9566,0.6984,0.9072,0.941,0.7016,0.9424,0.953,0.8696,0.8168,0.9434,0.8122,0.8574,0.9274,0.955,0.9506,0.7774,0.6894,0.7638,0.9692,0.9676,0.9356,0.9038,0,0.9604,0.9272,0.7864,0.9578,0.9658,0.7722,0.9638,0.833,0.6788,0.9236,0.967
"1642.MS00442",0.95,0.5454,0.9252,0.9082,0.9388,0.5764,0.5246,0.9556,0.941,0.5164,0.9296,0.5226,0.5574,0.9454,0.9478,0.5038,0.9654,0.9324,0.9184,0.5114,0.5936,0.9642,0.9508,0.932,0.7324,0.6634,0.9184,0.9106,0.9604,0,0.8854,0.9286,0.4658,0.5652,0.9354,0.676,0.9662,0.948,0.8958,0.4914
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8402,0.8972,0.8628,0.7234,0.8096,0.8926,0.8816,0.8864,0.8822,0.8654,0.8636,0.8576,0.9018,0.8876,0.8812,0.8592,0.9178,0.8578,0.7374,0.885,0.8912,0.9066,0.884,0.8102,0.9306,0.9364,0.7734,0.7058,0.9272,0.8854,0,0.7814,0.8762,0.895,0.858,0.9322,0.8918,0.8718,0.5216,0.9084
"2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences",0.7968,0.9272,0.5714,0.7482,0.7138,0.9282,0.9228,0.5236,0.8096,0.9028,0.6302,0.9124,0.9294,0.602,0.635,0.9024,0.6704,0.65,0.7192,0.9202,0.9248,0.6788,0.5912,0.502,0.9484,0.9494,0.7736,0.6606,0.7864,0.9286,0.7814,0,0.9182,0.923,0.54,0.9468,0.688,0.5544,0.8278,0.943
"1642.MS00413",0.9426,0.5682,0.9208,0.9006,0.9364,0.5766,0.5528,0.9504,0.9382,0.52,0.926,0.5116,0.5724,0.9408,0.9446,0.4912,0.9674,0.9324,0.9132,0.4902,0.5456,0.9614,0.9492,0.9256,0.6778,0.624,0.9124,0.9032,0.9578,0.4658,0.8762,0.9182,0,0.5912,0.933,0.6274,0.9652,0.9462,0.8828,0.5472
"1642.MS00553",0.9634,0.6122,0.9326,0.9032,0.9508,0.6928,0.6792,0.9636,0.9426,0.6014,0.9334,0.6096,0.637,0.9444,0.9532,0.5742,0.9748,0.9406,0.9138,0.6028,0.6418,0.9694,0.9582,0.9342,0.8068,0.7018,0.9158,0.9104,0.9658,0.5652,0.895,0.923,0.5912,0,0.9434,0.764,0.9698,0.9564,0.9072,0.6176
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.757,0.94,0.4866,0.826,0.6932,0.938,0.9314,0.5698,0.8704,0.9196,0.536,0.9306,0.939,0.6208,0.5582,0.9258,0.6646,0.6798,0.8174,0.9436,0.933,0.5606,0.5962,0.6166,0.957,0.9568,0.8498,0.807,0.7722,0.9354,0.858,0.54,0.933,0.9434,0,0.9526,0.6082,0.5756,0.8788,0.95
"1642.MS00398",0.9498,0.6804,0.945,0.9446,0.9456,0.6354,0.631,0.9608,0.9534,0.6736,0.9492,0.6816,0.6598,0.9636,0.959,0.6922,0.971,0.9562,0.948,0.636,0.5906,0.9682,0.9572,0.9512,0.6478,0.572,0.9492,0.9422,0.9638,0.676,0.9322,0.9468,0.6274,0.764,0.9526,0,0.9722,0.9556,0.9326,0.6308
"2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences",0.7816,0.9666,0.6742,0.8788,0.6186,0.9616,0.962,0.5194,0.8962,0.9512,0.704,0.9558,0.9612,0.6334,0.4826,0.9546,0.549,0.6582,0.867,0.9642,0.9578,0.4898,0.5914,0.6552,0.9708,0.9718,0.904,0.852,0.833,0.9662,0.8918,0.688,0.9652,0.9698,0.6082,0.9722,0,0.5702,0.906,0.969
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",0.7242,0.951,0.5098,0.863,0.6246,0.9448,0.9414,0.4172,0.875,0.9282,0.5554,0.9354,0.9452,0.6122,0.5432,0.9284,0.5576,0.6676,0.8506,0.9512,0.9448,0.541,0.5028,0.5246,0.962,0.958,0.8926,0.8258,0.6788,0.948,0.8718,0.5544,0.9462,0.9564,0.5756,0.9556,0.5702,0,0.894,0.9526
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8376,0.9034,0.8724,0.7714,0.835,0.8964,0.885,0.9072,0.8994,0.8688,0.8682,0.8678,0.8996,0.9044,0.8964,0.8688,0.9346,0.8746,0.8128,0.8962,0.8884,0.9186,0.9054,0.8422,0.9284,0.9386,0.817,0.7702,0.9236,0.8958,0.5216,0.8278,0.8828,0.9072,0.8788,0.9326,0.906,0.894,0,0.918
"1642.MS00447",0.9552,0.547,0.9414,0.9328,0.9454,0.5558,0.5318,0.9592,0.9486,0.5578,0.9446,0.5852,0.5544,0.9544,0.9562,0.5518,0.9698,0.949,0.9342,0.5396,0.597,0.9674,0.956,0.945,0.7166,0.6268,0.9386,0.928,0.967,0.4914,0.9084,0.943,0.5472,0.6176,0.95,0.6308,0.969,0.9526,0.918,0
