"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00489","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","1642.MS00379","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00532","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00470","1642.MS00485","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00493","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00525","1642.MS00577","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00349","1642.MS00520","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00553","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00398","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00447"
"1642.MS00577",1,0.024,1,1,1,0.786,0.886,1,1,-0.598,1,-0.174,-0.426,1,1,-0.491,1,1,1,-0.745,0,1,1,1,0.94,-0.966,1,1,1,0.613,1,1,-0.096,0.918,1,0.0309999999999999,1,1,1,0.604
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",-0.531,1,-0.984,1,-0.948,1,1,-1,1,1,-0.96,1,1,-0.882,-1,1,-0.994,-0.858,0.988,1,1,0,-0.998,-0.966,1,1,1,0.964,-0.506,1,1,-0.89,1,1,-0.992,1,-1,-1,1,1
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",-0.139,1,-0.984,0.994,-0.78,1,1,-1,0.934,1,-0.892,1,1,-0.934,-0.99,1,-0.984,-0.822,0.939,1,1,-0.998,0,-0.996,1,1,1,0.824,-0.882,1,1,-0.984,1,1,-0.96,1,-0.986,-1,1,1
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",0.482,1,-0.967,0.988,-0.362,1,1,-1,0.936,1,-0.912,1,1,-0.836,-0.98,1,-0.998,-0.732,0.387,1,1,-0.966,-0.996,0,1,1,0.99,-0.087,-0.65,1,0.998,-0.99,1,1,-0.898,1,-0.954,-0.996,1,1
"1642.MS00349",1,1,1,1,1,0.935,0.137,1,1,0.994,1,0.996,1,1,1,0.994,1,1,1,0.96,0.94,1,1,1,0,0.988,1,1,1,1,1,1,0.904,1,1,0.418,1,1,1,0.988
"1642.MS00520",1,0.168,1,1,1,0.87,0.99,1,1,0.225,1,0.692,-0.302,1,1,0.649,1,1,1,-0.223,-0.966,1,1,1,0.988,0,1,1,1,0.877,1,1,0.498,0.986,1,-0.493,1,1,1,0.517
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.998,-0.505,1,1,1,1,1,1,0.998,1,1,0.994,0.984,1,1,1,0.00099999999999989,1,1,1,1,0.99,1,1,0,0.18,1,1,1,0.996,1,1,0.998,1,0.998,1,1,1
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",0.988,1,0.98,-0.0629999999999999,0.969,1,1,0.831,0.844,1,0.987,1,1,0.9,0.746,1,0.71,0.93,-0.766,1,1,0.964,0.824,-0.087,1,1,0.18,0,0.992,1,0.904,0.147,1,1,0.854,1,0.807,0.941,1,1
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",-0.492,1,-0.907,1,-0.667,1,1,-0.86,0.98,1,-0.871,1,1,0.722,-0.1,1,-0.353,0.554,0.998,1,1,-0.506,-0.882,-0.65,1,1,1,0.992,0,1,1,-0.441,1,1,-0.556,1,0.0069999999999999,-0.93,1,1
"1642.MS00442",1,-0.229,1,1,1,0.293,-0.45,1,1,-0.331,1,-0.329,-0.029,1,1,-0.533,1,1,1,-0.507,0.613,1,1,1,1,0.877,1,1,1,0,1,1,-0.916,0.115,1,0.951,1,1,1,-0.718
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.842,1,1,0.97,0.695,1,1,0.996,1,1,1,1,1,1,0.996,1,1,0.998,0.979,1,1,1,1,0.998,1,1,1,0.904,1,1,0,0.996,1,1,0.996,1,0.988,1,-0.934,1
"2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences",0.265,1,-0.875,0.978,-0.558,1,1,-1,0.998,1,-0.736,1,1,-0.892,-0.926,1,-0.966,-0.715,0.768,1,1,-0.89,-0.984,-0.99,1,1,0.996,0.147,-0.441,1,0.996,0,1,1,-1,1,-0.886,-0.994,1,1
"1642.MS00413",1,0.113,1,1,1,0.315,-0.046,1,1,-0.212,1,-0.443,0.171,1,1,-0.656,1,1,1,-0.722,-0.096,1,1,1,0.904,0.498,1,1,1,-0.916,1,1,0,0.524,1,0.58,1,1,1,0.0269999999999999
"1642.MS00553",1,0.606,1,1,1,0.994,0.994,1,1,0.715,1,0.758,0.855,1,1,0.341,1,1,1,0.684,0.918,1,1,1,1,0.986,1,1,1,0.115,1,1,0.524,0,1,1,1,1,1,0.791
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",-0.362,1,-1,0.978,-0.71,1,1,-0.98,1,1,-0.993,1,1,-0.89,-0.99,1,-0.942,-0.687,0.923,1,1,-0.992,-0.96,-0.898,1,1,0.998,0.854,-0.556,1,0.996,-1,1,1,0,1,-0.976,-0.972,1,1
"1642.MS00398",1,0.958,1,1,1,0.648,0.637,1,1,0.964,1,0.973,0.862,1,1,0.994,1,1,1,0.701,0.0309999999999999,1,1,1,0.418,-0.493,1,1,1,0.951,1,1,0.58,1,1,0,1,1,1,0.674
"2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences",-0.337,1,-0.914,0.972,-0.968,1,1,-1,0.984,1,-0.783,1,1,-0.942,-1,1,-0.998,-0.938,0.933,1,1,-1,-0.986,-0.954,1,1,0.998,0.807,0.0069999999999999,1,0.988,-0.886,1,1,-0.976,1,0,-0.995,0.998,1
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",-0.646,1,-0.996,0.998,-0.934,1,1,-1,1,1,-0.986,1,1,-0.942,-0.998,1,-1,-0.786,0.982,1,1,-1,-1,-0.996,1,1,1,0.941,-0.93,1,1,-0.994,1,1,-0.972,1,-0.995,0,1,1
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.821,1,1,1,0.912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.934,1,1,1,1,1,0.998,1,0,1
"1642.MS00447",1,-0.187,1,1,1,0.0600000000000001,-0.362,1,1,0.301,1,0.654,-0.1,1,1,0.131,1,1,1,-0.124,0.604,1,1,1,0.988,0.517,1,1,1,-0.718,1,1,0.0269999999999999,0.791,1,0.674,1,1,1,0
