"","1642.MS00606","1642.MS00433","1642.MS00633","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00361","1642.MS00413","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00442","1642.MS00505","1642.MS00524","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00612","1642.MS00522","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00431","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00601","1642.MS00516","1642.MS00541","1642.MS00530","1642.MS00621","1642.MS00559","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00602","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00341","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00522",0.0227234747708,0.0257693131432,0.0260617098541,0.1163407524843,0.0314521902484,0.0241382565234,0.1063137419444,0.0933924027845,0.1001102426283,0.0988245492016,0.0939525485915,0.0230108155934,0.0216947102494,0.0256755969461,0.11790779827,0.1006294608802,0.0210374581192,0.0929784286603,0.024045637675,0.0983604932044,0.0256033169764,0,0.1027843061682,0.0229876087507,0.0995419888784,0.0236242926425,0.0222163794922,0.0211039875434,0.0208330053014,0.0243916206259,0.0220577159481,0.0959385303104,0.0247435247528,0.0936836905899,0.0994338366329,0.0981281320021,0.0225498478867,0.0989647035895,0.0332851902726,0.1020016252215
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",0.0972362579665,0.0885355450505,0.1220017338713,0.0180813553961,0.0922278060559,0.0949873583787,0.0178575748402,0.0216787797186,0.0174161508745,0.0284626403332,0.0281072343854,0.104070185651,0.089184308278,0.1070765232936,0.0167996999953,0.0507100336113,0.1130164871338,0.0403420317992,0.0976353910073,0.0336794387283,0.108206269087,0.1027843061682,0,0.0877351571438,0.0241655874586,0.1062821332197,0.1071044763672,0.0959451635476,0.0983146332634,0.1050719005602,0.0996825879373,0.018735850132,0.1083039448645,0.0383747258547,0.0176366037603,0.0174473216645,0.0827875717368,0.0187498416612,0.0884126853277,0.0170426346588
"1642.MS00431",0.0231925096641,0.0183253803188,0.0270289994424,0.1010302402834,0.021942933611,0.0173494762431,0.0932615918403,0.0755547076803,0.0811597837775,0.0754924916772,0.0723362925231,0.0200891483847,0.0200498321261,0.0225861101167,0.1038424004292,0.0771091227583,0.0206254538123,0.0700122088051,0.0230664226885,0.0753660225916,0.0227730702252,0.0229876087507,0.0877351571438,0,0.0764322159932,0.0231870244476,0.0215285630289,0.0238578431794,0.0194588492539,0.0230763184365,0.0200414311066,0.0739154004138,0.0241975539095,0.0699899261482,0.0781847725316,0.0771164451212,0.0179999946571,0.0793921553579,0.0227875574366,0.082479308031
"2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences",0.100384610115,0.0788477513185,0.1060746219922,0.0512611762864,0.0811778343738,0.0860046169242,0.0318683251206,0.0353566174868,0.0351302335161,0.0520759956757,0.0125879452953,0.0975536495485,0.0778818873729,0.1009687145945,0.0324263733672,0.0585853533319,0.1050681149011,0.0321251522786,0.088804275639,0.045368725872,0.103327979513,0.0995419888784,0.0241655874586,0.0764322159932,0,0.0997949134971,0.0995503792087,0.0941418790216,0.0937872366565,0.1045821053566,0.0925686233802,0.0320264730581,0.102066502378,0.0477372526896,0.0320305071434,0.0178144507071,0.0828157876819,0.0324930065682,0.0774359822437,0.0339025737921
"1642.MS00601",0.0234160688469,0.0255012164702,0.0277391115251,0.1208353341772,0.0347757520708,0.0250546111916,0.1096134258352,0.0912119311282,0.0993714218811,0.0951451514419,0.0908091959413,0.0261910953781,0.0222748786824,0.0248233851294,0.1190619248381,0.0950743543581,0.0240877382157,0.088708286641,0.0227002486662,0.0927931499887,0.0246294747014,0.0236242926425,0.1062821332197,0.0231870244476,0.0997949134971,0,0.0201825065432,0.0248010848173,0.0206084928941,0.0239008343048,0.0230091922076,0.0929096610973,0.0223187008687,0.0901019910101,0.0978625375064,0.0962960934741,0.0245783536872,0.0998156878474,0.0381458618453,0.1022342117555
"1642.MS00516",0.0220151200927,0.0243278383883,0.024091368952,0.1202699802329,0.0317188253924,0.0220964882151,0.112232630791,0.0928449036054,0.1030566136166,0.0920335573274,0.0915558308538,0.0234685602201,0.0202633650674,0.0216182537245,0.1208187066676,0.0919155232454,0.0232339503945,0.0880149283121,0.0233871145135,0.0899373119609,0.0215888447644,0.0222163794922,0.1071044763672,0.0215285630289,0.0995503792087,0.0201825065432,0,0.022069116109,0.0192146894814,0.0209450350006,0.0197005807365,0.0936511161819,0.0192269486284,0.0870042356466,0.1000674144283,0.0977026093778,0.0227043114689,0.1012961466909,0.0333200464743,0.1068284799989
"1642.MS00541",0.0217621253033,0.0283347049881,0.0256032984968,0.1121318424676,0.0331348977433,0.0278891296548,0.1015553148906,0.0889971163404,0.0944039555421,0.0969092009482,0.0883589440645,0.0284000776247,0.0190791407636,0.0283132585622,0.108649067987,0.0984075312555,0.0243992082763,0.0890616097151,0.0224230537077,0.0926168557333,0.0275510451215,0.0211039875434,0.0959451635476,0.0238578431794,0.0941418790216,0.0248010848173,0.022069116109,0,0.0200724855669,0.023767435518,0.0226563486878,0.091887567669,0.0233251111313,0.0903308966067,0.093492788675,0.0909088308208,0.024624606126,0.0955383148238,0.0374489954756,0.0981905677724
"1642.MS00530",0.0203823425075,0.022895565488,0.0242270826594,0.1119405420764,0.030073207705,0.0205755404458,0.1047344305534,0.088288180219,0.0959146253058,0.087001534461,0.0845334612646,0.0218910934323,0.0180905251286,0.021504389422,0.1151764067079,0.089861857617,0.0214518468734,0.0835887255957,0.0230698394424,0.0835526944905,0.0209449005183,0.0208330053014,0.0983146332634,0.0194588492539,0.0937872366565,0.0206084928941,0.0192146894814,0.0200724855669,0,0.0197357350778,0.0189793208829,0.0876967871848,0.0192275026454,0.0828333124473,0.0940541796059,0.0890377016902,0.0212904500867,0.09359908818,0.031776678704,0.0974437086342
"1642.MS00621",0.0200407529828,0.024579434282,0.0242081792598,0.1182953971729,0.0342234292049,0.0242634438977,0.1147435927975,0.0951181984164,0.1025682266237,0.0880634532503,0.0984076205449,0.025105018872,0.0212353391752,0.0232531136238,0.119280838404,0.0896332891953,0.0247746048407,0.0841433858059,0.0253748632341,0.086718694756,0.0218752386052,0.0243916206259,0.1050719005602,0.0230763184365,0.1045821053566,0.0239008343048,0.0209450350006,0.023767435518,0.0197357350778,0,0.0200207109989,0.0912307075954,0.020544392109,0.0835878825501,0.1003764032424,0.0972052097906,0.0257906259076,0.1061312392761,0.0355384163812,0.1085514834126
"1642.MS00559",0.020569148494,0.0223903257605,0.0263204409922,0.1176799597138,0.0328829037544,0.0217064741455,0.1059668267915,0.0869251718562,0.1001572931713,0.0830294922328,0.0845465352958,0.021939293044,0.0199689136429,0.0214336122012,0.1154634961397,0.0870484291502,0.0236210633581,0.0800926544246,0.0248260699888,0.084120392323,0.0209485247639,0.0220577159481,0.0996825879373,0.0200414311066,0.0925686233802,0.0230091922076,0.0197005807365,0.0226563486878,0.0189793208829,0.0200207109989,0,0.0857150749485,0.0207213086838,0.0798865836734,0.0963110194397,0.0902150021157,0.0224669105394,0.0945295080961,0.0340601635904,0.1028025351658
"2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences",0.0910005717704,0.0767847827894,0.1044316241723,0.0317862332899,0.0813728975956,0.0811978511811,0.0266877523701,0.0242336407289,0.0238037919592,0.0265679641453,0.0335286485935,0.0904416999925,0.0789142252374,0.0917381063313,0.0280415992192,0.0376779802802,0.1021641395752,0.0362411789929,0.0875567651598,0.027054975634,0.0940133130954,0.0959385303104,0.018735850132,0.0739154004138,0.0320264730581,0.0929096610973,0.0936511161819,0.091887567669,0.0876967871848,0.0912307075954,0.0857150749485,0,0.0936620814226,0.0265275259235,0.0222349924624,0.0222092683673,0.0790725998612,0.0217982376027,0.0761929067451,0.0243067954798
"1642.MS00602",0.0198237101266,0.0264795039301,0.0242952463687,0.1204567897952,0.0329785326168,0.024302156731,0.1147873283681,0.0951011440731,0.1016401087956,0.095096465911,0.0918589019141,0.0242691696111,0.0217875213893,0.023349456038,0.122592882163,0.0948877818454,0.0259110811015,0.0889071934774,0.0254960088713,0.0912315831875,0.0224635729676,0.0247435247528,0.1083039448645,0.0241975539095,0.102066502378,0.0223187008687,0.0192269486284,0.0233251111313,0.0192275026454,0.020544392109,0.0207213086838,0.0936620814226,0,0.0892261815812,0.0989390115007,0.0968793815374,0.0239542907026,0.1003755746648,0.0323181304776,0.1059680057909
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",0.087762036625,0.0725798964582,0.0973504976313,0.0540271733989,0.0800089809756,0.0776546038456,0.0496891838603,0.0370281167288,0.0416039421121,0.0239771295494,0.0469585087123,0.0862342337931,0.0740304518568,0.084563309381,0.0506969186292,0.0294984129301,0.0999959810249,0.0327049251435,0.085638181841,0.0234908698761,0.0911622056009,0.0936836905899,0.0383747258547,0.0699899261482,0.0477372526896,0.0901019910101,0.0870042356466,0.0903308966067,0.0828333124473,0.0835878825501,0.0798865836734,0.0265275259235,0.0892261815812,0,0.0390818141117,0.0362194376514,0.0790889103434,0.0415334144885,0.0751924289344,0.0435866649519
"2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences",0.0971794163212,0.0825345401531,0.1084671468511,0.017728468412,0.0833632120477,0.0874040972674,0.0153484821853,0.0181983911589,0.0160085454279,0.0419958365278,0.0370023662609,0.0996925940371,0.0811940325704,0.1008223340529,0.0188920157649,0.0468499301999,0.1079871830778,0.0473662915811,0.0891785737946,0.0389601197807,0.1026397688434,0.0994338366329,0.0176366037603,0.0781847725316,0.0320305071434,0.0978625375064,0.1000674144283,0.093492788675,0.0940541796059,0.1003764032424,0.0963110194397,0.0222349924624,0.0989390115007,0.0390818141117,0,0.0224435321437,0.0834453301817,0.0144947427382,0.0811619473539,0.0117548853171
"2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences",0.0928556854673,0.077782753979,0.1095349643429,0.0320086508858,0.0835397034076,0.0839514011668,0.0253723791888,0.02788331819,0.023564287516,0.0344927111139,0.0208907417764,0.093506464703,0.0795010508195,0.0963009280382,0.0248190706366,0.046584166028,0.1016540214575,0.0289025228262,0.0900477570249,0.0354819961012,0.099526552921,0.0981281320021,0.0174473216645,0.0771164451212,0.0178144507071,0.0962960934741,0.0977026093778,0.0909088308208,0.0890377016902,0.0972052097906,0.0902150021157,0.0222092683673,0.0968793815374,0.0362194376514,0.0224435321437,0,0.0797622429361,0.0240986488101,0.0799206553137,0.0244996242772
"1642.MS00430",0.0257154904012,0.0210268922605,0.0273652249884,0.1000736320232,0.0223535805903,0.0212441515639,0.0895861419479,0.0782272696843,0.0833372188548,0.0844032455113,0.0783274464305,0.0218105617283,0.0212295951489,0.025413658692,0.0997477362836,0.0841128393938,0.0231660542686,0.0782013840225,0.0225103428055,0.0832124799729,0.0262644189662,0.0225498478867,0.0827875717368,0.0179999946571,0.0828157876819,0.0245783536872,0.0227043114689,0.024624606126,0.0212904500867,0.0257906259076,0.0224669105394,0.0790725998612,0.0239542907026,0.0790889103434,0.0834453301817,0.0797622429361,0,0.0837909667456,0.0251315993803,0.0862146393196
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.0994838178122,0.0825023786601,0.1123351783861,0.0202912122481,0.0806572391795,0.0887821974766,0.0171265745768,0.0210851582835,0.017844553861,0.0484524202606,0.0389275627935,0.0974770083447,0.0842956871771,0.1020200912455,0.0227383604552,0.052229904019,0.1005252238681,0.051270972996,0.0901344823939,0.0435548003617,0.1038716366279,0.0989647035895,0.0187498416612,0.0793921553579,0.0324930065682,0.0998156878474,0.1012961466909,0.0955383148238,0.09359908818,0.1061312392761,0.0945295080961,0.0217982376027,0.1003755746648,0.0415334144885,0.0144947427382,0.0240986488101,0.0837909667456,0,0.0790032936984,0.0143641762336
"1642.MS00341",0.0413404466617,0.0300344270594,0.0365096674989,0.0998284810983,0.0185309968757,0.0239607437482,0.0936230879223,0.0793781149102,0.0815878171594,0.0799880940406,0.0710837011013,0.0321197831801,0.0297717547241,0.038631546266,0.1107668659903,0.0812703086975,0.0347986352838,0.0830914503964,0.0368707646557,0.0721995485035,0.0367231283091,0.0332851902726,0.0884126853277,0.0227875574366,0.0774359822437,0.0381458618453,0.0333200464743,0.0374489954756,0.031776678704,0.0355384163812,0.0340601635904,0.0761929067451,0.0323181304776,0.0751924289344,0.0811619473539,0.0799206553137,0.0251315993803,0.0790032936984,0,0.0828435980675
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.1028702931981,0.0874759573804,0.1164233880637,0.0132628267158,0.0852625348577,0.091951671595,0.0127734200676,0.0182753842696,0.0138171607471,0.0487035275862,0.0402152730974,0.1014562427619,0.0860170914826,0.1052292031564,0.0174507390003,0.0519510672216,0.1112028122858,0.0561740027523,0.0946787120819,0.0455764879028,0.1066292487656,0.1020016252215,0.0170426346588,0.082479308031,0.0339025737921,0.1022342117555,0.1068284799989,0.0981905677724,0.0974437086342,0.1085514834126,0.1028025351658,0.0243067954798,0.1059680057909,0.0435866649519,0.0117548853171,0.0244996242772,0.0862146393196,0.0143641762336,0.0828435980675,0
