#OTU-ID	Description	Env	SourceSink	Study	Details
A1284	Host-associated	Animal-corpus	source	EMP	EMP
A1311	Host-associated	Animal-corpus	source	EMP	EMP
A1368	Host-associated	Animal-corpus	source	EMP	EMP
A1380	Host-associated	Animal-corpus	source	EMP	EMP
A1425	Host-associated	Animal-corpus	source	EMP	EMP
A1516	Host-associated	Animal-corpus	source	EMP	EMP
A1518	Host-associated	Animal-corpus	source	EMP	EMP
A1595	Host-associated	Animal-corpus	source	EMP	EMP
A1621	Host-associated	Animal-corpus	source	EMP	EMP
A1692	Host-associated	Animal-corpus	source	EMP	EMP
A1711	Host-associated	Animal-corpus	source	EMP	EMP
A1735	Host-associated	Animal-corpus	source	EMP	EMP
A1756	Host-associated	Animal-corpus	source	EMP	EMP
A1807	Host-associated	Animal-corpus	source	EMP	EMP
A1825	Host-associated	Animal-corpus	source	EMP	EMP
A1827	Host-associated	Animal-corpus	source	EMP	EMP
A1888	Host-associated	Animal-corpus	source	EMP	EMP
A1910	Host-associated	Animal-corpus	source	EMP	EMP
A1913	Host-associated	Animal-corpus	source	EMP	EMP
A1955	Host-associated	Animal-corpus	source	EMP	EMP
A2113	Host-associated	Animal-corpus	source	EMP	EMP
A2139	Host-associated	Animal-corpus	source	EMP	EMP
A2160	Host-associated	Animal-corpus	source	EMP	EMP
A2177	Host-associated	Animal-corpus	source	EMP	EMP
A2198	Host-associated	Animal-corpus	source	EMP	EMP
A2384	Host-associated	Animal-corpus	source	EMP	EMP
A2479	Host-associated	Animal-corpus	source	EMP	EMP
A2526	Host-associated	Animal-corpus	source	EMP	EMP
A2543	Host-associated	Animal-corpus	source	EMP	EMP
A2558	Host-associated	Animal-corpus	source	EMP	EMP
A2560	Host-associated	Animal-corpus	source	EMP	EMP
A2612	Host-associated	Animal-corpus	source	EMP	EMP
A2613	Host-associated	Animal-corpus	source	EMP	EMP
A2649	Host-associated	Animal-corpus	source	EMP	EMP
A2707	Host-associated	Animal-corpus	source	EMP	EMP
A2712	Host-associated	Animal-corpus	source	EMP	EMP
A2713	Host-associated	Animal-corpus	source	EMP	EMP
A2721	Host-associated	Animal-corpus	source	EMP	EMP
A2722	Host-associated	Animal-corpus	source	EMP	EMP
A2810	Host-associated	Animal-corpus	source	EMP	EMP
A2832	Host-associated	Animal-corpus	source	EMP	EMP
A2833	Host-associated	Animal-corpus	source	EMP	EMP
A2851	Host-associated	Animal-corpus	source	EMP	EMP
A2917	Host-associated	Animal-corpus	source	EMP	EMP
A2944	Host-associated	Animal-corpus	source	EMP	EMP
A2951	Host-associated	Animal-corpus	source	EMP	EMP
A3022	Host-associated	Animal-corpus	source	EMP	EMP
A3029	Host-associated	Animal-corpus	source	EMP	EMP
A3058	Host-associated	Animal-corpus	source	EMP	EMP
A3098	Host-associated	Animal-corpus	source	EMP	EMP
A3101	Host-associated	Animal-corpus	source	EMP	EMP
A3131	Host-associated	Animal-corpus	source	EMP	EMP
A3207	Host-associated	Animal-corpus	source	EMP	EMP
A3252	Host-associated	Animal-corpus	source	EMP	EMP
A3284	Host-associated	Animal-corpus	source	EMP	EMP
A3286	Host-associated	Animal-corpus	source	EMP	EMP
A3308	Host-associated	Animal-corpus	source	EMP	EMP
A3328	Host-associated	Animal-corpus	source	EMP	EMP
A3349	Host-associated	Animal-corpus	source	EMP	EMP
A3384	Host-associated	Animal-corpus	source	EMP	EMP
A3396	Host-associated	Animal-corpus	source	EMP	EMP
A3419	Host-associated	Animal-corpus	source	EMP	EMP
A3440	Host-associated	Animal-corpus	source	EMP	EMP
A3467	Host-associated	Animal-corpus	source	EMP	EMP
A3477	Host-associated	Animal-corpus	source	EMP	EMP
A3478	Host-associated	Animal-corpus	source	EMP	EMP
A3564	Host-associated	Animal-corpus	source	EMP	EMP
A3627	Host-associated	Animal-corpus	source	EMP	EMP
A3649	Host-associated	Animal-corpus	source	EMP	EMP
A3659	Host-associated	Animal-corpus	source	EMP	EMP
A3677	Host-associated	Animal-corpus	source	EMP	EMP
A3680	Host-associated	Animal-corpus	source	EMP	EMP
A3710	Host-associated	Animal-corpus	source	EMP	EMP
A3736	Host-associated	Animal-corpus	source	EMP	EMP
A3744	Host-associated	Animal-corpus	source	EMP	EMP
A3768	Host-associated	Animal-corpus	source	EMP	EMP
A3794	Host-associated	Animal-corpus	source	EMP	EMP
A3800	Host-associated	Animal-corpus	source	EMP	EMP
A3854	Host-associated	Animal-corpus	source	EMP	EMP
A3879	Host-associated	Animal-corpus	source	EMP	EMP
A3882	Host-associated	Animal-corpus	source	EMP	EMP
A3930	Host-associated	Animal-corpus	source	EMP	EMP
A3942	Host-associated	Animal-corpus	source	EMP	EMP
A3948	Host-associated	Animal-corpus	source	EMP	EMP
A3951	Host-associated	Animal-corpus	source	EMP	EMP
A3999	Host-associated	Animal-corpus	source	EMP	EMP
A4046	Host-associated	Animal-corpus	source	EMP	EMP
A4059	Host-associated	Animal-corpus	source	EMP	EMP
A4087	Host-associated	Animal-corpus	source	EMP	EMP
A4134	Host-associated	Animal-corpus	source	EMP	EMP
A4147	Host-associated	Animal-corpus	source	EMP	EMP
A4166	Host-associated	Animal-corpus	source	EMP	EMP
A4172	Host-associated	Animal-corpus	source	EMP	EMP
A4200	Host-associated	Animal-corpus	source	EMP	EMP
A4236	Host-associated	Animal-corpus	source	EMP	EMP
A4288	Host-associated	Animal-corpus	source	EMP	EMP
A4291	Host-associated	Animal-corpus	source	EMP	EMP
A4320	Host-associated	Animal-corpus	source	EMP	EMP
A4358	Host-associated	Animal-corpus	source	EMP	EMP
A4374	Host-associated	Animal-corpus	source	EMP	EMP
A4399	Host-associated	Animal-corpus	source	EMP	EMP
A4423	Host-associated	Animal-corpus	source	EMP	EMP
A4443	Host-associated	Animal-corpus	source	EMP	EMP
A4458	Host-associated	Animal-corpus	source	EMP	EMP
A4461	Host-associated	Animal-corpus	source	EMP	EMP
A4494	Host-associated	Animal-corpus	source	EMP	EMP
A4508	Host-associated	Animal-corpus	source	EMP	EMP
A4523	Host-associated	Animal-corpus	source	EMP	EMP
A4552	Host-associated	Animal-corpus	source	EMP	EMP
A4596	Host-associated	Animal-corpus	source	EMP	EMP
A4616	Host-associated	Animal-corpus	source	EMP	EMP
A4665	Host-associated	Animal-corpus	source	EMP	EMP
A4690	Host-associated	Animal-corpus	source	EMP	EMP
A4709	Host-associated	Animal-corpus	source	EMP	EMP
A4745	Host-associated	Animal-corpus	source	EMP	EMP
A4766	Host-associated	Animal-corpus	source	EMP	EMP
A4812	Host-associated	Animal-corpus	source	EMP	EMP
A4816	Host-associated	Animal-corpus	source	EMP	EMP
A4832	Host-associated	Animal-corpus	source	EMP	EMP
A4875	Host-associated	Animal-corpus	source	EMP	EMP
A4911	Host-associated	Animal-corpus	source	EMP	EMP
A4938	Host-associated	Animal-corpus	source	EMP	EMP
A4957	Host-associated	Animal-corpus	source	EMP	EMP
A4976	Host-associated	Animal-corpus	source	EMP	EMP
A5006	Host-associated	Animal-corpus	source	EMP	EMP
A5037	Host-associated	Animal-corpus	source	EMP	EMP
A5061	Host-associated	Animal-corpus	source	EMP	EMP
A5136	Host-associated	Animal-corpus	source	EMP	EMP
A5173	Host-associated	Animal-corpus	source	EMP	EMP
A5201	Host-associated	Animal-corpus	source	EMP	EMP
A5243	Host-associated	Animal-corpus	source	EMP	EMP
A5273	Host-associated	Animal-corpus	source	EMP	EMP
A5298	Host-associated	Animal-corpus	source	EMP	EMP
A5336	Host-associated	Animal-corpus	source	EMP	EMP
A5362	Host-associated	Animal-corpus	source	EMP	EMP
A5446	Host-associated	Animal-corpus	source	EMP	EMP
A5464	Host-associated	Animal-corpus	source	EMP	EMP
A5497	Host-associated	Animal-corpus	source	EMP	EMP
A5507	Host-associated	Animal-corpus	source	EMP	EMP
A5509	Host-associated	Animal-corpus	source	EMP	EMP
A5578	Host-associated	Animal-corpus	source	EMP	EMP
A5601	Host-associated	Animal-corpus	source	EMP	EMP
A5609	Host-associated	Animal-corpus	source	EMP	EMP
A5623	Host-associated	Animal-corpus	source	EMP	EMP
A5672	Host-associated	Animal-corpus	source	EMP	EMP
A5688	Host-associated	Animal-corpus	source	EMP	EMP
A5751	Host-associated	Animal-corpus	source	EMP	EMP
A5752	Host-associated	Animal-corpus	source	EMP	EMP
A5803	Host-associated	Animal-corpus	source	EMP	EMP
A5806	Host-associated	Animal-corpus	source	EMP	EMP
