#OTU-ID	Description	Env	SourceSink	Study	Details
A4566	Host-associated	Animal-secretion	source	EMP	EMP
A4571	Host-associated	Animal-secretion	source	EMP	EMP
A4598	Host-associated	Animal-secretion	source	EMP	EMP
A4605	Host-associated	Animal-secretion	source	EMP	EMP
A4608	Host-associated	Animal-secretion	source	EMP	EMP
A4609	Host-associated	Animal-secretion	source	EMP	EMP
A4612	Host-associated	Animal-secretion	source	EMP	EMP
A4613	Host-associated	Animal-secretion	source	EMP	EMP
A4614	Host-associated	Animal-secretion	source	EMP	EMP
A4643	Host-associated	Animal-secretion	source	EMP	EMP
A4648	Host-associated	Animal-secretion	source	EMP	EMP
A4683	Host-associated	Animal-secretion	source	EMP	EMP
A4702	Host-associated	Animal-secretion	source	EMP	EMP
A4711	Host-associated	Animal-secretion	source	EMP	EMP
A4721	Host-associated	Animal-secretion	source	EMP	EMP
A4724	Host-associated	Animal-secretion	source	EMP	EMP
A4737	Host-associated	Animal-secretion	source	EMP	EMP
A4754	Host-associated	Animal-secretion	source	EMP	EMP
A4768	Host-associated	Animal-secretion	source	EMP	EMP
A4769	Host-associated	Animal-secretion	source	EMP	EMP
A4790	Host-associated	Animal-secretion	source	EMP	EMP
A4806	Host-associated	Animal-secretion	source	EMP	EMP
A4809	Host-associated	Animal-secretion	source	EMP	EMP
A4811	Host-associated	Animal-secretion	source	EMP	EMP
A4813	Host-associated	Animal-secretion	source	EMP	EMP
A4817	Host-associated	Animal-secretion	source	EMP	EMP
A4820	Host-associated	Animal-secretion	source	EMP	EMP
A4821	Host-associated	Animal-secretion	source	EMP	EMP
A4843	Host-associated	Animal-secretion	source	EMP	EMP
A4844	Host-associated	Animal-secretion	source	EMP	EMP
A4852	Host-associated	Animal-secretion	source	EMP	EMP
A4856	Host-associated	Animal-secretion	source	EMP	EMP
A4876	Host-associated	Animal-secretion	source	EMP	EMP
A4896	Host-associated	Animal-secretion	source	EMP	EMP
A4916	Host-associated	Animal-secretion	source	EMP	EMP
A4968	Host-associated	Animal-secretion	source	EMP	EMP
A4971	Host-associated	Animal-secretion	source	EMP	EMP
A4977	Host-associated	Animal-secretion	source	EMP	EMP
A4978	Host-associated	Animal-secretion	source	EMP	EMP
A5002	Host-associated	Animal-secretion	source	EMP	EMP
A5003	Host-associated	Animal-secretion	source	EMP	EMP
A5039	Host-associated	Animal-secretion	source	EMP	EMP
A5065	Host-associated	Animal-secretion	source	EMP	EMP
A5079	Host-associated	Animal-secretion	source	EMP	EMP
A5082	Host-associated	Animal-secretion	source	EMP	EMP
A5085	Host-associated	Animal-secretion	source	EMP	EMP
A5086	Host-associated	Animal-secretion	source	EMP	EMP
A5096	Host-associated	Animal-secretion	source	EMP	EMP
A5100	Host-associated	Animal-secretion	source	EMP	EMP
A5122	Host-associated	Animal-secretion	source	EMP	EMP
A5123	Host-associated	Animal-secretion	source	EMP	EMP
A5127	Host-associated	Animal-secretion	source	EMP	EMP
A5144	Host-associated	Animal-secretion	source	EMP	EMP
A5189	Host-associated	Animal-secretion	source	EMP	EMP
A5194	Host-associated	Animal-secretion	source	EMP	EMP
A5200	Host-associated	Animal-secretion	source	EMP	EMP
A5207	Host-associated	Animal-secretion	source	EMP	EMP
A5213	Host-associated	Animal-secretion	source	EMP	EMP
A5224	Host-associated	Animal-secretion	source	EMP	EMP
A5226	Host-associated	Animal-secretion	source	EMP	EMP
A5237	Host-associated	Animal-secretion	source	EMP	EMP
A5260	Host-associated	Animal-secretion	source	EMP	EMP
A5262	Host-associated	Animal-secretion	source	EMP	EMP
A5266	Host-associated	Animal-secretion	source	EMP	EMP
A5285	Host-associated	Animal-secretion	source	EMP	EMP
A5302	Host-associated	Animal-secretion	source	EMP	EMP
A5304	Host-associated	Animal-secretion	source	EMP	EMP
A5305	Host-associated	Animal-secretion	source	EMP	EMP
A5313	Host-associated	Animal-secretion	source	EMP	EMP
A5343	Host-associated	Animal-secretion	source	EMP	EMP
A5351	Host-associated	Animal-secretion	source	EMP	EMP
A5352	Host-associated	Animal-secretion	source	EMP	EMP
A5354	Host-associated	Animal-secretion	source	EMP	EMP
A5387	Host-associated	Animal-secretion	source	EMP	EMP
A5408	Host-associated	Animal-secretion	source	EMP	EMP
A5409	Host-associated	Animal-secretion	source	EMP	EMP
A5416	Host-associated	Animal-secretion	source	EMP	EMP
A5421	Host-associated	Animal-secretion	source	EMP	EMP
A5428	Host-associated	Animal-secretion	source	EMP	EMP
A5429	Host-associated	Animal-secretion	source	EMP	EMP
A5431	Host-associated	Animal-secretion	source	EMP	EMP
A5457	Host-associated	Animal-secretion	source	EMP	EMP
A5463	Host-associated	Animal-secretion	source	EMP	EMP
A5471	Host-associated	Animal-secretion	source	EMP	EMP
A5484	Host-associated	Animal-secretion	source	EMP	EMP
A5487	Host-associated	Animal-secretion	source	EMP	EMP
A5505	Host-associated	Animal-secretion	source	EMP	EMP
A5526	Host-associated	Animal-secretion	source	EMP	EMP
A5527	Host-associated	Animal-secretion	source	EMP	EMP
A5531	Host-associated	Animal-secretion	source	EMP	EMP
A5545	Host-associated	Animal-secretion	source	EMP	EMP
A5574	Host-associated	Animal-secretion	source	EMP	EMP
A5586	Host-associated	Animal-secretion	source	EMP	EMP
A5591	Host-associated	Animal-secretion	source	EMP	EMP
A5595	Host-associated	Animal-secretion	source	EMP	EMP
A5611	Host-associated	Animal-secretion	source	EMP	EMP
A5613	Host-associated	Animal-secretion	source	EMP	EMP
A5627	Host-associated	Animal-secretion	source	EMP	EMP
A5634	Host-associated	Animal-secretion	source	EMP	EMP
A5640	Host-associated	Animal-secretion	source	EMP	EMP
A5652	Host-associated	Animal-secretion	source	EMP	EMP
A5664	Host-associated	Animal-secretion	source	EMP	EMP
A5670	Host-associated	Animal-secretion	source	EMP	EMP
A5680	Host-associated	Animal-secretion	source	EMP	EMP
A5696	Host-associated	Animal-secretion	source	EMP	EMP
A5701	Host-associated	Animal-secretion	source	EMP	EMP
A5705	Host-associated	Animal-secretion	source	EMP	EMP
A5723	Host-associated	Animal-secretion	source	EMP	EMP
A5762	Host-associated	Animal-secretion	source	EMP	EMP
A5768	Host-associated	Animal-secretion	source	EMP	EMP
A5790	Host-associated	Animal-secretion	source	EMP	EMP
A5794	Host-associated	Animal-secretion	source	EMP	EMP
A5795	Host-associated	Animal-secretion	source	EMP	EMP
A5866	Host-associated	Animal-secretion	source	EMP	EMP
A5883	Host-associated	Animal-secretion	source	EMP	EMP
A5886	Host-associated	Animal-secretion	source	EMP	EMP
A5899	Host-associated	Animal-secretion	source	EMP	EMP
A5915	Host-associated	Animal-secretion	source	EMP	EMP
A5919	Host-associated	Animal-secretion	source	EMP	EMP
A5920	Host-associated	Animal-secretion	source	EMP	EMP
A5924	Host-associated	Animal-secretion	source	EMP	EMP
A5936	Host-associated	Animal-secretion	source	EMP	EMP
A5950	Host-associated	Animal-secretion	source	EMP	EMP
A5960	Host-associated	Animal-secretion	source	EMP	EMP
A5969	Host-associated	Animal-secretion	source	EMP	EMP
A5970	Host-associated	Animal-secretion	source	EMP	EMP
A5978	Host-associated	Animal-secretion	source	EMP	EMP
A5988	Host-associated	Animal-secretion	source	EMP	EMP
A5997	Host-associated	Animal-secretion	source	EMP	EMP
A6006	Host-associated	Animal-secretion	source	EMP	EMP
A6011	Host-associated	Animal-secretion	source	EMP	EMP
A6022	Host-associated	Animal-secretion	source	EMP	EMP
A6025	Host-associated	Animal-secretion	source	EMP	EMP
A6039	Host-associated	Animal-secretion	source	EMP	EMP
A6041	Host-associated	Animal-secretion	source	EMP	EMP
A6043	Host-associated	Animal-secretion	source	EMP	EMP
A6060	Host-associated	Animal-secretion	source	EMP	EMP
A6064	Host-associated	Animal-secretion	source	EMP	EMP
A6067	Host-associated	Animal-secretion	source	EMP	EMP
A6071	Host-associated	Animal-secretion	source	EMP	EMP
A6085	Host-associated	Animal-secretion	source	EMP	EMP
A6093	Host-associated	Animal-secretion	source	EMP	EMP
A6121	Host-associated	Animal-secretion	source	EMP	EMP
A6122	Host-associated	Animal-secretion	source	EMP	EMP
A6141	Host-associated	Animal-secretion	source	EMP	EMP
A6144	Host-associated	Animal-secretion	source	EMP	EMP
A6162	Host-associated	Animal-secretion	source	EMP	EMP
A6167	Host-associated	Animal-secretion	source	EMP	EMP
A6170	Host-associated	Animal-secretion	source	EMP	EMP
A6173	Host-associated	Animal-secretion	source	EMP	EMP
A6182	Host-associated	Animal-secretion	source	EMP	EMP
A6183	Host-associated	Animal-secretion	source	EMP	EMP
A6190	Host-associated	Animal-secretion	source	EMP	EMP
A6198	Host-associated	Animal-secretion	source	EMP	EMP
A6220	Host-associated	Animal-secretion	source	EMP	EMP
A6248	Host-associated	Animal-secretion	source	EMP	EMP
A6250	Host-associated	Animal-secretion	source	EMP	EMP
A6253	Host-associated	Animal-secretion	source	EMP	EMP
A6255	Host-associated	Animal-secretion	source	EMP	EMP
A6256	Host-associated	Animal-secretion	source	EMP	EMP
A6257	Host-associated	Animal-secretion	source	EMP	EMP
A6274	Host-associated	Animal-secretion	source	EMP	EMP
A6286	Host-associated	Animal-secretion	source	EMP	EMP
A6294	Host-associated	Animal-secretion	source	EMP	EMP
A6301	Host-associated	Animal-secretion	source	EMP	EMP
A6302	Host-associated	Animal-secretion	source	EMP	EMP
A6331	Host-associated	Animal-secretion	source	EMP	EMP
A6337	Host-associated	Animal-secretion	source	EMP	EMP
A6360	Host-associated	Animal-secretion	source	EMP	EMP
A6361	Host-associated	Animal-secretion	source	EMP	EMP
A6366	Host-associated	Animal-secretion	source	EMP	EMP
A6373	Host-associated	Animal-secretion	source	EMP	EMP
A6384	Host-associated	Animal-secretion	source	EMP	EMP
A6390	Host-associated	Animal-secretion	source	EMP	EMP
A6394	Host-associated	Animal-secretion	source	EMP	EMP
A6424	Host-associated	Animal-secretion	source	EMP	EMP
A6427	Host-associated	Animal-secretion	source	EMP	EMP
A6431	Host-associated	Animal-secretion	source	EMP	EMP
A6443	Host-associated	Animal-secretion	source	EMP	EMP
A6460	Host-associated	Animal-secretion	source	EMP	EMP
A6477	Host-associated	Animal-secretion	source	EMP	EMP
A6484	Host-associated	Animal-secretion	source	EMP	EMP
A6485	Host-associated	Animal-secretion	source	EMP	EMP
A6497	Host-associated	Animal-secretion	source	EMP	EMP
A6512	Host-associated	Animal-secretion	source	EMP	EMP
A6545	Host-associated	Animal-secretion	source	EMP	EMP
A6557	Host-associated	Animal-secretion	source	EMP	EMP
A6559	Host-associated	Animal-secretion	source	EMP	EMP
A6566	Host-associated	Animal-secretion	source	EMP	EMP
A6569	Host-associated	Animal-secretion	source	EMP	EMP
A6580	Host-associated	Animal-secretion	source	EMP	EMP
A6596	Host-associated	Animal-secretion	source	EMP	EMP
A6625	Host-associated	Animal-secretion	source	EMP	EMP
A6629	Host-associated	Animal-secretion	source	EMP	EMP
A6636	Host-associated	Animal-secretion	source	EMP	EMP
A6651	Host-associated	Animal-secretion	source	EMP	EMP
A6667	Host-associated	Animal-secretion	source	EMP	EMP
A6673	Host-associated	Animal-secretion	source	EMP	EMP
A6688	Host-associated	Animal-secretion	source	EMP	EMP
A6689	Host-associated	Animal-secretion	source	EMP	EMP
A6692	Host-associated	Animal-secretion	source	EMP	EMP
A6693	Host-associated	Animal-secretion	source	EMP	EMP
A6695	Host-associated	Animal-secretion	source	EMP	EMP
A6717	Host-associated	Animal-secretion	source	EMP	EMP
A6736	Host-associated	Animal-secretion	source	EMP	EMP
A6740	Host-associated	Animal-secretion	source	EMP	EMP
A6748	Host-associated	Animal-secretion	source	EMP	EMP
A6778	Host-associated	Animal-secretion	source	EMP	EMP
A6797	Host-associated	Animal-secretion	source	EMP	EMP
A6822	Host-associated	Animal-secretion	source	EMP	EMP
A6836	Host-associated	Animal-secretion	source	EMP	EMP
A6879	Host-associated	Animal-secretion	source	EMP	EMP
A6880	Host-associated	Animal-secretion	source	EMP	EMP
A6915	Host-associated	Animal-secretion	source	EMP	EMP
A6987	Host-associated	Animal-secretion	source	EMP	EMP
A6989	Host-associated	Animal-secretion	source	EMP	EMP
A6999	Host-associated	Animal-secretion	source	EMP	EMP
A7000	Host-associated	Animal-secretion	source	EMP	EMP
A7009	Host-associated	Animal-secretion	source	EMP	EMP
A7010	Host-associated	Animal-secretion	source	EMP	EMP
A7061	Host-associated	Animal-secretion	source	EMP	EMP
A7069	Host-associated	Animal-secretion	source	EMP	EMP
A7081	Host-associated	Animal-secretion	source	EMP	EMP
A7088	Host-associated	Animal-secretion	source	EMP	EMP
A7092	Host-associated	Animal-secretion	source	EMP	EMP
A7118	Host-associated	Animal-secretion	source	EMP	EMP
A7138	Host-associated	Animal-secretion	source	EMP	EMP
A7145	Host-associated	Animal-secretion	source	EMP	EMP
A7148	Host-associated	Animal-secretion	source	EMP	EMP
A7165	Host-associated	Animal-secretion	source	EMP	EMP
A7175	Host-associated	Animal-secretion	source	EMP	EMP
A7179	Host-associated	Animal-secretion	source	EMP	EMP
A7197	Host-associated	Animal-secretion	source	EMP	EMP
A7204	Host-associated	Animal-secretion	source	EMP	EMP
A7212	Host-associated	Animal-secretion	source	EMP	EMP
A7253	Host-associated	Animal-secretion	source	EMP	EMP
A7261	Host-associated	Animal-secretion	source	EMP	EMP
A7273	Host-associated	Animal-secretion	source	EMP	EMP
A7293	Host-associated	Animal-secretion	source	EMP	EMP
A7295	Host-associated	Animal-secretion	source	EMP	EMP
A7303	Host-associated	Animal-secretion	source	EMP	EMP
A7322	Host-associated	Animal-secretion	source	EMP	EMP
A7340	Host-associated	Animal-secretion	source	EMP	EMP
A7346	Host-associated	Animal-secretion	source	EMP	EMP
A7348	Host-associated	Animal-secretion	source	EMP	EMP
A7349	Host-associated	Animal-secretion	source	EMP	EMP
A7385	Host-associated	Animal-secretion	source	EMP	EMP
A7389	Host-associated	Animal-secretion	source	EMP	EMP
A7414	Host-associated	Animal-secretion	source	EMP	EMP
A7423	Host-associated	Animal-secretion	source	EMP	EMP
A7429	Host-associated	Animal-secretion	source	EMP	EMP
A7440	Host-associated	Animal-secretion	source	EMP	EMP
A7452	Host-associated	Animal-secretion	source	EMP	EMP
A7456	Host-associated	Animal-secretion	source	EMP	EMP
A7463	Host-associated	Animal-secretion	source	EMP	EMP
A7472	Host-associated	Animal-secretion	source	EMP	EMP
A7480	Host-associated	Animal-secretion	source	EMP	EMP
A7484	Host-associated	Animal-secretion	source	EMP	EMP
A7493	Host-associated	Animal-secretion	source	EMP	EMP
A7494	Host-associated	Animal-secretion	source	EMP	EMP
A7512	Host-associated	Animal-secretion	source	EMP	EMP
A7518	Host-associated	Animal-secretion	source	EMP	EMP
A7528	Host-associated	Animal-secretion	source	EMP	EMP
A7534	Host-associated	Animal-secretion	source	EMP	EMP
A7551	Host-associated	Animal-secretion	source	EMP	EMP
A7564	Host-associated	Animal-secretion	source	EMP	EMP
A7589	Host-associated	Animal-secretion	source	EMP	EMP
A7624	Host-associated	Animal-secretion	source	EMP	EMP
A7641	Host-associated	Animal-secretion	source	EMP	EMP
A7644	Host-associated	Animal-secretion	source	EMP	EMP
A7647	Host-associated	Animal-secretion	source	EMP	EMP
A7669	Host-associated	Animal-secretion	source	EMP	EMP
A7688	Host-associated	Animal-secretion	source	EMP	EMP
A7695	Host-associated	Animal-secretion	source	EMP	EMP
A7713	Host-associated	Animal-secretion	source	EMP	EMP
A7718	Host-associated	Animal-secretion	source	EMP	EMP
A7729	Host-associated	Animal-secretion	source	EMP	EMP
A7733	Host-associated	Animal-secretion	source	EMP	EMP
A7734	Host-associated	Animal-secretion	source	EMP	EMP
A7749	Host-associated	Animal-secretion	source	EMP	EMP
A7767	Host-associated	Animal-secretion	source	EMP	EMP
A7773	Host-associated	Animal-secretion	source	EMP	EMP
A7777	Host-associated	Animal-secretion	source	EMP	EMP
A7778	Host-associated	Animal-secretion	source	EMP	EMP
A7794	Host-associated	Animal-secretion	source	EMP	EMP
A7795	Host-associated	Animal-secretion	source	EMP	EMP
A7801	Host-associated	Animal-secretion	source	EMP	EMP
A7810	Host-associated	Animal-secretion	source	EMP	EMP
A7812	Host-associated	Animal-secretion	source	EMP	EMP
A7823	Host-associated	Animal-secretion	source	EMP	EMP
A7828	Host-associated	Animal-secretion	source	EMP	EMP
A7863	Host-associated	Animal-secretion	source	EMP	EMP
A7870	Host-associated	Animal-secretion	source	EMP	EMP
A7872	Host-associated	Animal-secretion	source	EMP	EMP
A7880	Host-associated	Animal-secretion	source	EMP	EMP
A7881	Host-associated	Animal-secretion	source	EMP	EMP
A7903	Host-associated	Animal-secretion	source	EMP	EMP
A7907	Host-associated	Animal-secretion	source	EMP	EMP
A7910	Host-associated	Animal-secretion	source	EMP	EMP
A7923	Host-associated	Animal-secretion	source	EMP	EMP
A7938	Host-associated	Animal-secretion	source	EMP	EMP
A7943	Host-associated	Animal-secretion	source	EMP	EMP
A7948	Host-associated	Animal-secretion	source	EMP	EMP
A7950	Host-associated	Animal-secretion	source	EMP	EMP
A7954	Host-associated	Animal-secretion	source	EMP	EMP
A7978	Host-associated	Animal-secretion	source	EMP	EMP
A7980	Host-associated	Animal-secretion	source	EMP	EMP
A7984	Host-associated	Animal-secretion	source	EMP	EMP
A7993	Host-associated	Animal-secretion	source	EMP	EMP
A8006	Host-associated	Animal-secretion	source	EMP	EMP
A8007	Host-associated	Animal-secretion	source	EMP	EMP
A8010	Host-associated	Animal-secretion	source	EMP	EMP
A8021	Host-associated	Animal-secretion	source	EMP	EMP
A8056	Host-associated	Animal-secretion	source	EMP	EMP
A8086	Host-associated	Animal-secretion	source	EMP	EMP
A8102	Host-associated	Animal-secretion	source	EMP	EMP
A8112	Host-associated	Animal-secretion	source	EMP	EMP
A8128	Host-associated	Animal-secretion	source	EMP	EMP
A8153	Host-associated	Animal-secretion	source	EMP	EMP
A8182	Host-associated	Animal-secretion	source	EMP	EMP
A8186	Host-associated	Animal-secretion	source	EMP	EMP
A8198	Host-associated	Animal-secretion	source	EMP	EMP
A8209	Host-associated	Animal-secretion	source	EMP	EMP
A8232	Host-associated	Animal-secretion	source	EMP	EMP
A8236	Host-associated	Animal-secretion	source	EMP	EMP
A8237	Host-associated	Animal-secretion	source	EMP	EMP
A8263	Host-associated	Animal-secretion	source	EMP	EMP
A8288	Host-associated	Animal-secretion	source	EMP	EMP
A8293	Host-associated	Animal-secretion	source	EMP	EMP
A8294	Host-associated	Animal-secretion	source	EMP	EMP
A8297	Host-associated	Animal-secretion	source	EMP	EMP
A8318	Host-associated	Animal-secretion	source	EMP	EMP
A8320	Host-associated	Animal-secretion	source	EMP	EMP
A8347	Host-associated	Animal-secretion	source	EMP	EMP
A8353	Host-associated	Animal-secretion	source	EMP	EMP
A8363	Host-associated	Animal-secretion	source	EMP	EMP
A8387	Host-associated	Animal-secretion	source	EMP	EMP
A8400	Host-associated	Animal-secretion	source	EMP	EMP
A8402	Host-associated	Animal-secretion	source	EMP	EMP
A8410	Host-associated	Animal-secretion	source	EMP	EMP
A8415	Host-associated	Animal-secretion	source	EMP	EMP
A8425	Host-associated	Animal-secretion	source	EMP	EMP
A8447	Host-associated	Animal-secretion	source	EMP	EMP
A8448	Host-associated	Animal-secretion	source	EMP	EMP
A8455	Host-associated	Animal-secretion	source	EMP	EMP
A8460	Host-associated	Animal-secretion	source	EMP	EMP
A8469	Host-associated	Animal-secretion	source	EMP	EMP
A8480	Host-associated	Animal-secretion	source	EMP	EMP
A8485	Host-associated	Animal-secretion	source	EMP	EMP
A8515	Host-associated	Animal-secretion	source	EMP	EMP
A8523	Host-associated	Animal-secretion	source	EMP	EMP
A8524	Host-associated	Animal-secretion	source	EMP	EMP
A8526	Host-associated	Animal-secretion	source	EMP	EMP
A8529	Host-associated	Animal-secretion	source	EMP	EMP
A8531	Host-associated	Animal-secretion	source	EMP	EMP
A8553	Host-associated	Animal-secretion	source	EMP	EMP
A8569	Host-associated	Animal-secretion	source	EMP	EMP
A8579	Host-associated	Animal-secretion	source	EMP	EMP
A8592	Host-associated	Animal-secretion	source	EMP	EMP
A8625	Host-associated	Animal-secretion	source	EMP	EMP
A8630	Host-associated	Animal-secretion	source	EMP	EMP
A8636	Host-associated	Animal-secretion	source	EMP	EMP
A8640	Host-associated	Animal-secretion	source	EMP	EMP
A8645	Host-associated	Animal-secretion	source	EMP	EMP
A8657	Host-associated	Animal-secretion	source	EMP	EMP
A8672	Host-associated	Animal-secretion	source	EMP	EMP
A8673	Host-associated	Animal-secretion	source	EMP	EMP
A8678	Host-associated	Animal-secretion	source	EMP	EMP
A8681	Host-associated	Animal-secretion	source	EMP	EMP
A8683	Host-associated	Animal-secretion	source	EMP	EMP
A8684	Host-associated	Animal-secretion	source	EMP	EMP
A8697	Host-associated	Animal-secretion	source	EMP	EMP
A8699	Host-associated	Animal-secretion	source	EMP	EMP
A8700	Host-associated	Animal-secretion	source	EMP	EMP
A8710	Host-associated	Animal-secretion	source	EMP	EMP
A8714	Host-associated	Animal-secretion	source	EMP	EMP
A8716	Host-associated	Animal-secretion	source	EMP	EMP
A8729	Host-associated	Animal-secretion	source	EMP	EMP
A8730	Host-associated	Animal-secretion	source	EMP	EMP
A8738	Host-associated	Animal-secretion	source	EMP	EMP
A8746	Host-associated	Animal-secretion	source	EMP	EMP
A8749	Host-associated	Animal-secretion	source	EMP	EMP
A8757	Host-associated	Animal-secretion	source	EMP	EMP
A8760	Host-associated	Animal-secretion	source	EMP	EMP
A8770	Host-associated	Animal-secretion	source	EMP	EMP
A8778	Host-associated	Animal-secretion	source	EMP	EMP
A8788	Host-associated	Animal-secretion	source	EMP	EMP
A8802	Host-associated	Animal-secretion	source	EMP	EMP
A8805	Host-associated	Animal-secretion	source	EMP	EMP
A8806	Host-associated	Animal-secretion	source	EMP	EMP
A8831	Host-associated	Animal-secretion	source	EMP	EMP
A8837	Host-associated	Animal-secretion	source	EMP	EMP
A8863	Host-associated	Animal-secretion	source	EMP	EMP
A8885	Host-associated	Animal-secretion	source	EMP	EMP
A8903	Host-associated	Animal-secretion	source	EMP	EMP
A8909	Host-associated	Animal-secretion	source	EMP	EMP
A8925	Host-associated	Animal-secretion	source	EMP	EMP
A8931	Host-associated	Animal-secretion	source	EMP	EMP
A8946	Host-associated	Animal-secretion	source	EMP	EMP
A8959	Host-associated	Animal-secretion	source	EMP	EMP
A8962	Host-associated	Animal-secretion	source	EMP	EMP
A8969	Host-associated	Animal-secretion	source	EMP	EMP
A8973	Host-associated	Animal-secretion	source	EMP	EMP
A8974	Host-associated	Animal-secretion	source	EMP	EMP
A8979	Host-associated	Animal-secretion	source	EMP	EMP
A8988	Host-associated	Animal-secretion	source	EMP	EMP
A8999	Host-associated	Animal-secretion	source	EMP	EMP
A9000	Host-associated	Animal-secretion	source	EMP	EMP
A9011	Host-associated	Animal-secretion	source	EMP	EMP
A9036	Host-associated	Animal-secretion	source	EMP	EMP
A9039	Host-associated	Animal-secretion	source	EMP	EMP
A9049	Host-associated	Animal-secretion	source	EMP	EMP
A9051	Host-associated	Animal-secretion	source	EMP	EMP
A9058	Host-associated	Animal-secretion	source	EMP	EMP
A9096	Host-associated	Animal-secretion	source	EMP	EMP
A9099	Host-associated	Animal-secretion	source	EMP	EMP
A9106	Host-associated	Animal-secretion	source	EMP	EMP
A9118	Host-associated	Animal-secretion	source	EMP	EMP
A9124	Host-associated	Animal-secretion	source	EMP	EMP
A9135	Host-associated	Animal-secretion	source	EMP	EMP
A9149	Host-associated	Animal-secretion	source	EMP	EMP
A9184	Host-associated	Animal-secretion	source	EMP	EMP
A9202	Host-associated	Animal-secretion	source	EMP	EMP
A9205	Host-associated	Animal-secretion	source	EMP	EMP
A9237	Host-associated	Animal-secretion	source	EMP	EMP
A9238	Host-associated	Animal-secretion	source	EMP	EMP
A9240	Host-associated	Animal-secretion	source	EMP	EMP
A9254	Host-associated	Animal-secretion	source	EMP	EMP
A9256	Host-associated	Animal-secretion	source	EMP	EMP
A9260	Host-associated	Animal-secretion	source	EMP	EMP
A9263	Host-associated	Animal-secretion	source	EMP	EMP
A9278	Host-associated	Animal-secretion	source	EMP	EMP
A9281	Host-associated	Animal-secretion	source	EMP	EMP
A9287	Host-associated	Animal-secretion	source	EMP	EMP
A9289	Host-associated	Animal-secretion	source	EMP	EMP
A9300	Host-associated	Animal-secretion	source	EMP	EMP
A9310	Host-associated	Animal-secretion	source	EMP	EMP
A9319	Host-associated	Animal-secretion	source	EMP	EMP
A9320	Host-associated	Animal-secretion	source	EMP	EMP
A9351	Host-associated	Animal-secretion	source	EMP	EMP
A9391	Host-associated	Animal-secretion	source	EMP	EMP
A9392	Host-associated	Animal-secretion	source	EMP	EMP
A9401	Host-associated	Animal-secretion	source	EMP	EMP
A9404	Host-associated	Animal-secretion	source	EMP	EMP
A9406	Host-associated	Animal-secretion	source	EMP	EMP
A9411	Host-associated	Animal-secretion	source	EMP	EMP
A9425	Host-associated	Animal-secretion	source	EMP	EMP
A9433	Host-associated	Animal-secretion	source	EMP	EMP
A9440	Host-associated	Animal-secretion	source	EMP	EMP
A9445	Host-associated	Animal-secretion	source	EMP	EMP
A9461	Host-associated	Animal-secretion	source	EMP	EMP
A9483	Host-associated	Animal-secretion	source	EMP	EMP
A9498	Host-associated	Animal-secretion	source	EMP	EMP
A9509	Host-associated	Animal-secretion	source	EMP	EMP
A9514	Host-associated	Animal-secretion	source	EMP	EMP
A9544	Host-associated	Animal-secretion	source	EMP	EMP
A9550	Host-associated	Animal-secretion	source	EMP	EMP
A9643	Host-associated	Animal-secretion	source	EMP	EMP
A9645	Host-associated	Animal-secretion	source	EMP	EMP
A9668	Host-associated	Animal-secretion	source	EMP	EMP
A9676	Host-associated	Animal-secretion	source	EMP	EMP
A9684	Host-associated	Animal-secretion	source	EMP	EMP
A9701	Host-associated	Animal-secretion	source	EMP	EMP
A9702	Host-associated	Animal-secretion	source	EMP	EMP
A9704	Host-associated	Animal-secretion	source	EMP	EMP
A9707	Host-associated	Animal-secretion	source	EMP	EMP
A9715	Host-associated	Animal-secretion	source	EMP	EMP
A9718	Host-associated	Animal-secretion	source	EMP	EMP
A9731	Host-associated	Animal-secretion	source	EMP	EMP
A9745	Host-associated	Animal-secretion	source	EMP	EMP
A9754	Host-associated	Animal-secretion	source	EMP	EMP
A9761	Host-associated	Animal-secretion	source	EMP	EMP
A9766	Host-associated	Animal-secretion	source	EMP	EMP
A9771	Host-associated	Animal-secretion	source	EMP	EMP
A9778	Host-associated	Animal-secretion	source	EMP	EMP
A9779	Host-associated	Animal-secretion	source	EMP	EMP
A9786	Host-associated	Animal-secretion	source	EMP	EMP
A9806	Host-associated	Animal-secretion	source	EMP	EMP
A9812	Host-associated	Animal-secretion	source	EMP	EMP
A9819	Host-associated	Animal-secretion	source	EMP	EMP
A9825	Host-associated	Animal-secretion	source	EMP	EMP
A9830	Host-associated	Animal-secretion	source	EMP	EMP
A9833	Host-associated	Animal-secretion	source	EMP	EMP
A9839	Host-associated	Animal-secretion	source	EMP	EMP
A9857	Host-associated	Animal-secretion	source	EMP	EMP
A9877	Host-associated	Animal-secretion	source	EMP	EMP
A9897	Host-associated	Animal-secretion	source	EMP	EMP
A9899	Host-associated	Animal-secretion	source	EMP	EMP
A9906	Host-associated	Animal-secretion	source	EMP	EMP
A9907	Host-associated	Animal-secretion	source	EMP	EMP
A9922	Host-associated	Animal-secretion	source	EMP	EMP
A9936	Host-associated	Animal-secretion	source	EMP	EMP
A9940	Host-associated	Animal-secretion	source	EMP	EMP
A9958	Host-associated	Animal-secretion	source	EMP	EMP
A9968	Host-associated	Animal-secretion	source	EMP	EMP
A9978	Host-associated	Animal-secretion	source	EMP	EMP
A9989	Host-associated	Animal-secretion	source	EMP	EMP
A9996	Host-associated	Animal-secretion	source	EMP	EMP
A2	Host-associated	Animal-surface	source	EMP	EMP
