"Aerosol-non-saline"	"Animal-corpus"	"Animal-distal-gut"	"Animal-proximal-gut"	"Animal-secretion"	"Animal-surface"	"Hypersaline-saline"	"Plant-corpus"	"Plant-surface"	"Sediment-non-saline"	"Sediment-saline"	"Soil-non-saline"	"Surface-non-saline"	"Surface-saline"	"Water-non-saline"	"Water-saline"	"Unknown"
"A656"	0.0098	0.0254	0.0034	0.0045	0.011	0.0261	0.0096	0.0213	0.1117	0.0332	0.0787	0.3474	0.0311	0.0832	0.1632	0.0324	0.008
"A684"	0.0174	0.0071	0.0138	0.0152	0.0073	0.0096	0.0111	0.1571	0.0131	0.4657	0.0456	0.124	0.007	0.017	0.0536	0.0092	0.0262
"A752"	0.0256	0.0146	0.0288	0.0197	0.0069	0.012	0.0095	0.1605	0.0184	0.1967	0.0603	0.1724	0.0135	0.0232	0.2044	0.0138	0.0197
"A792"	0.0196	0.0531	0.0031	0.0056	0.0123	0.0445	0.0083	0.0428	0.1117	0.0233	0.0456	0.3388	0.0432	0.0626	0.1522	0.0264	0.0069
"A793"	0.0149	0.034	0.0036	0.0043	0.0127	0.0173	0.0103	0.0179	0.0436	0.0327	0.0292	0.6147	0.0163	0.0295	0.0938	0.0185	0.0067
"A797"	0.0123	0.0454	0.0108	0.01	0.025	0.0338	0.0152	0.0019	0.0213	0.2551	0.2893	0.1551	0.0109	0.0229	0.0408	0.0375	0.0127
"A802"	0.0106	0.0445	0.0051	0.0033	0.0122	0.0684	0.0111	0.0044	0.2344	0.0204	0.1307	0.2797	0.0204	0.0841	0.0414	0.0274	0.0019
"A808"	0.0189	0.0076	0.0131	0.0135	0.007	0.0065	0.0074	0.0756	0.0096	0.563	0.0199	0.164	0.0113	0.0142	0.0312	0.009	0.0282
"A888"	0.0144	0.0068	0.0257	0.02	0.0078	0.0076	0.0064	0.0263	0.0123	0.6088	0.0288	0.1611	0.0109	0.0112	0.0316	0.0072	0.0131
"A902"	0.0059	0.0154	0.0026	0.0025	0.0068	0.0082	0.0078	0.0015	0.0256	0.0663	0.0331	0.73	0.0072	0.0208	0.03	0.0111	0.0252
