"Aerosol-non-saline"	"Animal-corpus"	"Animal-distal-gut"	"Animal-proximal-gut"	"Animal-secretion"	"Animal-surface"	"Hypersaline-saline"	"Plant-corpus"	"Plant-surface"	"Sediment-non-saline"	"Sediment-saline"	"Soil-non-saline"	"Surface-non-saline"	"Surface-saline"	"Water-non-saline"	"Water-saline"	"Unknown"
"A2878"	0.0152	0.0067	0.0438	0.0374	0.0085	0.0078	0.011	0.0057	0.0146	0.6083	0.032	0.106	0.0102	0.01	0.027	0.0056	0.0502
"A2901"	0.0087	0.0218	0.0031	0.0024	0.0072	0.011	0.0092	0.0023	0.0232	0.0836	0.0298	0.429	0.0106	0.0177	0.0341	0.012	0.2943
"A2929"	0.0114	0.0074	0.0224	0.0162	0.0082	0.0073	0.0085	0.003	0.0074	0.5987	0.0292	0.2096	0.0158	0.0113	0.0212	0.0054	0.017
"A2936"	0.0253	0.0082	0.1191	0.0819	0.0073	0.0065	0.0062	0.0148	0.0083	0.4516	0.0186	0.1345	0.0076	0.0079	0.021	0.0057	0.0755
"A2952"	0.0253	0.0104	0.0319	0.0312	0.0085	0.0093	0.011	0.0438	0.0203	0.4229	0.0247	0.2448	0.0113	0.0175	0.0681	0.0066	0.0124
"A2962"	0.0131	0.0078	0.0119	0.0113	0.0066	0.0055	0.0073	0.0905	0.0127	0.5395	0.0239	0.1543	0.0085	0.01	0.0253	0.0097	0.0621
"A2971"	0.0178	0.0596	0.0065	0.0038	0.0096	0.0405	0.0083	0.0131	0.1976	0.021	0.0864	0.3413	0.0264	0.0689	0.049	0.041	0.0092
"A2979"	0.0096	0.0131	0.0025	0.0024	0.0064	0.012	0.0082	0.0037	0.034	0.1015	0.0308	0.4619	0.0125	0.0238	0.0453	0.0126	0.2197
"A2983"	0.0073	0.0149	0.003	0.0021	0.0057	0.0079	0.0053	0.0015	0.0214	0.0812	0.0213	0.5166	0.0127	0.0141	0.0239	0.0099	0.2512
"A3001"	0.0136	0.0339	0.005	0.0038	0.0122	0.0205	0.0075	0.0344	0.1395	0.0316	0.0915	0.411	0.0169	0.0755	0.0516	0.0373	0.0142
"A3002"	0.0159	0.0522	0.0056	0.003	0.0104	0.0512	0.0058	0.0181	0.2006	0.0228	0.0913	0.2641	0.03	0.1115	0.0698	0.0419	0.0058
"A3025"	0.041	0.0216	0.027	0.0228	0.0149	0.0241	0.0141	0.2582	0.0207	0.1496	0.0697	0.1621	0.0168	0.0204	0.107	0.0152	0.0148
"A3036"	0.0111	0.0745	0.0069	0.0055	0.0119	0.0647	0.0101	0.0058	0.1415	0.0214	0.2596	0.1845	0.0255	0.0882	0.0444	0.0329	0.0115
"A3038"	0.0161	0.0172	0.0159	0.016	0.0098	0.0117	0.0123	0.0265	0.0217	0.4649	0.0762	0.1993	0.0158	0.0203	0.0386	0.0162	0.0215
"A3043"	0.0101	0.0079	0.012	0.0124	0.0067	0.0049	0.0084	0.0131	0.008	0.582	0.0243	0.2231	0.008	0.0124	0.0196	0.0071	0.04
"A3064"	0.0216	0.0398	0.005	0.0031	0.0129	0.0304	0.0085	0.0736	0.0929	0.0237	0.0488	0.2395	0.0351	0.1022	0.2304	0.0274	0.0051
"A3078"	0.0125	0.0142	0.0193	0.0176	0.0097	0.0129	0.0155	0.004	0.0164	0.5129	0.0679	0.1754	0.0129	0.0138	0.0186	0.0108	0.0656
"A3092"	0.0187	0.0057	0.0273	0.0314	0.0082	0.0052	0.0084	0.0917	0.0097	0.5676	0.0259	0.0689	0.0101	0.0119	0.0467	0.0075	0.0551
"A3126"	0.0166	0.0066	0.0217	0.023	0.0081	0.0076	0.0064	0.0096	0.007	0.5559	0.0247	0.21	0.012	0.0106	0.033	0.0061	0.0411
"A3139"	0.0156	0.0089	0.0151	0.0211	0.0073	0.0093	0.0079	0.0097	0.0113	0.4837	0.0368	0.2718	0.0134	0.0172	0.0328	0.0078	0.0303
"A3146"	0.0193	0.0083	0.0165	0.0239	0.0098	0.0057	0.0069	0.0794	0.0114	0.5284	0.0217	0.1847	0.0097	0.0118	0.0298	0.0087	0.024
"A3154"	0.0156	0.0061	0.0675	0.0788	0.0058	0.0077	0.0055	0.0058	0.0078	0.4361	0.025	0.0671	0.0088	0.0084	0.0244	0.0058	0.2238
"A3158"	0.0045	0.0111	0.0034	0.0026	0.0038	0.0056	0.007	0.0014	0.0285	0.1045	0.021	0.6575	0.0109	0.0163	0.0235	0.0116	0.0868
"A3218"	0.0154	0.032	0.0062	0.0034	0.0102	0.0309	0.0074	0.3163	0.1575	0.0181	0.0613	0.1098	0.0186	0.1065	0.0695	0.0332	0.0037
"A3221"	0.0554	0.0319	0.0349	0.0459	0.067	0.0416	0.0116	0.0456	0.0135	0.1493	0.0447	0.1173	0.0269	0.0235	0.1371	0.0105	0.1433
"A3228"	0.0184	0.0069	0.0475	0.0342	0.0074	0.0055	0.0078	0.0091	0.0117	0.5336	0.0274	0.1719	0.01	0.0089	0.0242	0.007	0.0685
"A3269"	0.0179	0.0067	0.0192	0.02	0.0068	0.006	0.0111	0.0504	0.0093	0.5118	0.0272	0.2009	0.0096	0.016	0.03	0.0082	0.0489
"A3289"	0.0105	0.0599	0.0043	0.0037	0.0131	0.079	0.0102	0.0057	0.1183	0.0275	0.2405	0.2662	0.0193	0.0656	0.0315	0.031	0.0137
"A3322"	0.0147	0.0072	0.0219	0.02	0.0091	0.0061	0.0061	0.0115	0.0099	0.489	0.0262	0.2831	0.0116	0.0111	0.0305	0.0068	0.0352
"A3326"	0.0114	0.054	0.0049	0.004	0.0158	0.0672	0.0105	0.0226	0.2347	0.0186	0.1807	0.1939	0.0264	0.0784	0.0291	0.0444	0.0034
"A3346"	0.0129	0.0093	0.0231	0.0243	0.0097	0.0092	0.0112	0.0038	0.0143	0.5688	0.0471	0.1806	0.0126	0.0117	0.024	0.007	0.0304
"A3394"	0.0198	0.0058	0.0341	0.0273	0.0082	0.0058	0.0081	0.1226	0.0115	0.5238	0.0267	0.1176	0.0104	0.0154	0.0327	0.0093	0.0209
"A3417"	0.0144	0.0573	0.0059	0.0018	0.0135	0.0519	0.0057	0.0094	0.2235	0.0189	0.0843	0.2544	0.0239	0.1057	0.0802	0.0439	0.0053
"A3431"	0.0111	0.0066	0.0153	0.0148	0.0049	0.0063	0.0058	0.0074	0.0063	0.5977	0.0255	0.1969	0.0095	0.0099	0.0235	0.0038	0.0547
"A3435"	0.0233	0.0067	0.0338	0.0464	0.0087	0.0062	0.0086	0.0792	0.009	0.4848	0.0235	0.152	0.0089	0.0094	0.0383	0.0064	0.0548
"A3441"	0.0069	0.0188	0.0035	0.0035	0.0093	0.0114	0.0045	0.0017	0.01	0.0321	0.0147	0.8184	0.0185	0.0125	0.0135	0.0075	0.0132
"A3476"	0.0092	0.0801	0.0052	0.0023	0.0127	0.0426	0.0099	0.0033	0.3599	0.016	0.0731	0.1394	0.034	0.0843	0.0835	0.0395	0.005
"A3509"	0.0105	0.0097	0.0189	0.0155	0.0103	0.0074	0.0108	0.0043	0.0086	0.6465	0.0326	0.1393	0.0081	0.012	0.0194	0.0053	0.0408
"A3534"	0.0129	0.0101	0.016	0.0159	0.0077	0.0051	0.0091	0.0164	0.01	0.5186	0.0399	0.2444	0.0171	0.0117	0.026	0.0062	0.0329
"A3574"	0.0137	0.0386	0.0049	0.0037	0.0107	0.0264	0.0099	0.0282	0.0964	0.0217	0.0499	0.5423	0.0144	0.0478	0.0587	0.0267	0.006
"A3587"	0.0173	0.0074	0.0227	0.0234	0.0078	0.0057	0.007	0.0293	0.0112	0.5418	0.0253	0.2272	0.0077	0.0122	0.0181	0.0073	0.0286
"A3592"	0.0138	0.0579	0.0067	0.0045	0.015	0.0708	0.0067	0.0246	0.1704	0.0233	0.2046	0.1929	0.028	0.1097	0.0343	0.0322	0.0046
"A3593"	0.0094	0.0713	0.0041	0.0036	0.0128	0.0435	0.0111	0.0035	0.1803	0.0206	0.3225	0.1659	0.0183	0.0667	0.0267	0.0344	0.0053
"A3600"	0.0129	0.006	0.0173	0.018	0.008	0.0038	0.0063	0.0085	0.0088	0.597	0.022	0.1889	0.0077	0.0085	0.0214	0.0053	0.0596
"A3613"	0.0122	0.0758	0.006	0.0044	0.0187	0.077	0.0109	0.0038	0.1555	0.0194	0.1677	0.2478	0.024	0.0917	0.0387	0.0381	0.0083
"A3631"	0.015	0.0087	0.0197	0.0253	0.008	0.0069	0.0057	0.0135	0.0097	0.5269	0.0246	0.1839	0.0113	0.0132	0.0237	0.0088	0.0951
"A3642"	0.0255	0.0101	0.032	0.0289	0.0106	0.0084	0.0084	0.1825	0.0069	0.3673	0.037	0.108	0.0077	0.0144	0.1269	0.0084	0.017
"A3665"	0.0063	0.013	0.0022	0.0021	0.0053	0.007	0.0086	0.0017	0.018	0.0878	0.0277	0.4242	0.0101	0.0152	0.037	0.0107	0.3231
"A3671"	0.0077	0.0189	0.0028	0.002	0.0056	0.0114	0.0066	0.0033	0.0244	0.0859	0.029	0.382	0.0126	0.0191	0.0453	0.0166	0.3268
"A3699"	0.0128	0.0048	0.0388	0.0464	0.0049	0.0054	0.012	0.0134	0.0098	0.6243	0.03	0.1187	0.0083	0.0106	0.0196	0.0077	0.0325
"A3716"	0.0161	0.0116	0.0216	0.0247	0.0098	0.0098	0.0091	0.127	0.0091	0.4696	0.0527	0.1331	0.0088	0.0165	0.0464	0.0117	0.0224
"A3740"	0.0124	0.0073	0.0166	0.0155	0.008	0.0055	0.007	0.1933	0.012	0.4295	0.0271	0.1719	0.0086	0.0107	0.0293	0.0096	0.0357
"A3784"	0.0147	0.0061	0.0237	0.0295	0.0062	0.0056	0.008	0.006	0.0099	0.6537	0.0316	0.1463	0.0062	0.0105	0.0193	0.0057	0.017
"A3790"	0.01	0.0365	0.0031	0.0042	0.01	0.0405	0.0104	0.0275	0.1976	0.0331	0.1442	0.2896	0.0209	0.0869	0.0399	0.0353	0.0103
"A3812"	0.0118	0.1237	0.0046	0.0036	0.0142	0.0597	0.01	0.0034	0.0803	0.0099	0.0184	0.0399	0.0209	0.0375	0.1199	0.0315	0.4107
"A3833"	0.0256	0.0113	0.0341	0.0252	0.0096	0.0092	0.0081	0.051	0.0138	0.4109	0.0363	0.2523	0.0141	0.0138	0.0452	0.0103	0.0292
"A3845"	0.0163	0.0124	0.0331	0.0242	0.0118	0.0099	0.0094	0.0096	0.0156	0.1416	0.0304	0.1281	0.0129	0.0137	0.0266	0.0097	0.4947
"A3856"	0.0184	0.0142	0.0185	0.0185	0.0129	0.0115	0.0149	0.0149	0.0182	0.2804	0.0405	0.1812	0.0136	0.0134	0.126	0.0081	0.1948
"A3878"	0.009	0.0061	0.0172	0.0124	0.0063	0.0051	0.0078	0.0091	0.0105	0.6779	0.0245	0.1221	0.0107	0.0096	0.0211	0.0056	0.045
"A3887"	0.0075	0.0386	0.0044	0.0033	0.0083	0.0305	0.0085	0.0052	0.3307	0.0252	0.1519	0.2115	0.0253	0.0715	0.0309	0.0348	0.0119
"A3910"	0.0157	0.0096	0.0158	0.0125	0.0073	0.0073	0.0085	0.0192	0.0179	0.4649	0.0257	0.2524	0.0119	0.0143	0.0684	0.0113	0.0373
"A3921"	0.0213	0.0572	0.0036	0.0041	0.0123	0.037	0.0087	0.0184	0.2476	0.02	0.0422	0.2462	0.0313	0.0824	0.1347	0.028	0.005
"A3984"	0.0223	0.01	0.0294	0.0228	0.0106	0.0076	0.0096	0.0273	0.0082	0.5529	0.0223	0.1926	0.0122	0.0121	0.03	0.0071	0.023
"A4030"	0.0058	0.0147	0.0028	0.0021	0.0077	0.0084	0.005	0.0023	0.0095	0.0439	0.0216	0.8213	0.0125	0.0124	0.0117	0.0079	0.0104
"A4047"	0.0275	0.0097	0.0332	0.0463	0.0141	0.0097	0.0086	0.0621	0.0118	0.5524	0.0372	0.105	0.0133	0.0135	0.0354	0.0085	0.0117
"A4053"	0.0096	0.0122	0.0021	0.0033	0.0084	0.0093	0.0113	0.0028	0.0514	0.0507	0.0441	0.6747	0.0131	0.0232	0.0506	0.013	0.0202
"A4060"	0.0203	0.0088	0.0338	0.0304	0.0079	0.0079	0.0095	0.0166	0.0125	0.4714	0.0368	0.2289	0.015	0.0132	0.0487	0.0075	0.0308
"A4063"	0.0098	0.0802	0.0044	0.0048	0.0106	0.0287	0.0078	0.0051	0.1788	0.0195	0.1403	0.2255	0.0284	0.1161	0.0889	0.0393	0.0118
"A4080"	0.0117	0.0059	0.0129	0.0167	0.0068	0.006	0.0071	0.1423	0.0085	0.4705	0.0327	0.1569	0.0165	0.0139	0.0438	0.0072	0.0406
"A4086"	0.0076	0.0117	0.0038	0.0046	0.0059	0.0073	0.0075	0.0021	0.0307	0.0699	0.0291	0.7453	0.0087	0.0185	0.0228	0.0107	0.0138
"A4104"	0.0054	0.0169	0.003	0.002	0.0078	0.0098	0.0087	0.0018	0.0297	0.0956	0.0504	0.3872	0.0117	0.0194	0.0383	0.0118	0.3005
"A4108"	0.0206	0.0136	0.0087	0.0093	0.0083	0.0079	0.0097	0.1411	0.015	0.4025	0.0197	0.2462	0.0107	0.0144	0.0418	0.0093	0.0212
"A4155"	0.0126	0.0074	0.0266	0.0157	0.0052	0.0054	0.0074	0.0029	0.0066	0.6302	0.0278	0.182	0.0122	0.0116	0.0183	0.0063	0.0218
"A4167"	0.0093	0.0418	0.004	0.0035	0.0119	0.0463	0.0078	0.0031	0.141	0.0238	0.2404	0.3077	0.0205	0.0634	0.0344	0.0348	0.0063
"A4185"	0.0166	0.0062	0.0237	0.0288	0.008	0.0054	0.0068	0.0517	0.01	0.5992	0.0402	0.1217	0.0118	0.011	0.033	0.008	0.0179
"A4205"	0.0053	0.0097	0.0033	0.0031	0.0031	0.0087	0.0105	0.0019	0.0322	0.1631	0.0441	0.6024	0.0101	0.0178	0.0323	0.0109	0.0415
"A4218"	0.0062	0.0098	0.0034	0.0027	0.0044	0.0076	0.0076	0.0039	0.0302	0.1346	0.0309	0.6777	0.01	0.0221	0.0251	0.0149	0.0089
"A4225"	0.0146	0.0374	0.0037	0.0027	0.0109	0.0289	0.0137	0.0527	0.1319	0.0362	0.0909	0.2888	0.0227	0.0734	0.137	0.0436	0.0109
"A4235"	0.0278	0.0077	0.064	0.0504	0.0093	0.0081	0.0115	0.0307	0.021	0.2786	0.0414	0.2544	0.0089	0.0207	0.1089	0.0086	0.048
"A4242"	0.0133	0.0065	0.0164	0.012	0.0083	0.008	0.0093	0.0071	0.0096	0.6447	0.0244	0.158	0.0104	0.0096	0.0183	0.0055	0.0386
"A4255"	0.0165	0.0104	0.0259	0.0242	0.0081	0.0058	0.0072	0.028	0.0117	0.573	0.0273	0.1626	0.0103	0.0122	0.0223	0.0089	0.0456
"A4276"	0.0057	0.0116	0.0024	0.0015	0.0045	0.0061	0.0044	0.0028	0.0241	0.0284	0.0171	0.8191	0.008	0.0115	0.0255	0.0141	0.0132
"A4283"	0.0161	0.0317	0.0047	0.0042	0.0091	0.0422	0.0124	0.1026	0.1113	0.0226	0.1008	0.2234	0.0227	0.1314	0.1147	0.0452	0.0049
"A4343"	0.0165	0.006	0.0317	0.0309	0.0072	0.0082	0.008	0.0879	0.0143	0.4978	0.0342	0.1651	0.0087	0.0153	0.0401	0.0085	0.0196
"A4344"	0.0062	0.0102	0.003	0.0027	0.0067	0.0069	0.0072	0.0019	0.0216	0.0891	0.0207	0.4317	0.0122	0.0129	0.0299	0.0097	0.3274
"A4364"	0.012	0.0378	0.0044	0.0039	0.011	0.0344	0.0082	0.016	0.1567	0.0243	0.0845	0.4279	0.0206	0.0729	0.0427	0.0369	0.0058
"A4373"	0.0164	0.0426	0.0034	0.0052	0.0093	0.0309	0.0113	0.0348	0.1086	0.0281	0.1339	0.3074	0.023	0.0959	0.1089	0.0357	0.0046
"A4376"	0.0173	0.0089	0.0438	0.0438	0.0098	0.006	0.0101	0.0091	0.0147	0.4848	0.0395	0.1074	0.0085	0.0137	0.0273	0.0087	0.1466
"A4417"	0.0066	0.0097	0.003	0.0021	0.0044	0.0051	0.0058	0.0036	0.027	0.0836	0.023	0.7585	0.0105	0.0122	0.021	0.0109	0.013
"A4420"	0.0301	0.0148	0.0355	0.0399	0.0134	0.0102	0.0106	0.0331	0.0209	0.1512	0.0844	0.0814	0.0093	0.0211	0.3111	0.0125	0.1205
"A4428"	0.0217	0.0074	0.0273	0.0244	0.0098	0.0076	0.0111	0.0903	0.012	0.5097	0.0287	0.1454	0.0123	0.013	0.0522	0.0079	0.0192
"A4431"	0.0115	0.0575	0.0056	0.004	0.0112	0.0417	0.0096	0.0119	0.1957	0.0184	0.0563	0.4158	0.0255	0.0555	0.0404	0.0375	0.0019
"A4435"	0.0213	0.0073	0.0873	0.0637	0.009	0.0067	0.0063	0.0183	0.0089	0.5508	0.0368	0.0961	0.0098	0.0157	0.0269	0.0066	0.0285
"A4436"	0.0147	0.0431	0.0055	0.0039	0.0105	0.0338	0.0106	0.1176	0.1482	0.0324	0.1111	0.2783	0.014	0.0794	0.0487	0.0426	0.0056
"A4486"	0.0131	0.0067	0.0173	0.017	0.0072	0.0038	0.0051	0.0673	0.0118	0.5709	0.0201	0.1586	0.0102	0.012	0.0273	0.0088	0.0428
"A4492"	0.0085	0.007	0.0102	0.0087	0.0069	0.0062	0.0082	0.0044	0.0074	0.5784	0.026	0.2306	0.0082	0.0083	0.0145	0.0053	0.0612
"A4527"	0.0097	0.0048	0.0108	0.0147	0.0078	0.0059	0.0078	0.0024	0.0058	0.5292	0.0228	0.1753	0.0106	0.0061	0.0266	0.0034	0.1563
"A4541"	0.0126	0.056	0.0049	0.004	0.0102	0.0498	0.012	0.0272	0.2088	0.0275	0.0989	0.2655	0.0221	0.0947	0.0592	0.0398	0.0068
"A4553"	0.0062	0.0137	0.0021	0.0037	0.0077	0.0084	0.0089	0.0024	0.0197	0.0768	0.0311	0.6873	0.0142	0.016	0.0467	0.0118	0.0433
"A4556"	0.0163	0.0647	0.0057	0.0034	0.0159	0.0495	0.0077	0.0187	0.1369	0.0152	0.0725	0.4125	0.0206	0.0621	0.0587	0.0357	0.0039
"A4568"	0.01	0.0558	0.0062	0.0043	0.0125	0.026	0.0084	0.0044	0.2748	0.0186	0.0597	0.1359	0.0277	0.0975	0.1998	0.0544	0.004
"A4572"	0.0146	0.0062	0.0129	0.0179	0.0053	0.0079	0.0083	0.1334	0.016	0.4037	0.0299	0.2477	0.0134	0.0152	0.0377	0.0089	0.021
"A4587"	0.0166	0.0694	0.0047	0.0042	0.0111	0.0318	0.0069	0.0531	0.1127	0.0224	0.0459	0.4441	0.0135	0.059	0.0547	0.0424	0.0075
"A4624"	0.0189	0.0543	0.005	0.0027	0.0128	0.0426	0.0095	0.1168	0.104	0.0249	0.0558	0.3405	0.0173	0.0747	0.0746	0.0361	0.0095
"A4644"	0.0163	0.0104	0.0227	0.0233	0.0078	0.0097	0.0097	0.0203	0.0116	0.5523	0.0376	0.1698	0.0106	0.0122	0.03	0.0072	0.0485
"A4651"	0.0066	0.0123	0.0028	0.0026	0.0056	0.0094	0.0074	0.0058	0.028	0.0221	0.0149	0.7949	0.0123	0.0192	0.0327	0.0127	0.0107
"A4670"	0.0227	0.0093	0.067	0.0438	0.0157	0.0137	0.0067	0.0051	0.015	0.335	0.0385	0.2101	0.0114	0.0119	0.113	0.0073	0.0738
"A4676"	0.0259	0.0087	0.0188	0.0275	0.0072	0.0064	0.0094	0.0366	0.0138	0.1958	0.0261	0.0839	0.0155	0.0189	0.0424	0.0117	0.4514
"A4699"	0.0144	0.0079	0.0133	0.0112	0.0057	0.0068	0.0092	0.0891	0.011	0.4973	0.0317	0.2133	0.0127	0.0165	0.0353	0.0081	0.0165
"A4729"	0.0125	0.0593	0.0046	0.0037	0.01	0.0334	0.0111	0.0048	0.2583	0.0242	0.1215	0.3	0.0218	0.0649	0.0253	0.0372	0.0074
"A4743"	0.0087	0.0069	0.0162	0.016	0.0084	0.0053	0.0082	0.0024	0.0087	0.6247	0.0224	0.2047	0.0111	0.0098	0.0171	0.0066	0.0228
"A4760"	0.0176	0.0075	0.0147	0.0202	0.0115	0.0072	0.0088	0.0089	0.0098	0.538	0.0545	0.1903	0.0089	0.0111	0.0264	0.0072	0.0574
"A4765"	0.0293	0.0217	0.0366	0.0422	0.0211	0.0225	0.0103	0.0207	0.015	0.2075	0.0627	0.2346	0.025	0.0256	0.0867	0.0106	0.1279
"A4779"	0.0166	0.0365	0.0046	0.0027	0.0118	0.0268	0.0089	0.0285	0.2454	0.028	0.0729	0.2284	0.0245	0.087	0.1244	0.0463	0.0067
"A4793"	0.0218	0.0064	0.0338	0.0351	0.0093	0.0068	0.008	0.0999	0.0115	0.4851	0.0286	0.1487	0.0114	0.0126	0.0388	0.0103	0.0319
"A4849"	0.0175	0.0048	0.0839	0.0698	0.007	0.0043	0.0086	0.0069	0.0068	0.5772	0.0386	0.0976	0.007	0.009	0.0286	0.006	0.0264
"A4854"	0.0244	0.0135	0.0344	0.0387	0.01	0.0087	0.0095	0.0207	0.0139	0.5224	0.0271	0.1756	0.0106	0.0142	0.0327	0.0113	0.0323
"A4877"	0.0117	0.0582	0.006	0.0045	0.0115	0.061	0.0103	0.0161	0.2018	0.0221	0.1597	0.1719	0.0264	0.1165	0.0727	0.0392	0.0104
"A4918"	0.0107	0.008	0.0078	0.0072	0.0059	0.0061	0.0099	0.0036	0.0075	0.5511	0.0338	0.2587	0.0143	0.0101	0.0316	0.0069	0.0268
"A4923"	0.0218	0.008	0.0144	0.0171	0.0089	0.0084	0.0079	0.0577	0.0099	0.5299	0.0291	0.1625	0.0133	0.0138	0.0343	0.0077	0.0553
"A4989"	0.0114	0.0252	0.0052	0.0035	0.0086	0.0237	0.0089	0.0202	0.1478	0.0234	0.0359	0.4843	0.0167	0.0619	0.0758	0.0414	0.0061
"A4998"	0.0182	0.0047	0.0186	0.0246	0.0086	0.0053	0.0103	0.1518	0.0085	0.5147	0.0453	0.0891	0.0086	0.0114	0.0284	0.0075	0.0444
"A5004"	0.028	0.0076	0.0389	0.0449	0.0108	0.007	0.0111	0.0676	0.0123	0.4248	0.0426	0.1532	0.0077	0.016	0.0708	0.0083	0.0484
"A5026"	0.0174	0.0094	0.0243	0.0197	0.0095	0.007	0.0087	0.0246	0.0116	0.5462	0.0236	0.2081	0.0153	0.0104	0.0293	0.0095	0.0254
"A5049"	0.0165	0.0839	0.0041	0.0035	0.0126	0.0453	0.009	0.0074	0.1423	0.0266	0.0641	0.3738	0.0201	0.069	0.0774	0.0363	0.0081
"A5081"	0.017	0.0079	0.021	0.0181	0.0087	0.0082	0.0072	0.0336	0.0101	0.5747	0.043	0.1667	0.0088	0.0149	0.0305	0.0101	0.0195
"A5090"	0.0168	0.0071	0.0196	0.0267	0.009	0.0075	0.0073	0.0121	0.0102	0.5927	0.0266	0.1698	0.0094	0.0118	0.0228	0.0071	0.0435
"A5132"	0.0102	0.0057	0.0208	0.0276	0.0057	0.0039	0.0063	0.0033	0.0079	0.67	0.0294	0.1037	0.0076	0.0081	0.017	0.0047	0.0681
"A5150"	0.0116	0.0323	0.0057	0.0046	0.0087	0.0326	0.0084	0.0088	0.2408	0.0231	0.128	0.2863	0.0304	0.089	0.0431	0.0395	0.0071
"A5159"	0.0047	0.0126	0.003	0.0021	0.0053	0.0073	0.0063	0.0037	0.0251	0.1328	0.0247	0.686	0.0099	0.0134	0.0191	0.009	0.035
"A5160"	0.0168	0.0067	0.0176	0.0159	0.0106	0.0056	0.0076	0.0079	0.0122	0.4776	0.0238	0.3083	0.0092	0.0091	0.0349	0.0072	0.029
"A5182"	0.01	0.0457	0.0055	0.0023	0.0103	0.0225	0.0098	0.0053	0.1416	0.0244	0.1582	0.395	0.0276	0.0646	0.0368	0.0335	0.0069
"A5185"	0.0361	0.0097	0.0417	0.0477	0.0078	0.0056	0.0097	0.1538	0.0157	0.2463	0.0538	0.1915	0.0118	0.0205	0.0978	0.0109	0.0396
"A5199"	0.0064	0.0112	0.0024	0.0022	0.0038	0.0065	0.0081	0.0029	0.0229	0.1495	0.0311	0.6811	0.0103	0.0125	0.0263	0.0093	0.0135
"A5209"	0.0105	0.0131	0.0053	0.002	0.0078	0.0112	0.0062	0.0047	0.0556	0.0548	0.0304	0.6987	0.0124	0.0216	0.0413	0.0168	0.0076
"A5249"	0.0161	0.0313	0.0041	0.005	0.0155	0.0236	0.0145	0.1885	0.0632	0.0376	0.0534	0.2974	0.0231	0.0538	0.1331	0.025	0.0148
"A5255"	0.0342	0.0073	0.0786	0.0617	0.0087	0.0073	0.01	0.0977	0.0068	0.3828	0.0251	0.1884	0.01	0.0091	0.0222	0.0055	0.0446
"A5265"	0.0162	0.007	0.0293	0.0287	0.0085	0.0068	0.0091	0.0381	0.0151	0.606	0.0361	0.1011	0.008	0.0162	0.0315	0.0113	0.031
"A5277"	0.0213	0.0096	0.0254	0.02	0.0095	0.0103	0.0073	0.0499	0.0184	0.2863	0.0428	0.23	0.0137	0.0205	0.2072	0.0131	0.0147
"A5300"	0.0339	0.0105	0.1194	0.0599	0.0119	0.0088	0.011	0.0322	0.0111	0.2649	0.0389	0.1293	0.0136	0.0121	0.1191	0.0067	0.1167
"A5319"	0.0117	0.4856	0.0038	0.0026	0.017	0.0525	0.0098	0.0026	0.0687	0.0077	0.024	0.026	0.0203	0.0562	0.158	0.0527	8e-04
"A5327"	0.0112	0.0091	0.0299	0.0283	0.0064	0.0047	0.0055	0.003	0.0086	0.5458	0.045	0.2146	0.0104	0.0091	0.0244	0.0036	0.0404
"A5344"	0.0053	0.0039	0.0084	0.007	0.0056	0.003	0.0059	0.0017	0.0079	0.6939	0.0276	0.1126	0.0054	0.006	0.0095	0.0046	0.0917
"A5347"	0.0059	0.0089	0.0028	0.0026	0.0062	0.0067	0.0065	0.0027	0.0328	0.0495	0.0277	0.7745	0.011	0.015	0.0281	0.0112	0.0079
"A5361"	0.0322	0.0168	0.0446	0.0272	0.0123	0.013	0.0105	0.0183	0.021	0.2262	0.07	0.2849	0.0163	0.0218	0.0841	0.0117	0.0891
"A5364"	0.0075	0.0283	0.0054	0.003	0.0095	0.0388	0.0124	0.0047	0.2658	0.0269	0.2902	0.1434	0.0279	0.064	0.0273	0.0302	0.0147
"A5372"	0.0129	0.009	0.0228	0.0155	0.009	0.0085	0.0058	0.0071	0.0091	0.6476	0.0337	0.1322	0.012	0.0108	0.0245	0.0056	0.0339
"A5377"	0.0055	0.0126	0.0025	0.002	0.0067	0.0074	0.0053	0.0012	0.0109	0.0658	0.0151	0.796	0.0143	0.0131	0.0221	0.0081	0.0114
"A5383"	0.0264	0.0038	0.0862	0.0753	0.0072	0.009	0.0075	0.0279	0.0078	0.5392	0.0232	0.1181	0.0096	0.0093	0.0304	0.0057	0.0134
"A5424"	0.0109	0.1052	0.0049	0.0045	0.017	0.0571	0.0113	0.0049	0.2109	0.0216	0.1154	0.2308	0.021	0.0768	0.0685	0.0352	0.004
"A5433"	0.0117	0.0565	0.0062	0.0053	0.0151	0.0429	0.0164	0.0094	0.1321	0.0483	0.085	0.34	0.0178	0.0641	0.1052	0.03	0.014
"A5438"	0.0133	0.0073	0.0327	0.0318	0.0094	0.0077	0.0092	0.0331	0.0113	0.6201	0.0232	0.1217	0.0112	0.0134	0.027	0.0099	0.0177
"A5447"	0.0121	0.0092	0.027	0.0251	0.0067	0.0056	0.008	0.0118	0.0138	0.3519	0.0313	0.2103	0.0092	0.0127	0.0219	0.008	0.2354
"A5467"	0.0239	0.0083	0.0293	0.0299	0.0099	0.0093	0.0119	0.0954	0.0135	0.4748	0.0346	0.1275	0.0114	0.0175	0.0727	0.0071	0.023
