"","1642.MS00349","2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00545","1001.SKD8","1642.MS00599","1642.MS00370","1642.MS00398","1642.MS00356","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00555","1642.MS00413","1642.MS00419","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00559","1642.MS00606","1642.MS00461","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00558","1642.MS00500","1001.SKM9","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00340","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00388","1642.MS00637","1642.MS00609"
"1642.MS00461",0.0421833656511,0.0969376571611,0.0991526214315,0.0231044807864,0.1581416120514,0.0466531349268,0.0934238536811,0.0272164181137,0.0399183544771,0.0925129181227,0.0912371251656,0.089523791634,0.0866030372212,0.0846372291822,0.0947668727657,0.030986531464,0.0257515746583,0.0275534406273,0.0889324562012,0.0332871632625,0.1118316498989,0.0248625501771,0.0234509087174,0,0.1109555363856,0.080295513758,0.0278371915009,0.0231133838336,0.1696626218562,0.0880505407011,0.090573220044,0.098556806538,0.0839499056256,0.0912058193277,0.0275898549315,0.0850706925713,0.0984755639677,0.0322135833026,0.0274900754614,0.0250891526656
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.1015421645284,0.0193707286659,0.0257716417469,0.1085412653573,0.0762527422225,0.1012944871086,0.1137237101287,0.1016956010277,0.0823184057921,0.0558785904107,0.0532488758955,0.0564463616571,0.0305323289438,0.0421596409483,0.0485159916211,0.1197182789331,0.1065120031499,0.1092279157982,0.0419658295612,0.1015124331508,0.0185025493925,0.1124993577153,0.1098407085809,0.1109555363856,0,0.0263165545148,0.1117166486497,0.104193339141,0.0974121726717,0.0445767525968,0.046864426137,0.0233157572401,0.0415084019678,0.0207542332992,0.0945870341516,0.0202773427954,0.0174447266964,0.1137921199208,0.1052773519309,0.1077961266118
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",0.088401997335,0.0229977613435,0.0351496856585,0.0844736671125,0.0813745824502,0.0809461946548,0.1001153238601,0.0807076781905,0.0762041721587,0.0378778745122,0.0393193115822,0.0417324971876,0.0343642184578,0.0328482669473,0.0411186438751,0.095148832577,0.0807168486277,0.0849959053074,0.0302114694997,0.0825411562521,0.0259410487401,0.0841762721083,0.088630732268,0.080295513758,0.0263165545148,0,0.0851790281509,0.0796830033524,0.1307010515669,0.0317884899233,0.0302680025383,0.0243879104849,0.0315633699394,0.0241787621004,0.0727328454263,0.0163458393342,0.0230823241029,0.0864462358148,0.0807083900115,0.0890662236909
"1642.MS00558",0.0460177707568,0.1002172941483,0.0993735237505,0.0237270868781,0.1560822196729,0.0467796522857,0.10755353159,0.0330750942745,0.0452754260211,0.0892263689414,0.0886256896336,0.0876200443958,0.0903763940623,0.0883406691022,0.0907810948792,0.0285476729362,0.0244706578599,0.0231379625834,0.0872662086239,0.0413848569479,0.1112579303942,0.0227247688736,0.0249261169584,0.0278371915009,0.1117166486497,0.0851790281509,0,0.0218627722063,0.177307694025,0.0850258977752,0.0888052046698,0.1009003202903,0.0853417240879,0.0914332190519,0.0301629093449,0.0891926626562,0.0967158020495,0.0346303095569,0.0266241286177,0.0244470281802
"1642.MS00500",0.0415663833163,0.0929266308874,0.0899700391486,0.0183975687017,0.1413844764631,0.0413838311948,0.0897002391433,0.0279565641466,0.037418686073,0.0865843360002,0.0859968555581,0.0841844912014,0.0824893793863,0.0817653879407,0.0860519156562,0.0230736736606,0.0207285880276,0.0231848473385,0.0816534305906,0.0349595438771,0.1067742623938,0.0209300446953,0.0222621382424,0.0231133838336,0.104193339141,0.0796830033524,0.0218627722063,0,0.1817185299522,0.0807421237617,0.0855341350653,0.0945273921885,0.0820928861492,0.0846959686572,0.0282554195195,0.0844479960114,0.0917505042193,0.033357703951,0.0219715347176,0.0209996887433
"1001.SKM9",0.1694467786136,0.081374778604,0.1068459902718,0.1759795216198,0.0363541722658,0.123913807863,0.1865976111627,0.1682694182261,0.1640061198474,0.1343055386032,0.1362602554591,0.1347016092026,0.1173498903404,0.1081427053772,0.1390854921416,0.1764453580183,0.1655976876892,0.1623982123322,0.1236650358458,0.1535062291277,0.0807439446503,0.1665390893038,0.1710461791523,0.1696626218562,0.0974121726717,0.1307010515669,0.177307694025,0.1817185299522,0,0.1249020189033,0.1169898450582,0.0941293295762,0.1071869151196,0.1107546443152,0.1886360992909,0.1137859107254,0.0947024122308,0.1600937041082,0.1490523615912,0.1692813461807
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0919144217304,0.0388899664874,0.0487805287222,0.0841072787033,0.11565024351,0.0831297824546,0.1185616429172,0.0853334744091,0.0820250997972,0.0248644537653,0.0286404680764,0.0282055820905,0.0441265024083,0.0198638340867,0.0257083533737,0.0907277700105,0.079764316669,0.0859542528643,0.0185839386159,0.0860297940988,0.0457746604467,0.0824358996585,0.090298801693,0.0880505407011,0.0445767525968,0.0317884899233,0.0850258977752,0.0807421237617,0.1249020189033,0,0.0266565902698,0.0448382915088,0.019413807139,0.0336511394661,0.0792627755051,0.0305040442768,0.0403195121772,0.0894381773425,0.0832709954178,0.0866731449583
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0.0924266542392,0.0396153812537,0.0519875964014,0.0894467061166,0.101721340674,0.0868271082716,0.1239916890135,0.0884266682328,0.082443764635,0.0274203386194,0.0275790791716,0.0290127493346,0.0446013074111,0.0270998882545,0.0414959379886,0.0968535045568,0.0835782955255,0.0875337888142,0.0270697182988,0.0884378947251,0.0491335802781,0.0871310899796,0.0948414635441,0.090573220044,0.046864426137,0.0302680025383,0.0888052046698,0.0855341350653,0.1169898450582,0.0266565902698,0,0.0378415366698,0.0302162958057,0.0347902321064,0.0829440958555,0.0312389959229,0.041156761427,0.0938131229713,0.0850536200793,0.0917780851045
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.099290344384,0.0185100723393,0.0428373301757,0.0995120312483,0.0822708433176,0.0964445566611,0.109244494896,0.0888104173104,0.0833206099865,0.0462938630004,0.0510764506835,0.0497631068708,0.0461187211117,0.0413853166468,0.0574310359929,0.1127443378373,0.096910359187,0.1014943460261,0.0411963173408,0.09544649069,0.0183614223115,0.1022852915056,0.1048005446818,0.098556806538,0.0233157572401,0.0243879104849,0.1009003202903,0.0945273921885,0.0941293295762,0.0448382915088,0.0378415366698,0,0.0419379648928,0.0184974581824,0.0846184814373,0.0219043993935,0.015625443971,0.1014082188339,0.0979429949848,0.1050690709698
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0860725404795,0.0354540374632,0.051520696273,0.0837167744417,0.1095205520142,0.0872904911561,0.1151834478206,0.0848261002097,0.0759623776649,0.0301867163722,0.032162229601,0.0321938158118,0.0467743487995,0.0206869762241,0.0338085303045,0.0946972035049,0.080453951412,0.0835161231432,0.0237734952592,0.0823922987544,0.0412231828885,0.0841400594929,0.0882995770854,0.0839499056256,0.0415084019678,0.0315633699394,0.0853417240879,0.0820928861492,0.1071869151196,0.019413807139,0.0302162958057,0.0419379648928,0,0.0367080151941,0.0775168668335,0.0270503110527,0.0415069020479,0.0896487578844,0.0840066830346,0.0859425771452
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",0.08754761045,0.0199154073321,0.0373540181733,0.0892957758856,0.0822795246375,0.084704962088,0.1030766737169,0.083004909453,0.0755639514966,0.0348327032312,0.042417028759,0.0435300660647,0.0392494080903,0.0337766701728,0.041098555278,0.1006708826548,0.0862656374166,0.0899813838981,0.0337612011528,0.0849008344664,0.0219052213942,0.0917987138754,0.094465758388,0.0912058193277,0.0207542332992,0.0241787621004,0.0914332190519,0.0846959686572,0.1107546443152,0.0336511394661,0.0347902321064,0.0184974581824,0.0367080151941,0,0.0767029212395,0.0227772166114,0.0171264797183,0.09391877896,0.0845891536623,0.092985908519
"1642.MS00340",0.0233629970037,0.0848196455643,0.0844626857843,0.0269781820534,0.1237825254901,0.0483287409061,0.0659804874128,0.0198251313319,0.025653182378,0.0861145975187,0.0852058979705,0.0844528641037,0.0768664617797,0.073607982397,0.082734872643,0.0343163161986,0.0239714552133,0.0233279082789,0.0814216219725,0.017489798775,0.0912268234434,0.0292582559863,0.0329146130346,0.0275898549315,0.0945870341516,0.0727328454263,0.0301629093449,0.0282554195195,0.1886360992909,0.0792627755051,0.0829440958555,0.0846184814373,0.0775168668335,0.0767029212395,0,0.0729084569379,0.083947567757,0.0190604906966,0.0320768275333,0.034089507697
"2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences",0.0856121721292,0.0179274056789,0.0344066557306,0.0880697291871,0.0723211671576,0.0848635441756,0.1023162200323,0.0810275627332,0.073342931499,0.039234506864,0.0428744378296,0.0423050732326,0.0322807936999,0.0304174950657,0.0396302156494,0.1023247613426,0.0838759923509,0.0881961120513,0.0302110102367,0.0824458405107,0.0211125065946,0.0901865892338,0.0930441889861,0.0850706925713,0.0202773427954,0.0163458393342,0.0891926626562,0.0844479960114,0.1137859107254,0.0305040442768,0.0312389959229,0.0219043993935,0.0270503110527,0.0227772166114,0.0729084569379,0,0.0177105607984,0.0888792974008,0.0860512584044,0.0942138095485
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",0.0999362797144,0.0149134282153,0.0325472589472,0.0988894123192,0.082188438989,0.0995242871088,0.1085108267686,0.0912618579707,0.0844775015409,0.0474460742054,0.0509988168234,0.0507891262714,0.0352648866195,0.0414849028924,0.0487523675059,0.1128611733745,0.0940420344479,0.0988553555313,0.0393783268744,0.0979446841097,0.0124407607287,0.1008300294942,0.100413305447,0.0984755639677,0.0174447266964,0.0230823241029,0.0967158020495,0.0917505042193,0.0947024122308,0.0403195121772,0.041156761427,0.015625443971,0.0415069020479,0.0171264797183,0.083947567757,0.0177105607984,0,0.1045393849407,0.0952249124711,0.1030311738505
"1642.MS00388",0.028050800497,0.1001721110955,0.1039976407009,0.0311466247922,0.1414879653438,0.0571618928175,0.082264805389,0.024920265068,0.0281922464587,0.0943549897571,0.0957242864244,0.0939968719912,0.0924860824663,0.0856305474445,0.0945734386992,0.036584837476,0.026822483618,0.0269047383588,0.092107319465,0.0229478983713,0.1102818844941,0.0289027304596,0.0335109948804,0.0322135833026,0.1137921199208,0.0864462358148,0.0346303095569,0.033357703951,0.1600937041082,0.0894381773425,0.0938131229713,0.1014082188339,0.0896487578844,0.09391877896,0.0190604906966,0.0888792974008,0.1045393849407,0,0.0374023575284,0.0346762614534
"1642.MS00637",0.0410506814406,0.0941404404485,0.0959401941466,0.0223786067574,0.1439751675956,0.0209429460838,0.0964142050115,0.0343914587465,0.0417641164796,0.0863809612001,0.0867218530831,0.0879244634779,0.0876705494573,0.0856279150326,0.0892182116611,0.0288302421006,0.0271548270973,0.0260323266096,0.0849794630158,0.0367697662462,0.1117651068787,0.0244199912429,0.0250637811538,0.0274900754614,0.1052773519309,0.0807083900115,0.0266241286177,0.0219715347176,0.1490523615912,0.0832709954178,0.0850536200793,0.0979429949848,0.0840066830346,0.0845891536623,0.0320768275333,0.0860512584044,0.0952249124711,0.0374023575284,0,0.0230236754698
"1642.MS00609",0.0414725556666,0.0981230098504,0.1092531361877,0.0198236108785,0.1669951076728,0.0418612585726,0.1017118619652,0.0347155346638,0.042113427392,0.0901919979489,0.0906797966565,0.0899621961643,0.0956430394214,0.0885804874881,0.0950446804502,0.0252832160596,0.0233539421045,0.0267766977514,0.0875370805551,0.0376294005387,0.1127691601379,0.0200504139108,0.0199094868349,0.0250891526656,0.1077961266118,0.0890662236909,0.0244470281802,0.0209996887433,0.1692813461807,0.0866731449583,0.0917780851045,0.1050690709698,0.0859425771452,0.092985908519,0.034089507697,0.0942138095485,0.1030311738505,0.0346762614534,0.0230236754698,0
