"","1642.MS00545","1642.MS00355","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00403","1642.MS00379","1642.MS00401","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00387","1642.MS00562","1642.MS00358","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1001.SKD7","1642.MS00601","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00580","1001.SKM9","1642.MS00613","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00462","1001.SKB9","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00360","1642.MS00463","1642.MS00636","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00414"
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,1,0.288,1,0.0129999999999999,1,1,1,0.869,0.964,1,1,0.57,0.998,0,-0.994,1,1,1,0.796,1,1,0.994,0.106,0.557,1,1,1,0.866,1,1,0.47,1,0.829,1
"2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,-0.938,1,0.551,1,1,1,-0.539,-0.706,0.998,1,-0.924,0.0089999999999999,-0.994,0,1,1,1,-0.918,1,1,1,0.85,-0.255,1,1,1,-0.754,0.998,1,0.942,1,0.95,1
"1642.MS00580",-0.626,0.886,1,1,0.203,0.484,-0.636,1,1,1,-0.202,-0.934,0.972,1,1,1,-0.77,1,1,1,1,0,1,0.943,1,-0.262,-0.389,1,1,1,0.769,-0.788,-0.496,1,1,-0.716,1,-0.748,1,-0.372
"1001.SKM9",1,1,1,1,1,1,1,0.99,1,0.79,1,1,1,0.804,0.998,-0.9,1,0.998,0.998,1,1,1,0,1,1,1,1,-0.988,0.949,0.998,1,1,1,0.93,1,1,0.998,1,1,1
"1642.MS00613",0.934,1,1,1,0.986,0.99,0.916,1,1,1,0.8,0.931,1,1,1,1,0.924,1,1,1,1,0.943,1,0,1,0.848,0.57,1,1,1,1,1,0.667,1,1,0.946,1,1,1,0.946
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.972,1,1,1,-1,0.988,-0.459,1,1,1,-0.972,-0.977,0.994,1,-0.992,-0.956,0.796,-0.918,1,1,1,0,1,1,0.996,-0.128,-0.952,1,1,1,-0.988,0.944,1,-0.104,1,0.998,1
"1642.MS00419",0.319,0.599,1,1,-0.879,-0.978,-0.97,1,1,1,-0.786,0.0669999999999999,0.992,1,1,1,-0.172,1,1,1,1,-0.262,1,0.848,1,0,-0.616,1,1,1,0.145,0.222,-0.213,1,1,-0.748,1,0.836,1,-0.975
"1642.MS00462",-0.715,0.867,1,1,-0.932,-0.106,-0.977,1,1,1,-0.908,-0.828,0.998,1,1,1,-0.59,1,1,1,1,-0.389,1,0.57,1,-0.616,0,1,1,1,0.921,-0.438,-0.942,1,1,-0.148,1,0.777,1,-0.529
"1001.SKB9",1,1,0.938,1,1,1,1,0.929,1,0.811,1,1,1,0.685,0.978,-0.962,1,0.967,0.964,0.994,1,1,-0.988,1,0.996,1,1,0,0.757,0.96,1,1,1,0.775,1,1,0.972,1,1,1
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",1,1,0.942,0.992,1,1,1,-0.754,1,-1,1,1,1,-0.984,-0.075,0.793,1,-0.351,-0.337,0.106,0.85,1,0.949,1,-0.128,1,1,0.757,0,-0.914,1,1,1,-0.892,0.998,1,-0.998,1,1,1
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",1,1,0.988,0.95,1,1,1,-0.998,0.962,-0.984,1,1,1,-0.996,-0.998,1,1,-0.996,-1,0.557,-0.255,1,0.998,1,-0.952,1,1,0.96,-0.914,0,1,1,1,-0.986,0.946,1,-0.984,1,0.987,1
"1642.MS00360",0.35,-1,1,1,0.528,-0.76,0.121,1,1,1,0.213,0.34,-0.775,1,1,1,0.998,1,1,1,1,0.769,1,1,1,0.145,0.921,1,1,1,0,0.714,0.998,1,1,-0.496,1,0.969,1,-0.503
"1642.MS00463",-0.81,0.909,1,1,-0.161,0.387,-0.837,1,1,1,-0.223,-0.826,0.986,1,1,1,-0.304,1,1,1,1,-0.788,1,1,1,0.222,-0.438,1,1,1,0.714,0,0.0109999999999999,1,1,-0.29,1,-0.282,1,-0.43
"1642.MS00636",-0.55,0.972,1,1,-0.53,0.437,-0.683,1,1,1,-0.531,-0.784,1,1,1,1,-0.68,1,1,1,1,-0.496,1,0.667,1,-0.213,-0.942,1,1,1,0.998,0.0109999999999999,0,1,1,-0.016,1,0.55,1,0.0600000000000001
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",1,1,0.975,0.948,1,1,1,-1,0.998,-0.888,1,1,1,-1,-1,0.98,1,-0.974,-0.984,0.866,-0.754,1,0.93,1,-0.988,1,1,0.775,-0.892,-0.986,1,1,1,0,0.938,1,-0.707,1,0.974,1
"2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,-0.035,-0.982,1,1,1,0.535,-1,0.972,1,1,1,0.955,0.923,1,1,0.821,0.935,1,0.998,1,1,1,0.944,1,1,1,0.998,0.946,1,1,1,0.938,0,1,0.944,1,-0.524,1
"1642.MS00438",-0.962,0.252,1,1,-0.381,-0.698,-0.91,1,1,1,-0.481,-0.976,0.859,1,1,1,0.32,1,1,1,1,-0.716,1,0.946,1,-0.748,-0.148,1,1,1,-0.496,-0.29,-0.016,1,1,0,1,0.366,1,-0.802
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",1,1,0.859,0.924,1,1,1,-0.817,0.959,-1,1,1,1,-0.88,-0.294,0.998,1,-0.403,-0.423,0.47,0.942,1,0.998,1,-0.104,1,1,0.972,-0.998,-0.984,1,1,1,-0.707,0.944,1,0,1,0.99,1
"1642.MS00588",0.545,1,1,1,0.914,0.952,0.547,1,1,1,0.845,0.0800000000000001,1,1,1,1,0.233,1,1,1,1,-0.748,1,1,1,0.836,0.777,1,1,1,0.969,-0.282,0.55,1,1,0.366,1,0,1,0.354
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,0.435,-0.365,1,1,1,0.854,-0.589,0.992,1,1,1,0.994,0.986,1,1,0.966,0.994,0.829,0.95,1,1,1,0.998,1,1,1,1,0.987,1,1,1,0.974,-0.524,1,0.99,1,0,1
"1642.MS00414",-0.272,-0.087,1,1,-0.826,-0.932,-0.948,1,1,1,-0.961,-0.511,0.727,1,1,1,-0.268,1,1,1,1,-0.372,1,0.946,1,-0.975,-0.529,1,1,1,-0.503,-0.43,0.0600000000000001,1,1,-0.802,1,0.354,1,0
