"","1642.MS00545","1642.MS00355","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00403","1642.MS00379","1642.MS00401","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00387","1642.MS00562","1642.MS00358","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1001.SKD7","1642.MS00601","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00580","1001.SKM9","1642.MS00613","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00462","1001.SKB9","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00360","1642.MS00463","1642.MS00636","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00414"
"1001.SKM9",0.9938,0.9926,0.9792,0.9782,0.9938,0.9936,0.9926,0.9842,0.983,0.9536,0.9906,0.9924,0.9888,0.9598,0.987,0.8082,0.9946,0.9876,0.9772,0.9862,0.9846,0.9924,0,0.9954,0.9902,0.9882,0.992,0.665,0.966,0.9796,0.9908,0.9926,0.9916,0.9686,0.982,0.9924,0.9776,0.99,0.9816,0.99
"1642.MS00613",0.6606,0.7882,0.9196,0.9024,0.6712,0.7062,0.6568,0.9656,0.8948,0.9466,0.6348,0.659,0.8958,0.9638,0.9598,0.9888,0.6596,0.9578,0.939,0.941,0.9466,0.6634,0.9954,0,0.964,0.6436,0.616,0.9898,0.9588,0.952,0.7742,0.706,0.6278,0.9584,0.8932,0.6736,0.931,0.7152,0.8792,0.6584
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.9554,0.958,0.903,0.8734,0.9462,0.959,0.9502,0.5678,0.8794,0.7722,0.939,0.9538,0.9776,0.6212,0.6184,0.97,0.9662,0.598,0.663,0.8604,0.6828,0.9614,0.9902,0.964,0,0.9576,0.9436,0.9758,0.796,0.6418,0.9644,0.95,0.9596,0.5778,0.8658,0.9616,0.7956,0.9586,0.8952,0.9564
"1642.MS00419",0.597,0.6516,0.921,0.911,0.498,0.4852,0.4724,0.9576,0.9132,0.939,0.5124,0.5798,0.8214,0.9552,0.9536,0.9854,0.5612,0.9568,0.9218,0.9186,0.9306,0.5592,0.9882,0.6436,0.9576,0,0.5292,0.984,0.9536,0.94,0.622,0.5872,0.5566,0.9486,0.9108,0.5224,0.9208,0.6358,0.8894,0.4748
"1642.MS00462",0.5188,0.6758,0.892,0.876,0.4786,0.5694,0.469,0.9448,0.882,0.9188,0.482,0.5016,0.8324,0.946,0.9422,0.9816,0.5216,0.9458,0.9154,0.8884,0.9038,0.5424,0.992,0.616,0.9436,0.5292,0,0.9866,0.9396,0.931,0.6848,0.5334,0.476,0.934,0.876,0.5606,0.9042,0.6202,0.8422,0.5306
"1001.SKB9",0.9866,0.9854,0.9464,0.9666,0.9836,0.9864,0.9874,0.962,0.9706,0.9404,0.9808,0.9882,0.9866,0.9362,0.9676,0.6994,0.9902,0.9664,0.9538,0.9698,0.9754,0.9876,0.665,0.9898,0.9758,0.984,0.9866,0,0.9382,0.9576,0.9846,0.9888,0.9864,0.9426,0.9708,0.989,0.9524,0.9848,0.969,0.9884
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",0.9506,0.9442,0.8154,0.8414,0.9374,0.9534,0.9388,0.7692,0.8636,0.48,0.9328,0.9478,0.961,0.6272,0.7982,0.9258,0.953,0.7968,0.732,0.771,0.8338,0.9616,0.966,0.9588,0.796,0.9536,0.9396,0.9382,0,0.6456,0.9516,0.9438,0.9484,0.6702,0.845,0.955,0.5234,0.9406,0.851,0.9436
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",0.9404,0.941,0.842,0.8242,0.93,0.944,0.93,0.5604,0.8312,0.5976,0.9212,0.9374,0.9672,0.5846,0.5502,0.9696,0.9468,0.6096,0.523,0.8074,0.7572,0.95,0.9796,0.952,0.6418,0.94,0.931,0.9576,0.6456,0,0.9524,0.9392,0.9376,0.5934,0.823,0.9458,0.5914,0.9474,0.8408,0.9402
"1642.MS00360",0.6346,0.4542,0.9426,0.9358,0.643,0.555,0.6214,0.965,0.9374,0.9444,0.6254,0.6324,0.6586,0.9624,0.967,0.9854,0.7236,0.9646,0.9404,0.9346,0.9376,0.6642,0.9908,0.7742,0.9644,0.622,0.6848,0.9846,0.9516,0.9524,0,0.6566,0.7074,0.956,0.9336,0.579,0.9368,0.6998,0.9122,0.5784
"1642.MS00463",0.514,0.68,0.914,0.908,0.553,0.6052,0.502,0.9556,0.9146,0.93,0.5496,0.5096,0.813,0.9502,0.9504,0.9836,0.5486,0.955,0.9282,0.9136,0.9208,0.517,0.9926,0.706,0.95,0.5872,0.5334,0.9888,0.9438,0.9392,0.6566,0,0.5668,0.9414,0.9088,0.5546,0.9202,0.5578,0.883,0.5432
"1642.MS00636",0.5376,0.699,0.919,0.8982,0.5256,0.6072,0.5182,0.958,0.904,0.9352,0.5298,0.5116,0.8444,0.9544,0.9516,0.9858,0.519,0.9562,0.9262,0.9168,0.9252,0.5394,0.9916,0.6278,0.9596,0.5566,0.476,0.9864,0.9484,0.9376,0.7074,0.5668,0,0.9454,0.8976,0.5736,0.9234,0.603,0.8746,0.5706
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.9472,0.942,0.857,0.8496,0.9378,0.9498,0.9364,0.5256,0.8674,0.6736,0.9292,0.9432,0.9636,0.51,0.5142,0.954,0.9502,0.6322,0.6058,0.8538,0.7144,0.951,0.9686,0.9584,0.5778,0.9486,0.934,0.9426,0.6702,0.5934,0.956,0.9414,0.9454,0,0.8458,0.9522,0.7176,0.9514,0.8538,0.9464
"2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9038,0.9182,0.6206,0.5022,0.8904,0.9028,0.885,0.8598,0.4346,0.7988,0.8756,0.8942,0.9528,0.8624,0.8574,0.9654,0.902,0.8688,0.7806,0.8802,0.8602,0.9182,0.982,0.8932,0.8658,0.9108,0.876,0.9708,0.845,0.823,0.9336,0.9088,0.8976,0.8458,0,0.9122,0.7552,0.928,0.5708,0.906
"1642.MS00438",0.4882,0.6346,0.9274,0.9138,0.549,0.538,0.5004,0.9618,0.9196,0.9418,0.5412,0.4772,0.786,0.9592,0.9608,0.9854,0.5958,0.96,0.9354,0.9268,0.9312,0.527,0.9924,0.6736,0.9616,0.5224,0.5606,0.989,0.955,0.9458,0.579,0.5546,0.5736,0.9522,0.9122,0,0.931,0.6036,0.8914,0.515
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",0.9256,0.926,0.7414,0.7554,0.9098,0.9198,0.908,0.7548,0.7652,0.4946,0.8968,0.9202,0.9608,0.6992,0.7722,0.9534,0.9272,0.7926,0.6862,0.7696,0.8304,0.935,0.9776,0.931,0.7956,0.9208,0.9042,0.9524,0.5234,0.5914,0.9368,0.9202,0.9234,0.7176,0.7552,0.931,0,0.933,0.7824,0.9152
"1642.MS00588",0.612,0.7376,0.9352,0.9334,0.6408,0.6672,0.6088,0.963,0.9372,0.9434,0.6314,0.5812,0.84,0.9538,0.9594,0.9848,0.5896,0.9598,0.9344,0.9334,0.9458,0.5218,0.99,0.7152,0.9586,0.6358,0.6202,0.9848,0.9406,0.9474,0.6998,0.5578,0.603,0.9514,0.928,0.6036,0.933,0,0.9178,0.5976
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",0.879,0.899,0.6412,0.5854,0.8506,0.8772,0.854,0.881,0.5754,0.813,0.844,0.868,0.9516,0.8772,0.873,0.9622,0.8872,0.882,0.8076,0.7856,0.8208,0.893,0.9816,0.8792,0.8952,0.8894,0.8422,0.969,0.851,0.8408,0.9122,0.883,0.8746,0.8538,0.5708,0.8914,0.7824,0.9178,0,0.8842
"1642.MS00414",0.5598,0.6078,0.9208,0.91,0.5064,0.5038,0.4866,0.9574,0.9122,0.9298,0.4854,0.5432,0.7722,0.952,0.9538,0.9806,0.5534,0.9568,0.9202,0.9104,0.9212,0.5518,0.99,0.6584,0.9564,0.4748,0.5306,0.9884,0.9436,0.9402,0.5784,0.5432,0.5706,0.9464,0.906,0.515,0.9152,0.5976,0.8842,0
