"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00544","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00384","1642.MS00387","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00476","1642.MS00629","1642.MS00575","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00469","1642.MS00339","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00505","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00339",1,-0.407,1,1,1,-0.998,0.253,1,-0.214,0.564,1,-0.84,1,1,0.941,1,1,-0.587,1,1,1,-0.205,1,1,1,-0.279,1,-0.028,0,1,1,1,-0.966,1,0.6,1,0.244,1,-0.207,1
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",0.994,1,1,0.736,0.982,1,1,0.94,1,1,1,1,-0.478,-0.996,1,1,0.181,1,0.973,1,0.92,1,0.807,0.94,0.998,1,0.988,1,1,0,0.834,0.908,1,0.978,1,0.977,1,0.506,1,-0.95
"2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences",-0.932,1,-0.177,0.972,-0.984,1,1,-0.892,1,1,1,1,0.957,0.811,1,-0.319,0.75,1,-0.902,1,0.99,1,0.728,-1,-0.568,1,-0.988,1,1,0.834,0,-0.962,1,-1,1,-0.974,1,0.526,1,0.478
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",-0.974,1,-0.576,0.964,-0.988,1,1,-0.998,1,1,1,1,0.82,0.928,1,-0.504,0.952,1,-0.044,1,0.996,1,0.996,-0.856,-0.281,1,-0.701,1,1,0.908,-0.962,0,1,-0.998,1,-1,1,0.986,1,0.962
"1642.MS00505",1,-1,1,1,1,-1,-0.448,1,-0.339,-0.82,0.428,-0.996,1,1,-0.827,1,1,-1,1,1,1,-0.393,1,1,1,-0.303,1,-0.823,-0.966,1,1,1,0,1,0.41,1,0.937,1,0.49,1
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",-1,1,-0.812,0.958,-0.93,1,1,-0.968,1,1,1,1,0.962,0.991,1,-0.749,0.95,1,-0.783,0.998,0.99,1,0.998,-0.982,-0.305,1,-0.98,1,1,0.978,-1,-0.998,1,0,1,-1,1,0.986,1,0.94
"1642.MS00588",1,0.826,1,1,1,0.911,0.911,1,0.578,0.573,0.998,-0.77,1,1,0.342,1,1,-0.122,1,1,1,0.641,1,1,1,0.635,1,-0.664,0.6,1,1,1,0.41,1,0,1,1,1,0.998,1
"2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences",-0.988,1,-0.378,0.998,-0.98,1,1,-1,1,1,1,1,0.988,0.974,1,-0.096,0.998,1,-0.832,1,1,1,1,-0.926,-0.512,1,-0.828,1,1,0.977,-0.974,-1,1,-1,1,0,1,0.996,1,0.984
"1642.MS00347",1,0.946,1,1,1,0.108,0.724,1,0.471,0.934,1,1,1,1,0.99,1,1,0.933,1,1,1,0.264,1,1,1,0.822,1,0.966,0.244,1,1,1,0.937,1,1,1,0,1,-1,1
"2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,0.217,0.729,1,1,0.99,1,1,1,1,0.142,0.582,1,0.998,-0.274,1,1,0.992,0.557,1,-1,0.391,1,1,1,1,1,0.506,0.526,0.986,1,0.986,1,0.996,1,0,1,-0.166
"1642.MS00344",1,0.475,1,1,1,-0.58,0.0669999999999999,1,-0.249,0.556,0.998,0.947,1,1,0.876,1,1,0.64,1,1,1,-0.35,1,1,1,0.124,1,0.768,-0.207,1,1,1,0.49,1,0.998,1,-1,1,0,1
"2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences",0.998,1,1,0.292,0.968,1,1,0.969,1,1,1,1,0.136,-0.862,1,1,-0.858,1,0.97,1,0.75,1,0.147,0.934,0.992,1,0.988,1,1,-0.95,0.478,0.962,1,0.94,1,0.984,1,-0.166,1,0
