"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00544","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00384","1642.MS00387","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00476","1642.MS00629","1642.MS00575","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00469","1642.MS00339","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00505","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00629",0.9084,0.5438,0.9046,0.8746,0.9416,0.6198,0.5392,0.9148,0.6156,0.5668,0,0.682,0.8684,0.8722,0.548,0.9074,0.8718,0.6002,0.9524,0.8502,0.8798,0.6092,0.887,0.919,0.9578,0.5948,0.9368,0.6362,0.7306,0.8722,0.9046,0.903,0.5984,0.9196,0.6806,0.922,0.7666,0.8968,0.6994,0.8704
"1642.MS00575",0.9372,0.5158,0.9298,0.9302,0.9588,0.5174,0.6474,0.9462,0.6284,0.5748,0.682,0,0.9244,0.9344,0.6004,0.935,0.9336,0.4532,0.966,0.9182,0.93,0.6274,0.943,0.9474,0.9694,0.6298,0.951,0.5268,0.5432,0.9298,0.9426,0.9422,0.4642,0.9484,0.5354,0.9486,0.7342,0.9442,0.6938,0.9326
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8142,0.8818,0.8598,0.5876,0.8878,0.8952,0.8632,0.7654,0.8928,0.887,0.8684,0.9244,0,0.5806,0.8866,0.8506,0.5976,0.9056,0.8826,0.7538,0.6492,0.9028,0.6906,0.8366,0.9238,0.8898,0.8638,0.9034,0.9248,0.5874,0.7488,0.7726,0.9018,0.8326,0.9214,0.8016,0.927,0.6714,0.9132,0.6154
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",0.804,0.8936,0.866,0.6544,0.885,0.9064,0.8744,0.7806,0.9054,0.9044,0.8722,0.9344,0.5806,0,0.8948,0.8734,0.6334,0.9144,0.839,0.772,0.7222,0.9126,0.709,0.8394,0.9086,0.9004,0.8402,0.9164,0.9334,0.4746,0.7278,0.7984,0.913,0.8462,0.936,0.793,0.9412,0.7042,0.9198,0.537
"1642.MS00492",0.9112,0.5028,0.9112,0.892,0.9512,0.5654,0.4992,0.9266,0.549,0.492,0.548,0.6004,0.8866,0.8948,0,0.9156,0.8968,0.5276,0.9534,0.8698,0.8952,0.5254,0.9088,0.9222,0.9582,0.529,0.9398,0.5234,0.6814,0.89,0.9136,0.9176,0.5196,0.93,0.5868,0.9254,0.7208,0.9114,0.658,0.899
"2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences",0.7192,0.904,0.4686,0.841,0.6606,0.909,0.8884,0.7566,0.9142,0.9244,0.9074,0.935,0.8506,0.8734,0.9156,0,0.8516,0.9152,0.881,0.7474,0.8488,0.9124,0.8458,0.6896,0.8724,0.9058,0.7592,0.9252,0.9256,0.8682,0.7206,0.7076,0.911,0.6914,0.9376,0.7478,0.9402,0.8604,0.9194,0.864
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7984,0.887,0.8608,0.5798,0.8614,0.9032,0.8696,0.802,0.9068,0.9082,0.8718,0.9336,0.5976,0.6334,0.8968,0.8516,0,0.9126,0.8768,0.7564,0.6278,0.9072,0.663,0.8056,0.9034,0.898,0.8526,0.9164,0.9284,0.6258,0.7124,0.795,0.908,0.826,0.9308,0.8194,0.9382,0.6416,0.9166,0.5264
"1642.MS00577",0.9204,0.448,0.9096,0.9084,0.9504,0.5034,0.5644,0.934,0.5896,0.5284,0.6002,0.4532,0.9056,0.9144,0.5276,0.9152,0.9126,0,0.9618,0.8828,0.908,0.544,0.9238,0.935,0.9582,0.5696,0.9418,0.5162,0.566,0.9096,0.9248,0.9262,0.4512,0.933,0.569,0.9374,0.6974,0.9246,0.6416,0.9102
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",0.6812,0.952,0.8616,0.892,0.7924,0.9472,0.9376,0.7528,0.9518,0.9548,0.9524,0.966,0.8826,0.839,0.9534,0.881,0.8768,0.9618,0,0.928,0.9252,0.9586,0.9128,0.6662,0.7186,0.9498,0.657,0.9576,0.9482,0.8446,0.6526,0.7662,0.9572,0.701,0.9544,0.6784,0.9674,0.898,0.9556,0.8474
"2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8532,0.861,0.7452,0.753,0.8868,0.8722,0.8346,0.8698,0.8782,0.8808,0.8502,0.9182,0.7538,0.772,0.8698,0.7474,0.7564,0.8828,0.928,0,0.725,0.8716,0.7518,0.8504,0.9226,0.8624,0.8832,0.8974,0.9016,0.7708,0.8092,0.8468,0.8776,0.859,0.9172,0.8602,0.9146,0.7804,0.8878,0.7618
