"","1642.MS00505","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00577","1642.MS00396","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00469","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00492","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00629","1642.MS00339","1642.MS00387","1642.MS00344","1642.MS00588","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00476","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00347","1642.MS00384","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00575","1642.MS00544","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0993966303838,0.0434635568252,0.0994486071381,0.0876783066946,0.0429138772907,0.0246598540562,0.0454959442441,0.0357374063144,0.0355398793901,0.0963796553872,0.0264414997421,0.0450826619341,0,0.045597180818,0.0240559217263,0.0270718260424,0.0918176050131,0.0912390240781,0.0877888392697,0.0461222565407,0.0715075929856,0.0989760760091,0.0723236595109,0.0845779341265,0.0948618956353,0.03710887058,0.028795744755,0.0797662621578,0.0455910192938,0.0422985298218,0.0265363974676,0.0850599228169,0.0368128603456,0.0503395951464,0.0914172075784,0.0879991696195,0.023500025754,0.1082095170948,0.0871589516369,0.0171386981386
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",0.070832937395,0.0272344663813,0.0792083590799,0.0842396267598,0.0283036855638,0.0488743096806,0.0211835816863,0.0257278018619,0.0237180861267,0.0853772591931,0.0440156965224,0.0113125029506,0.045597180818,0,0.0500008430186,0.0416934711243,0.0780809140209,0.0307069065705,0.0913851799178,0.0248665524785,0.077159272324,0.0674165717675,0.0740746016354,0.0683294292514,0.0887184888676,0.0276959598151,0.0373101890655,0.075759468827,0.0264440250496,0.026432975069,0.0497600477368,0.0878993121171,0.0277295015743,0.0246317058514,0.0786364577587,0.0729086733631,0.0412642822889,0.0835864750526,0.0730161455551,0.039098141497
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0677585260923,0.033072989574,0.0781454262797,0.079665976486,0.028696549218,0.0250467432786,0.0495559384113,0.0371082624919,0.0355711051359,0.0833407280909,0.0221401279831,0.0476073356455,0.0240559217263,0.0500008430186,0,0.0285621278208,0.0744257606431,0.0459176165442,0.0781511239016,0.0388423274269,0.0642878795442,0.0700574700644,0.0652554340926,0.0706156281645,0.0838403764942,0.0324889722381,0.0299539796389,0.0729717796658,0.040251414654,0.0454645327284,0.0255692031984,0.0726354818458,0.0317717259601,0.0511469091853,0.0782750322619,0.0650697744136,0.0209310038447,0.0787518481836,0.0666224961492,0.0232034972152
"2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0731408619274,0.0358948784034,0.0822079466427,0.0833066942934,0.0318359663855,0.0339481040985,0.0348077083272,0.0364840998188,0.0363109234567,0.0894471828129,0.0306721175189,0.0379411505054,0.0270718260424,0.0416934711243,0.0285621278208,0,0.079270602951,0.0417934144304,0.0844686689038,0.0372112965005,0.0711261896182,0.0771799955174,0.070565040096,0.0736753433124,0.093647920696,0.0394094348886,0.0190393884583,0.080026380111,0.0257851721184,0.045411661042,0.0310776805516,0.0791376132601,0.0233093786955,0.0429634322682,0.0813983732729,0.0692185703729,0.0276753058125,0.0868798663984,0.0704937748615,0.0257730490741
"1642.MS00427",0.0198063629101,0.077357481961,0.0209765137097,0.0187322376628,0.0784164309305,0.0784000287338,0.090861698688,0.073913022375,0.0742762380848,0.0240473249772,0.0773723745075,0.0829170387283,0.0918176050131,0.0780809140209,0.0744257606431,0.079270602951,0,0.0841173886152,0.0213426429688,0.0822922487805,0.0277765970019,0.0198144355804,0.0203720948363,0.021046744177,0.0253091317389,0.0804006069639,0.0762009454848,0.0178687953297,0.0781371285093,0.0747959070327,0.0807447885406,0.0215441534797,0.0760585690284,0.0858215874313,0.0242114297431,0.0182674543647,0.0728437533497,0.0222928236181,0.0208308753346,0.0752909072761
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",0.0815594533147,0.0196779577112,0.0892851738833,0.0916838846988,0.0224252271147,0.0620400118474,0.0183648879748,0.0207829940196,0.0488171606094,0.0961393043359,0.0315229052892,0.0321671594399,0.0912390240781,0.0307069065705,0.0459176165442,0.0417934144304,0.0841173886152,0,0.0977843987245,0.0245665648338,0.0854921056864,0.0706897437538,0.0785981291562,0.0717668427041,0.0924658447814,0.0260373676781,0.0370183302782,0.0841759004582,0.0212962032816,0.0109306654675,0.0527066152557,0.0897211729493,0.0210628184683,0.0160064913227,0.0791897966676,0.077374268768,0.0319302032828,0.0910325649479,0.082426618426,0.0329312569316
"1642.MS00492",0.0157958748428,0.0869433243209,0.0180991518079,0.0219732475963,0.0859562931063,0.0811308146054,0.1015674502869,0.0855190217225,0.0812878576917,0.0198117804717,0.0830514918241,0.0928200198885,0.0877888392697,0.0913851799178,0.0781511239016,0.0844686689038,0.0213426429688,0.0977843987245,0,0.0919015128839,0.0232710325298,0.0272835390928,0.0202609335765,0.0286510380047,0.0262249199492,0.0916080258296,0.0829179898172,0.0196265159827,0.086059289398,0.0899214876801,0.0828885312084,0.0182000071685,0.0835818548577,0.0994619212481,0.0378659420587,0.0198335086993,0.0793642851432,0.0214044504341,0.0169069682514,0.0805346989264
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.0764290135092,0.0164926940463,0.0835203539654,0.0886407974312,0.0178740394516,0.0422308330487,0.018911666864,0.015151348476,0.0382787968754,0.0917530374113,0.0372068110108,0.0242168932735,0.0461222565407,0.0248665524785,0.0388423274269,0.0372112965005,0.0822922487805,0.0245665648338,0.0919015128839,0,0.0780988295407,0.0727175660829,0.0757374700761,0.0715386698933,0.0893842485889,0.0162287391686,0.0344749890996,0.0783297661056,0.0219878771129,0.0373492098918,0.0386775690151,0.0891588430488,0.0206452111264,0.0154522075889,0.0802178881541,0.0774858084372,0.0354091679535,0.0859447083131,0.0755245848893,0.0360446550954
"1642.MS00629",0.0223020076734,0.0733037047948,0.022442434136,0.0264721224338,0.0715825387135,0.0715315738787,0.0862116697746,0.0730259379735,0.0689307709406,0.0259382524971,0.0690779617663,0.078872941563,0.0715075929856,0.077159272324,0.0642878795442,0.0711261896182,0.0277765970019,0.0854921056864,0.0232710325298,0.0780988295407,0,0.0315587353796,0.02339990978,0.0316882532077,0.0312864464892,0.0763630729395,0.0693472869495,0.0249951003813,0.0732830375602,0.0772176607687,0.0702626933157,0.0232914819743,0.0715241986093,0.0849986150809,0.0395702887743,0.0242799075554,0.0658760410399,0.0274346926546,0.019521842229,0.0655907479955
"1642.MS00339",0.0226575934492,0.0670903441665,0.0232804270294,0.0199265288786,0.0658258969582,0.0783254668006,0.0814938046498,0.061744025638,0.0684764152414,0.0223002766969,0.0730222619289,0.0736589595689,0.0989760760091,0.0674165717675,0.0700574700644,0.0771799955174,0.0198144355804,0.0706897437538,0.0272835390928,0.0727175660829,0.0315587353796,0,0.0214739078769,0.0186051812432,0.0268789837789,0.0673315949296,0.0741367988923,0.0188410092498,0.069653382467,0.0596408910784,0.0799544863947,0.024466630804,0.0687677624866,0.0732490280099,0.0214717954952,0.0177254530991,0.0683358386511,0.0247597334406,0.0243479593325,0.0705846082922
