"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00609","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00351","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00519","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00604","1642.MS00475","1642.MS00426","1642.MS00383","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00483","1642.MS00628","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00527","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00362","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00431","1642.MS00394","1642.MS00449","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00550","1642.MS00441","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","1642.MS00507"
"2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences",-0.41,1,1,0.528,1,1,1,1,1,1,0.154,1,1,1,1,-0.237,1,1,1,0,-1,1,1,0.0589999999999999,1,1,1,1,1,1,1,0.675,1,1,1,1,1,0.514,1,1
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",0.693,1,1,0.99,1,1,1,1,1,1,0.966,1,1,1,1,0.507,1,1,1,-1,0,1,1,0.961,1,1,1,1,1,1,1,0.083,1,1,1,1,1,0.886,1,1
"1642.MS00591",1,1,1,1,0.952,1,1,1,0.996,0.899,1,0.375,0.99,0.999,1,1,0.996,0.998,0.996,1,1,0,0.992,1,1,1,1,1,0.994,1,0.998,1,0.816,0.994,1,1,0.763,1,1,0.941
"1642.MS00527",1,-0.387,1,1,-0.214,1,0.696,1,0.205,-1,1,-0.268,-0.414,0.0229999999999999,0.332,1,-0.024,-0.773,-0.0679999999999999,1,1,0.992,0,1,1,-0.212,0.681,1,-0.998,-0.026,-0.639,1,0.012,-0.998,1,1,-0.052,1,0.982,-0.794
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",-0.62,1,1,-0.826,1,0.975,1,1,1,1,-0.743,1,1,1,1,-0.183,1,1,1,0.0589999999999999,0.961,1,1,0,1,1,1,0.996,1,1,1,0.844,1,1,0.988,0.984,1,-0.928,1,1
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.994,1,0.562,1,1,-0.998,1,-0.34,1,1,0.972,1,1,1,1,0.986,1,1,1,1,1,1,1,1,0,1,1,0.309,1,1,1,0.989,1,1,-0.034,-0.00600000000000001,1,0.946,1,1
"1642.MS00367",1,0.0649999999999999,1,1,0.972,1,-0.966,1,0.981,0.283,1,0.966,0.111,-0.892,-0.338,1,-0.39,0.854,0.96,1,1,1,-0.212,1,1,0,-0.982,1,-1,-0.148,0.719,1,0.938,-0.695,1,1,0.996,1,-0.81,-0.906
"1642.MS00362",1,-0.927,1,1,0.0109999999999999,1,-0.998,1,0.339,0.94,1,0.325,-0.175,-1,-0.78,1,-0.796,0.264,0.418,1,1,1,0.681,1,1,-0.982,0,1,-0.505,-0.955,0.0980000000000001,1,0.454,-0.275,1,1,0.994,1,-0.527,0.944
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,-0.998,0.998,1,-0.325,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.309,1,1,0,1,1,1,1,1,1,-0.564,-0.643,1,1,1,1
"1642.MS00431",1,-0.988,1,1,-0.58,1,-0.348,1,-0.373,-0.954,1,-0.074,-0.777,-0.894,-0.795,1,-0.77,-0.986,-0.574,1,1,0.994,-0.998,1,1,-1,-0.505,1,0,-0.978,-0.976,1,-0.191,-1,1,1,0.219,1,0.603,-0.998
