"","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00475","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00628","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00431","1642.MS00588","1642.MS00519","1642.MS00609","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00449","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00427","1642.MS00483","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00362","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00527","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00604","1642.MS00394","1642.MS00507","1642.MS00550","1642.MS00383","1642.MS00441","1642.MS00351","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00347","1642.MS00426"
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",NA,-5.84193701948383,6.42292486840368,-6.84541453446811,1.26079043753256,-3.66786810653079,-6.183270834162,-6.6400514765014,-1.50203446451228,3.86065670166855,-4.16110746237108,0.654050851373844,4.37918986397808,2.16217903593367,5.24532715529029,-3.81000386469545,4.50732539497715,-2.88798430192063,3.63054074133097,2.56558215292659,-3.03504848146592,1.95077409278632,-6.92214991046621,0.971185358875589,-6.476352576439,0.76725183482127,1.35945200514569,-3.09093418355679,2.03482671203028,-3.9104465557348,3.39339389776951,2.26032919320907,1.27583381195462,4.65702676290774,2.00745813763169,1.43820403686303,2.11849518552873,-3.00744863568117,2.12651126632936,2.09419347426764
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.84193701948383,NA,7.65820622353652,-6.28035868938941,1.42404646534446,-3.58079710899921,-5.93155513656328,-6.39586910430998,-1.81611405344318,5.27694116233958,-2.7733813619876,0.451168236465678,5.00897362262235,2.073757239288,7.11393094831705,-3.89460284929879,6.28838712666351,-1.77372344339809,3.28873964819063,2.89105810858181,-4.03734483556405,1.51776369505417,-7.22939000729355,0.764432526068946,-6.70694846174163,0.362834374062727,1.10316708713303,-2.93423617948156,2.20354712278204,-3.80977278574879,3.91621472303675,2.99309154394756,0.961938321006311,5.17914070373695,2.92296276185778,1.25221469472576,1.68745160000664,-4.24927563928529,1.37595497151253,2.7271295810984
"1642.MS00606",6.42292486840368,7.65820622353652,NA,7.45765622352177,-3.82251542191671,1.36576535482428,9.13284327195044,7.33132722460857,0.903930874851183,-2.78547117232194,3.26020836831286,-3.18886746618131,-2.63295214217261,-4.19797828205665,-3.55736332255068,0.309072310789719,-3.0834708750238,0.713123106014881,-1.46983616489421,-2.68131349687802,1.19562370367864,0.303305938370378,7.73194174988289,-1.17105253470235,7.28406051994615,-0.703340556877404,-2.07050165426406,1.12116239624813,-1.96539044083234,2.39908957974134,-2.36095110273842,-1.88916828742734,-4.23590489716993,-2.79384420896583,-2.21649037241177,-3.05109518498571,-1.10144339747218,0.61847081388364,-0.649129837279459,-0.0870676252467761
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",-6.84541453446811,-6.28035868938941,7.45765622352177,NA,1.39677183009104,-5.31775070517882,-4.65078808791475,-5.87901079632764,-4.64381698782093,5.0410918260688,-4.06525097186593,-0.347524423791339,6.20624729851668,3.49001533619625,6.31881583630914,-5.81914449979477,5.63246468840323,-2.45906970635259,1.98728102260923,3.14422596827491,-6.47000809902728,0.873983117163821,-6.16978166926552,0.834465805655972,-5.43513218234756,-0.627639175879285,1.47160883835559,-5.0312107149557,2.91379756577599,-4.52485762973624,4.02701077357783,3.00492770141936,1.03135072704155,5.69653141346141,2.61910751676415,1.71125745557034,1.04594380799992,-4.81878875307879,0.891657713435928,2.2647672514884
"1642.MS00475",1.26079043753256,1.42404646534446,-3.82251542191671,1.39677183009104,NA,-0.895985392717007,1.94379027924183,0.370901466550812,-0.742151648457958,-2.52243409922018,0.0238176825145884,-3.92396740588604,-5.15110793393794,-5.58352900043621,-3.3232856985236,-0.664957918045906,-3.5367428533973,-0.731092072626643,-2.83787463104247,-5.05246922929277,-0.781371481390496,-3.51423245459663,0.969986971886411,-1.56772960300949,0.743131657005093,-5.4299728868546,-3.12369166274192,-0.890386738799426,-4.7177764683766,0.0791604329521802,-4.18005478817177,-4.17353820827287,-5.76074653970555,-4.78604605033617,-5.07087591612463,-4.57678174229114,-3.83854154520229,-0.995349554180968,-2.72289940856888,-3.90164482564544
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",-3.66786810653079,-3.58079710899921,1.36576535482428,-5.31775070517882,-0.895985392717007,NA,-3.48669806830203,-6.22794113333085,-4.8975338325344,0.969202486097534,-5.33941805239888,-0.750807080310473,1.12220685536312,0.347818593199606,1.45595131443212,-4.734933838947,0.818854466262478,-5.22879993556691,-0.801033296749449,0.792720223066706,-4.76064653780067,-2.27179182985894,-4.88224211041128,-0.806398085084005,-4.72913791575128,-0.924040274171951,-0.175714459114684,-4.49786036687776,-0.488003848417867,-5.26712834249921,0.637689098342261,-0.296737985770834,-0.1890096175747,0.661465968753079,-1.23073154925706,-0.1438558958784,-1.53095080306059,-5.51042610534777,-0.96895769067633,-0.964792451426484
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",-6.183270834162,-5.93155513656328,9.13284327195044,-4.65078808791475,1.94379027924183,-3.48669806830203,NA,-4.08728410810807,-0.517129659301576,6.27401900204021,-1.47605113007997,1.08437274254866,5.7898218926579,2.65016489935275,8.25238090977145,-3.11199444205151,6.86429236199082,-0.427182656399325,4.77036125090654,5.26769921777006,-2.07212177051935,2.34731953934552,-4.21880786395859,1.15973344280021,-3.85615438429406,0.898432486744972,1.60954624457748,-2.31142434633023,3.37095954153896,-2.37602150590561,4.35196862067977,4.11806277663253,1.50672101964586,6.74801302390746,3.31705271177912,1.79565228681113,3.08294437686335,-2.30901891253306,1.8540818072427,3.37169529482841
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",-6.6400514765014,-6.39586910430998,7.33132722460857,-5.87901079632764,0.370901466550812,-6.22794113333085,-4.08728410810807,NA,-6.4903135721155,5.1010154683939,-4.35544410912958,-0.169647919847393,4.47178101947474,1.45873491347278,6.32130203556193,-6.9766611666554,4.79639660503155,-2.63656220838806,1.23027102055421,2.40804322173829,-8.91532896449561,-0.154873695172946,-6.40987664415825,0.740467176695031,-4.64059439663381,-0.341180239473146,0.658683359872625,-9.10371832737969,1.40384352829226,-5.16310937910785,3.8544734648032,1.82705497845396,0.400167710351853,4.46108040621438,1.2053305748699,0.632763866981272,0.522002464560789,-5.15684152213406,0.198154453303591,0.76834539320787
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",-1.50203446451228,-1.81611405344318,0.903930874851183,-4.64381698782093,-0.742151648457958,-4.8975338325344,-0.517129659301576,-6.4903135721155,NA,1.03659681784212,-4.63710075990989,-0.792292002760758,1.59517254637371,-0.0772764196644094,1.8205576098965,-5.55243498439966,0.604132706541673,-4.40884394323326,-0.981111503334343,1.03650881211723,-5.84652856663143,-1.87762907610156,-3.26879310859609,-0.313716483475764,-4.41005324437847,-0.947815093037646,-0.300863173082637,-6.58968730353242,-0.627994088317616,-6.52769992715272,0.385121632324652,0.326242742953024,-0.470373881219867,0.423639908430687,-1.03296818515052,-0.462455305642772,-1.12622852697509,-5.96427234964063,-1.19526228230236,-1.00567098867295
"1642.MS00628",3.86065670166855,5.27694116233958,-2.78547117232194,5.0410918260688,-2.52243409922018,0.969202486097534,6.27401900204021,5.1010154683939,1.03659681784212,NA,2.00729404671178,-3.80213170587703,-3.55452647807686,-4.39808539899134,-4.38447575346509,0.943124456043877,-3.44809045146791,0.203057861411846,-2.1748717151206,-1.66906964258252,1.74214105366449,-2.1510258792505,5.86586010862897,-1.12967014882973,5.73739227407561,-2.73104928793412,-2.42197572624778,1.08346054131406,-3.11248721051176,2.14836401875208,-3.75454838228629,-2.06966817912455,-4.81506817725101,-3.53326641344624,-3.17302196961684,-3.96306012693287,-2.53936302677093,0.889528799585881,-1.3437710641594,-2.77910464743883
"2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences",-4.16110746237108,-2.7733813619876,3.26020836831286,-4.06525097186593,0.0238176825145884,-5.33941805239888,-1.47605113007997,-4.35544410912958,-4.63710075990989,2.00729404671178,NA,0.23779915670158,2.23073552644179,2.12584437169094,5.25934599133851,-5.91991624834646,2.03306215722687,-5.37917517823828,-0.0235990428851428,2.74317900057362,-3.76248613276986,-0.924306899025243,-3.81471158635203,0.358373897921571,-3.20855850150721,-1.17294845432393,1.58632447252078,-5.21347075513142,0.666977809138927,-4.46419767090115,1.99013920879783,2.57372187082034,1.29447643129824,2.38483586809985,0.150107902358254,1.33968784248157,0.888630873441152,-3.47722252207043,0.00112262519298322,0.0191378882698689
"1642.MS00431",0.654050851373844,0.451168236465678,-3.18886746618131,-0.347524423791339,-3.92396740588604,-0.750807080310473,1.08437274254866,-0.169647919847393,-0.792292002760758,-3.80213170587703,0.23779915670158,NA,-4.10866335188802,-3.70670104587447,-2.81104989156587,-0.788757642268804,-2.88542588146826,-0.705353073996847,-1.99518310112822,-4.22938009689692,-0.691891910211053,-2.99260642879871,-0.0476884267955279,-1.21550844336943,0.0312393585821764,-4.32323634555267,-1.70438694039449,-0.683835124352878,-3.38062421239195,-0.235081975702855,-3.51697017778958,-2.6362293402644,-4.60731138093669,-4.34693766298367,-4.2458868435633,-4.1132622167632,-2.2728709976283,-0.843839511071669,-1.94478090163991,-2.72521019712505
"1642.MS00588",4.37918986397808,5.00897362262235,-2.63295214217261,6.20624729851668,-5.15110793393794,1.12220685536312,5.7898218926579,4.47178101947474,1.59517254637371,-3.55452647807686,2.23073552644179,-4.10866335188802,NA,-3.33485847090415,-2.08482299031053,1.07300782705032,-3.75327887366124,0.452313397125717,-2.87021486369404,-2.49709904839194,1.49847040772245,-2.54535913805521,4.43473267231128,-3.23340938462436,4.62597030119983,-4.86338165140147,-3.81961382263415,1.89387266952179,-3.3354028309565,2.82842067425874,-2.12565795175732,-2.32487368954944,-4.6145909752682,-2.71621227547286,-4.16169402297373,-4.41469364369526,-3.37803540707314,-0.160599956442768,-2.58868373904193,-2.83345073094688
