"","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00355","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00609","1642.MS00620","1642.MS00454","1642.MS00511","1642.MS00353","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00452","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00518","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00519","1642.MS00408","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00583","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00521","1642.MS00586","1642.MS00332","1642.MS00449","1642.MS00551","1642.MS00410","1642.MS00340","1642.MS00439","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00504","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00521",1,1,1,-0.0639999999999999,0.779,-0.608,-0.687,1,1,0.348,1,1,-0.463,1,-0.875,0.409,1,1,1,1,1,0.994,-0.544,1,1,0,-0.97,0.992,0.302,0.61,0.573,0.848,0.0740000000000001,1,1,-0.37,1,1,1,1
"1642.MS00586",1,1,1,-0.333,0.643,-0.281,-0.507,0.996,1,0.296,1,1,-0.33,1,-0.614,0.684,1,1,1,1,1,1,-0.924,1,1,-0.97,0,1,0.232,0.662,0.624,0.966,0.404,1,1,0.034,1,1,1,1
"1642.MS00332",1,-0.67,1,1,1,-0.105,-0.435,-0.94,1,0.994,1,1,0.884,1,0.224,-0.237,1,1,1,1,1,-0.998,1,1,1,0.992,1,0,0.784,0.992,0.974,-0.998,0.748,1,1,-0.136,1,1,1,1
"1642.MS00449",1,0.9,1,-0.713,-0.553,0.384,0.534,0.736,1,-0.852,1,1,-0.596,1,0.355,-0.902,1,1,1,1,1,0.956,-0.593,1,1,0.302,0.232,0.784,0,0.407,-0.996,0.503,-0.902,1,1,0.86,1,1,1,1
"1642.MS00551",1,0.964,1,-0.181,0.614,-0.089,0.148,0.872,1,0.454,1,1,-0.546,1,0.543,-0.281,1,1,1,1,1,0.998,0.0449999999999999,1,1,0.61,0.662,0.992,0.407,0,0.018,0.924,0.85,1,1,0.593,1,1,1,1
"1642.MS00410",1,0.865,1,-0.858,-0.62,0.385,0.742,0.745,1,-0.912,1,1,-0.766,1,0.605,-0.968,1,1,1,1,1,0.998,-0.419,1,1,0.573,0.624,0.974,-0.996,0.018,0,0.768,-0.756,1,1,0.777,1,1,1,1
"1642.MS00340",1,-0.431,1,0.996,0.998,-0.379,-0.982,-0.741,1,0.947,1,1,0.483,1,-0.365,-0.584,1,1,1,1,1,-1,0.956,1,1,0.848,0.966,-0.998,0.503,0.924,0.768,0,0.211,1,1,-0.986,1,1,1,1
"1642.MS00439",1,0.917,1,-0.175,0.097,0.085,0.346,0.596,1,-0.456,1,1,-0.38,1,-0.123,-0.672,1,1,1,1,1,0.933,-0.028,1,1,0.0740000000000001,0.404,0.748,-0.902,0.85,-0.756,0.211,0,1,1,0.535,1,1,1,1
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",-0.99,1,-0.998,1,1,1,1,1,0.988,1,-1,-0.996,1,0.962,1,1,-0.601,-0.998,-0.835,-0.441,0.87,1,1,0.988,-0.58,1,1,1,1,1,1,1,1,0,-0.678,1,0.994,-0.994,0.958,0.768
"2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences",-1,1,-0.843,1,1,1,1,1,0.978,1,-0.908,-0.81,1,0.261,1,1,0.751,-0.846,0.821,0.23,1,1,1,0.637,-0.96,1,1,1,1,1,1,1,1,-0.678,0,1,0.994,-0.612,1,0.914
"1642.MS00504",1,0.666,1,0.49,0.979,-0.926,-1,0.655,1,0.413,1,1,-0.447,1,-0.948,-0.396,1,1,1,1,1,-0.764,0.622,1,1,-0.37,0.034,-0.136,0.86,0.593,0.777,-0.986,0.535,1,1,0,1,1,1,1
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0.672,1,0.98,0.87,1,-0.439,1,1,1,0.849,1,1,0.728,1,1,0.153,1,1,1,1,1,1,1,1,1,0.994,0.994,1,0,1,0.742,0.524
"2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences",-0.996,1,-0.74,1,1,1,1,1,1,1,-0.956,-0.976,1,0.998,1,1,-0.984,-0.996,-0.498,-0.998,1,1,1,1,-0.264,1,1,1,1,1,1,1,1,-0.994,-0.612,1,1,0,1,1
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,0.982,1,0.99,1,1,0.672,1,1,1,1,1,0.998,-1,1,1,0.988,1,1,1,1,1,1,1,1,1,0.958,1,1,0.742,1,0,0.568
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9,1,0.996,1,1,1,1,1,-0.569,1,0.646,0.679,1,-0.508,1,1,1,0.954,0.984,1,0.347,1,1,-0.398,0.994,1,1,1,1,1,1,1,1,0.768,0.914,1,0.524,1,0.568,0
