"","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00454","1642.MS00355","1642.MS00452","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00340","1642.MS00519","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00620","2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00504","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","1642.MS00521","1642.MS00586","1642.MS00439","1642.MS00410","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00366","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00609","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00353","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00332","1642.MS00518","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00408","1642.MS00583","1642.MS00449"
"1642.MS00609",0.1196545016292,0.0887355860087,0.0881434843445,0.0221054720343,0.0358753224103,0.0212568091773,0.0987194633541,0.0828227115425,0.0344986372008,0.0239259345951,0.1127245002524,0.0209300316901,0.0884452673778,0.0745847584746,0.0956026206519,0.1124535745542,0.0208374356768,0.0250271409145,0.0867302256252,0.0857764835158,0.0264982579457,0.0227057947192,0.0213638460452,0.0243759234704,0.0213686577506,0.0944456862802,0.0872373557718,0.0391312991076,0.0839907354837,0,0.0701369820335,0.0370725608724,0.0822821885241,0.0898833962949,0.0429533913627,0.0207814963764,0.0898560654199,0.0215207057976,0.0215966603337,0.0212440880813
"2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0516007941115,0.0360754897907,0.0320755412259,0.0688886348945,0.0560391136884,0.0641736981195,0.0372080223687,0.0313031664704,0.0634752819948,0.078973292714,0.0415024703969,0.0751100814664,0.0323468346267,0.0148144378823,0.036910874472,0.0498934887289,0.0706713460481,0.0570712845693,0.0343130805307,0.0269481621127,0.0661496394725,0.0803105031787,0.080824948677,0.0698187052849,0.06380280668,0.0394052403943,0.0325036280893,0.0652405845295,0.026879226038,0.0701369820335,0,0.0602273780377,0.0260718551819,0.0337723888794,0.0735544580931,0.0651743939126,0.0296402427919,0.0586221151717,0.0820416022147,0.0697693051044
"1642.MS00353",0.1022986458358,0.0705867442931,0.0712140455579,0.0322472432938,0.0149974318156,0.026778537339,0.0897988264183,0.0773415059019,0.0192939971396,0.0340085248411,0.0977147710345,0.0406729682774,0.0743252979865,0.0719964659682,0.0791384809667,0.1011905022665,0.0314717914379,0.0286284261457,0.0760762519032,0.0792465305142,0.0334656317236,0.0396650536094,0.0414175039241,0.0277689661786,0.0268605160049,0.0731107807037,0.0765968080721,0.0183402022657,0.0719480465116,0.0370725608724,0.0602273780377,0,0.0833421997675,0.0715704877413,0.0167314450836,0.0338599119513,0.0922523733339,0.0237559568769,0.0406246786656,0.0288657746746
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0522672809911,0.0471463049757,0.0358509212435,0.090356665878,0.0791345894443,0.0762642459406,0.0384839130194,0.0241343613003,0.0985022997123,0.1002791407837,0.0479528180578,0.0889703709864,0.042226049006,0.0304268292289,0.0412845301802,0.0443839623887,0.102770715893,0.0925124628893,0.0431880123997,0.0246514835669,0.0802903222766,0.0942035546201,0.0938510561488,0.0815566010084,0.073770173338,0.053588118611,0.0429556922061,0.1017952599048,0.0276985211029,0.0822821885241,0.0260718551819,0.0833421997675,0,0.0354438433313,0.0987166705985,0.0818643476318,0.0269665645878,0.0754030587403,0.093630060317,0.0819421837406
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.0254651863594,0.0358133081366,0.0183268999088,0.0799293582601,0.0667901157372,0.0790868607132,0.0204498027909,0.0333837574844,0.0671595268544,0.0869776374713,0.0245644573229,0.1048101558739,0.0217470585475,0.0431304791663,0.0231013129489,0.0244802198235,0.0802030871998,0.064869264492,0.0229393349399,0.0357381035626,0.0803609788869,0.0932632865912,0.0971753459332,0.083108540667,0.0795472964035,0.0355354161679,0.0204750533487,0.0707785765067,0.0382249054226,0.0898833962949,0.0337723888794,0.0715704877413,0.0354438433313,0,0.0749481992675,0.0821627183464,0.036785138025,0.0722277322447,0.1055559315215,0.0871149761765
"1642.MS00332",0.1044313598815,0.0768718877364,0.0752765195539,0.0328692052393,0.0180934315046,0.0296134812712,0.0930744224068,0.0870986658854,0.0144629254195,0.0284788341367,0.0978458077517,0.0513960117556,0.0806299765754,0.0911486866346,0.0840667762127,0.1048440939771,0.0296547334533,0.0294064323234,0.0812067666178,0.0923538602757,0.0369713088189,0.037945696491,0.0416331378088,0.0258409481973,0.0296820705429,0.0773256746641,0.0849573298723,0.0173306183467,0.0856772715861,0.0429533913627,0.0735544580931,0.0167314450836,0.0987166705985,0.0749481992675,0,0.0364702578432,0.111482692563,0.0263598732358,0.0412514259414,0.0289646542763
"1642.MS00518",0.1161535627397,0.0813586063663,0.0797372297651,0.0201126962563,0.0323717270591,0.020986725501,0.0990348366068,0.0805153963272,0.0279211916889,0.0217378124679,0.106624549386,0.0244293871024,0.0835114809572,0.0758800630394,0.0883345357528,0.1135953674491,0.0186304457287,0.022660866609,0.08453168902,0.0836409579497,0.0234902593224,0.0215852233577,0.0225234661792,0.0239580602597,0.020677451618,0.0818020376048,0.081619722143,0.0355280310361,0.0814782259954,0.0207814963764,0.0651743939126,0.0338599119513,0.0818643476318,0.0821627183464,0.0364702578432,0,0.0926975032217,0.0201622677888,0.0216893054143,0.0204265763355
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0693647811757,0.0551217514698,0.0453662355267,0.1027259393727,0.0917777215379,0.0880831350477,0.0462170701428,0.0240978290658,0.1074216334572,0.1103269409241,0.0657604897581,0.0973429469188,0.0546329081135,0.0396913020643,0.0502966558227,0.0585878272141,0.115566406505,0.1052302576849,0.051844931241,0.0160993647854,0.0846139872878,0.1033820860963,0.101379506904,0.0886348778137,0.0815098841429,0.0636292546836,0.0422045868481,0.1129811095929,0.0285068538227,0.0898560654199,0.0296402427919,0.0922523733339,0.0269665645878,0.036785138025,0.111482692563,0.0926975032217,0,0.0868275692504,0.1009049682083,0.0897134969923
"1642.MS00408",0.1070612664167,0.0709897949994,0.0710382424459,0.0200111058785,0.0260276740819,0.0181529719666,0.0904004030879,0.0704883114651,0.0219770634415,0.0236254557049,0.0995230256135,0.0272254778644,0.0728397755348,0.0701904970992,0.0799076024037,0.1034916077076,0.0200999671254,0.0227424845611,0.0754796189251,0.0751328620535,0.0235105164984,0.0239685197647,0.0239222496688,0.0208691958097,0.0165237416339,0.0724900059056,0.0739219721559,0.0287015662213,0.0707756437342,0.0215207057976,0.0586221151717,0.0237559568769,0.0754030587403,0.0722277322447,0.0263598732358,0.0201622677888,0.0868275692504,0,0.0230262020579,0.018480947958
"1642.MS00583",0.1486899024375,0.1025565275078,0.1032780989719,0.0229232796774,0.0401296916929,0.025507278364,0.1297739607185,0.0926535217394,0.0334259385476,0.0223303479161,0.1403076241594,0.0232766599774,0.1086669509473,0.0885275979521,0.1097223404788,0.141750581161,0.0200752598829,0.0278182326616,0.1088843653934,0.0973814428739,0.0257434377221,0.0221782529581,0.0199497338348,0.0240291732844,0.0229084405212,0.1076412565437,0.0995982496212,0.03958695904,0.0991115313919,0.0215966603337,0.0820416022147,0.0406246786656,0.093630060317,0.1055559315215,0.0412514259414,0.0216893054143,0.1009049682083,0.0230262020579,0,0.0212847722441
"1642.MS00449",0.1231484554695,0.0854509562987,0.0845742847569,0.0218480184464,0.0294467010522,0.0200290082756,0.1019473734306,0.0810197026761,0.0244565906373,0.0225068278109,0.1161131566773,0.0226663470015,0.0866897586032,0.0762604697043,0.0927933574134,0.1163564973205,0.0203903050646,0.0244178368959,0.0894687713756,0.0850688286077,0.0258711567305,0.0237672251543,0.0225613966435,0.020084215098,0.0169575456591,0.0886082959798,0.0842470881933,0.0295513155979,0.0842408528808,0.0212440880813,0.0697693051044,0.0288657746746,0.0819421837406,0.0871149761765,0.0289646542763,0.0204265763355,0.0897134969923,0.018480947958,0.0212847722441,0
