"","1642.MS00517","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00387","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00640","1642.MS00366","1642.MS00583","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00348","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00462","1642.MS00361","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00468","1642.MS00502","1642.MS00443","1642.MS00441","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00554"
"1642.MS00441",0.464,0.9088,0.9622,0.894,0.571,0.948,0.9382,0.5118,0.9024,0.9598,0.9346,0.9036,0.5742,0.6532,0.5396,0.9548,0.5478,0.6468,0.9328,0.9454,0.5652,0.524,0.6222,0.9538,0.4218,0.8888,0.4928,0.5036,0.516,0,0.901,0.5636,0.9462,0.9104,0.9312,0.9184,0.9044,0.4832,0.886,0.5572
"2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences",0.899,0.545,0.8936,0.5686,0.9056,0.8614,0.8122,0.863,0.8616,0.8766,0.8156,0.883,0.9174,0.9532,0.92,0.8616,0.9024,0.9162,0.844,0.8514,0.9472,0.8738,0.9148,0.8768,0.893,0.6374,0.9062,0.9292,0.9156,0.901,0,0.9366,0.8556,0.5906,0.8358,0.6684,0.6402,0.9066,0.7528,0.9232
"1642.MS00578",0.5552,0.9406,0.9724,0.932,0.6702,0.9618,0.9544,0.6772,0.9346,0.9724,0.9586,0.9262,0.5252,0.6758,0.5802,0.9662,0.6104,0.7368,0.954,0.9564,0.4734,0.6428,0.7048,0.967,0.5944,0.9382,0.5796,0.449,0.6774,0.5636,0.9366,0,0.9596,0.9438,0.9522,0.9514,0.9402,0.6696,0.931,0.519
"2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences",0.9492,0.832,0.6708,0.8612,0.9472,0.6088,0.7102,0.9272,0.821,0.5638,0.7028,0.7714,0.9454,0.9728,0.9526,0.5566,0.9548,0.953,0.6952,0.6182,0.9638,0.935,0.947,0.506,0.9404,0.8616,0.951,0.9562,0.9536,0.9462,0.8556,0.9596,0,0.8558,0.6004,0.874,0.8404,0.9538,0.9048,0.9572
"2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9148,0.5388,0.8954,0.4682,0.9174,0.8694,0.8438,0.888,0.8754,0.8668,0.8436,0.901,0.93,0.9616,0.9228,0.879,0.9144,0.9244,0.8462,0.8506,0.9552,0.8876,0.932,0.8694,0.908,0.5286,0.9232,0.9314,0.9226,0.9104,0.5906,0.9438,0.8558,0,0.831,0.6736,0.606,0.92,0.728,0.935
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.9328,0.8232,0.6678,0.8298,0.938,0.5698,0.568,0.909,0.7416,0.5798,0.5786,0.6946,0.9352,0.9618,0.9422,0.5872,0.9374,0.9414,0.5878,0.5962,0.9568,0.9146,0.9332,0.5556,0.9242,0.8372,0.9336,0.9436,0.9362,0.9312,0.8358,0.9522,0.6004,0.831,0,0.8732,0.826,0.9354,0.8872,0.9462
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9188,0.6892,0.9122,0.6268,0.9216,0.8764,0.882,0.8948,0.8728,0.8928,0.87,0.8952,0.9378,0.9636,0.93,0.885,0.922,0.9308,0.8064,0.883,0.9586,0.892,0.9366,0.8824,0.9124,0.6874,0.9238,0.9412,0.9304,0.9184,0.6684,0.9514,0.874,0.6736,0.8732,0,0.6922,0.9274,0.722,0.9388
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9076,0.63,0.8994,0.6324,0.9174,0.8694,0.858,0.878,0.8584,0.8578,0.8476,0.8798,0.9196,0.9556,0.9166,0.8838,0.9092,0.9198,0.856,0.858,0.9482,0.8782,0.9224,0.8598,0.9002,0.6064,0.9132,0.9296,0.917,0.9044,0.6402,0.9402,0.8404,0.606,0.826,0.6922,0,0.916,0.715,0.9312
"1642.MS00415",0.55,0.92,0.9652,0.9016,0.5176,0.9488,0.9412,0.497,0.9084,0.9632,0.9406,0.9134,0.6114,0.6946,0.5494,0.9644,0.5554,0.6114,0.9386,0.9496,0.662,0.5208,0.573,0.955,0.457,0.9012,0.5736,0.606,0.4636,0.4832,0.9066,0.6696,0.9538,0.92,0.9354,0.9274,0.916,0,0.9046,0.5946
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",0.8796,0.7492,0.9378,0.7142,0.9036,0.911,0.9056,0.8466,0.8572,0.9218,0.8998,0.876,0.9124,0.9486,0.904,0.9214,0.89,0.9012,0.8798,0.8976,0.951,0.857,0.9146,0.9206,0.8736,0.7198,0.8864,0.9168,0.9004,0.886,0.7528,0.931,0.9048,0.728,0.8872,0.722,0.715,0.9046,0,0.9156
"1642.MS00554",0.535,0.9322,0.9722,0.9196,0.5966,0.9588,0.9518,0.6074,0.9264,0.9692,0.9464,0.9202,0.5062,0.7426,0.5442,0.9668,0.5502,0.6874,0.9484,0.9536,0.5444,0.5762,0.6632,0.9666,0.5468,0.9274,0.5238,0.5234,0.5922,0.5572,0.9232,0.519,0.9572,0.935,0.9462,0.9388,0.9312,0.5946,0.9156,0
