"","1642.MS00517","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00387","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00640","1642.MS00366","1642.MS00583","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00348","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00462","1642.MS00361","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00468","1642.MS00502","1642.MS00443","1642.MS00441","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00554"
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",1,0.966,-0.998,0.898,1,-1,-1,1,-0.107,-0.924,-0.998,-0.63,1,1,1,-0.982,1,1,0,-0.998,1,1,1,-0.99,1,0.996,1,1,1,1,0.984,1,-0.814,0.996,-0.994,0.734,0.994,1,0.998,1
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",1,0.754,-0.986,0.912,1,-1,-1,1,0.366,-0.984,-0.998,-0.36,1,1,1,-1,1,1,-0.998,0,1,1,1,-1,1,0.99,1,1,1,1,0.956,1,-0.958,0.944,-0.986,0.998,0.986,1,0.998,1
"1642.MS00520",-0.792,1,1,1,0.747,1,1,0.88,1,1,1,1,-0.566,-0.83,-0.336,1,0.069,1,1,1,0,0.747,0.964,1,-0.488,1,-0.371,-1,0.656,-0.651,1,-0.998,1,1,1,1,1,0.724,1,-0.86
"1642.MS00462",-0.69,1,1,1,0.257,1,1,-0.94,1,1,1,1,-0.207,1,-0.475,1,-0.649,0.94,1,1,0.747,0,0.879,1,-0.844,1,-0.646,-0.125,-0.826,-0.692,1,0.758,1,1,1,1,1,-0.626,1,0.085
"1642.MS00361",0.84,1,1,1,0.117,1,1,0.14,1,1,1,1,0.933,-0.97,0.994,1,0.992,-0.768,1,1,0.964,0.879,0,1,-0.394,1,0.758,0.756,0.903,0.334,1,0.986,1,1,1,1,1,-0.372,1,0.812
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",1,0.932,-1,0.982,1,-0.998,-0.938,1,0.744,-1,-0.865,0.0089999999999999,1,1,1,-1,1,1,-0.99,-1,1,1,1,0,1,0.996,1,1,1,1,0.978,1,-1,0.944,-1,0.984,0.892,1,1,1
"1642.MS00411",-0.97,1,1,1,-0.512,1,1,-0.982,1,1,1,1,-0.099,-0.104,-0.411,1,-0.354,0.0700000000000001,1,1,-0.488,-0.844,-0.394,1,0,1,-0.968,-0.902,-0.96,-1,1,-0.013,1,1,1,1,1,-0.998,1,-0.528
"2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.299,0.923,-0.952,1,0.998,1,1,1,0.998,1,1,1,1,1,0.978,1,1,0.996,0.99,1,1,1,0.996,1,0,1,1,1,1,0.341,1,1,-0.958,0.952,0.555,-0.185,1,0.847,1
"1642.MS00468",-0.991,1,1,1,0.589,1,1,-0.591,1,1,1,1,-0.432,0.628,-0.528,1,-0.482,0.94,1,1,-0.371,-0.646,0.758,1,-0.968,1,0,-0.891,-0.497,-0.972,1,-0.316,1,1,1,1,1,-0.182,1,-0.847
"1642.MS00502",-0.96,1,1,1,0.603,1,1,0.189,1,1,1,1,-0.82,-0.702,-0.648,1,-0.344,0.968,1,1,-1,-0.125,0.756,1,-0.902,1,-0.891,0,-0.051,-0.946,1,-1,1,1,1,1,1,0.19,1,-0.891
"1642.MS00443",-0.349,1,1,1,0.0840000000000001,1,1,-0.857,1,1,1,1,0.202,0.99,-0.834,1,-0.839,0.99,1,1,0.656,-0.826,0.903,1,-0.96,1,-0.497,-0.051,0,-0.828,1,0.95,1,1,1,1,1,-0.994,1,0.128
