"","1642.MS00608","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00408","1642.MS00605","1642.MS00549","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00475","1642.MS00474","1642.MS00612","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00391","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00587","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00438","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00399","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.927,1,0.936,1,0.814,1,0.652,0.972,1,1,1,1,0.986,1,1,1,0.814,0,1,-0.967,1,0.807,0.717,0.978,-1,1,0.994,0.974,0.951,1,0.905,1,1,0.693,1,-0.136,0.988,0.934,0.918
"1642.MS00391",0.406,1,0.847,1,0.871,1,1,1,1,0.129,-0.94,0.551,-0.51,1,-0.825,-0.718,0.646,1,1,0,1,-0.115,1,1,1,1,-0.178,1,1,1,-0.996,1,-0.152,-0.998,1,-0.998,1,1,1,1
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.88,1,0.909,1,-0.222,1,0.529,0.958,1,1,1,1,0.994,1,1,1,0.0089999999999999,-0.967,1,0,1,0.442,0.924,0.97,-0.894,1,0.977,0.982,0.973,1,0.941,1,1,0.907,1,-0.138,0.98,0.954,0.166
"1642.MS00587",-0.348,1,-0.462,1,-0.274,1,1,1,1,-0.698,0.19,-0.202,-0.753,1,0.315,-0.906,-0.79,1,1,-0.115,1,0,1,1,1,1,0.934,1,1,1,-0.267,1,-0.946,-0.32,1,-0.0580000000000001,1,1,1,1
"2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.842,1,0.996,1,0.526,1,0.978,0.996,1,1,1,1,0.99,1,1,1,-1,0.807,1,0.442,1,0,0.411,0.962,0.643,1,0.311,0.982,0.947,1,0.765,1,1,0.998,1,0.976,0.958,0.996,0.077
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.958,1,0.984,1,0.986,0.888,1,0.969,1,1,1,1,0.928,1,1,1,0.575,0.717,1,0.924,1,0.411,0,1,0.13,1,0.988,0.759,0.928,1,0.83,1,1,0.996,1,0.986,0.984,0.998,0.878
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",1,-1,1,-0.956,1,0.898,0.761,-0.897,-0.231,1,1,1,1,-0.99,1,1,1,0.998,0.978,1,0.97,1,0.962,1,0,0.956,1,-1,-0.842,-0.996,1,-1,1,1,-0.815,1,-0.886,-0.996,-0.212,0.992
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.893,1,0.8,1,0.632,1,0.546,0.869,1,1,1,1,0.964,1,1,1,0.754,-1,1,-0.894,1,0.643,0.13,0.956,0,1,0.976,0.894,0.946,1,0.913,1,1,0.719,1,-0.113,0.954,0.752,0.542
"1642.MS00570",0.802,1,0.994,1,0.992,1,1,1,1,0.846,0.27,0.966,0.632,1,0.332,0.508,0.988,1,1,-0.178,1,0.934,1,1,1,1,0,1,1,1,0.303,1,0.582,-0.556,1,-0.761,1,1,1,1
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",1,-1,1,-0.99,1,0.992,0.937,-0.887,-0.618,1,1,1,1,-0.954,1,1,1,0.719,0.994,1,0.977,1,0.311,0.988,-1,0.976,1,0,-0.797,-0.99,1,-1,1,1,-0.758,1,-0.844,-0.99,-0.297,0.958
