"","2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00623","1642.MS00517","1642.MS00514","1642.MS00357","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00540","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00422","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00521","1642.MS00418","1642.MS00461","1642.MS00419","1642.MS00522","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","1642.MS00636","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00501","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00369","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00491",1,1,-0.556,-0.483,0.331,0.901,1,1,0.268,1,1,-0.825,1,1,1,1,1,-0.856,1,0,0.903,0.071,0.569,-0.038,0.493,1,1,0.972,-0.567,1,-0.194,1,1,1,0.998,1,-0.831,1,-0.013,1
"1642.MS00521",1,1,-0.055,0.143,-0.013,0.972,1,1,-0.992,1,1,-0.146,1,1,1,1,1,-0.744,1,0.903,0,-0.313,-0.974,0.695,-0.87,1,1,0.998,0.0860000000000001,1,-0.781,1,1,1,1,1,-0.075,1,-0.78,1
"1642.MS00418",1,1,-0.29,-0.568,-0.384,-0.574,1,1,-0.804,1,1,-0.972,1,1,1,1,1,-0.756,1,0.071,-0.313,0,-0.405,-1,-0.914,1,1,-0.123,-0.561,1,-0.919,1,0.856,1,0.998,1,-0.519,1,-0.864,1
"1642.MS00461",1,1,-0.427,-0.657,-0.531,0.509,1,1,-0.894,1,1,-0.568,1,1,1,1,1,-0.706,1,0.569,-0.974,-0.405,0,0.678,-0.863,1,1,0.9,0.112,1,-0.927,1,0.98,1,0.998,1,-0.04,1,-0.996,1
"1642.MS00419",1,1,0.191,-0.384,-0.16,-0.446,1,1,-0.14,1,1,-0.708,1,1,1,1,1,-0.267,1,-0.038,0.695,-1,0.678,0,-0.547,1,1,0.0569999999999999,-0.373,1,-0.505,1,0.717,1,0.994,1,-0.093,1,-0.231,1
"1642.MS00522",1,1,-0.272,-0.934,-0.979,0.267,1,1,-0.946,1,1,-0.556,1,1,1,1,1,-0.819,1,0.493,-0.87,-0.914,-0.863,-0.547,0,1,1,0.266,-0.371,1,-1,1,0.747,1,0.97,1,-0.337,1,-0.998,1
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",0.988,0.79,1,1,1,1,0.998,1,1,1,0.924,1,1,1,0.968,1,1,1,0.43,1,1,1,1,1,1,0,0.414,1,1,1,1,1,1,-0.16,1,0.994,1,1,1,-0.056
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.959,0.381,1,1,1,1,0.944,0.988,1,0.359,0.859,1,0.937,1,0.507,0.804,0.932,1,-0.794,1,1,1,1,1,1,0.414,0,1,1,0.966,1,0.966,1,0.371,1,0.943,1,0.994,1,-1
"1642.MS00360",1,1,1,0.291,0.214,-1,1,1,0.972,1,1,0.459,1,1,1,1,1,0.943,1,0.972,0.998,-0.123,0.9,0.0569999999999999,0.266,1,1,0,0.986,1,-0.044,1,-1,1,-0.974,1,0.998,1,0.0589999999999999,1
"1642.MS00636",1,1,-0.972,-0.67,-0.391,0.878,1,1,-0.816,1,1,-0.704,1,1,1,1,1,-0.99,1,-0.567,0.0860000000000001,-0.561,0.112,-0.373,-0.371,1,1,0.986,0,1,-0.835,1,1,1,1,1,-0.958,1,-0.492,1
