"","2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00623","1642.MS00517","1642.MS00514","1642.MS00357","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00540","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00422","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00521","1642.MS00418","1642.MS00461","1642.MS00419","1642.MS00522","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","1642.MS00636","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00501","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00369","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.6056,0.8026,0.9354,0.9366,0.9434,0.9256,0.653,0.5496,0.936,0.5818,0.7628,0.9192,0.6444,0.955,0.8218,0.6098,0,0.929,0.812,0.9314,0.94,0.9302,0.9332,0.9362,0.9422,0.8806,0.7918,0.945,0.936,0.6222,0.9412,0.5778,0.9538,0.841,0.9384,0.7084,0.9272,0.6154,0.929,0.8042
"1642.MS00574",0.9468,0.8922,0.4612,0.512,0.5402,0.6192,0.9506,0.934,0.4638,0.9192,0.8982,0.468,0.9528,0.9822,0.884,0.9364,0.929,0,0.9058,0.5206,0.5336,0.5192,0.5336,0.5622,0.5278,0.8984,0.8858,0.6892,0.4806,0.9316,0.5018,0.9554,0.746,0.8902,0.8256,0.9442,0.4772,0.911,0.5114,0.888
"2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8676,0.6188,0.9084,0.919,0.93,0.9178,0.8782,0.8484,0.9172,0.7484,0.6356,0.8866,0.8768,0.9718,0.595,0.7674,0.812,0.9058,0,0.8888,0.9312,0.9102,0.9214,0.914,0.9248,0.6802,0.5764,0.9406,0.9112,0.8326,0.9192,0.8816,0.9488,0.5612,0.9644,0.891,0.8996,0.795,0.9202,0.5464
"1642.MS00491",0.9488,0.8768,0.5454,0.5586,0.618,0.6592,0.9548,0.9314,0.5968,0.9202,0.887,0.5202,0.9564,0.9854,0.8738,0.9354,0.9314,0.5206,0.8888,0,0.651,0.5796,0.6188,0.5826,0.614,0.8986,0.8898,0.7022,0.544,0.9372,0.5802,0.9554,0.759,0.8782,0.8024,0.9484,0.5226,0.8998,0.5808,0.8868
"1642.MS00521",0.9518,0.9326,0.5774,0.598,0.5978,0.6772,0.9602,0.9436,0.4828,0.9304,0.9326,0.572,0.9546,0.9846,0.9226,0.941,0.94,0.5336,0.9312,0.651,0,0.563,0.4936,0.6266,0.5244,0.9364,0.923,0.717,0.588,0.9414,0.5352,0.9566,0.7882,0.9278,0.8486,0.9508,0.5754,0.9228,0.5326,0.9212
"1642.MS00418",0.9458,0.9048,0.5544,0.5484,0.5722,0.5586,0.9564,0.9392,0.523,0.9148,0.9064,0.484,0.9568,0.985,0.8952,0.936,0.9302,0.5192,0.9102,0.5796,0.563,0,0.5576,0.469,0.5112,0.913,0.8962,0.6112,0.5404,0.9342,0.5108,0.9602,0.708,0.9054,0.7934,0.9538,0.5418,0.9282,0.5172,0.9006
"1642.MS00461",0.948,0.9176,0.5528,0.5466,0.5634,0.6254,0.9524,0.9394,0.5214,0.9274,0.9238,0.544,0.9562,0.9806,0.9102,0.9384,0.9332,0.5336,0.9214,0.6188,0.4936,0.5576,0,0.6252,0.5268,0.9286,0.9114,0.6838,0.5832,0.9352,0.5128,0.9558,0.7396,0.9184,0.8146,0.9476,0.5696,0.8968,0.4832,0.9138
"1642.MS00419",0.9524,0.9132,0.5874,0.563,0.5896,0.5672,0.9588,0.942,0.5736,0.9244,0.9088,0.5336,0.9598,0.9854,0.9044,0.9428,0.9362,0.5622,0.914,0.5826,0.6266,0.469,0.6252,0,0.5536,0.9248,0.9128,0.622,0.5566,0.944,0.5574,0.9608,0.699,0.914,0.7994,0.958,0.5702,0.9324,0.5702,0.9166
"1642.MS00522",0.9542,0.9174,0.5672,0.5106,0.5008,0.612,0.9626,0.947,0.5024,0.9278,0.923,0.5476,0.9594,0.9846,0.915,0.94,0.9422,0.5278,0.9248,0.614,0.5244,0.5112,0.5268,0.5536,0,0.9266,0.9166,0.6356,0.5562,0.936,0.4552,0.962,0.7028,0.9202,0.7746,0.9568,0.5628,0.8764,0.4746,0.9186
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8898,0.6992,0.9024,0.9156,0.931,0.9248,0.914,0.8876,0.9202,0.8622,0.7256,0.883,0.9054,0.966,0.7402,0.8612,0.8806,0.8984,0.6802,0.8986,0.9364,0.913,0.9286,0.9248,0.9266,0,0.6664,0.9428,0.9128,0.8772,0.9232,0.9132,0.9462,0.6476,0.9656,0.91,0.8956,0.8572,0.9156,0.6406
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8788,0.6352,0.8952,0.9006,0.9204,0.9056,0.8854,0.8406,0.9046,0.743,0.6888,0.87,0.8582,0.957,0.6598,0.7502,0.7918,0.8858,0.5764,0.8898,0.923,0.8962,0.9114,0.9128,0.9166,0.6664,0,0.933,0.9028,0.819,0.9096,0.8724,0.9388,0.6566,0.9584,0.8914,0.8882,0.8042,0.9054,0.4662
"1642.MS00360",0.9578,0.9344,0.7256,0.6392,0.6376,0.4192,0.9692,0.9556,0.6976,0.9428,0.9352,0.644,0.9646,0.9854,0.9264,0.9538,0.945,0.6892,0.9406,0.7022,0.717,0.6112,0.6838,0.622,0.6356,0.9428,0.933,0,0.7074,0.9474,0.6192,0.9712,0.5094,0.9326,0.574,0.9612,0.7152,0.8696,0.6242,0.935
