"","1642.MS00608","1642.MS00545","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00517","1642.MS00514","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00513","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00519","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00535","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00638","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00334","1642.MS00397","1642.MS00494","1642.MS00615","1642.MS00461","1642.MS00349","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00468","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00618","1642.MS00446","1642.MS00447"
"1642.MS00638",-0.413,-0.918,1,-0.884,-0.553,1,1,1,-0.722,1,1,-0.125,1,-0.948,1,-0.104,1,0.435,0,1,-0.331,1,0.938,-0.688,-0.547,-0.344,-0.438,0.992,1,-0.77,-0.87,1,-0.516,1,1,1,1,-0.585,-0.525,0.334
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.994,1,1,-0.958,0.978,0.972,1,-1,1,1,1,1,1,1,0.998,1,1,0,1,-0.00700000000000001,1,1,1,1,1,1,0.885,1,1,0.942,1,-1,-1,0.122,0.998,1,1,1
"1642.MS00581",-0.768,-0.679,1,-0.03,-0.45,1,1,1,-0.567,1,1,-0.439,1,-0.746,1,0.105,1,0.868,-0.331,1,0,1,0.962,-0.152,-0.552,-0.907,-0.392,1,1,-0.297,-0.619,1,-0.811,1,1,1,1,-0.155,-0.156,0.03
"2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,-0.61,0.986,0.316,1,-0.589,1,1,1,1,1,1,1,1,1,-0.00700000000000001,1,0,1,1,1,1,1,1,0.861,1,1,1,1,-0.217,0.559,-0.541,1,1,1,1
"1642.MS00334",1,-0.393,1,-0.347,-0.63,1,1,1,-0.76,1,1,-0.615,1,0.781,1,-0.103,1,1,0.938,1,0.962,1,0,-0.98,0.994,0.998,0.448,-0.661,1,-0.733,0.0780000000000001,1,-0.743,1,1,1,1,1,0.998,-0.135
"1642.MS00397",-0.091,-0.998,1,-1,-0.993,1,1,1,-1,1,1,-0.962,1,-0.926,1,-0.91,1,1,-0.688,1,-0.152,1,-0.98,0,-0.417,0.109,-0.354,0.028,1,-1,-0.99,1,-0.992,1,1,1,1,0.34,-0.653,-0.457
"1642.MS00494",-0.725,-0.571,1,-0.528,-0.165,1,1,1,-0.408,1,1,0.242,1,-0.94,1,-0.084,1,1,-0.547,1,-0.552,1,0.994,-0.417,0,-0.619,-0.145,1,1,-0.852,-0.431,1,-0.368,1,1,1,1,-0.294,-0.974,0.03
"1642.MS00615",-0.926,-0.406,1,0.171,0,1,1,1,-0.172,1,1,-0.146,1,-0.35,1,0.364,1,0.994,-0.344,1,-0.907,1,0.998,0.109,-0.619,0,-0.189,1,1,-0.133,-0.284,1,-0.254,1,1,1,1,-0.225,-0.251,0.126
"1642.MS00461",-0.022,-0.647,1,-0.629,-0.538,1,1,1,-0.988,1,1,-0.958,1,-0.907,1,-0.505,1,0.769,-0.438,1,-0.392,1,0.448,-0.354,-0.145,-0.189,0,0.998,1,-0.711,-0.652,1,-0.929,1,1,1,1,0.986,0.341,0.355
"1642.MS00349",1,0.874,1,0.754,0.904,1,1,1,0.739,1,1,0.958,1,0.998,1,0.723,1,1,0.992,1,1,1,-0.661,0.028,1,1,0.998,0,1,0.0169999999999999,0.862,1,0.874,1,1,1,1,1,1,0.99
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,-0.348,1,-0.605,1,0.772,0.927,1,1,1,1,1,1,1,1,0.885,1,0.861,1,1,1,1,1,1,0,1,1,0.998,1,0.809,0.849,0.988,1,1,1,1
"1642.MS00411",-0.65,-0.998,1,-0.996,-0.966,1,1,1,-0.999,1,1,-0.841,1,-0.998,1,-0.988,1,0.998,-0.77,1,-0.297,1,-0.733,-1,-0.852,-0.133,-0.711,0.0169999999999999,1,0,-0.996,1,-0.984,1,1,1,1,0.0109999999999999,-0.994,-0.795
"1642.MS00468",-0.498,-1,1,-0.998,-0.976,1,1,1,-0.996,1,1,-0.782,1,-0.99,1,-0.348,1,0.97,-0.87,1,-0.619,1,0.0780000000000001,-0.99,-0.431,-0.284,-0.652,0.862,1,-0.996,0,1,-0.966,1,1,1,1,-0.052,-0.365,0.126
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",1,1,-1,1,1,0.972,-1,0.996,1,0.998,-0.996,1,0.826,1,-0.952,1,-0.868,1,1,0.942,1,1,1,1,1,1,1,1,0.998,1,1,0,1,0.975,0.957,0.998,-0.998,1,1,1
"1642.MS00503",-0.127,-1,1,-0.998,-1,1,1,1,-1,1,1,-0.998,1,-0.843,1,-0.512,1,0.832,-0.516,1,-0.811,1,-0.743,-0.992,-0.368,-0.254,-0.929,0.874,1,-0.984,-0.966,1,0,1,1,1,1,0.752,0.034,0.116
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,-1,0.968,0.914,1,-0.868,1,1,1,1,0.992,1,1,1,1,-1,1,-0.217,1,1,1,1,1,1,0.809,1,1,0.975,1,0,-1,0.042,0.998,1,1,1
"2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,-0.905,0.984,1,1,-0.994,1,1,1,1,0.998,1,0.998,1,1,-1,1,0.559,1,1,1,1,1,1,0.849,1,1,0.957,1,-1,0,0.496,1,1,1,1
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,0.996,1,1,0.0640000000000001,0.983,1,1,-0.169,1,1,1,1,0.996,1,0.994,1,1,0.122,1,-0.541,1,1,1,1,1,1,0.988,1,1,0.998,1,0.042,0.496,0,1,1,1,1
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",1,1,-0.918,1,1,0.998,-1,1,1,0.998,-0.99,1,0.277,1,-0.984,1,-0.88,1,1,0.998,1,1,1,1,1,1,1,1,1,1,1,-0.998,1,0.998,1,1,0,1,1,1
"1642.MS00618",0.473,0.077,1,0.157,0.686,1,1,1,0.822,1,1,0.962,1,0.046,1,0.864,1,1,-0.585,1,-0.155,1,1,0.34,-0.294,-0.225,0.986,1,1,0.0109999999999999,-0.052,1,0.752,1,1,1,1,0,-0.919,0.286
"1642.MS00446",-0.472,-0.525,1,-0.908,-0.08,1,1,1,-0.276,1,1,0.679,1,-0.98,1,-0.309,1,1,-0.525,1,-0.156,1,0.998,-0.653,-0.974,-0.251,0.341,1,1,-0.994,-0.365,1,0.034,1,1,1,1,-0.919,0,-0.397
"1642.MS00447",0.0920000000000001,0.408,1,-0.028,-0.015,1,1,1,0.0980000000000001,1,1,-0.438,1,0.0169999999999999,1,-0.427,1,0.998,0.334,1,0.03,1,-0.135,-0.457,0.03,0.126,0.355,0.99,1,-0.795,0.126,1,0.116,1,1,1,1,0.286,-0.397,0
