"","1642.MS00608","1642.MS00545","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00517","1642.MS00514","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00513","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00519","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00535","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00638","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00334","1642.MS00397","1642.MS00494","1642.MS00615","1642.MS00461","1642.MS00349","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00468","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00618","1642.MS00446","1642.MS00447"
"2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences",0.967,0.9612,0.8412,0.9624,0.9656,0.8972,0.7904,0.9388,0.9612,0.9138,0.8022,0.9638,0.9076,0.9538,0.521,0.9564,0,0.9696,0.9616,0.892,0.964,0.93,0.9572,0.9544,0.9526,0.9616,0.9516,0.9736,0.9312,0.9568,0.9654,0.718,0.9652,0.8928,0.8892,0.8888,0.715,0.9754,0.9628,0.9734
"1642.MS00591",0.669,0.6496,0.9536,0.6468,0.6824,0.9146,0.9636,0.915,0.6626,0.9122,0.9466,0.6514,0.9342,0.6362,0.9612,0.6812,0.9696,0,0.6104,0.9182,0.6374,0.9034,0.7462,0.6872,0.6716,0.669,0.6352,0.8082,0.928,0.6856,0.6698,0.9474,0.6524,0.9164,0.9252,0.9144,0.9472,0.6822,0.6956,0.6898
"1642.MS00638",0.5518,0.5174,0.9466,0.5168,0.5554,0.8968,0.9552,0.8786,0.5436,0.9096,0.937,0.5884,0.9058,0.5042,0.953,0.5844,0.9616,0.6104,0,0.905,0.5518,0.8924,0.6798,0.5382,0.5342,0.5608,0.5534,0.723,0.9114,0.5236,0.5228,0.9432,0.5632,0.9024,0.9092,0.911,0.9412,0.5374,0.5422,0.5958
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9058,0.901,0.8536,0.903,0.9244,0.537,0.8898,0.7214,0.9136,0.5018,0.8672,0.9388,0.8706,0.8912,0.8994,0.9054,0.892,0.9182,0.905,0,0.914,0.6456,0.9406,0.91,0.8836,0.9034,0.9182,0.945,0.709,0.9024,0.9118,0.84,0.9112,0.4746,0.4238,0.6344,0.869,0.9092,0.8844,0.9366
"1642.MS00581",0.525,0.5378,0.951,0.5822,0.5648,0.9116,0.9592,0.899,0.5534,0.9186,0.9396,0.565,0.917,0.5288,0.948,0.5952,0.964,0.6374,0.5518,0.914,0,0.9102,0.688,0.5764,0.5342,0.5132,0.5518,0.772,0.9196,0.555,0.546,0.9468,0.534,0.9064,0.9196,0.9208,0.9432,0.5632,0.5664,0.5774
"2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9086,0.8956,0.8878,0.8996,0.9116,0.596,0.8942,0.6728,0.9124,0.6128,0.872,0.933,0.8626,0.8892,0.9196,0.898,0.93,0.9034,0.8924,0.6456,0.9102,0,0.93,0.8964,0.8784,0.8986,0.9096,0.9346,0.7136,0.891,0.9046,0.8824,0.91,0.6334,0.6744,0.6032,0.881,0.893,0.8762,0.923
"1642.MS00334",0.7188,0.5944,0.9552,0.6008,0.582,0.9356,0.965,0.9262,0.5668,0.9436,0.9502,0.5798,0.9262,0.6636,0.9548,0.6184,0.9572,0.7462,0.6798,0.9406,0.688,0.93,0,0.525,0.7074,0.7138,0.6438,0.6006,0.9422,0.5654,0.6272,0.9496,0.57,0.9312,0.943,0.9328,0.9502,0.7512,0.7166,0.615
"1642.MS00397",0.5836,0.4764,0.9418,0.475,0.5022,0.9082,0.958,0.8834,0.4616,0.911,0.9364,0.5118,0.9022,0.5186,0.9488,0.5262,0.9544,0.6872,0.5382,0.91,0.5764,0.8964,0.525,0,0.5528,0.597,0.5638,0.6384,0.9156,0.4302,0.498,0.941,0.4942,0.9014,0.911,0.9036,0.9312,0.6066,0.5414,0.559
"1642.MS00494",0.5282,0.5422,0.932,0.5464,0.581,0.876,0.9438,0.8608,0.5602,0.8914,0.9286,0.6002,0.8816,0.5026,0.9376,0.5786,0.9526,0.6716,0.5342,0.8836,0.5342,0.8784,0.7074,0.5528,0,0.5376,0.5672,0.7648,0.8954,0.5134,0.5536,0.9322,0.5692,0.8786,0.885,0.8894,0.927,0.5518,0.4872,0.5744
"1642.MS00615",0.5156,0.5642,0.9498,0.6028,0.5986,0.9016,0.9594,0.8858,0.5872,0.9116,0.9364,0.59,0.9052,0.5644,0.9564,0.6148,0.9616,0.669,0.5608,0.9034,0.5132,0.8986,0.7138,0.597,0.5376,0,0.5756,0.7844,0.9148,0.5786,0.578,0.943,0.5846,0.8986,0.914,0.9076,0.9368,0.5716,0.5688,0.5934
