"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00406","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00357","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00481","1642.MS00380","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00424","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00493","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","1642.MS00364","1642.MS00574","1642.MS00464","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00579","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences",-0.968,-0.976,1,1,1,0.998,1,-0.854,-0.813,-0.996,0.988,1,1,1,-1,1,-0.864,1,1,0,1,1,1,1,-0.996,1,-0.678,1,1,-0.956,-0.911,1,1,1,1,0.865,-0.804,1,-0.69,1
"1642.MS00613",1,1,0.998,1,1,1,1,1,1,1,1,1,-0.157,1,1,0.945,1,0.998,0.6,1,0,1,0.8,0.996,1,1,1,1,0.298,1,1,1,0.976,1,0.907,1,1,0.99,1,1
"1642.MS00364",1,1,0.964,1,-0.564,1,1,1,1,1,1,0.582,1,-0.337,1,0.934,1,1,0.996,1,1,0,0.994,0.995,1,1,1,1,0.99,1,1,1,0.99,1,1,1,1,0.886,1,1
"1642.MS00574",1,1,-0.531,1,0.688,1,1,1,1,1,1,0.988,-0.729,1,1,-0.803,1,0.87,-0.96,1,0.8,0.994,0,-0.676,1,1,1,1,-0.513,1,1,1,-0.38,1,-0.884,1,1,-0.328,1,1
"1642.MS00464",1,1,-0.47,1,0.738,1,1,1,1,1,1,0.968,0.022,0.998,1,-0.647,1,0.998,-0.818,1,0.996,0.995,-0.676,0,1,1,1,1,0.566,1,1,1,-0.015,1,-0.258,1,1,-0.158,1,1
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",-0.566,-0.343,1,1,1,1,1,0.236,-0.219,-1,0.998,1,1,1,-0.79,1,0.358,1,1,-0.996,1,1,1,1,0,1,0.56,1,1,-0.63,-0.218,1,1,1,1,0.994,0.546,1,-0.452,1
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",0.996,1,1,0.92,1,-0.217,0.1,1,0.996,1,-0.436,1,1,1,0.996,1,0.994,1,1,1,1,1,1,1,1,0,0.99,-0.259,1,1,0.99,-0.185,1,0.492,1,0.994,1,1,0.998,0.53
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",-0.792,-0.98,1,0.977,1,0.816,0.994,-0.998,-0.994,-0.351,-0.088,1,1,1,-0.996,1,-1,1,1,-0.678,1,1,1,1,0.56,0.99,0,0.996,1,-0.988,-1,0.974,1,0.966,1,-0.305,-0.947,1,0.661,0.95
"2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences",0.998,1,1,0.874,1,-0.885,-0.968,1,0.94,1,0.176,1,1,1,0.978,1,0.856,1,1,1,1,1,1,1,1,-0.259,0.996,0,1,0.992,0.925,-0.527,1,-0.277,1,0.996,1,1,0.998,0.531
"1642.MS00442",1,1,0.41,1,0.65,1,1,1,1,1,1,0.996,-0.828,1,1,-0.661,1,0.997,-0.653,1,0.298,0.99,-0.513,0.566,1,1,1,1,0,1,1,1,-0.65,1,0.33,1,1,-0.812,1,1
