"","1642.MS00608","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00546","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00450","1642.MS00452","1642.MS00539","1642.MS00453","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00537","1642.MS00466","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00527","1642.MS00331","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00522","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00342","1642.MS00578","1642.MS00412","1642.MS00399","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00499","1642.MS00446","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,1,1,1,1,1,0.994,1,1,0.993,1,1,1,1,1,1,0,1,1,0.916,1,1,0.839,0.999,0.987,0.955,1,1,1,1,1,1,1,1,0.934
"1642.MS00527",0.708,1,-0.647,1,-0.641,1,-0.215,-0.069,0.119,-0.182,0.373,1,1,0.649,1,0.646,1,-0.795,-0.936,1,-0.162,1,0,-0.282,1,0.044,-0.88,1,1,1,1,0.231,1,-0.609,0.564,-0.788,1,0.349,-0.43,1
"1642.MS00331",0.967,1,0.583,1,-0.617,1,0.58,0.61,0.656,0.746,0.946,1,1,0.998,1,0.93,1,-0.28,-0.812,1,0.582,1,-0.282,0,1,0.656,-0.103,1,1,1,1,0.612,0.754,-0.267,-0.148,-0.998,1,0.6,0.899,1
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.996,1,1,1,1,1,1,1,1,1,0.68,0.195,1,0.908,1,1,1,1,0.998,1,0.916,1,1,0,1,1,-0.567,0.197,1,0.284,1,1,1,1,1,0.956,1,1,-0.862
"1642.MS00462",-0.798,1,-0.585,1,-0.894,1,-0.998,-0.996,-0.971,-0.996,-0.932,1,1,0.316,1,-0.943,1,-0.424,-0.422,1,-1,1,0.044,0.656,1,0,-0.426,1,1,1,1,-0.82,1,0.934,-0.083,0.313,1,-0.99,-0.99,1
"1642.MS00522",-0.569,1,0.089,1,-0.829,1,-0.88,-0.465,-0.77,-0.435,-0.41,1,1,0.773,1,-0.119,1,-0.97,-0.929,1,-0.724,1,-0.88,-0.103,1,-0.426,0,1,1,1,1,-0.737,0.981,-0.822,0.0569999999999999,-0.969,1,-0.359,-0.119,1
"2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.97,1,1,1,0.99,1,1,1,1,1,0.265,0.962,1,0.982,1,1,1,1,0.9,1,0.839,1,1,-0.567,1,1,0,0.927,1,-0.98,1,1,1,1,1,0.973,1,1,-0.998
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",1,-1,1,-1,1,-0.986,1,1,1,1,1,1,-1,1,-0.984,1,-0.665,1,1,-0.978,1,0.999,1,1,0.197,1,1,0.927,0,-0.908,0.98,1,1,1,1,1,-0.915,1,1,0.848
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",1,-0.998,1,-1,1,-0.996,1,1,1,1,1,1,-0.452,1,-0.484,1,-0.681,1,1,-0.866,1,0.987,1,1,1,1,1,1,-0.908,0,0.998,1,1,1,1,1,-0.119,1,1,1
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.869,1,0.998,1,0.97,1,1,1,1,1,0.842,0.998,1,0.999,1,1,1,1,0.926,1,0.955,1,1,0.284,1,1,-0.98,0.98,0.998,0,1,1,1,1,1,0.998,1,1,-0.948
"1642.MS00550",-0.563,1,-0.147,1,-0.787,1,-0.639,-0.482,-0.949,-0.615,-0.787,1,1,0.478,1,-0.616,1,-0.854,-0.982,1,-0.992,1,0.231,0.612,1,-0.82,-0.737,1,1,1,1,0,0.996,-0.855,0.68,-0.0679999999999999,1,-0.986,0.257,1
"1642.MS00342",1,1,1,1,0.885,1,0.993,0.989,0.994,0.996,1,1,1,1,1,1,1,0.994,0.99,1,0.994,1,1,0.754,1,1,0.981,1,1,1,1,0.996,0,1,0.338,0.944,1,0.998,1,1
"1642.MS00578",0.645,1,0.906,1,0.246,1,0.858,0.98,0.618,0.98,0.623,1,1,0.987,1,0.941,1,-0.984,-0.965,1,0.315,1,-0.609,-0.267,1,0.934,-0.822,1,1,1,1,-0.855,1,0,0.998,-0.992,1,0.56,0.998,1
"1642.MS00412",0.397,1,0.781,1,-0.712,1,-0.444,-0.497,-0.54,0.097,0.469,1,1,0.952,1,0.691,1,0.345,0.324,1,-0.119,1,0.564,-0.148,1,-0.083,0.0569999999999999,1,1,1,1,0.68,0.338,0.998,0,-0.406,1,0.044,-0.299,1
"1642.MS00399",0.492,1,0.501,1,-0.64,1,-0.56,0.43,-0.181,0.757,0.624,1,1,0.992,1,0.549,1,-0.774,-0.946,1,-0.013,1,-0.788,-0.998,1,0.313,-0.969,1,1,1,1,-0.0679999999999999,0.944,-0.992,-0.406,0,1,0.34,0.853,1
"2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences",1,-0.782,1,-0.214,1,-0.99,1,1,1,1,1,0.998,-1,1,-1,1,0.98,1,1,-1,1,1,1,1,0.956,1,1,0.973,-0.915,-0.119,0.998,1,1,1,1,1,0,1,1,0.87
"1642.MS00499",-0.749,1,-0.528,1,-0.932,1,-0.914,-0.992,-0.974,-0.842,-0.972,1,1,0.284,1,-0.882,1,-0.754,-0.947,1,-0.99,1,0.349,0.6,1,-0.99,-0.359,1,1,1,1,-0.986,0.998,0.56,0.044,0.34,1,0,-0.886,1
"1642.MS00446",-0.38,1,-0.799,1,-0.913,1,-0.998,-0.998,-0.884,-0.998,-0.924,1,1,0.55,1,-0.805,1,0.358,0.077,1,-0.964,1,-0.43,0.899,1,-0.99,-0.119,1,1,1,1,0.257,1,0.998,-0.299,0.853,1,-0.886,0,1
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.95,1,1,1,0.978,1,1,1,1,1,0.629,0.86,1,0.688,1,1,1,1,0.888,1,0.934,1,1,-0.862,1,1,-0.998,0.848,1,-0.948,1,1,1,1,1,0.87,1,1,0
