"","1642.MS00608","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00546","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00450","1642.MS00452","1642.MS00539","1642.MS00453","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00537","1642.MS00466","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00527","1642.MS00331","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00522","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00342","1642.MS00578","1642.MS00412","1642.MS00399","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00499","1642.MS00446","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00595",0.561,0.8776,0.6298,0.9298,0.5616,0.9238,0.5986,0.57,0.565,0.58,0.5722,0.9106,0.8954,0,0.9174,0.5928,0.8884,0.5906,0.6196,0.914,0.5652,0.886,0.6056,0.6716,0.9136,0.568,0.6106,0.9,0.8998,0.9444,0.898,0.589,0.7538,0.66,0.6188,0.658,0.9534,0.5698,0.587,0.9042
"2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences",0.9506,0.7344,0.9376,0.8212,0.938,0.7066,0.9404,0.936,0.9372,0.9382,0.9406,0.895,0.5268,0.9174,0,0.933,0.7284,0.9398,0.9436,0.6174,0.9326,0.8888,0.958,0.9276,0.8658,0.9274,0.9482,0.8782,0.675,0.8078,0.8934,0.9318,0.965,0.959,0.947,0.9482,0.539,0.9304,0.9416,0.8498
"1642.MS00536",0.5258,0.905,0.5516,0.9438,0.53,0.9396,0.5016,0.5124,0.4848,0.5292,0.4902,0.9028,0.9128,0.5928,0.933,0,0.8926,0.552,0.565,0.93,0.4842,0.8658,0.6018,0.6426,0.898,0.4912,0.56,0.8912,0.9178,0.9362,0.8982,0.5308,0.7576,0.642,0.586,0.6046,0.9512,0.505,0.5142,0.892
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",0.923,0.6666,0.9178,0.713,0.891,0.868,0.9096,0.8998,0.9042,0.9054,0.9094,0.9006,0.7706,0.8884,0.7284,0.8926,0,0.9142,0.9092,0.853,0.9028,0.871,0.939,0.8896,0.8768,0.8884,0.9226,0.8862,0.7084,0.7816,0.8928,0.8944,0.937,0.9354,0.9164,0.9202,0.8868,0.8968,0.9108,0.8826
"1642.MS00537",0.556,0.9184,0.5368,0.9568,0.491,0.9424,0.5426,0.556,0.5008,0.5496,0.5162,0.9178,0.922,0.5906,0.9398,0.552,0.9142,0,0.4992,0.939,0.4716,0.896,0.528,0.574,0.9156,0.5414,0.494,0.9054,0.9212,0.9496,0.911,0.5172,0.7366,0.5012,0.5758,0.5346,0.9594,0.521,0.5822,0.9086
"1642.MS00466",0.591,0.9198,0.5314,0.9552,0.515,0.9472,0.5584,0.5538,0.5536,0.5708,0.5606,0.9136,0.9248,0.6196,0.9436,0.565,0.9092,0.4992,0,0.9402,0.5304,0.8944,0.5226,0.5504,0.9166,0.5578,0.524,0.9112,0.9298,0.9442,0.9138,0.5066,0.7364,0.5242,0.5956,0.5216,0.9588,0.5144,0.585,0.9134
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",0.9504,0.5904,0.939,0.7426,0.9378,0.4702,0.937,0.9398,0.9396,0.9382,0.94,0.8632,0.5896,0.914,0.6174,0.93,0.853,0.939,0.9402,0,0.935,0.8838,0.957,0.9344,0.8448,0.9302,0.9442,0.8096,0.6348,0.743,0.8092,0.9352,0.957,0.9576,0.9472,0.9484,0.5406,0.9264,0.9398,0.8058
"1642.MS00574",0.4948,0.9136,0.4978,0.9558,0.4958,0.945,0.4854,0.4784,0.4516,0.4848,0.4538,0.8978,0.914,0.5652,0.9326,0.4842,0.9028,0.4716,0.5304,0.935,0,0.8588,0.5636,0.6118,0.892,0.467,0.5278,0.8812,0.9238,0.9426,0.8912,0.4886,0.731,0.5988,0.5488,0.5764,0.9516,0.4766,0.4904,0.8886
"2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences",0.8822,0.8372,0.8582,0.9428,0.8654,0.9208,0.8744,0.85,0.869,0.8728,0.856,0.7156,0.8286,0.886,0.8888,0.8658,0.871,0.896,0.8944,0.8838,0.8588,0,0.9184,0.9026,0.7058,0.8472,0.9062,0.6782,0.8404,0.8932,0.6852,0.8842,0.9168,0.9318,0.883,0.913,0.9114,0.8612,0.8582,0.6972
"1642.MS00527",0.6108,0.9394,0.5438,0.9728,0.5398,0.9628,0.565,0.5754,0.5738,0.5704,0.5898,0.9352,0.938,0.6056,0.958,0.6018,0.939,0.528,0.5226,0.957,0.5636,0.9184,0,0.5776,0.9352,0.5688,0.52,0.9236,0.9472,0.9694,0.9312,0.5848,0.7508,0.5582,0.593,0.5394,0.9726,0.583,0.5506,0.922
