"","1642.MS00608","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00622","1642.MS00488","1642.MS00598","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00625","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00421","1642.MS00605","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00526","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","1642.MS00366","1642.MS00524","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","1642.MS00494","1642.MS00615","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00332","1642.MS00341","2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00440","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00618","1642.MS00499","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00366",0.786,0.9472,0.8042,0.7734,0.8116,0.9608,0.8064,0.9628,0.9794,0.9764,0.6764,0.7984,0.955,0.594,0.7764,0.9578,0.9532,0.9708,0.7688,0,0.786,0.972,0.6704,0.7882,0.801,0.9684,0.9666,0.9418,0.4832,0.5992,0.9606,0.953,0.6836,0.9742,0.7168,0.98,0.8176,0.7702,0.9428,0.9486
"1642.MS00524",0.5654,0.8866,0.4962,0.5312,0.5164,0.938,0.4708,0.9316,0.9522,0.9602,0.5508,0.5524,0.8864,0.7074,0.4928,0.8978,0.8876,0.946,0.4994,0.786,0,0.9546,0.5684,0.5164,0.5452,0.9526,0.9584,0.8758,0.7564,0.6798,0.929,0.8942,0.541,0.956,0.5338,0.9634,0.4636,0.5296,0.8816,0.8706
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.9588,0.847,0.9498,0.9474,0.9534,0.6844,0.9462,0.7524,0.6324,0.6218,0.9494,0.9536,0.8526,0.9542,0.9446,0.8482,0.8932,0.4662,0.9462,0.972,0.9546,0,0.951,0.9382,0.9512,0.5946,0.8492,0.8726,0.9718,0.9566,0.7892,0.8468,0.939,0.5654,0.9548,0.7118,0.963,0.9376,0.9198,0.9134
"1642.MS00577",0.548,0.9074,0.561,0.56,0.5634,0.934,0.5626,0.9218,0.952,0.9574,0.5274,0.5484,0.9018,0.6746,0.5344,0.9144,0.903,0.9454,0.4956,0.6704,0.5684,0.951,0,0.5472,0.5704,0.949,0.951,0.8888,0.6462,0.661,0.9194,0.9096,0.5212,0.9524,0.5708,0.9602,0.608,0.5428,0.8884,0.8992
"1642.MS00494",0.5282,0.8758,0.4764,0.5146,0.503,0.9182,0.4928,0.9062,0.9382,0.9464,0.525,0.5374,0.8708,0.7004,0.4948,0.8836,0.8706,0.9282,0.4796,0.7882,0.5164,0.9382,0.5472,0,0.5376,0.9366,0.9484,0.8558,0.7752,0.677,0.9058,0.8786,0.5214,0.9386,0.5112,0.9524,0.5518,0.4828,0.8562,0.862
"1642.MS00615",0.5156,0.8986,0.5402,0.55,0.5022,0.9302,0.5488,0.931,0.9502,0.9532,0.5972,0.5254,0.895,0.7142,0.5302,0.9034,0.8944,0.942,0.5344,0.801,0.5452,0.9512,0.5704,0.5376,0,0.9452,0.9454,0.8786,0.789,0.7126,0.9208,0.8986,0.5534,0.952,0.572,0.9618,0.5716,0.5558,0.8946,0.8896
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.9552,0.823,0.9462,0.9512,0.9534,0.5592,0.9442,0.7934,0.7478,0.7024,0.9462,0.949,0.8588,0.9478,0.9468,0.852,0.9036,0.5926,0.9414,0.9684,0.9526,0.5946,0.949,0.9366,0.9452,0,0.7874,0.8636,0.9662,0.9502,0.8304,0.843,0.937,0.6722,0.9518,0.7536,0.9598,0.936,0.926,0.9248
"2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences",0.9556,0.9,0.9534,0.9628,0.9446,0.7758,0.9534,0.8074,0.9014,0.8604,0.9472,0.9502,0.925,0.943,0.9516,0.931,0.9374,0.8258,0.9462,0.9666,0.9584,0.8492,0.951,0.9484,0.9454,0.7874,0,0.904,0.9616,0.9524,0.7976,0.928,0.9408,0.756,0.9566,0.8774,0.9698,0.9404,0.9214,0.9232
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8846,0.6784,0.856,0.8942,0.8808,0.8274,0.8632,0.8244,0.884,0.8912,0.8586,0.8778,0.666,0.9,0.873,0.6656,0.5464,0.85,0.8576,0.9418,0.8758,0.8726,0.8888,0.8558,0.8786,0.8636,0.904,0,0.9358,0.895,0.8106,0.6434,0.8684,0.9012,0.885,0.8982,0.8894,0.8598,0.6724,0.7152
"1642.MS00332",0.7636,0.9444,0.7934,0.7526,0.797,0.959,0.7914,0.951,0.9728,0.9706,0.6424,0.7716,0.9496,0.6228,0.7538,0.9564,0.943,0.963,0.7484,0.4832,0.7564,0.9718,0.6462,0.7752,0.789,0.9662,0.9616,0.9358,0,0.6348,0.9502,0.9496,0.6574,0.9648,0.68,0.973,0.8,0.7572,0.932,0.946
"1642.MS00341",0.6768,0.911,0.6728,0.6952,0.6908,0.9364,0.6796,0.9332,0.9566,0.9582,0.5844,0.6794,0.9116,0.5256,0.67,0.9226,0.911,0.9452,0.6466,0.5992,0.6798,0.9566,0.661,0.677,0.7126,0.9502,0.9524,0.895,0.6348,0,0.931,0.9178,0.6092,0.9546,0.635,0.9618,0.7128,0.6524,0.9002,0.8992
"2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences",0.9324,0.868,0.9182,0.9234,0.9244,0.8752,0.913,0.4572,0.7802,0.752,0.9124,0.9266,0.865,0.9316,0.9238,0.8822,0.8206,0.7558,0.9122,0.9606,0.929,0.7892,0.9194,0.9058,0.9208,0.8304,0.7976,0.8106,0.9502,0.931,0,0.8846,0.9094,0.718,0.9232,0.7548,0.9412,0.9066,0.7846,0.8642
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9074,0.634,0.878,0.9146,0.897,0.7584,0.8788,0.8794,0.8732,0.8904,0.8896,0.8962,0.5228,0.922,0.8938,0.4746,0.71,0.8116,0.8848,0.953,0.8942,0.8468,0.9096,0.8786,0.8986,0.843,0.928,0.6434,0.9496,0.9178,0.8846,0,0.8978,0.8868,0.9072,0.9026,0.9062,0.8776,0.809,0.7528
"1642.MS00440",0.549,0.884,0.544,0.5166,0.5556,0.9188,0.5466,0.915,0.944,0.9472,0.4598,0.5614,0.8878,0.6014,0.491,0.9006,0.8886,0.9344,0.499,0.6836,0.541,0.939,0.5212,0.5214,0.5534,0.937,0.9408,0.8684,0.6574,0.6092,0.9094,0.8978,0,0.9412,0.4938,0.9582,0.6056,0.5012,0.8718,0.877
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",0.9556,0.8878,0.9476,0.9528,0.9542,0.7832,0.9436,0.6098,0.6386,0.5692,0.9468,0.954,0.8794,0.9542,0.9496,0.8884,0.9148,0.523,0.9442,0.9742,0.956,0.5654,0.9524,0.9386,0.952,0.6722,0.756,0.9012,0.9648,0.9546,0.718,0.8868,0.9412,0,0.957,0.555,0.9658,0.937,0.9142,0.8972
"1642.MS00445",0.5384,0.9028,0.5414,0.4976,0.5484,0.9374,0.5512,0.9304,0.9576,0.9626,0.5222,0.552,0.9,0.6404,0.5042,0.9112,0.8976,0.9476,0.5248,0.7168,0.5338,0.9548,0.5708,0.5112,0.572,0.9518,0.9566,0.885,0.68,0.635,0.9232,0.9072,0.4938,0.957,0,0.9666,0.581,0.5302,0.88,0.8916
"2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences",0.9666,0.8972,0.9602,0.9622,0.9602,0.8222,0.958,0.6724,0.5838,0.4528,0.9578,0.9616,0.8956,0.9642,0.9612,0.9084,0.9004,0.6154,0.9574,0.98,0.9634,0.7118,0.9602,0.9524,0.9618,0.7536,0.8774,0.8982,0.973,0.9618,0.7548,0.9026,0.9582,0.555,0.9666,0,0.9696,0.95,0.9318,0.932
"1642.MS00618",0.6096,0.8972,0.5066,0.5632,0.5372,0.944,0.484,0.9444,0.9596,0.9686,0.6062,0.5874,0.9006,0.746,0.539,0.9092,0.8912,0.953,0.5368,0.8176,0.4636,0.963,0.608,0.5518,0.5716,0.9598,0.9698,0.8894,0.8,0.7128,0.9412,0.9062,0.6056,0.9658,0.581,0.9696,0,0.5856,0.8898,0.8826
"1642.MS00499",0.5212,0.879,0.4986,0.5154,0.5128,0.9208,0.5166,0.9092,0.9412,0.9472,0.506,0.5342,0.8718,0.6798,0.485,0.8854,0.8758,0.9264,0.4766,0.7702,0.5296,0.9376,0.5428,0.4828,0.5558,0.936,0.9404,0.8598,0.7572,0.6524,0.9066,0.8776,0.5012,0.937,0.5302,0.95,0.5856,0,0.8662,0.8602
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8888,0.7934,0.8574,0.8918,0.8848,0.9048,0.8604,0.835,0.9168,0.9206,0.8612,0.89,0.7704,0.9062,0.881,0.8146,0.6562,0.9074,0.8658,0.9428,0.8816,0.9198,0.8884,0.8562,0.8946,0.926,0.9214,0.6724,0.932,0.9002,0.7846,0.809,0.8718,0.9142,0.88,0.9318,0.8898,0.8662,0,0.7516
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",0.8762,0.7468,0.8464,0.9014,0.8746,0.8736,0.8504,0.8924,0.9102,0.931,0.8594,0.8844,0.6894,0.9168,0.8806,0.7364,0.697,0.9022,0.8594,0.9486,0.8706,0.9134,0.8992,0.862,0.8896,0.9248,0.9232,0.7152,0.946,0.8992,0.8642,0.7528,0.877,0.8972,0.8916,0.932,0.8826,0.8602,0.7516,0
