"","1642.MS00516","1642.MS00407","1642.MS00620","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00510","1642.MS00626","1642.MS00478","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00385","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00473","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00383","1642.MS00567","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00612","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00464","1642.MS00433","1642.MS00431","1642.MS00496","1642.MS00509","1642.MS00442","1642.MS00338","1642.MS00503","1642.MS00438","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444","1642.MS00618","1642.MS00498","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00633"
"1642.MS00496",0.4654,0.4738,0.5254,0.8858,0.9258,0.5014,0.5566,0.5062,0.9126,0.4758,0.5098,0.933,0.4748,0.9476,0.9498,0.5544,0.4872,0.9546,0.8476,0.5622,0.5152,0.9266,0.5126,0.9168,0.501,0.5292,0.51,0,0.5336,0.5294,0.6914,0.5264,0.5206,0.9172,0.9192,0.5076,0.565,0.4844,0.8874,0.5414
"1642.MS00509",0.5332,0.5662,0.6228,0.9394,0.9496,0.3882,0.6666,0.5184,0.9452,0.5938,0.6064,0.956,0.6154,0.9648,0.9668,0.6052,0.4668,0.969,0.9054,0.696,0.6236,0.9504,0.5368,0.9478,0.5934,0.655,0.4922,0.5336,0,0.607,0.557,0.4326,0.473,0.9456,0.9516,0.5168,0.6662,0.4878,0.9392,0.5922
"1642.MS00442",0.528,0.5188,0.5536,0.9148,0.9414,0.5602,0.5582,0.5944,0.9306,0.5138,0.5628,0.9462,0.5052,0.962,0.9646,0.5584,0.5804,0.9706,0.8848,0.584,0.4852,0.9442,0.6344,0.9344,0.5892,0.4898,0.4964,0.5294,0.607,0,0.6804,0.593,0.5192,0.9352,0.9354,0.505,0.5064,0.5614,0.9114,0.6064
"1642.MS00338",0.674,0.6436,0.75,0.9448,0.953,0.578,0.7542,0.6826,0.9436,0.7268,0.5968,0.9538,0.707,0.9626,0.965,0.5578,0.6566,0.9618,0.9278,0.764,0.7442,0.9496,0.6906,0.9408,0.6928,0.7094,0.5318,0.6914,0.557,0.6804,0,0.5622,0.5456,0.9404,0.9522,0.6016,0.7666,0.63,0.9442,0.7456
"1642.MS00503",0.5086,0.5126,0.6166,0.9088,0.9354,0.441,0.6232,0.5436,0.9352,0.586,0.5822,0.9464,0.5532,0.9584,0.9576,0.579,0.4674,0.9652,0.8846,0.635,0.5806,0.942,0.5022,0.9334,0.5464,0.6086,0.4438,0.5264,0.4326,0.593,0.5622,0,0.4574,0.9298,0.9396,0.5444,0.6392,0.4888,0.9136,0.5734
"1642.MS00438",0.5164,0.5116,0.5846,0.9188,0.9386,0.4604,0.6188,0.555,0.9262,0.5668,0.545,0.9442,0.5414,0.9592,0.96,0.5622,0.5202,0.9664,0.892,0.6336,0.557,0.9416,0.583,0.932,0.5642,0.5474,0.4004,0.5206,0.473,0.5192,0.5456,0.4574,0,0.9354,0.9394,0.4644,0.5898,0.5126,0.9168,0.6128
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",0.9332,0.9134,0.9312,0.7206,0.6534,0.936,0.9288,0.93,0.5564,0.9348,0.9128,0.707,0.9226,0.6588,0.7638,0.914,0.9248,0.708,0.8086,0.9192,0.934,0.6362,0.917,0.6056,0.9162,0.924,0.9282,0.9172,0.9456,0.9352,0.9404,0.9298,0.9354,0,0.7128,0.942,0.9422,0.9266,0.7222,0.9264
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.94,0.925,0.9328,0.8328,0.6818,0.938,0.9252,0.9358,0.642,0.9338,0.9212,0.6034,0.9224,0.5598,0.6964,0.9224,0.9324,0.8086,0.8454,0.9196,0.9352,0.6098,0.9258,0.6652,0.9252,0.926,0.9336,0.9192,0.9516,0.9354,0.9522,0.9396,0.9394,0.7128,0,0.9436,0.9386,0.9314,0.8362,0.932
"1642.MS00444",0.51,0.5288,0.565,0.9282,0.9452,0.489,0.6244,0.5272,0.934,0.5422,0.5436,0.9488,0.5566,0.9632,0.9608,0.5612,0.5174,0.9718,0.8996,0.6546,0.569,0.9438,0.5878,0.94,0.5616,0.564,0.493,0.5076,0.5168,0.505,0.6016,0.5444,0.4644,0.942,0.9436,0,0.6064,0.5064,0.9304,0.6102
"1642.MS00618",0.5508,0.5926,0.5434,0.9138,0.944,0.6152,0.4852,0.6308,0.936,0.538,0.6466,0.949,0.5308,0.9666,0.9646,0.656,0.6146,0.9754,0.883,0.5398,0.4578,0.9456,0.6786,0.938,0.6078,0.5406,0.5796,0.565,0.6662,0.5064,0.7666,0.6392,0.5898,0.9422,0.9386,0.6064,0,0.6236,0.9116,0.5714
"1642.MS00498",0.476,0.4926,0.5854,0.9028,0.927,0.4654,0.6102,0.5006,0.9224,0.5564,0.531,0.9426,0.5308,0.9488,0.9528,0.5644,0.4564,0.9556,0.8812,0.6178,0.5578,0.9334,0.503,0.9208,0.5314,0.5892,0.4988,0.4844,0.4878,0.5614,0.63,0.4888,0.5126,0.9266,0.9314,0.5064,0.6236,0,0.9078,0.5566
"2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences",0.912,0.8856,0.8944,0.4896,0.7408,0.9256,0.8916,0.9238,0.7324,0.8988,0.8892,0.8422,0.8914,0.8488,0.8842,0.8944,0.9146,0.8618,0.7024,0.8794,0.9106,0.7938,0.911,0.7112,0.8968,0.879,0.9052,0.8874,0.9392,0.9114,0.9442,0.9136,0.9168,0.7222,0.8362,0.9304,0.9116,0.9078,0,0.9172
"1642.MS00633",0.5448,0.5784,0.5582,0.9074,0.9228,0.5516,0.5822,0.5274,0.934,0.5554,0.6326,0.9436,0.57,0.9524,0.9578,0.6298,0.522,0.955,0.8872,0.6054,0.536,0.9342,0.5674,0.919,0.5838,0.6166,0.621,0.5414,0.5922,0.6064,0.7456,0.5734,0.6128,0.9264,0.932,0.6102,0.5714,0.5566,0.9172,0
