"","1642.MS00516","1642.MS00407","1642.MS00620","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00510","1642.MS00626","1642.MS00478","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00385","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00473","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00383","1642.MS00567","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00612","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00464","1642.MS00433","1642.MS00431","1642.MS00496","1642.MS00509","1642.MS00442","1642.MS00338","1642.MS00503","1642.MS00438","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444","1642.MS00618","1642.MS00498","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00633"
"1642.MS00465",-0.36,-0.791,0.988,1,1,-0.921,0.99,-0.834,1,0.709,0.245,1,0.0620000000000001,1,1,0.532,-0.99,1,1,0.996,0.884,1,0,1,-0.375,0.916,-0.081,-0.859,-0.768,0.952,0.966,-0.972,0.0549999999999999,1,1,0.105,1,-0.948,1,-0.12
"2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,0.948,-1,1,1,1,-0.884,1,1,-0.612,1,-0.998,-0.416,1,1,-0.998,1,1,1,-0.73,1,0,1,1,1,1,1,1,1,1,1,-0.872,-0.863,1,1,1,0.876,1
"1642.MS00464",-0.644,-0.743,0.392,1,1,-0.322,0.102,0.145,1,-0.461,-0.208,1,-0.525,1,1,0.474,-0.642,1,1,0.614,0.475,1,-0.375,1,0,0.283,-0.582,-0.856,0.138,0.652,0.984,-0.465,0.016,1,1,-0.11,0.874,-0.467,1,0.442
"1642.MS00433",-0.141,-0.922,0.258,1,1,0.542,0.077,0.893,1,-0.752,-0.092,1,-0.794,1,1,-0.168,0.334,1,1,-0.526,-0.473,1,0.916,1,0.283,0,-0.703,-0.518,0.968,-0.932,0.998,0.535,-0.363,1,1,-0.157,-0.33,0.474,1,0.861
"1642.MS00431",-0.93,-0.998,0.353,1,1,-1,0.533,0.0569999999999999,1,-0.417,-0.809,1,-0.942,1,1,-0.587,-0.862,1,1,0.682,-0.364,1,-0.081,1,-0.582,-0.703,0,-0.848,-0.998,-0.952,-0.95,-1,-1,1,1,-0.985,0.235,-0.957,1,0.865
"1642.MS00496",-0.998,-0.992,-0.471,1,1,-0.934,0.0940000000000001,-0.818,1,-0.986,-0.804,1,-0.984,1,1,-0.0600000000000001,-0.97,1,1,0.271,-0.65,1,-0.859,1,-0.856,-0.518,-0.848,0,-0.776,-0.426,0.984,-0.765,-0.649,1,1,-0.89,0.135,-0.97,1,-0.321
"1642.MS00509",-0.801,-0.323,0.697,1,1,-1,0.994,-0.926,1,0.0960000000000001,0.307,1,0.552,1,1,0.304,-1,1,1,1,0.689,1,-0.768,1,0.138,0.968,-0.998,-0.776,0,0.378,-0.836,-1,-1,1,1,-0.954,0.996,-0.998,1,0.048
"1642.MS00442",-0.425,-0.65,-0.048,1,1,-0.184,0.11,0.636,1,-0.734,-0.034,1,-0.788,1,1,-0.016,0.178,1,1,0.645,-0.955,1,0.952,1,0.652,-0.932,-0.952,-0.426,0.378,0,0.954,0.289,-0.676,1,1,-0.908,-0.801,0.05,1,0.825
"1642.MS00338",0.92,0.558,1,1,1,-0.634,1,0.962,1,0.998,-0.3,1,1,1,1,-0.758,0.68,1,1,1,1,1,0.966,1,0.984,0.998,-0.95,0.984,-0.836,0.954,0,-0.74,-0.878,1,1,-0.226,1,0.247,1,1
"1642.MS00503",-0.909,-0.894,0.745,1,1,-1,0.847,-0.555,1,0.111,0.018,1,-0.344,1,1,0.0329999999999999,-1,1,1,0.962,0.0660000000000001,1,-0.972,1,-0.465,0.535,-1,-0.765,-1,0.289,-0.74,0,-1,1,1,-0.598,0.944,-0.985,1,-0.102
"1642.MS00438",-0.731,-0.858,0.367,1,1,-1,0.91,-0.258,1,-0.004,-0.352,1,-0.395,1,1,-0.086,-0.84,1,1,0.983,-0.098,1,0.0549999999999999,1,0.016,-0.363,-1,-0.649,-1,-0.676,-0.878,-1,0,1,1,-0.998,0.43,-0.828,1,0.793
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.641,-0.67,1,1,1,-1,1,1,-0.688,1,-0.958,-0.672,1,1,-0.89,1,1,1,-0.852,1,-0.872,1,1,1,1,1,1,1,1,1,0,-0.605,1,1,1,0.683,1
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,0.998,-0.771,1,1,1,-0.932,1,1,-0.992,1,-1,-0.912,1,1,-0.051,1,1,1,-0.986,1,-0.863,1,1,1,1,1,1,1,1,1,-0.605,0,1,1,1,1,1
"1642.MS00444",-0.854,-0.713,-0.078,1,1,-0.992,0.92,-0.76,1,-0.453,-0.471,1,-0.189,1,1,-0.176,-0.855,1,1,0.994,0.0449999999999999,1,0.105,1,-0.11,-0.157,-0.985,-0.89,-0.954,-0.908,-0.226,-0.598,-0.998,1,1,0,0.655,-0.902,1,0.652
"1642.MS00618",-0.043,0.596,-0.228,1,1,0.782,-0.934,0.98,1,-0.324,0.996,1,-0.374,1,1,0.998,0.787,1,1,-0.139,-1,1,1,1,0.874,-0.33,0.235,0.135,0.996,-0.801,1,0.944,0.43,1,1,0.655,0,0.95,1,0.223
"1642.MS00498",-0.992,-0.936,0.519,1,1,-1,0.897,-0.911,1,-0.083,-0.553,1,-0.49,1,1,0.014,-1,1,1,0.938,0.0229999999999999,1,-0.948,1,-0.467,0.474,-0.957,-0.97,-0.998,0.05,0.247,-0.985,-0.828,1,1,-0.902,0.95,0,1,-0.103
"2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,-0.998,0.986,1,1,1,0.447,1,1,1,1,0.956,0.99,1,1,0.952,0.996,1,1,0.992,1,0.876,1,1,1,1,1,1,1,1,1,0.683,1,1,1,1,0,1
"1642.MS00633",-0.168,0.313,0.018,1,1,-0.386,0.438,-0.58,1,-0.086,0.97,1,0.19,1,1,0.961,-0.747,1,1,0.865,-0.353,1,-0.12,1,0.442,0.861,0.865,-0.321,0.048,0.825,1,-0.102,0.793,1,1,0.652,0.223,-0.103,1,0
