"","1642.MS00608","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00609","1642.MS00389","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00387","1642.MS00605","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00601","1642.MS00565","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","1642.MS00493","1642.MS00366","1642.MS00524","1642.MS00582","1642.MS00464","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00551","1642.MS00342","1642.MS00634","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00589","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00414","1642.MS00554"
"1642.MS00464",-0.105,1,1,-0.218,0.168,1,1,1,1,1,0.994,-0.51,0.299,1,-0.144,0.38,-0.627,1,0.904,-0.936,0.992,0.444,0.37,0,1,0.886,0.219,1,-0.286,0.113,0.996,1,1,1,1,0.976,1,1,0.188,0.244
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",1,-1,-1,1,1,-0.994,-1,-0.996,1,0.976,1,1,1,1,1,1,1,-0.994,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,0.994,-1,-0.992,1,-1,-1,1,1
"1642.MS00448",0.195,1,1,0.223,0.269,1,1,1,1,1,1,0.197,0.402,1,-0.474,0.611,0.743,1,0.079,-0.298,0.93,-0.021,-0.348,0.886,1,0,1,1,0.198,0.992,0.99,1,1,1,1,0.404,1,1,-0.615,0.144
"1642.MS00570",0.949,1,1,0.996,-0.407,1,1,1,1,1,1,0.998,0.99,1,0.73,0.972,-0.648,1,0.756,0.925,-0.52,1,0.976,0.219,1,1,0,1,0.995,1,1,1,1,1,1,1,1,1,1,0.704
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",1,-0.808,-0.972,1,1,-0.538,-0.994,-0.898,0.983,0.997,1,1,1,1,1,1,1,-0.907,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,0.998,-1,-0.782,1,-0.393,-0.982,1,1
"1642.MS00617",-0.602,1,1,-0.986,0.755,1,1,1,1,1,1,-0.474,-0.562,1,-0.025,-0.53,0.385,1,1,-0.93,1,-0.872,-0.92,-0.286,1,0.198,0.995,1,0,0.272,1,0.748,1,1,1,0.613,1,1,0.151,0.549
"1642.MS00551",0.919,1,1,-0.037,0.483,1,1,1,1,1,1,0.319,0.819,1,0.48,0.592,-0.022,1,0.988,-0.393,1,-0.762,0.164,0.113,1,0.992,1,1,0.272,0,1,-0.406,1,1,1,0.908,1,1,0.587,-0.163
"1642.MS00342",0.998,1,1,1,0.857,1,1,1,1,1,-0.741,0.748,1,1,0.998,1,0.996,1,0.632,0.984,-0.379,1,1,0.996,1,0.99,1,1,1,1,0,1,1,1,1,1,1,1,0.393,0.996
"1642.MS00634",0.994,1,1,0.74,1,1,1,1,1,1,1,0.946,0.954,1,1,0.998,1,1,1,0.871,1,-0.154,0.996,1,1,1,1,1,0.748,-0.406,1,0,1,1,1,1,1,1,1,1
"2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.826,1,1,0.912,1,1,1,1,0.821,1,1,1,1,1,1,1,1,1,1,0.994,1,1,0.998,1,1,1,1,0,0.998,1,1,1,0.998,1,1
"2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences",1,-0.996,-0.998,1,1,-0.904,-1,-0.968,1,0.985,1,1,1,1,1,1,1,-0.976,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,0.998,0,-0.974,1,-0.696,-1,1,1
"2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences",1,-0.944,-0.996,1,1,-1,-0.998,-1,1,1,1,1,1,1,1,1,1,-0.988,1,1,1,1,1,1,-0.992,1,1,-0.782,1,1,1,1,1,-0.974,0,1,-1,-1,1,1
"1642.MS00589",0.509,1,1,0.474,0.986,1,1,1,1,1,1,0.986,0.212,1,-0.864,0.313,-0.104,1,0.998,0.586,1,0.656,-0.488,0.976,1,0.404,1,1,0.613,0.908,1,1,1,1,1,0,1,1,0.872,-0.825
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",1,-0.95,-0.974,1,1,-0.992,-0.955,-0.922,1,0.903,1,1,1,1,1,1,1,-0.858,1,1,1,1,1,1,-1,1,1,-0.393,1,1,1,1,1,-0.696,-1,1,0,-0.936,1,1
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",1,-1,-1,1,1,-0.99,-1,-1,1,0.996,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-0.982,1,1,1,1,0.998,-1,-1,1,-0.936,0,1,1
"1642.MS00414",0.106,1,1,-0.185,-0.892,1,1,1,1,1,0.66,-0.944,0.367,1,-0.628,-0.14,0.236,1,-0.55,-0.844,0.384,-0.383,-0.033,0.188,1,-0.615,1,1,0.151,0.587,0.393,1,1,1,1,0.872,1,1,0,0.048
"1642.MS00554",-0.015,1,1,0.307,0.308,1,1,1,1,1,1,0.704,-0.123,1,-0.978,-0.121,-0.831,1,0.669,-0.373,0.998,0.575,-0.32,0.244,1,0.144,0.704,1,0.549,-0.163,0.996,1,1,1,1,-0.825,1,1,0.048,0
