"","1642.MS00422","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00579","1642.MS00499","1642.MS00402","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00420","1642.MS00465","1642.MS00488","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00611","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00640","1642.MS00397","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00343","1642.MS00364","1642.MS00393","1642.MS00520","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00450","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00584","1001.SKB7","1642.MS00614","1642.MS00411","1642.MS00532"
"1642.MS00422",NA,2.20398329974053,4.14029043304167,1.78467509549519,-3.09168645066892,-5.3641464918146,-3.14784120651783,-0.408562366536136,-0.0268022864015834,4.34929637198413,-4.43392156705178,-4.82479494646381,-4.27437451844508,1.03797184007781,-5.29582557508683,-0.212540003093046,-2.87819152434893,1.04419761817658,0.129125571842117,-0.560207943455512,-0.59557069567142,0.494423275485978,-4.11968290068328,-6.8640305548871,0.448880950130814,-5.51040687582388,-0.392272084619828,-2.93184582481326,-3.19485668028981,-6.18434173514088,-5.83580812931233,1.68695027194887,-4.28135309698252,0.0926818005801787,-0.382398851849277,-3.29844089567153,2.61583857498114,-1.08697111816407,-4.94458767763828,-4.06859490356162
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",2.20398329974053,NA,-7.76389426797518,-5.88822069112948,3.85178508515932,3.96080013609207,2.32085323180552,-6.67447571895741,-6.74150047257314,-9.14970797001453,4.63610458015975,3.59554965567005,6.67301712144417,-6.11853966455989,1.24229488897835,-6.21855901576145,5.02309063742217,-4.2206694566219,-7.18151881461626,-7.44359960817498,-6.08681705133253,-6.87201636517014,6.52356990187807,-0.172748656440533,-6.64836955934536,2.71110617003291,-4.21949978940241,0.0944726713719059,-0.510703998544048,-0.153542864809806,0.244646027825555,-6.73104471033358,6.51598381866062,-5.64263228655468,-5.98940590383493,8.66786886292047,-1.42752928638142,5.33647362663085,1.80059605730987,2.82400286803747
"2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences",4.14029043304167,-7.76389426797518,NA,-6.27965921082476,4.92725018566368,5.94845826704633,4.75093524136367,-7.26414030955589,-8.50405199034392,-8.4026906153722,6.0720101173877,3.78738891045978,11.0195884873131,-6.72554265315611,1.51735379687073,-5.97855613113183,6.11315139957934,-4.64622596506077,-6.94619134959764,-9.04756206449511,-7.30507159898792,-6.85566045230707,7.97192944069359,0.371427168531107,-7.66128706823657,4.07471264616844,-3.97472966310005,0.575424577278763,-0.0327851477165112,0.916514473003814,0.65660202573993,-7.24138625228263,8.48883290751048,-6.55367636480392,-6.52538216704577,9.2083554175081,-3.81459637398522,7.92932759716914,2.39558992880873,5.47544350107797
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",1.78467509549519,-5.88822069112948,-6.27965921082476,NA,3.56621920060648,3.51897384304166,2.2713976592362,-6.78504135678901,-7.12682351409639,-3.90541974874435,3.46836518251991,2.15760774414244,5.95482143509497,-6.73381842704539,0.875212843690761,-5.69808651496642,3.11584905110087,-9.31014452950789,-6.52143619568124,-6.81801441373518,-6.27218819047179,-6.63077023620148,4.62963532762318,0.251440361432659,-6.08087823180235,2.07516198706367,-4.05856861392498,-0.634429692136492,-1.34914526141124,0.743611131155357,0.17468862740876,-8.47725933567081,3.68862217552007,-5.7880992651787,-5.68970553645526,5.70307981901918,-4.58515561262158,4.5420683177054,1.08686433632705,3.5346496944075
"1642.MS00579",-3.09168645066892,3.85178508515932,4.92725018566368,3.56621920060648,NA,-5.50444294927142,-2.57997655169401,0.465869450565155,1.40813853141299,5.22827299282359,-4.10135125972415,-4.87507959256018,-5.95643096857414,2.24819747216189,-3.61745304495086,0.693980963904665,-3.38491305504473,2.18337249015522,1.22182437043989,0.000173729407083033,0.334866627743637,1.50609916562043,-3.62037774721784,-3.37903172338352,1.42318189073952,-4.02872717735188,0.389504250141729,-1.9734975644013,-2.43719768204015,-3.33697968025692,-7.4150103043727,3.23706965968327,-3.7005077545033,1.45638434876603,1.05324775898215,-5.43647476914988,2.1406263614024,-2.49083405953865,-2.81579996137879,-5.32714101797913
"1642.MS00499",-5.3641464918146,3.96080013609207,5.94845826704633,3.51897384304166,-5.50444294927142,NA,-2.89882175318834,0.327790825684023,0.612282305113476,6.248308617716,-5.69198778415192,-5.69214352465839,-4.39617781127759,2.0518756484524,-4.7939806043095,0.580611619556149,-3.46505233752122,1.85866411739668,0.949819945723633,-0.181345715895285,-0.0274827183321825,0.993310260302294,-4.53918949380361,-5.79599627605524,1.12265064794548,-5.74105690091643,0.0844359397967865,-2.82310145891421,-4.08992200627261,-5.02778809324607,-6.95381700207906,3.31145466348887,-4.90315235258298,0.789337979082983,0.737931620589706,-4.11360673197307,3.03245918251539,-1.60833602906139,-3.84553505985125,-5.55075971501702
"1642.MS00402",-3.14784120651783,2.32085323180552,4.75093524136367,2.2713976592362,-2.57997655169401,-2.89882175318834,NA,-0.641308882131314,-0.384293575840788,5.90285571731088,-1.25572316531269,-3.63966240018565,-1.98270483011209,0.93853345926506,-3.81180062218222,-0.714848355007899,-1.87952455307768,0.912368656427666,-0.12382544518093,-0.539386523628409,-0.880540740052024,0.101076825114053,-1.78635178737103,-3.71490946687483,-0.0724596039057156,-2.89635851296576,-0.171358884280876,-2.73117906847352,-3.74845662729408,-2.81251019509249,-3.57355530859178,1.72679321543546,-2.02893716629619,0.268562318887029,0.0824346610967682,-1.81741037103795,2.78051093816579,-0.137658502381263,-2.66525481902916,-2.11960534481233
"2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences",-0.408562366536136,-6.67447571895741,-7.26414030955589,-6.78504135678901,0.465869450565155,0.327790825684023,-0.641308882131314,NA,-5.85368574823643,-7.32493469731,0.928219286069113,0.0164276773520209,1.13859755491521,-6.9991429273989,-0.273589747274399,-5.95449758265656,-0.0230030096961592,-5.14765335316133,-5.16380339370869,-4.95300142576569,-6.20942579145119,-5.23043112320793,1.00550522438924,-1.05023123407007,-6.17349311945203,-0.0376468146081465,-3.17080410177704,-0.58409099440975,-1.39557080985874,-0.718670225467907,-0.726538693750967,-7.59560526519445,0.68777547461545,-5.53339798157503,-6.57724050740429,1.45499881746702,-3.21878111432222,0.756804147113651,-0.562904894651506,0.347348447086343
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",-0.0268022864015834,-6.74150047257314,-8.50405199034392,-7.12682351409639,1.40813853141299,0.612282305113476,-0.384293575840788,-5.85368574823643,NA,-7.55489863379184,1.01559021426078,0.160433360027007,2.02505657922929,-6.66689978576837,-0.148444507608296,-6.36387580730892,0.579837279000243,-6.70527431767107,-6.7235333700013,-6.64472477471802,-5.67873947207204,-5.52858133596621,1.36480774437606,-0.840823320258341,-6.65751459575668,0.283040076011377,-3.60081547133434,-1.06254295978632,-1.80445371429174,-0.649278560536061,-0.538800129198527,-6.75348370952238,1.18467961077674,-5.74022167870537,-6.47126767276971,2.1093417664415,-3.71551518256778,1.89467797675172,-0.00852150257808869,0.965542295733576
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",4.34929637198413,-9.14970797001453,-8.4026906153722,-3.90541974874435,5.22827299282359,6.248308617716,5.90285571731088,-7.32493469731,-7.55489863379184,NA,6.898035052357,4.47490915152308,10.3322637403742,-6.43243794322465,1.88215445087038,-5.35163091589227,6.66259739916261,-3.94250858781236,-6.95694338338847,-2.50625323134083,-4.23027444031825,-4.97284231904612,9.03180835641893,0.643735726035218,-7.00668573070196,4.66177885952748,-4.1389192477633,1.06159976550928,-0.257477785923076,1.07292652278703,0.626298089426048,-5.57787951156677,9.66236096976395,-6.85360503049625,-7.02212711057716,9.392828010308,-2.51476364414914,7.24666833482056,2.53553820095338,6.00009359363621
"1642.MS00420",-4.43392156705178,4.63610458015975,6.0720101173877,3.46836518251991,-4.10135125972415,-5.69198778415192,-1.25572316531269,0.928219286069113,1.01559021426078,6.898035052357,NA,-6.78147266511009,-4.21734814534176,2.55456416945421,-5.51423862589482,0.812867625966887,-2.5378819910918,2.1159880097757,1.13339795932563,0.0694742264740649,0.0519160592534719,1.28924208298079,-3.65350295490049,-4.57245332395434,1.81890550681604,-5.5641939109477,0.342777183841245,-3.38316012156296,-4.027765684113,-5.02356291111538,-6.12453894260707,3.43365966742209,-3.13352090538984,1.55375576926663,1.42093069354521,-4.48637751478236,2.55932474782144,-0.920964546231377,-3.56023396539215,-3.26667146263445
"1642.MS00465",-4.82479494646381,3.59554965567005,3.78738891045978,2.15760774414244,-4.87507959256018,-5.69214352465839,-3.63966240018565,0.0164276773520209,0.160433360027007,4.47490915152308,-6.78147266511009,NA,-5.06049567686448,1.1350057118796,-6.9102235136808,0.0885849460438617,-4.01637910487105,0.833367372656011,0.210832166348406,-0.38762215728277,-0.253090046416351,0.77619016975729,-5.66265672947705,-6.12002725906943,0.631357692912835,-6.54969102702585,-0.286964067980568,-3.23416858232754,-4.04142499808172,-5.64059059024624,-7.37742367487501,2.02481371649155,-6.35130224127629,0.508268150614448,-0.216314208913611,-3.80941308508316,2.01064360559662,-2.3542548247589,-5.96127854271529,-5.21315539417764
"1642.MS00488",-4.27437451844508,6.67301712144417,11.0195884873131,5.95482143509497,-5.95643096857414,-4.39617781127759,-1.98270483011209,1.13859755491521,2.02505657922929,10.3322637403742,-4.21734814534176,-5.06049567686448,NA,4.45984312139961,-4.63402646921302,2.19191770470485,-3.08083943022416,3.63513571662678,2.49744732568498,0.511594251033365,1.14798878364669,3.47686792822492,-4.20456542830262,-4.00335243188651,3.57307188147087,-4.22862733278461,1.47920231020831,-0.681165595347557,-2.11661034494527,-3.34006991449747,-6.50902154174954,6.38012516712431,-5.21357007218184,3.40937240407094,3.64256701839748,-3.67042757559796,3.79508951018101,-1.80863092028996,-1.25334298564628,-3.68350087912733
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",1.03797184007781,-6.11853966455989,-6.72554265315611,-6.73381842704539,2.24819747216189,2.0518756484524,0.93853345926506,-6.9991429273989,-6.66689978576837,-6.43243794322465,2.55456416945421,1.1350057118796,4.45984312139961,NA,0.148989819697077,-6.41663738602106,2.21001902936994,-6.57781115989298,-5.64313939737623,-7.09146372919654,-4.85886898906176,-5.42896050806626,3.03311378170765,-0.64112659630611,-7.0220809372063,1.24156221699084,-3.7596897130177,-0.278004943420439,-1.57287932659167,-0.155167088246499,-0.281751741019387,-7.50338436785828,2.79616542874898,-5.31492328006168,-7.20994740541339,3.75392965060579,-4.44760845029031,3.12155315057845,0.530169957420608,1.95201259531348
"1642.MS00399",-5.29582557508683,1.24229488897835,1.51735379687073,0.875212843690761,-3.61745304495086,-4.7939806043095,-3.81180062218222,-0.273589747274399,-0.148444507608296,1.88215445087038,-5.51423862589482,-6.9102235136808,-4.63402646921302,0.148989819697077,NA,-0.346554685003266,-2.69474042610339,0.372213616781309,-0.307171315704592,-0.663835290983112,-0.620487748595614,-0.0896037431731916,-6.05234612492982,-6.70448229281766,0.0815937525117077,-7.57836314602978,-0.600247315805755,-3.45618032229362,-3.91263462707682,-5.6496031180631,-5.88509275342432,0.647374965242348,-5.94552504425722,-0.119637648692226,-0.43335375878327,-4.6429141484285,0.418073663846116,-0.508479902210927,-5.5465718878292,-3.93380448354811
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",-0.212540003093046,-6.21855901576145,-5.97855613113183,-5.69808651496642,0.693980963904665,0.580611619556149,-0.714848355007899,-5.95449758265656,-6.36387580730892,-5.35163091589227,0.812867625966887,0.0885849460438617,2.19191770470485,-6.41663738602106,-0.346554685003266,NA,0.179241171681604,-6.4942214983892,-6.61655198333,-7.35160870603674,-4.42071406970597,-6.16380721572451,1.32170436972094,-1.32369155695858,-5.06985756769384,-0.108377483959488,-7.18647457696157,-0.821373643750424,-2.05038658240082,-0.815213406740943,-0.742036008554465,-5.94767033432015,0.66972822858518,-7.2660142611083,-5.58662380557962,1.84765171538586,-3.46987321821685,1.45253538443859,-0.518925135235633,0.514266924843095
"1642.MS00611",-2.87819152434893,5.02309063742217,6.11315139957934,3.11584905110087,-3.38491305504473,-3.46505233752122,-1.87952455307768,-0.0230030096961592,0.579837279000243,6.66259739916261,-2.5378819910918,-4.01637910487105,-3.08083943022416,2.21001902936994,-2.69474042610339,0.179241171681604,NA,1.86903102158448,0.439357278528808,-0.197343064229489,-0.307978939018022,0.865383396869898,-4.1583942351608,-2.95893059661238,1.24942092542333,-2.93608174749493,0.230768888601127,-1.6075960123543,-2.49341224680839,-2.75442780231551,-4.60988420027543,2.98300872699848,-3.586177580307,1.03997720772705,0.76480690229712,-2.09498529651436,3.09410905485966,-2.01408790854019,-1.67812756631483,-3.0959493613914
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",1.04419761817658,-4.2206694566219,-4.64622596506077,-9.31014452950789,2.18337249015522,1.85866411739668,0.912368656427666,-5.14765335316133,-6.70527431767107,-3.94250858781236,2.1159880097757,0.833367372656011,3.63513571662678,-6.57781115989298,0.372213616781309,-6.4942214983892,1.86903102158448,NA,-5.14818301026748,-6.57027894573991,-2.53013244885093,-5.06911167708206,2.49693912108212,-0.0376293232654144,-6.40706114985211,1.30221442873423,-3.60071377362496,-0.398445286448861,-1.36817726638685,0.0734631621376874,-0.326656627606469,-7.01008487688788,2.43271404709899,-4.25110546557031,-4.88479514505565,3.27986929179932,-4.71164129054241,3.20447867188408,0.75767158101126,2.23521739041824
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",0.129125571842117,-7.18151881461626,-6.94619134959764,-6.52143619568124,1.22182437043989,0.949819945723633,-0.12382544518093,-5.16380339370869,-6.7235333700013,-6.95694338338847,1.13339795932563,0.210832166348406,2.49744732568498,-5.64313939737623,-0.307171315704592,-6.61655198333,0.439357278528808,-5.14818301026748,NA,-6.6686119327392,-6.20631630419407,-4.89969075341206,1.66893980696534,-1.0890663333268,-5.5024409599859,0.162800045618303,-3.45139858234331,-0.522172918185263,-1.6668134891699,-0.622742563170493,-0.726929417164614,-6.54630275616165,1.00008187567082,-4.63285604578286,-5.61499543182753,2.00873125441714,-3.60970530949904,1.81654183895929,-0.362916325694775,0.897834134154626
"2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences",-0.560207943455512,-7.44359960817498,-9.04756206449511,-6.81801441373518,0.000173729407083033,-0.181345715895285,-0.539386523628409,-4.95300142576569,-6.64472477471802,-2.50625323134083,0.0694742264740649,-0.38762215728277,0.511594251033365,-7.09146372919654,-0.663835290983112,-7.35160870603674,-0.197343064229489,-6.57027894573991,-6.6686119327392,NA,-7.97603673832126,-5.01976155157979,0.249700488037229,-1.14879722720433,-7.62402845643883,-0.496575674253324,-3.15913983189861,-1.17642274004406,-1.58606650361023,-0.885881318886952,-1.01160042965749,-8.95608529228631,0.101783401778664,-5.92959195044817,-8.07294305899846,0.56605626187011,-4.36399019981857,0.173965267112378,-0.670004318129169,-0.197592385606077
"2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences",-0.59557069567142,-6.08681705133253,-7.30507159898792,-6.27218819047179,0.334866627743637,-0.0274827183321825,-0.880540740052024,-6.20942579145119,-5.67873947207204,-4.23027444031825,0.0519160592534719,-0.253090046416351,1.14798878364669,-4.85886898906176,-0.620487748595614,-4.42071406970597,-0.307978939018022,-2.53013244885093,-6.20631630419407,-7.97603673832126,NA,-5.52086274113245,0.561688776557457,-1.30807801348158,-5.64337369619641,-0.629099214269962,-3.440579078596,-1.28679898675832,-1.97190218211039,-1.04039344582025,-0.927053845485018,-5.49032470908431,0.057117632465899,-5.50922500046012,-4.89841159221813,0.996455292493478,-3.37693700568005,0.710021267064752,-0.873607182766431,0.126213891713107
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",0.494423275485978,-6.87201636517014,-6.85566045230707,-6.63077023620148,1.50609916562043,0.993310260302294,0.101076825114053,-5.23043112320793,-5.52858133596621,-4.97284231904612,1.28924208298079,0.77619016975729,3.47686792822492,-5.42896050806626,-0.0896037431731916,-6.16380721572451,0.865383396869898,-5.06911167708206,-4.89969075341206,-5.01976155157979,-5.52086274113245,NA,2.38221555255986,-0.917893823587426,-4.77510660614003,0.488503411041777,-7.07564884954446,-0.613674515537178,-2.15591028284495,-0.551840498392636,-0.530337901482202,-5.47931205273442,1.40139847949147,-7.4369628294472,-6.24554703765977,3.10868655837648,-4.09058233838274,1.80644938002321,-0.115590219897051,1.46207339345707
