"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00402","1642.MS00450","1642.MS00532","1642.MS00420","1642.MS00422","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00364","1642.MS00640","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","1642.MS00611","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00397","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00614","1642.MS00520","1642.MS00584","2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00579","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00399","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00499","1001.SKB7","1642.MS00415"
"1642.MS00397",0.9322,0.9328,0.5588,0.949,0.9598,0.919,0.9268,0.5138,0.5196,0.5184,0.5312,0.5004,0.9524,0.9166,0.757,0.5802,0.9096,0.5552,0.5616,0.9464,0.422,0.9486,0,0.9348,0.5966,0.5686,0.5766,0.9456,0.9008,0.4302,0.53,0.6206,0.923,0.4698,0.936,0.9208,0.936,0.5422,0.9888,0.5202
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",0.7444,0.4034,0.9364,0.4252,0.6258,0.542,0.6908,0.9266,0.9308,0.9266,0.936,0.919,0.6388,0.6326,0.9686,0.9398,0.8738,0.9308,0.933,0.5914,0.9334,0.6166,0.9348,0,0.9318,0.9576,0.9504,0.5778,0.8388,0.9272,0.9336,0.9436,0.631,0.9374,0.3974,0.8064,0.4816,0.9204,0.984,0.9386
"1642.MS00614",0.9432,0.935,0.5568,0.9536,0.9702,0.924,0.9362,0.5686,0.5106,0.5478,0.5742,0.5548,0.9552,0.9308,0.8578,0.6394,0.9264,0.6834,0.457,0.9444,0.6104,0.9524,0.5966,0.9318,0,0.715,0.614,0.9514,0.91,0.577,0.5758,0.7042,0.9358,0.673,0.9406,0.9192,0.939,0.5738,0.9902,0.569
"1642.MS00520",0.9568,0.9572,0.629,0.9668,0.975,0.9534,0.9546,0.6612,0.6476,0.605,0.6612,0.6568,0.9664,0.9524,0.846,0.5762,0.9526,0.5964,0.6716,0.968,0.5704,0.962,0.5686,0.9576,0.715,0,0.54,0.9628,0.948,0.5838,0.5614,0.7472,0.9564,0.4984,0.961,0.9586,0.958,0.6486,0.994,0.662
"1642.MS00584",0.9528,0.9462,0.5384,0.9612,0.9706,0.9434,0.9442,0.5848,0.5664,0.5232,0.5926,0.5862,0.9606,0.9396,0.8298,0.491,0.9394,0.5356,0.572,0.954,0.5816,0.9578,0.5766,0.9504,0.614,0.54,0,0.9576,0.9332,0.5496,0.5118,0.693,0.945,0.5784,0.9508,0.944,0.9514,0.5624,0.9948,0.5778
"2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences",0.8454,0.6236,0.9508,0.601,0.6534,0.6058,0.7152,0.9384,0.9456,0.9388,0.9476,0.9366,0.65,0.762,0.9652,0.945,0.8768,0.9404,0.948,0.5682,0.943,0.659,0.9456,0.5778,0.9514,0.9628,0.9576,0,0.8636,0.9426,0.9448,0.9466,0.6764,0.9518,0.5102,0.9164,0.6178,0.9382,0.9782,0.9492
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9124,0.854,0.9156,0.8642,0.8738,0.8066,0.7354,0.873,0.8958,0.886,0.9034,0.87,0.8506,0.875,0.9392,0.9192,0.4976,0.906,0.8946,0.86,0.8888,0.8458,0.9008,0.8388,0.91,0.948,0.9332,0.8636,0,0.8942,0.9094,0.9098,0.7102,0.926,0.859,0.6624,0.8528,0.879,0.9738,0.9112
"1642.MS00411",0.9322,0.9288,0.5182,0.9444,0.963,0.919,0.9218,0.471,0.4716,0.4822,0.4912,0.4708,0.951,0.915,0.763,0.5658,0.9044,0.5428,0.546,0.942,0.4306,0.9452,0.4302,0.9272,0.577,0.5838,0.5496,0.9426,0.8942,0,0.512,0.5928,0.92,0.4826,0.9352,0.9124,0.9366,0.5018,0.9936,0.457
"1642.MS00579",0.9402,0.9314,0.5514,0.949,0.962,0.9252,0.9344,0.5644,0.5478,0.4908,0.6068,0.5454,0.9538,0.9256,0.8246,0.5206,0.9204,0.536,0.545,0.945,0.5392,0.9498,0.53,0.9336,0.5758,0.5614,0.5118,0.9448,0.9094,0.512,0,0.6914,0.9308,0.5578,0.9384,0.9204,0.9374,0.5456,0.9916,0.5976
"1642.MS00343",0.9384,0.9402,0.6802,0.9554,0.9622,0.9312,0.9346,0.5844,0.6262,0.6354,0.6,0.603,0.954,0.925,0.6396,0.6878,0.9222,0.6882,0.673,0.9512,0.604,0.9536,0.6206,0.9436,0.7042,0.7472,0.693,0.9466,0.9098,0.5928,0.6914,0,0.931,0.6382,0.9434,0.9338,0.9462,0.649,0.9914,0.5518
"2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences",0.8468,0.6714,0.9408,0.6572,0.6202,0.5728,0.4626,0.92,0.925,0.9144,0.928,0.9098,0.5508,0.8086,0.9552,0.9308,0.7114,0.929,0.9272,0.695,0.923,0.5572,0.923,0.631,0.9358,0.9564,0.945,0.6764,0.7102,0.92,0.9308,0.931,0,0.934,0.6408,0.839,0.5588,0.9176,0.9578,0.934
"1642.MS00399",0.9374,0.9336,0.5682,0.9504,0.9634,0.9342,0.9364,0.5754,0.5498,0.5606,0.5598,0.5606,0.9532,0.9282,0.771,0.5786,0.9268,0.5652,0.643,0.9526,0.4578,0.951,0.4698,0.9374,0.673,0.4984,0.5784,0.9518,0.926,0.4826,0.5578,0.6382,0.934,0,0.9402,0.9394,0.9408,0.5908,0.9924,0.5554
"2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences",0.7968,0.4616,0.9418,0.3766,0.6608,0.5578,0.717,0.9326,0.9362,0.934,0.9346,0.9262,0.6482,0.69,0.9684,0.9432,0.8856,0.9356,0.9418,0.5692,0.9388,0.652,0.936,0.3974,0.9406,0.961,0.9508,0.5102,0.859,0.9352,0.9384,0.9434,0.6408,0.9402,0,0.8504,0.4998,0.929,0.977,0.9414
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9092,0.8174,0.9312,0.8542,0.9298,0.8524,0.8604,0.8952,0.9124,0.9078,0.9272,0.8908,0.9146,0.8668,0.9476,0.9378,0.7646,0.9262,0.9138,0.8716,0.9104,0.8996,0.9208,0.8064,0.9192,0.9586,0.944,0.9164,0.6624,0.9124,0.9204,0.9338,0.839,0.9394,0.8504,0,0.8802,0.903,0.9902,0.9274
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",0.7242,0.503,0.9404,0.5002,0.5566,0.5348,0.6798,0.9282,0.9336,0.9282,0.939,0.9248,0.5618,0.63,0.9594,0.94,0.8762,0.9292,0.937,0.5386,0.9392,0.561,0.936,0.4816,0.939,0.958,0.9514,0.6178,0.8528,0.9366,0.9374,0.9462,0.5588,0.9408,0.4998,0.8802,0,0.9248,0.9794,0.943
"1642.MS00499",0.9236,0.9168,0.5154,0.9418,0.954,0.911,0.9208,0.474,0.502,0.4708,0.567,0.4754,0.9418,0.9076,0.8024,0.5404,0.897,0.5118,0.5432,0.934,0.503,0.9376,0.5422,0.9204,0.5738,0.6486,0.5624,0.9382,0.879,0.5018,0.5456,0.649,0.9176,0.5908,0.929,0.903,0.9248,0,0.9912,0.5538
"1001.SKB7",0.9842,0.9838,0.9936,0.9804,0.965,0.9628,0.9368,0.9922,0.9922,0.9914,0.9932,0.991,0.9536,0.9826,0.992,0.9936,0.9718,0.9936,0.9842,0.9856,0.9912,0.9792,0.9888,0.984,0.9902,0.994,0.9948,0.9782,0.9738,0.9936,0.9916,0.9914,0.9578,0.9924,0.977,0.9902,0.9794,0.9912,0,0.9948
"1642.MS00415",0.9434,0.939,0.5256,0.954,0.9682,0.9316,0.9372,0.497,0.4874,0.5272,0.4388,0.5108,0.956,0.9296,0.7476,0.6114,0.9172,0.6128,0.5582,0.95,0.5232,0.9518,0.5202,0.9386,0.569,0.662,0.5778,0.9492,0.9112,0.457,0.5976,0.5518,0.934,0.5554,0.9414,0.9274,0.943,0.5538,0.9948,0
