"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00402","1642.MS00450","1642.MS00532","1642.MS00420","1642.MS00422","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00364","1642.MS00640","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","1642.MS00611","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00397","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00614","1642.MS00520","1642.MS00584","2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00579","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00399","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00499","1001.SKB7","1642.MS00415"
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.0429999999999999,-0.944,1,-0.986,-0.996,-0.982,-0.742,1,1,1,1,1,-1,-0.285,1,1,1,1,1,-0.974,1,0,1,-0.942,1,1,1,-0.916,0.99,1,1,1,-1,1,-0.928,1,-0.994,1,0.992,1
"1642.MS00397",1,1,-0.254,1,1,1,1,-0.696,-0.695,-0.671,-0.587,-0.817,1,1,0.868,0.106,1,-0.41,-0.037,1,-1,1,0,1,0.391,-0.459,0.139,1,1,-1,-0.607,0.51,1,-0.986,1,1,1,-0.351,1,-0.688
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",-0.573,-1,1,-1,-0.974,-0.998,-0.667,1,1,1,1,1,-0.974,-0.914,1,1,1,1,1,-0.985,1,-0.942,1,0,1,1,1,-0.998,0.988,1,1,1,-0.926,1,-1,0.804,-1,1,1,1
"1642.MS00614",1,1,-0.253,1,1,1,1,0.181,-0.785,-0.195,0.179,-0.138,1,1,1,0.9,1,1,-0.99,1,0.67,1,0.391,1,0,0.996,0.743,1,1,0.158,0.15,0.998,1,0.972,1,1,1,0.266,1,0.0620000000000001
"1642.MS00520",1,1,0.384,1,1,1,1,0.834,0.663,0.097,0.811,0.782,1,1,1,-0.416,1,-0.21,0.896,1,-0.481,1,-0.459,1,0.996,0,-0.748,1,1,-0.275,-0.606,1,1,-0.982,1,1,1,0.721,1,0.804
"1642.MS00584",1,1,-0.392,1,1,1,1,0.544,0.178,-0.504,0.522,0.529,1,1,1,-0.857,1,-0.546,0.278,1,0.337,1,0.139,1,0.743,-0.748,0,1,1,-0.204,-0.704,0.998,1,0.0529999999999999,1,1,1,0.172,1,0.336
"2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences",0.469,-0.966,1,-0.994,-0.942,-0.994,-0.768,1,1,1,1,1,-0.932,-0.458,1,1,0.994,1,1,-0.996,1,-0.916,1,-0.998,1,1,1,0,0.964,1,1,1,-0.916,1,-1,1,-0.972,1,0.977,1
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.959,0.968,0.975,0.894,1,1,1,1,1,0.919,1,1,1,-0.962,1,1,0.99,1,0.99,1,0.988,1,1,1,0.964,0,1,1,1,0.662,1,0.988,0.358,1,1,1,1
"1642.MS00411",1,1,-0.705,1,1,1,1,-0.958,-0.938,-0.884,-0.859,-0.946,1,1,0.91,0.03,1,-0.535,-0.251,1,-0.998,1,-1,1,0.158,-0.275,-0.204,1,1,0,-0.749,0.14,1,-0.959,1,1,1,-0.778,1,-0.984
"1642.MS00579",1,1,-0.333,1,1,1,1,0.099,-0.273,-0.844,0.628,-0.262,1,1,1,-0.671,1,-0.618,-0.274,1,-0.441,1,-0.607,1,0.15,-0.606,-0.704,1,1,-0.749,0,0.994,1,-0.354,1,1,1,-0.222,1,0.505
"1642.MS00343",1,1,0.97,1,1,1,1,0.143,0.648,0.793,0.269,0.406,1,1,-0.671,0.994,1,0.986,0.984,1,0.336,1,0.51,1,0.998,1,0.998,1,1,0.14,0.994,0,1,0.685,1,1,1,0.895,1,-0.441
"2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences",0.823,-0.824,1,-0.96,-0.994,-0.984,-1,1,1,1,1,1,-1,0.806,1,1,0.628,1,1,-0.801,1,-1,1,-0.926,1,1,1,-0.916,0.662,1,1,1,0,1,-0.96,1,-0.998,1,0.822,1
"1642.MS00399",1,1,-0.18,1,1,1,1,0.0720000000000001,-0.369,-0.197,-0.282,-0.155,1,1,0.939,0.00600000000000001,1,-0.302,0.89,1,-0.996,1,-0.986,1,0.972,-0.982,0.0529999999999999,1,1,-0.959,-0.354,0.685,1,0,1,1,1,0.312,1,-0.317
"2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences",-0.146,-1,1,-1,-0.918,-0.996,-0.639,1,1,1,1,1,-0.954,-0.78,1,1,1,1,1,-1,1,-0.928,1,-1,1,1,1,-1,0.988,1,1,1,-0.96,1,0,0.966,-1,1,0.978,1
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.793,1,0.885,1,1,1,1,1,1,1,1,1,1,1,1,0.996,1,1,0.988,1,1,1,0.804,1,1,1,1,0.358,1,1,1,1,1,0.966,0,1,1,1,1
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",-0.71,-1,1,-1,-0.998,-0.998,-0.747,1,1,1,1,1,-0.998,-0.946,1,1,1,1,1,-1,1,-0.994,1,-1,1,1,1,-0.972,1,1,1,1,-0.998,1,-1,1,0,1,0.992,1
"1642.MS00499",1,1,-0.701,1,1,1,1,-0.915,-0.737,-0.897,0.191,-0.919,1,1,0.998,-0.272,1,-0.802,-0.136,1,-0.794,1,-0.351,1,0.266,0.721,0.172,1,1,-0.778,-0.222,0.895,1,0.312,1,1,1,0,1,0.00600000000000001
"1001.SKB7",0.994,0.998,1,0.978,0.819,0.844,0.233,1,1,1,1,1,0.561,0.999,1,1,0.996,1,1,1,1,0.992,1,1,1,1,1,0.977,1,1,1,1,0.822,1,0.978,1,0.992,1,0,1
"1642.MS00415",1,1,-0.574,1,1,1,1,-0.762,-0.888,-0.398,-0.994,-0.649,1,1,0.767,0.702,1,0.544,0.0269999999999999,1,-0.605,1,-0.688,1,0.0620000000000001,0.804,0.336,1,1,-0.984,0.505,-0.441,1,-0.317,1,1,1,0.00600000000000001,1,0
