"","1642.MS00516","1642.MS00354","1642.MS00517","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00402","1001.SKD8","1642.MS00538","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00421","1642.MS00486","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00470","1642.MS00426","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00491","1642.MS00494","1642.MS00418","1642.MS00520","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00463","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1001.SKM7","1642.MS00578","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00498","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00463",0.501,0.7492,0.5072,0.9386,0.9564,0.9042,0.5262,0.988,0.479,0.9338,0.712,0.524,0.529,0.9502,0.9504,0.4938,0.537,0.8962,0.912,0.9314,0.9926,0.573,0.5392,0.5406,0.5968,0.9214,0.556,0.9392,0,0.9278,0.9674,0.9906,0.5602,0.9118,0.5578,0.9398,0.889,0.8972,0.4708,0.9014
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",0.94,0.955,0.9336,0.645,0.6734,0.8256,0.9172,0.9638,0.9224,0.8478,0.9418,0.9238,0.936,0.6442,0.7172,0.923,0.9194,0.838,0.8388,0.6142,0.985,0.9246,0.9126,0.9244,0.9566,0.7912,0.9458,0.6002,0.9278,0,0.6308,0.9706,0.9494,0.838,0.9384,0.597,0.6268,0.8794,0.9294,0.8256
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",0.9754,0.9818,0.9696,0.6724,0.7658,0.9368,0.968,0.963,0.9684,0.9316,0.9766,0.9694,0.9734,0.6594,0.6696,0.9678,0.9636,0.9406,0.9406,0.685,0.9902,0.9694,0.9608,0.9696,0.9776,0.9304,0.9774,0.6804,0.9674,0.6308,0,0.9802,0.9754,0.9528,0.975,0.6664,0.7684,0.9516,0.9692,0.9392
"1001.SKM7",0.9926,0.9932,0.9886,0.9682,0.9546,0.9614,0.9904,0.742,0.9886,0.9666,0.9904,0.9884,0.9912,0.9458,0.9744,0.9896,0.989,0.9758,0.9722,0.9652,0.3022,0.991,0.99,0.991,0.9932,0.972,0.9906,0.9682,0.9906,0.9706,0.9802,0,0.9916,0.9774,0.9892,0.9696,0.9744,0.991,0.99,0.97
"1642.MS00578",0.5582,0.698,0.5552,0.9556,0.9678,0.9366,0.65,0.9906,0.5774,0.954,0.7572,0.6182,0.6208,0.9646,0.9656,0.6032,0.6552,0.9326,0.9456,0.9532,0.994,0.7052,0.6344,0.6322,0.4734,0.948,0.5218,0.9602,0.5602,0.9494,0.9754,0.9916,0,0.9396,0.55,0.957,0.8646,0.928,0.5168,0.9356
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9088,0.9556,0.9058,0.884,0.9448,0.6384,0.8834,0.9854,0.8956,0.8204,0.933,0.8954,0.9168,0.898,0.889,0.903,0.8922,0.6586,0.6236,0.845,0.9802,0.8782,0.8852,0.9054,0.952,0.6476,0.9238,0.846,0.9118,0.838,0.9528,0.9774,0.9396,0,0.934,0.8842,0.7992,0.778,0.9098,0.5298
"1642.MS00588",0.5708,0.7696,0.5936,0.9524,0.9616,0.9316,0.622,0.987,0.569,0.9426,0.7576,0.6172,0.599,0.9538,0.9594,0.5844,0.625,0.9198,0.9356,0.9424,0.99,0.6526,0.6064,0.5904,0.5866,0.942,0.5954,0.9474,0.5578,0.9384,0.975,0.9892,0.55,0.934,0,0.9496,0.9124,0.928,0.5548,0.9284
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",0.9462,0.9592,0.943,0.5722,0.5566,0.857,0.9284,0.9634,0.9316,0.8648,0.9502,0.9412,0.9406,0.513,0.6552,0.9386,0.9302,0.8898,0.8668,0.58,0.9808,0.9386,0.927,0.9392,0.9582,0.8928,0.9504,0.5392,0.9398,0.597,0.6664,0.9696,0.957,0.8842,0.9496,0,0.5848,0.9014,0.9364,0.856
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",0.8956,0.8728,0.8416,0.6386,0.7458,0.8022,0.9164,0.9766,0.9006,0.8564,0.8886,0.8828,0.9128,0.609,0.6892,0.9126,0.899,0.8636,0.8148,0.6308,0.9846,0.8998,0.9256,0.9282,0.8688,0.8572,0.8594,0.5502,0.889,0.6268,0.7684,0.9744,0.8646,0.7992,0.9124,0.5848,0,0.8978,0.8622,0.7888
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8896,0.9462,0.8874,0.9004,0.9412,0.8124,0.854,0.9846,0.8796,0.8994,0.912,0.8612,0.8922,0.9342,0.9186,0.8678,0.8648,0.7602,0.813,0.8836,0.994,0.8684,0.8562,0.881,0.9386,0.767,0.9078,0.9092,0.8972,0.8794,0.9516,0.991,0.928,0.778,0.928,0.9014,0.8978,0,0.8924,0.7952
"1642.MS00498",0.476,0.7048,0.4778,0.936,0.952,0.9028,0.528,0.9868,0.4908,0.9342,0.6872,0.5028,0.5282,0.9488,0.947,0.5132,0.5376,0.8958,0.9126,0.9334,0.9896,0.5808,0.5422,0.5172,0.5388,0.9156,0.5216,0.9424,0.4708,0.9294,0.9692,0.99,0.5168,0.9098,0.5548,0.9364,0.8622,0.8924,0,0.9044
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",0.904,0.9512,0.8972,0.8472,0.929,0.5168,0.8754,0.972,0.8878,0.7792,0.9276,0.8896,0.9064,0.8596,0.842,0.8904,0.8832,0.6594,0.5422,0.8036,0.9794,0.8704,0.8754,0.8966,0.9472,0.6866,0.9204,0.827,0.9014,0.8256,0.9392,0.97,0.9356,0.5298,0.9284,0.856,0.7888,0.7952,0.9044,0
